Post Content,Themes,Thought Leadership?
"I read through several articles and blog posts each day as part of my ongoing professional development. Each week, I curate a few of my favorites, including a brief introduction explaining why I find the post valuable and recommend you read it.

Here’s a summary of this week’s content:

* Microlearning's impact on corporate training
* How LXPs can personalize lifelong learning
* Taking your first steps towards agile L&D transformation
* A guide to equitable decision-making
* ChatGPT prompts for combatting imposter syndrome.

Check out all of this week's content via the link: https://lnkd.in/eWu_yQ8g

#Microlearning #LXP #Agile #ProjectManagement #DEI #DecisionMaking #ChatGPT #ImposterSyndrome","AI/Machine Learning,Organizational Change Management,Innovation",checked
"Rolling out v1 of an AI ICP (Ideal Customer Profile) builder soon. Here's how it works:1. Users input up to 250 URLs of their top customers and prospects.2. Each URL is enhanced with data...think firmographics, tech used, etc.3. AI highlights commonalities across your best customers4. User receives ICP report (in <1 hour) ICP report includes an Ideal Customer Profile summary, filters to use to find ideal prospects, count of prospects in your ICP, analysis of your best customers, & enhanced data CSV.Interested in beta testing? I'd love to get your feedback along the way.Feel free to message, email, or comment and I'll set up a trial for you.hashtag#idealcustomerprofile hashtag#ai","AI/Machine Learning,Customer centricity,Human-centered design,Product Development,Digital transformation",checked
"Today we are excited to unveil Vieu. Powered by its proprietary Generative AI and Connections Graph assets, Vieu uplevels every sales pursuit into faster, bigger strategic wins.We are building a long lasting enduring company headquartered in our own backyard - yes here in Seattle. Seattle is home to some great B2B Sales companies like Outreach, Highspot - just to name a few.We at Vieu are pioneering a very different way of doing Enterprise Sales that starts with a Warm Intro instead of cold outreach or spam. And continues to add value to the buyer from the first meeting. Imagine being able to get a warm intro for every target account - every time. We are also hiring in all departments in Seattle. Come talk to us!A huge shout out to Nathan Bek, Taylor Soper and entire Geekwire team for featuring us. Simon Skaria Ethan S. Amrish Chaubal Chetan Patel Ashwin Sande","Product Development,AI/Machine Learning,Digital transformation",
"Itâ€™s been 9 months since ChatGPT was released and 7 months since it became the fastest consumer application to reach 100 million monthly active users, ushering in a new era of generative AI. But other than ChatGPT, how are consumers interacting with generative AI products?To begin to answer this question, Olivia Moore and team looked at traffic data from internet-tracking analytics company SimilarWeb to rank the top 50 generative AI web products by monthly visits and analyzed how these products have grown over time, and where growth is coming from. While not an exhaustive ranking of all consumer AI platforms, this list serves as a tool to identify and understand category trends. Here are the top 6 takeaways:1. Most leading products are built from the â€œground upâ€ around generative AI2. ChatGPT has a massive lead, for nowâ€¦3. LLM assistants (like ChatGPT) are dominant, but companionship and creative tools are on the rise4. Early â€œwinnersâ€ have emerged, but most product categories are up for grabs5. Acquisition for top products is entirely organicâ€”and consumers are willing to pay! 6. Mobile apps are still emerging as a GenAI platformDig in and let us know your thoughts on Olivia Moore's takeaways: https://lnkd.in/d5R4x72y",AI/Machine Learning,
"Angela Snyder, our Chief Banking Officer, discusses how Fulton Bank is using the latest trends in the banking industry to serve our customers better. Read her thoughts on technology, AI, and interest rates in her conversation with Lehigh Valley Business: https://lnkd.in/gfxMztYq","AI/Machine Learning,Customer centricity",checked
"AI@Morgan Stanley is about helping our advisors service their clients more effectively and to deliver differentiated advice. In 2023 human engagement remains our most important driver of growth. AI is about helping our advisors do better, not a replacement for them. 

Congratulations and thanks to the entire team who worked so hard to make this a reality.","AI/Machine Learning,Digital transformation,Product Development",
"Repping the brand and talking about Tropicana Brands Group â€˜s bright future as an independent company, our plans for hashtag#AI and how weâ€™re wiring for agility with Krystina Gustafson at Groceryshop 2023!",AI/Machine Learning,
"LLM fine-tuning would become to one of the necessary skills in the next year of data science.So, this is how to fine-tune your Llama2 model:https://lnkd.in/eZSkiaeXand this is how to fine-tune your OpenAI chat model:https://lnkd.in/eejg4vfP","Data and Analytics,AI/Machine Learning",
Congrats Michelle Lu. Love the three learnings and being fearless in the age of generative AI.,AI/Machine Learning,
"Data & AI is core to our success at Whirlpool Corporation. After establishing our new Data & AI strategy, I am excited about accelerating our peoples’ learning and development with hashtag#AI with our inaugural hashtag#WhirlpoolAtlasDataAISummit2023. Looking forward to September 26th with a strong lineup of speakers: Andy Walter Danielle Brown Prashanth H Southekal, PhD, MBA, ICD.D Priya Srinivas Devon Voster, Ph.D. Rebecca Steketee Kate Stebner Jennifer Springer Juliano Pavanelli Stefanovitz Radhakrishnan Kodakkal David Bean Frederic Laluyaux Nicole McKeith Nash and many more. Thanks to all the speakers and partners for supporting us in this journey. Thanks to Yusuf Abbasi Pravallika Yemba Peter Kirer Qiqi Wu Traci Robinson Aiya Reed Cameron Myers Michael Phillips Ross Ferraro and the organizing team!","Company Updates/News,AI/Machine Learning,Innovation",
"With so much excitement around the GenAI opportunity and fear of being disrupted by competitors, it is easy to forget the basics. Asking not, ""Can we do this?"" but rather, ""Should we do this?"" is forgotten entirely. But even assuming you can and should, how do you ensure it is done well? Some of my thinking is captured in the article below.",AI/Machine Learning,checked
"In this episode, Roberta Schwartz, Executive Vice President and Chief Innovation Officer of Houston Methodist Hospital, explores the concept of smart hospitals and her vision for healthcare innovation. Dr Schwartz explains how Houston Methodist Hospital adopts a unique approach by collaborating with external innovators and startups, rather than recruiting from unrelated industries, offering operational expertise to navigate the healthcare landscape. She highlights the challenges of implementing innovation, including resistance to change, emphasizing the importance of involving operational teams in the process. Dr. Schwarz also talks about the importance of team members with dual roles, balancing operations and innovation to bridge the gap between novel solutions and practical implementation to reshape healthcare for a more patient-centric and adaptable future.Join the conversation and learn how innovation and smart hospitals are reshaping healthcare!Spotify: https://lnkd.in/gj-W7U8BApple: https://lnkd.in/ggxS6882Google: https://lnkd.in/gZ3V5cJp?iHeart: https://lnkd.in/grDtDk83Amazon Music: https://lnkd.in/gCpws-XFhashtag#SmartFromTheStart hashtag#NeverStopCaring hashtag#compassionatecare hashtag#healthcare hashtag#innovation hashtag#healthtech hashtag#digitalhealth hashtag#aihealthcare hashtag#smarthospitals hashtag#healthcaretechnology hashtag#artificialintelligence hashtag#nursing hashtag#nursingleadership","Customer centricity,AI/Machine Learning,Innovation,Organizational Change Management",
"In this episode, Roberta Schwartz, Executive Vice President and Chief Innovation Officer of Houston Methodist Hospital, explores the concept of smart hospitals and her vision for healthcare innovation. Dr Schwartz explains how Houston Methodist Hospital adopts a unique approach by collaborating with external innovators and startups, rather than recruiting from unrelated industries, offering operational expertise to navigate the healthcare landscape. She highlights the challenges of implementing innovation, including resistance to change, emphasizing the importance of involving operational teams in the process. Dr. Schwarz also talks about the importance of team members with dual roles, balancing operations and innovation to bridge the gap between novel solutions and practical implementation to reshape healthcare for a more patient-centric and adaptable future.Join the conversation and learn how innovation and smart hospitals are reshaping healthcare!Spotify: https://lnkd.in/gj-W7U8BApple: https://lnkd.in/ggxS6882Google: https://lnkd.in/gZ3V5cJp?iHeart: https://lnkd.in/grDtDk83Amazon Music: https://lnkd.in/gCpws-XFhashtag#SmartFromTheStart hashtag#NeverStopCaring hashtag#compassionatecare hashtag#healthcare hashtag#innovation hashtag#healthtech hashtag#digitalhealth hashtag#aihealthcare hashtag#smarthospitals hashtag#healthcaretechnology hashtag#artificialintelligence hashtag#nursing hashtag#nursingleadership","AI/Machine Learning,Innovation,Customer centricity,Organizational Change Management",
"Exciting News! ðŸŽ‰ My research article, ""Effective Strategies for Mitigating Bias in Hiring Algorithms: A Comparative Analysis,"" is now accepted by the Journal of Artificial Intelligence, Machine Learning & Data Science (ISSN: 2583-9888)Join us in advancing fair and unbiased hiring practices. Read the full article here: https://lnkd.in/eyFyS_YN Recruitment Smart Technologieshashtag#DiversityInTech hashtag#InclusiveHiring hashtag#AIInnovation hashtag#RecruitmentSmart","Organizational Design,AI/Machine Learning",
"Some big news from Intel Corporation today as we announced our intent to operate the Programmable Solutions Group (PSG) as a standalone business. I am honored to lead this organization as its CEO, and excited to be joined by Shannon Poulin, who has been named the new COO of PSG. Establishing PSG as a standalone business will enable us to compete more effectively in the FPGA market and deliver greater value for our customers. I am proud to have been part of Intel the last 20+ years, which included growing the Network Platforms Group into a $1B+ business, being the Chief People Officer during the pandemic, and most recently leading the Data Center and AI Group back on a path toward leadership and growth with a competitive roadmap of data center CPUs, AI accelerators, GPUs and FPGAs. As the CEO of PSG, Iâ€™m thrilled for the opportunity to drive greater value creation and accelerate our customersâ€™ success.","AI/Machine Learning,Value Creation",
"The potential for hashtag#AI to transform U.S. hashtag#healthcare has been discussed for over a decade but has yet to deliver the kind of broad-based results the industry desperately needs. I am optimistic that will soon change.Â For the last four years, my team at Health Data Analytics Institute (HDAI) has been hard at work on building a platform, HealthVision,Â that uses machine learning and generative AI to give clinicians the information they need to make better clinical decisions. Here are some of my key takeaways from working on making AI usable for clinicians:- Clinical AI can now be deployed at scale: HealthVision is in production at Houston Methodist, fully integrated with Epic, and will eventually be accessible by thousands of clinicians assisting with a wide range of use cases.- Generative AI fills gaps in previous AI technologies: Generative AI can process raw clinical notes to produce structured data that can be ingested by predictive models in near-real time. This enables continuous updating of patient risk profiles as their care progresses.  - AI turns data complexity into actionable simplicity: HealthVision distills hundreds of pages of medical records into ONE PAGE that presents a holistic and prioritized view of patient risks. On October 8th at 3:40pm PT, Iâ€™ll be presenting with Roberta Schwartz at hashtag#HLTH2023 about putting data-driven insights into the hands of clinicians and care teams. Our collaboration with Houston Methodist is one of the largest deployments of generative AI within healthcare today. Please join us: Iâ€™m eager to share our experience â€“ and to hear what youâ€™re working on in this industry sea change.","Product Development,Research & Development,AI/Machine Learning,Data and Analytics,Customer centricity",checked
"Less than 3 days since ChatGPT gained vision, the discoveries have been mind-blowing! ðŸ’¥ðŸš€Prepare to be amazed by these 10 awesome examples:ðŸ‘‰ From a SaaS dashboard to code:https://lnkd.in/d4C_nHhEðŸ‘‰ Diagram master reader:https://lnkd.in/d4xJ9r_CðŸ‘‰The future of education. Right there:https://lnkd.in/degbhkYvðŸ‘‰Can you get park here?https://lnkd.in/dtTckF6XðŸ‘‰Understand complex images:https://lnkd.in/d2gHdrZhðŸ‘‰Yet another insane diagram to understand:https://lnkd.in/dUwJZMDDðŸ‘‰You like a style? Name it:https://lnkd.in/dy49A4A6ðŸ‘‰From whiteboard to editable notes:https://lnkd.in/dDVmMfdTðŸ‘‰Why is it funny?https://lnkd.in/dRg4CzF9ðŸ‘‰ChatGPT knows any film. Any sentence:https://lnkd.in/dvJ27dCe",AI/Machine Learning,
"Leading up to #HLTH2023 next week, I am thrilled to be sharing the stage with Nassib Chamoun to talk about leveraging AI technology to transform patient care. 

Through a partnership with Health Data Analytics Institute (HDAI), we are creating a holistic risk profile for each patient that is current, timely and available to every care team member system-wide to allow us to improve transitions, care coordination and handoff and deliver an improved patient experience. We must use #AI to reshape the EMR, making the EMR work for providers of care rather than providers working for the EMR.

I am also looking forward to ""shopping"" the tradeshow floor to see the latest innovations shaping the future of healthcare. What should I not miss while at HLTH this year? 

#HealthcareonLinkedIn #healthcareinnovation #digitalhealth ","Digital transformation,Customer centricity,AI/Machine Learning,Product Development",
"Data & AI is core to our success at Whirlpool Corporation. We just completed our inaugural hashtag#WhirlpoolAtlasDataAISummit2023 enabling 3000+ hours of learning in one day to accelerate our digital journey across the company with applied data & AI products. 

Thanks to hashtag#whirlpoolpeople around the world and our partners/speakers for their support Yusuf Abbasi Danielle Brown Andy Walter Priya Srinivas Juliano Pavanelli Stefanovitz Devon Voster, Ph.D. Prashanth H Southekal, PhD, MBA, ICD.D Jennifer Springer Radhakrishnan Kodakkal Frederic Laluyaux Aaron Youngstedt Aiya Reed Pravallika Yemba Peter Kirer Traci Robinson Fallon Nyce Rebecca Steketee Christine Grammier Nicole McKeith Nash Bryan Stiekes Zach Cardwell Winnie Wu Scott Fleming Natalia Isaevich and the organizing team.","Company Updates/News,Innovation,Data and Analytics,AI/Machine Learning",checked
"Not to be missed at HLTH- launch of VALID AI - a premier collaborative network and execution accelerator for responsible generative AI in healthcare. Register Now: www.tinyurl.com/fahlvJoin this moderated conversation with Kamal Jethwani, Managing Partner and CEO, Decimal.health, with Dennis C., Chief AI Advisor, UC Davis Health and John Halamka, M.D., M.S., President, Mayo Clinic Platformhashtag#Decimalhealth hashtag#FutureAndHealthSummit hashtag#HLTH2023 hashtag#VALIDAI hashtag#AIinHealthcare NODE.HealthDavid Lubarsky Dolly Moorhead Yauheni Solad MD MBA Lisa Esch Ritesh Patel Shuchi Rana Vimal Mishra, MD",AI/Machine Learning,
"âœˆï¸âœ¨ Elevating your guests' travel experiences.At Pritchard Industries, we're proud to be a leading name in airport cleaning services. From bustling terminals to serene lounges, our commitment to cleanliness and excellence ensures passengers have a seamless and enjoyable journey.With a deep understanding of the unique demands of the aviation industry, our specialized team keeps airports not just clean, but welcoming and safe. We take pride in contributing to the positive travel experiences of millions.Discover how our airport cleaning services set new standards in cleanliness and passenger satisfaction. Learn more about our expertise and dedication - and request a quote today.hashtag#aviation hashtag#airportterminal hashtag#airport hashtag#airportcleaningservices hashtag#airportterminalcleaningservices hashtag#facilitymanagementservices hashtag#facilitymanagement hashtag#facilityservices hashtag#buildingmaintenance hashtag#maintenanceservices hashtag#janitorialservices hashtag#commercialcleaning hashtag#cleaningservices","AI/Machine Learning,Customer centricity",
Iâ€™m passionate about the idea that AI should play a role in improving health and patient outcomes â€“ that's why I founded Health Data Analytics Institute (HDAI). We knew that data had to be simple and actionable to actually be useful. Our HealthVisionâ„¢ product converts hundreds of pages of complex data into a single page that tells providers what they need to know about a patient. It was a pleasure to present our story at hashtag#HLTH2023. Thank you to Roberta Schwartz and the Houston Methodist team for sharing both the stage and vision for AIâ€™s role in healthcare with us.,"AI/Machine Learning,Innovation,Data and Analytics,Customer centricity",
