postContent,themes
"I read through several articles and blog posts each day as part of my ongoing professional development. Each week, I curate a few of my favorites, including a brief introduction explaining why I find the post valuable and recommend you read it.

Heres a summary of this weeks content:

* Microlearning's impact on corporate training
* How LXPs can personalize lifelong learning
* Taking your first steps towards agile L&D transformation
* A guide to equitable decision-making
* ChatGPT prompts for combatting imposter syndrome.

Check out all of this week's content via the link: https://lnkd.in/eWu_yQ8g

#Microlearning #LXP #Agile #ProjectManagement #DEI #DecisionMaking #ChatGPT #ImposterSyndrome",AI or Machine Learning
"Rolling out v1 of an AI ICP (Ideal Customer Profile) builder soon. Here's how it works:1. Users input up to 250 URLs of their top customers and prospects.2. Each URL is enhanced with data...think firmographics, tech used, etc.3. AI highlights commonalities across your best customers4. User receives ICP report (in <1 hour) ICP report includes an Ideal Customer Profile summary, filters to use to find ideal prospects, count of prospects in your ICP, analysis of your best customers, & enhanced data CSV.Interested in beta testing? I'd love to get your feedback along the way.Feel free to message, email, or comment and I'll set up a trial for you.hashtag#idealcustomerprofile hashtag#ai",AI or Machine Learning
"Today we are excited to unveil Vieu. Powered by its proprietary Generative AI and Connections Graph assets, Vieu uplevels every sales pursuit into faster, bigger strategic wins.We are building a long lasting enduring company headquartered in our own backyard - yes here in Seattle. Seattle is home to some great B2B Sales companies like Outreach, Highspot - just to name a few.We at Vieu are pioneering a very different way of doing Enterprise Sales that starts with a Warm Intro instead of cold outreach or spam. And continues to add value to the buyer from the first meeting. Imagine being able to get a warm intro for every target account - every time. We are also hiring in all departments in Seattle. Come talk to us!A huge shout out to Nathan Bek, Taylor Soper and entire Geekwire team for featuring us. Simon Skaria Ethan S. Amrish Chaubal Chetan Patel Ashwin Sande",AI or Machine Learning
"It's been 9 months since ChatGPT was released and 7 months since it became the fastest consumer application to reach 100 million monthly active users, ushering in a new era of generative AI. But other than ChatGPT, how are consumers interacting with generative AI products?To begin to answer this question, Olivia Moore and team looked at traffic data from internet-tracking analytics company SimilarWeb to rank the top 50 generative AI web products by monthly visits and analyzed how these products have grown over time, and where growth is coming from. While not an exhaustive ranking of all consumer AI platforms, this list serves as a tool to identify and understand category trends. Here are the top 6 takeaways:1. Most leading products are built from the ""ground up"" around generative AI2. ChatGPT has a massive lead, for now""3. LLM assistants (like ChatGPT) are dominant, but companionship and creative tools are on the rise4. Early ""winners"" have emerged, but most product categories are up for grabs5. Acquisition for top products is entirely organic""and consumers are willing to pay! 6. Mobile apps are still emerging as a GenAI platformDig in and let us know your thoughts on Olivia Moore's takeaways: https://lnkd.in/d5R4x72y",AI or Machine Learning
"Angela Snyder, our Chief Banking Officer, discusses how Fulton Bank is using the latest trends in the banking industry to serve our customers better. Read her thoughts on technology, AI, and interest rates in her conversation with Lehigh Valley Business: https://lnkd.in/gfxMztYq",AI or Machine Learning
"AI@Morgan Stanley is about helping our advisors service their clients more effectively and to deliver differentiated advice. In 2023 human engagement remains our most important driver of growth. AI is about helping our advisors do better, not a replacement for them. 

Congratulations and thanks to the entire team who worked so hard to make this a reality.",AI or Machine Learning
"Repping the brand and talking about Tropicana Brands Group "" s bright future as an independent company, our plans for hashtag#AI and how we're wiring for agility with Krystina Gustafson at Groceryshop 2023!",AI or Machine Learning
"LLM fine-tuning would become to one of the necessary skills in the next year of data science.So, this is how to fine-tune your Llama2 model:https://lnkd.in/eZSkiaeXand this is how to fine-tune your OpenAI chat model:https://lnkd.in/eejg4vfP",AI or Machine Learning
Congrats Michelle Lu. Love the three learnings and being fearless in the age of generative AI.,AI or Machine Learning
"Data & AI is core to our success at Whirlpool Corporation. After establishing our new Data & AI strategy, I am excited about accelerating our peoples learning and development with hashtag#AI with our inaugural hashtag#WhirlpoolAtlasDataAISummit2023. Looking forward to September 26th with a strong lineup of speakers: Andy Walter Danielle Brown Prashanth H Southekal, PhD, MBA, ICD.D Priya Srinivas Devon Voster, Ph.D. Rebecca Steketee Kate Stebner Jennifer Springer Juliano Pavanelli Stefanovitz Radhakrishnan Kodakkal David Bean Frederic Laluyaux Nicole McKeith Nash and many more. Thanks to all the speakers and partners for supporting us in this journey. Thanks to Yusuf Abbasi Pravallika Yemba Peter Kirer Qiqi Wu Traci Robinson Aiya Reed Cameron Myers Michael Phillips Ross Ferraro and the organizing team!",AI or Machine Learning
