profileUrl,postContent,Linked Record Field,Themes,Content Format,type,First Name (from Linked Record Field),Last Name (from Linked Record Field),Company (from Linked Record Field),Industry (from Linked Record Field),Title (from Linked Record Field),timestamp,postUrl,imgUrl,Created/Cultivated/Curated,error,Subthemes,Thought Leadership?,likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,Weekday,Time of Post,Date of Post,Day of the Week,3/24-4/23?,Posts vs Engagements,Hour of Post,Month of Post,4/23-5/23?,documentTitle,documentPageCount,thought leadership
https://www.linkedin.com/in/patrick-weis-ddc/,"GPT - 4o was released just in time to help me with my home move! Thank you, OpenAI :)",https://www.linkedin.com/in/patrick-weis-ddc/,AI/Machine Learning,video,Video (LinkedIn Source),Patrick,Weis,Delta Dentals (CA),Healthcare Payers,"Director, Technology Operations",2024-07-01 17:10,https://www.linkedin.com/feed/update/urn:li:activity:7199212523147988996,https://media.licdn.com/dms/image/D4E05AQGQx9Naoq_V4Q/videocover-low/0/1716383323421?e=1720461600&v=beta&t=ww-xvVUayoabYeQKy06Wgz5e_axfBcY_oRyK7gT959Q,,,,,47,3,0,1mo,,,,Patrick Weis finds this funny,,,2024-05-23 01:00,,,,,,,,,Thursday,5:00 AM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/manish-raole-1757b774/,"Happy to announce publication of ""Enhancing Energy Efficiency in Smart Cities Through Robust Deep Learning Frameworks"". Prof.Pritee Parwekar
Nishant Anand Prof. (Dr.) Vikram Bali #deeplearning #machinelearning #artificialintelligence #datascience #ai #python #coding #programming #technology #computerscience #iot #technology #tech #ai #internetofthings #engineering",https://www.linkedin.com/in/manish-raole-1757b774/,AI/Machine Learning,survey/study/report,Image,Manish,Raole,Centene,Healthcare Payers,"Delivery Head - GenAI, AI/ML, Predictive Analytics, Intelligent Automation, BPM, DevOps, Cloud Native Applications",2024-07-01 17:04,https://www.linkedin.com/feed/update/urn:li:activity:7199382558705426433,https://media.licdn.com/dms/image/D5622AQEZzc5sneFlPg/feedshare-shrink_800/0/1716446202260?e=1722470400&v=beta&t=q17-y2YlD4VpkpBQXhJnZj8RLKpjuZvhcYgsAbe-iWE,,,,,70,4,0,1mo,,,,Manish Raole likes this,,,2024-05-23 12:16,,,,,,,,,Thursday,4:16 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/jennes-zhang/,"Thank you for highlighting my #AppliedAI class, Carnegie Mellon University - Integrated Innovation Institute! Students' endorsements are the best gifts to teachers. :)",https://www.linkedin.com/in/jennes-zhang/,AI/Machine Learning,"Personal/Public Pictures,infographic,company branded asset",Document,Jennes,Zhang,Archer Daniels Midland,Consumer & Industrial Products,Vice President Technology Operations,2024-07-01 16:31,https://www.linkedin.com/feed/update/urn:li:activity:7200356950318960640,,,,,,50,3,1,1mo,,,https://www.linkedin.com/feed/update/urn:li:activity:7199114311900774400/,Jennes Zhang likes this,,,2024-05-26 04:47,,,,,,,,,Sunday,8:47 AM,5/26/2024,,,,,,,,,
https://www.linkedin.com/in/fgpadilha/,"AI is not some sort of natural phenomenon that will just emerge and become dangerous.
*WE* design it and *WE* build it.

I can imagine thousands of scenarios where a turbojet goes terribly wrong.
Yet we managed to make turbojets insanely reliable before deploying them widely.

The question is similar for AI:
 ""do we think there exists at least one design of an AI system that is simultaneously safe/controllable, and can fulfill objectives in more intelligent ways than humans ?""
If the answer is yes, we'll be fine.
If the answer is no, we won't build it.
Right now, we don't even have a hint of a design of a human-level intelligent system.

So it's too early to worry about it.
And it's way too early to regulate it to prevent ""existential risk.""",https://www.linkedin.com/in/fgpadilha/,AI/Machine Learning,post,Text,Frederico,Padliha,Capital One,Banking,Head of Strategy for Enterprise Product and Experience,2024-07-01 15:48,https://www.linkedin.com/feed/update/urn:li:activity:7200983167560744961,,,,,,8140,628,411,1mo,,,,Frederico Padilha likes this,,,2024-05-27 22:16,,,,,,,,,Tuesday,2:16 AM,5/28/2024,,,,,,,,,
https://www.linkedin.com/in/fgpadilha/,"AI-powered Credit Cards?! (Concept)

Imagine an AI-powered credit card with augmented reality (AR) that displays your balance and other stats when you hold it close, visible only to you.

While this concept by Volodymyr Kurbatov isn't real yet, it would be amazing to have AR and AI technology integrated into our everyday financial tools. Such advancements are likely on the horizon, but privacy and security will be the main concerns to address before this becomes a reality.

Follow Endrit Restelica for more tech stuff.

#ai #tech #innovation",https://www.linkedin.com/in/fgpadilha/,AI/Machine Learning,video,Video (LinkedIn Source),Frederico,Padliha,Capital One,Banking,Head of Strategy for Enterprise Product and Experience,2024-07-01 15:48,https://www.linkedin.com/feed/update/urn:li:activity:7201439022206861312,https://media.licdn.com/dms/image/D4D05AQE88vB_0uy6Dg/videocover-high/0/1716896162016?e=1720454400&v=beta&t=3XUasGUs6wXYeHIZMRqEhkEFrgybwsS_efaRu5hUF-A,,,,,3323,232,437,1mo,,,,Frederico Padilha likes this,,,2024-05-29 04:27,,,,,,,,,Wednesday,8:27 AM,5/29/2024,,,,,,,,,
https://www.linkedin.com/in/robertalschwartz/,"This article is written by Dr. Jordan Dale, System Chief Medical Information Officer, about artificial intelligence in health care, some of our use cases, and our commitment to using AI safely and responsibly.",https://www.linkedin.com/in/robertalschwartz/,AI/Machine Learning,linkedin article/newsletter,Article,Roberta,Schwartz,Houston Methodist,Healthcare Providers,EVP and Chief Innovation Officer,2024-07-01 17:38,https://www.linkedin.com/feed/update/urn:li:activity:7201930364418732032,https://media.licdn.com/dms/image/D5612AQF6w04N4W7v0A/article-cover_image-shrink_423_752/0/1716902768909?e=1725494400&v=beta&t=jB-mRbfCzCnoH_uvXbkDEiEatYsYDZL6EepZQtT0hAA,,,,checked,208,10,17,1mo,,,https://www.linkedin.com/pulse/artificial-intelligence-hype-hope-health-care-roberta-schwartz-yl6jc?trackingId=QhvYnU%2F5zjvAiRTle%2F0n8A%3D%3D,Post,,,2024-05-30 13:00,,,,,,,,,Thursday,5:00 PM,5/30/2024,,,,,,,,,
https://www.linkedin.com/in/punitmahajan/,"Today, I had the privilege of meeting @Gita Gopinath, First Deputy Managing Director of #IMF, She is a trailblazing woman who has broken major barriers to achieve significant firsts in her field. Her insightful talk on preventing AI from exacerbating the next economic downturn was a highlight.

Equally compelling were other discussions on AI technology for humanitarian aid, regulatory frameworks for generative AI, TinyML, and an engaging conversation with Sam Altman on AI optimism.

“Positive Applications of AI can’t be separated from most harmful uses” - Tristan Harris

#aioptimist #aiforgood #day1",https://www.linkedin.com/in/punitmahajan/,AI/Machine Learning,Personal/Public Pictures,Image,Punit,Mahajan,Morgan Stanley,Banking,Head of Analytics,2024-07-01 16:09,https://www.linkedin.com/feed/update/urn:li:activity:7202318214012231681,https://media.licdn.com/dms/image/D4E22AQETttvX1LG5VQ/feedshare-shrink_800/0/1717107488799?e=1722470400&v=beta&t=DCFcjbqIT4_Zw0eje993Zb9MKFvrOzdwU7sGCe6j1mk,,,,,131,1,0,1mo,,,,Punit Mahajan loves this,,,2024-05-31 14:41,,,,,,,,,Friday,6:41 PM,5/31/2024,,,,,,,,,
https://www.linkedin.com/in/manish-raole-1757b774/,"I am pleased to announce the publication of my research scholar paper titled, ""Harnessing Multidimensional Insights and Advanced Machine Learning for Optimized Energy Efficiency: Revolutionizing Sustainable Systems through Predictive Optimization, Ensemble Learning, and IoT Integration for Enhanced Heating and Cooling Load Management.""  published in a Scopus-indexed journal. #researchpaper #research #thesis #phdstudent #students #phd #researcher #researchers #thesiswriting #phdlife #proofreading #phdjourney Nishant Anand",https://www.linkedin.com/in/manish-raole-1757b774/,AI/Machine Learning,survey/study/report,Image,Manish,Raole,Centene,Healthcare Payers,"Delivery Head - GenAI, AI/ML, Predictive Analytics, Intelligent Automation, BPM, DevOps, Cloud Native Applications",2024-07-01 17:04,https://www.linkedin.com/feed/update/urn:li:activity:7202839492913737728,https://media.licdn.com/dms/image/D5622AQEYC7kHFc1Bog/feedshare-shrink_800/0/1717251668338?e=1722470400&v=beta&t=s8UouqohtNFPlYYuOIQ9IYAfSsk0MOFyvZ6QdiZ59UM,,,,,73,6,0,1mo,,,,Manish Raole likes this,,,2024-06-02 01:12,,,,,,,,,Sunday,5:12 AM,6/2/2024,,,,,,,,,
https://www.linkedin.com/in/andrew-zitney-8137898/,Accelerate your AI/ML workflows with fast data access and elastically scalable data processing for Python and SQL.,https://www.linkedin.com/in/andrew-zitney-8137898/,AI/Machine Learning,article/blog/company website/press release,Article,Andrew,Zitney,State Street,Banking,"EVP, Chief Technology Officer",2024-07-01 16:19,https://www.linkedin.com/feed/update/urn:li:activity:7203217706316156928,,,,,,50,0,1,2yr,,,https://www.snowflake.com/en/abm/verticals/fsi/State-Street-Financial/?utm_source=lnkd-abm&utm_medium=ps-abm&utm_campaign=na-ms-f-s-vert-fs&utm_content=da11-37-ms-EN,Andrew Zitney likes this,,,2024-06-03 02:15,,,,,,,,,Monday,6:15 AM,6/3/2024,,,,,,,,,
https://www.linkedin.com/in/fgpadilha/,"🚀 Huge AI Investment Opportunity Closing on June 18th! 🚀

AI is about to massively disrupt every industry. The real opportunity lies not in LLMs, which will be commoditized and dominated by big tech, but in startups focused on vertical applications of AI.

Jurny exemplifies this perfectly. In my opinion, they are the best-positioned company to disrupt the $4.7 trillion hospitality industry, which is riddled with inefficiencies.

Their traction is off the charts 📈, and for a limited time, they are opening investment to customers and retail investors alongside top-tier venture capitalists. If you are considering an investment in AI, you won’t want to miss this chance. https://lnkd.in/gXNv8PYm
Jurny’s round closes on June 18.⏳




Disclaimer: This is a paid advertisement for Jurny’s Regulation CF offering. Please read the offering circular at https://lnkd.in/gHh_vkuV.",https://www.linkedin.com/in/fgpadilha/,AI/Machine Learning,video,Video (LinkedIn Source),Frederico,Padliha,Capital One,Banking,Head of Strategy for Enterprise Product and Experience,2024-07-01 15:48,https://www.linkedin.com/feed/update/urn:li:activity:7203586861578006528,https://media.licdn.com/dms/image/D5605AQHg3XIJRpZALg/feedshare-thumbnail_720_1280/0/1717422761920?e=1720454400&v=beta&t=8IJZCRo87J2dC6rV0bcsnlOH9mlq_hTem9h3wgrC-qM,,,,,486,32,30,4w,,,,Frederico Padilha likes this,,,2024-06-04 02:42,,,,,,,,,Tuesday,6:42 AM,6/4/2024,,,,,,,,,
