postContent,themes
Greatful for the WISL Lifetime Achievement Award nomination! There are so many amazing leaders in the Dallas community and nationwide working on encouraging women to pursue STEM careers. It has been a passion and a mission for many technology leaders including me. A lot has been accomplished yet there is even a lot more work ahead of us. hashtag#humana hashtag#leadership hashtag#womenleadership hashtag#womenintechnology hashtag#technology hashtag#healtcare hashtag#womenhelpingwomen hashtag#womeninhealthcare hashtag#womeninstem hashtag#WISL,Not AI or Machine Learning
I am so excited to share this update on a model we've designed to improve primary care which was just announced this morning! A huge shoutout to the ACO Primary Care Flex team!https://lnkd.in/exk58AjHhttps://lnkd.in/eSDTuk2r,Not AI or Machine Learning
"On December 29, I'll be leaving Optum to concentrate on my own company, Hayworth Ventures, building on my decades of experience in healthcare management, leadership, and entrepreneurship. I'm proud of the accomplishments made during the past three years of collaboration with many talented colleagues at United Health Group, grateful for my friendships there and excited for the work ahead. In early January my new office will open in Armonk, NY, concentrating on private-equity advising, corporate board service, and investment.",Not AI or Machine Learning
"A few weeks ago, I had a chance to address the Fall Board of Governors conference for the American College of Physicians on the topic of hashtag#artificialintelligence in Medicine.    As a bonus I caught up with ACP Board Chair-elect and University of Pennsylvania School of Medicine '94 classmate William Fox!!",Not AI or Machine Learning
"Transforming Business with (Gen)AI must be in the strategic agenda of every company. In this article, I am introducing the concept of $Billion Algorithms and How to Grow them as a way to accelerate value creation with AI, and offering tips on how to escape POC/MVP gravity to drive scale. 

Thanks to Freddy Bharucha who was the first president who called me on AI / algorithms back in 2016 in China. Harsh Kar who asked me about $Billion Algorithms during my speech at Nasscom. Isabelle Bousquette would be great to chat more about this. 

#BillionDollarAlgorithms #AI #BusinessTransformation #Digital #GenAI",AI or Machine Learning
"Thank you NYSE, Judy Khan Shaw, and Brian J. Baumann for this amazing opportunity to introduce Sancus Ventures and discuss #AIInnovations, #AIGoverance, and #CoParentingAI at #NYSEFloorTalk!

Carnegie Mellon University Carnegie Mellon University - Integrated Innovation Institute Carnegie Mellon University - Integrated Innovation Institute #StanfordWomenOnboards How Women Lead Benevolent AI Future SVLC (Silicon Valley Leadership Community)",AI or Machine Learning
Congrats to all the inventors!,Not AI or Machine Learning
"What an amazing week last week at Edison Electric Institute's 2024 conference.  It was the first time I attended this conference and will definitely be back!  Special thanks to Pedro Pizarro, Maria Pope, Calvin Butler, Dan R. Brouillette and the rest of the EEI Board for hosting Jensen Huang and me for a very thought-provoking lunch, followed by a great fireside chat between Pedro and Jensen discussing the future of Energy and the role #AI will play. 

So many great discussions with utility leaders and especially enjoyed my panel discussion with Hema Sundaram, Neva Espinoza, Maria Robinson hosted by Mary Sprayregen on AI: The Next Big Opportunity for Collaboration.  It was clear that utilities will benefit from open industry specific generative AI models that can be leveraged to help the entire industry move faster towards meeting our clean energy goals. 

AI is poised to revolutionize the utilities sector in numerous ways. By harnessing the power of AI, utilities can optimize grid management, enhance predictive maintenance, and improve demand forecasting. AI algorithms can analyze vast amounts of data in real-time, allowing for quicker decision-making and more efficient resource allocation. This leads to increased operational efficiency, reduced costs, and enhanced reliability of energy supply. Additionally, AI can facilitate the integration of renewable energy sources by predicting their availability and managing their intermittency, thus supporting the transition to a cleaner and more sustainable energy future.

Generative AI will play a crucial role in this transformation. Gen AI can create advanced predictive models and simulations, enabling utilities to better anticipate and prepare for various scenarios. It can also automate complex processes, reducing human error and freeing up resources for more strategic tasks. Furthermore, Gen AI can enhance customer engagement by providing personalized recommendations and solutions, thus improving customer satisfaction and loyalty. The potential of Gen AI in driving innovation and efficiency in the utilities sector is immense and will be a key factor in achieving our clean energy goals.

Was also excited to see the team from Deloitte and Utilidata announce a partnership to scale the Karmen distributed AI platform.   A software defined grid is a sustainable grid.  An open platform like Karmen allows for third party players to join in helping provide innovative applications that will reduce costs to rate payers while providing more resilient, reliable, secure and sustainable operations.

Portland General Electric/Southern California Edison (SCE)/Exelon/EPRI/U.S. Department of Energy (DOE)/NVIDIA/Jay Sungu/Ahsan Yousufzai/Dave Gibson/Shawntia McNeil , MBA/World Wide Technology/",AI or Machine Learning
Fascinating to see what can be done with ChatGPT in radiology workflows. I'm especially interested in the ability of ChatGPT to translate rad reports into basic language for patients. Link here if you want to go straight to the paper - https://lnkd.in/eshnxMrZ,AI or Machine Learning
"Join Our Corporate PMO Team at TCBrands!  TM  We're hiring a Program Manager in Carlsbad, CA! As a member of this dynamic team, you'll collaborate with a blend of strategic visionaries and execution experts, driving forward critical global initiatives for our portfolio of brands. Check out the job description for more information! #NowHiring #JobOpportunity #JoinUs",Not AI or Machine Learning
