PostContent,Theme
â€œBuffettâ€™s sparser schedule taught Gates an important lesson: â€˜You control your time ... Itâ€™s not a proxy of your seriousness that you fill every minute in your schedule.â€™â€ ðŸ‘ðŸ¼ðŸ‘ðŸ‘ðŸ¿ðŸ‘ðŸ¾ðŸ‘ðŸ½,MISC
Every single person on your executive team must help progress #sustainability by infusing it across their functions. Here are 4 key ways to find the right leaders for the job. #EarthDay #SustainableLeadership,Environmental Sustainability and Climate
"Trump is no Putin strongman, but he knows how to rule like one.",MISC
"Upskilling your team is more important than ever, especially with technology evolving at a much faster pace.
Thank you, Dan Tynan, for giving me the opportunity to share best practices for showing the bottom-line benefits of upskilling and how we are empowering our workforce here at Alteryx. Read the Forbes article to learn more. https://bit.ly/3Omh7uh",Workforce strategy
"Oscar is about a decade old now, so we have lots of observations on how the healthcare system runs, the role insurers play in it, how they can do better, and how ultimately insurers should probably not even exist as they do today. It's all written up in What Oscar Does: https://whatoscardoes.com/
It has 26 charts, 37 data points, various tables and a video - please check it out!",Health Insurance
"March is Womenâ€™s History Month, a celebration of the strength, resilience, and many accomplishments of women past and present. Iâ€™m so inspired by the incredible women in my life each and every day, especially all the amazing Women Of Cisco!
Yesterday, in honor of International Womenâ€™s Day, thousands of Cisco employees around the world gathered for the 10th annual Women of Impact event. Itâ€™s so powerful to see our people come together to discuss #allyship and what it means to be powered by #purpose, while also celebrating and empowering one another. #IWD2023",DEI
"In case you missed it, Co-founder Amin Ahmad recently joined The Data Exchange Podcast to talk the history of hashtag#NLP and hashtag#zeroshot neural retrieval systems, todayâ€™s cutting-edge hashtag#hybridsearch and custom LLMs, and what the future holds ðŸ’«
For anyone looking for a deep dive into the hashtag#GenAI technologies that are reshaping our world, this is a must listen â¬‡ï¸",MISC
BDO summarizes the Treasury Departmentâ€™s proposed regulations concerning some triangular reorganizations and inbound nonrecognition transactions. hashtag#TaxNews hashtag#TaxPros,Regulation/Legislation
"Itâ€™s great to be back at the Paris Air Show. A lot has changed since we were last here in 2019. Today, the commercial aerospace recovery is surging following the pandemic, and demand for our defense solutions continues to rise in the current geopolitical landscape. As our world continues to change, our realigned product and capabilities portfolio enables us to support our customers across the A&D industry.
To mark the progress we are making, we are evolving our brand from Raytheon Technologies to RTX, reinforcing the operational excellence we achieve as a unified organization with three leading franchises â€“ Collins Aerospace, Pratt & Whitney and Raytheon. Thanks to our 184,000 employees across the globe, we are solving our customersâ€™ most complex problems in pursuit of a safer, more connected world.",MISC
Hey FP&A peeps! An awesome role on Greenhouse's killer FP&A team has opened up. Come be a finance dork like me. Click on the link and apply!,MISC
Very proud of our strategic auto partnerships and how Qualcomm and #Snapdragon tech have quickly become preferred solutions for the #EV market.,MISC
"Create your legacy! That was the theme at our event celebrating #HispanicHeritageMonth. Every year, Pfizerâ€™s Latino Community Colleague Resource Group hosts a summit that brings together Pfizer colleagues from all over the world as well as professionals from different industries to celebrate their heritage, and share their stories and experiences as Latino professionals. Special thanks to my colleagues Mia Ortiz and Melissa Barreto for organizing this incredible event.
This yearâ€™s theme really got me thinking about what that wordâ€”â€œlegacyâ€â€”means. To me, legacy is about blazing a positive and hopefully transformative path that can inspire others to succeed. Pfizer has a legacy: We have a 175-year history of innovating for patientsâ€”from helping to pioneer large-scale penicillin manufacturing during World War II, to developing vaccines that have helped eradicate devastating diseases. Our legacy has changed the lives of billions of people.
Hispanic Heritage Month is a special time in the US that celebrates the historic independence of several Latin American countries. The many men and women who fought for their countriesâ€™ independence left a legacy that continues to inspire to this day. I hope to build a legacy as well, one that embodies the four values we hold dear at Pfizer: courage, excellence, equity, and joy.
What legacy do you want to create?
Activate to view larger image,",MISC
Lisa is a true professional. Can anyone in my network help?,MISC
"Itâ€™s time to stop thinking about #priorauthorization as a transaction.
Combining advanced tech with extensive clinical expertise sets the stage for transforming how payers manage authorizations. Cohere Health CEO, Siva Namasivayam, outlines five ways health plans can start driving intelligence into the process ðŸ’¡
#digitalhealth #healthcareinnovation",Health Insurance
Qualcomm has been included in TIMEâ€™s inaugural Worldâ€™s Best Companies list. #TeamQualcomm,MISC
"Climate change affects the average Americanâ€™s pockets in more ways than one. As noted by Jesse Bedayn for The Associated Press, nearly 30 million American households struggle to pay their energy bills and are forced to choose between enduring triple-digit indoor heat or other basic necessities. While millions qualify for utility assistance, less than 3% receive it.
https://lnkd.in/e9xy3q96",Environmental Sustainability and Climate
"With Data Privacy Day just a few days away, we think itâ€™s important to focus on all the ways security measures and privacy-enhancing technologies help keep personal data private and why security measures are so much more critical to protecting privacy than merely keeping data in a jurisdiction because regulators think that jurisdiction has stronger laws than another. https://cfl.re/3j4BHDD
#DataPrivacyDay",Data privacy and cybersecurity
"Today at MIT Media Lab, I shared a joke that introduces a section in the sci-fi tale Ready Player One. ""I'm not crazy about reality, but it's still the only place to get a decent meal.""
Hereâ€™s why I think this quote is timely. The #metaverse came to the gaming world 20 years ago. Two years ago, we saw the metaverse at the forefront of tech industry headlines.
We heard about all of the emerging consumer and IT applications. Now, #AI has taken center stage. The world is buzzing about the potential disruption these emerging and converging digital tools will bring.
But what I really see happening now with the metaverse is some refocusing. Thereâ€™s a realization that people arenâ€™t looking to escape reality; theyâ€™re looking for virtual environments and experiences that enable them to improve this real world we live in.
And this is a perspective that really energizes us as a focused technology company that combines the real and the digital worlds. We see this value proposition applying to market segment after market segment. And now weâ€™re embedding this strategy into what we call the #IndustrialMetaverse, which weâ€™re now working to advance with partners such as NVIDIA.
Think about everything we learned during the pandemic about the need for more resilient supply chains and more localized #manufacturing. The industrial metaverse will provide us with what we need: the ability to invent anywhere and to transmit our creativity everywhere.",Supply chain
"On this Veterans Day, we express our gratitude to all the veterans who have served our country. My thanks to April Arnzen for representing Micron yesterday alongside Brigadier General J. Cole Packwood. They were celebrating Micronâ€™s new collaboration in the U.S. Army's Partnership for Your Success program. As Micron expands our leading-edge memory manufacturing, it is critical we draw from the outstanding talent our countryâ€™s veterans offer. We are creating robust technical and professional pathway to semiconductor opportunities through partnerships and outreach via military installations, community colleges, universities and veteran service organizations. I'm proud that Micron has been recognized with the HIRE Vets Platinum Medallion Award from the U.S. Department of Labor for our efforts recruiting, employing, and retaining U.S. veterans. Today, I want to specifically thank the many veterans on Micron's team for the positive impact you have on our business results, our culture, and in our communities. hashtag#VeteransDay",MISC
"It's been a great week at Inflection AI, and an incredible year since founding the company last Spring.
Last week we launched Inflection-1, our in-house large language model that's the best in the world for its compute class, surpassing the best from OpenAI, Meta, and Google DeepMind. https://lnkd.in/g95G75Da
A few days ago we announced our partnership with NVIDIA and CoreWeave to build out the fastest performing AI training cluster in the world, as tested on the open source MLPerf benchmark.
Then, yesterday we announced our new funding round of $1.3B led by existing investors Microsoft, Reid Hoffman, Eric Schmidt and Bill Gates, joined by NVIDIA.
It's an amazing privilege to be working in technology at a time like this. It couldn't be a more exciting and creative time to be building. We've worked really hard to assemble an awesome team and we're having a lot of fun. Please consider joining us. We are hiring across all roles!
https://lnkd.in/gH4p2C6k",MISC
"We had an exciting afternoon celebrating Black heritage and Juneteenth at the NYSE. Our CFO, Mark Mason rang the Closing Bell alongside many senior Black leaders and colleagues at Citi, including Titi Cole, Johnbull Okpara, Harold E. Butler, Jr., and Erika Irish Brown (she/her), as well as some of our diverse financial institution partners and Black entrepreneurs from the Citi Impact Fund were in attendance.",MISC
"You know, Iâ€™ve been seeing a lot of confusion floating around the industry these days. Confusing claims, unclear buzzwords, and a lot of unanswered questions from customers and analysts alike. Such as:
â€¢ If something is called cloud security, does that mean it protects data everywhere?
â€¢ Don't most cloud providers protect your data for free?
â€¢ What good are data warranties, if you're still left without your data?
â€¢ And why is it that so many of our competitors are trying to confuse data protection with data security - when data security is just one piece of the puzzle?
Thatâ€™s why Iâ€™m asking everyone to Question it and check out our new campaign that does just that.",Data privacy and cybersecurity
