postContent,theme
Sumit Dutta recently spoke with Supply Chain Digital and shared several short-term cost reduction measures that organizations should consider as they look at ways to cut costs. https://lnkd.in/guTfQDMQ,Cost Reduction
"Trump is no Putin strongman, but he knows how to rule like one.",MISC
"Each year, @Business Group on Health forecasts Trends to Watch for the coming year that will impact employer-sponsored health, well-being and benefits. For 2024, rising health care costs, surging prescription drug pricing and the need for expanded access to mental health and substance use disorder services are among the trends. Find the complete list on our website: https://lnkd.in/guv-8XMi",Cost Reduction
"247 years ago today, the Declaration of Independence, the founding document of the United States, which underscored that people have guaranteed rights: rights to life, liberty, and the pursuit of happiness, was approved by the Continental Congress. On this 4th of July, we celebrate the vitality, creative energy, innovation, and strength of America. Wishing all my friends in America, Happy Independence Day Cognizant",MISC
On the amazing power of self-belief. A lesson in leadership.,MISC
"The EY team certainly made its presence known at the Milken Institute Conference this week. Listen below to a podcast from Bloomberg Businessweek that features Marna Ricker, Global Vice Chair "" Tax as she shares insights on the impact of major reforms to the global tax system and the role that AI plays in the profession.
https://lnkd.in/ef6FtyZC",Regulation/Legislation
"Personalized support for minority patients has been proven to reduce racial disparities in care, improve outcomes, and can provide meaningful education surrounding clinical trials.
This article gives a firsthand account of Mayo Clinic's patient navigators, who are helping minority cancer patients overcome common barriers in the health care system: https://bit.ly/4108UBi",Health outcomes
"Today is National Fentanyl Prevention and Awareness Day, a day to remember all who have been lost to this devastating epidemic and to increase awareness of this growing threat to all families. Fentanyl is now the #1 cause of death in the U.S. among adults younger than 45 years old. On June 1, this became more than a statistic to us when our 31-year-old son Connor died from fentanyl poisoning. Fentanyl is a synthetic opioid that is 50x stronger than heroin and 100x stronger than morphine. It is a legitimate pharmaceutical used as an anesthetic during surgery and as an analgesic for the treatment of breakthrough pain. However, because it is inexpensive to manufacture and highly addictive, Mexican drug cartels using Chinese supplied precursor chemicals are adding fentanyl to virtually all illicitly supplied drugs, including counterfeit prescription medicines. Sometimes users are aware they are taking fentanyl, but often they are not. Because of poor quality control, any one pill can include a lethal dose""thus the DEA's awareness campaign: ""One pill can kill.""
My son was recently married, had a successful career, was a leader of teams, with a large support group of loving family and friends, and he was a long-time sufferer of chronic pain stemming from sports injuries. He thought he was getting Oxycontin from someone he knew, but one of the pills was laced with a lethal dose of fentanyl that likely killed him instantly. Doctors, pilots, attorneys, teachers, teenagers, and others from all demographic and socioeconomic groups taking what they believe to be Vicodin, Percocet, Valium, Xanax, or Adderall. Dying from fentanyl poisoning.
There are no easy answers, and it will get worse before it gets better. The addictive power and profit motive too great. It is a war being waged against us that is costing billions of dollars and killing some of our best and brightest. The only control most of us have over an uncontrollable situation is to be prepared to save someone's life. Nalaxone (Narcan) is a cheap and now widely available drug that can be easily administered to someone in distress or dying from any opioid overdose "" including fentanyl. It's a cheap, easy-to-use, miracle antidote. But you have to have it within reach. 911 is too late. Naloxone will soon be available OTC. Put one in your car, office, or briefcase/purse. Or all three. Think of it as like an AED, except smaller, cheaper, easier, and more effective. And something you are more likely to use, statistically. You may think there is no need to have one, that you don't know anybody at risk, but neither did I.
Given the rapid growth in opioid deaths, there are two groups of people in the U.S. now""those who know someone who has died from an opioid overdose and those who will. You can potentially save someone's life by being prepared""buy them some time to figure it out, get the help they need. And maybe spare another parent the excruciating pain of losing a child.",MISC
"On April 1, the New York State Department of Health is due to ""carve out"" the pharmacy benefit from Medicaid managed care, shifting to a fee-for-service model purporting to increase savings through lower pharmacy costs. However, the proposed change will cause unnecessary harm to New York's most vulnerable populations, including those diagnosed with HIV, while failing to deliver the hoped-for-savings. This action will lead to massive confusion, gaps in medication access and adherence and fewer services and supports from the community-based safety net providers that serve them.
I joined Dr. Hany Abdelaal and Doug Wirth to share why New York State must keep Medicaid's pharmacy benefits. Read more in New York Daily News: https://lnkd.in/exdU42Y3
#MetroPlusHealth #VNS Health #Amida Care",Cost Reduction
"We're hiring! The Surdna Foundation is seeking a Program Officer for our Inclusive Economies Program. Join our exceptional team and help us fulfill our mission to advance social justice and racial equity in America's communities.
https://lnkd.in/e7Zxduuw
#hiring #philanthropy #socialjustice #racialequity #jobs #newyorkcity",MISC
"The shortlist for The Solution Provider of the Year Award has been released!YZYs Amr Awadallah, CEO and Co-Founder of Vectara , is one of the talents on the shortlist!
Amr Awadallah is a trailblazing serial entrepreneur, investor, and founder of three companies: Aptivia, Cloudera, and Vectara. Discover the full shortlist before casting your vote: http://spr.ly/6044uX8Q2",MISC
"Join Kroll Cyber Risk experts for a virtual briefing to discover how to maximize Microsoft E3/E5 Security Solutions and minimize costly pitfalls. Register here: http://ms.spr.ly/6042gz3mw
#Cybersecurity #MicrosoftSecurity",Cost Reduction
"Happy National Pet Day! Today, we're giving Simba and Charlie some extra hugs (and treats) to celebrate the incredible joy they have brought to our family over the past few years. We simply couldn't imagine our lives without them!",MISC
