Post Content,Themes,Thought Leadership?
"Rolling out v1 of an AI ICP (Ideal Customer Profile) builder soon. Here's how it works:1. Users input up to 250 URLs of their top customers and prospects.2. Each URL is enhanced with data...think firmographics, tech used, etc.3. AI highlights commonalities across your best customers4. User receives ICP report (in <1 hour) ICP report includes an Ideal Customer Profile summary, filters to use to find ideal prospects, count of prospects in your ICP, analysis of your best customers, & enhanced data CSV.Interested in beta testing? I'd love to get your feedback along the way.Feel free to message, email, or comment and I'll set up a trial for you.hashtag#idealcustomerprofile hashtag#ai","AI/Machine Learning,Customer centricity,Human-centered design,Product Development,Digital transformation",checked
"Angela Snyder, our Chief Banking Officer, discusses how Fulton Bank is using the latest trends in the banking industry to serve our customers better. Read her thoughts on technology, AI, and interest rates in her conversation with Lehigh Valley Business: https://lnkd.in/gfxMztYq","AI/Machine Learning,Customer centricity",checked
"Walmart Health continued its growth in 2023 with the opening of three more health centers in the Tampa, FL market this week! Our commitment to comprehensive primary care - medical, dental, and behavioral health - offered conveniently in modern facilities remains steadfast! Add collocated pharmacy, vision, OTC, and access to healthy food and the experience for patients is unique! Many thanks to our operations teams, providers, and center staff for your hard work to get us there! hashtag#walmarthealth hashtag#primarycare hashtag#dentalcare hashtag#behavioralhealth hashtag#communityhealth","Company Updates/News,Product Development,Customer centricity",
"Stepping onto the stage as the keynote speaker to discuss the future of banking at this yearâ€™s MoneyLIVE North America has been one of the highlights of my summer. We have a lot to be proud of at M&T Bank, and I was eager and honored to share what it means to cultivate a culture of customer-centricity and truly be embedded within our communities.",Customer centricity,
"The future of health will require coding, coverage, and payment that supports digitally enabled care. Discover the results of the American Medical Association's collaboration with Manatt Health, where we examined commercial payer coverage of #digitalhealth #CPT codes and some key trends we're seeing in the space.

📢 Spoiler alert - we need more consistency and transparency to support physicians and patients in using and accessing digitally enabled care at scale! Read more here: https://lnkd.in/gzm7pJda 

Laura Fritsche, MHA Meg Barron Carol Vargo Jared Augenstein Allie (Levy) Chafetz Amanda Azadian","Digital transformation,Customer centricity",
"I was pleased today to be able to witness Fermata Energy launch a vehicle-to-grid (hashtag#V2G) pilot program at CSNDCâ€™s Girls Latin Apartments, an affordable housing complex in Dorchester, Massachusetts. This program is the first of its kind in the nation, targeting multifamily and lower income communities as it aims to lower the costs of electric vehicles for drivers, and eliminate the costs for affordable housing developments to host charging infrastructure. Eversource Energy is proud to have partnered with Fermata to make this project possible through our Connected Solutions Demand Response program. As we work towards a hashtag#cleanenergy future, it is essential that we do not leave behind the communities that are often most impacted by the effects of pollution. Learn more here: https://bit.ly/45Wwiln hashtag#energyefficiency hashtag#electrification hashtag#EV","Product Development,Innovation,Customer centricity",
"I was pleased today to be able to witness Fermata Energy launch a vehicle-to-grid (#V2G) pilot program at CSNDC’s Girls Latin Apartments, an affordable housing complex in Dorchester, Massachusetts. This program is the first of its kind in the nation, targeting multifamily and lower income communities as it aims to lower the costs of electric vehicles for drivers, and eliminate the costs for affordable housing developments to host charging infrastructure. 

Eversource Energy is proud to have partnered with Fermata to make this project possible through our Connected Solutions Demand Response program. As we work towards a #cleanenergy future, it is essential that we do not leave behind the communities that are often most impacted by the effects of pollution. Learn more here: https://bit.ly/45Wwiln 

#energyefficiency #electrification #EV","Company Updates/News,Customer centricity",
"Composable commerce, characterized by modularity, agility, and a focus on the consumer, is central to Whirlpool's strategy for success. Last month, we sat down with Whirlpool's global data, technology & transformation officer, Murat Genc and VTEX ’s founder and co-CEO, Mariano Gomide de Faria - CMX to discuss what these strategies look like in action. 

If you missed out, catch up or scan the transcript here: https://lnkd.in/gEdA-mjt

Amazon Web Services (AWS) 


#composablecommerce #cpg #consumergoodstech #webinars","Customer centricity,Innovation,Product Development",checked
"hashtag#PfizerProud of our commitment to return individual data to clinical trial participants through our new Participant Data Return initiative.  Through this program we are enabling and scaling an end of trial individual participant data return solution that is meaningful and contextualized while simultaneously respecting the scientific integrity of the trial. Pfizer has been building toward this moment for almost a decade, centering the patient from the beginning.  Returning individual participant data is another critical step toward improving the clinical trial experience, building trust with participants, and advancing health information equity. hashtag#PatientCentricity hashtag#PFEColleague","Product Development,Customer centricity,Innovation",
"In the world of rare disease research, innovative development with real-world solutions is key. Are you incorporating the latest patient-centric study design strategies into your rare disease research? Download our comprehensive white paper to learn about optimizing RWD for patient identification, recruitment and retention along with using RWE to demonstrate value in regulatory decision-making: https://hubs.ly/Q023yDht0hashtag#PatientsFirst hashtag#RWE hashtag#RealWorldEvidence hashtag#RWD hashtag#RareDisase hashtag#RareDiseaseStudy",Customer centricity,checked
