postContent,themes
Thanks to Talking HealthTech for inviting me for a short interview at Australian Healthcare Week. It was great to be able to share some of my experiences at Cleveland Clinic London during my panel session.,Not Customer Centricity
YY34,Not Customer Centricity
"We understand the difficulty that some communities face when it comes to accessing information about #energyefficiency and getting the support they need to implement changes. That is why we have launched Round 2 of the Community Partnership Initiative, which is helping to provide more opportunities for residents and businesses to access our programs and lower their energy bills.
 
With Eversource Energy awarding the majority of the grants for Round 2 funding of the Partnership, we are extremely proud of our community partners and project teams for driving deeper engagement with Energize Connecticut programs for disadvantaged customers. As I share in a recent interview with The Hartford Courant, Round 2 specifically targeted #environmentaljustice communities to ensure that they are included in our larger efforts towards #decarbonization, and our project teams are currently working toward a 10 percent increase in enrollment with the programs they have chosen to promote.
 
Subscribers to the Courant can read the article in full, and learn more about our recent work with Connecticut communities through the Community Partnership Initiative.",Customer Centricity
"Vulnerable post 

I was having a blah kinda week. You know one of those weeks where you feel like you're running in a hamster wheel. Well my phenomenal staff at our Collins-Westside location decided to love on me today to show their appreciation during a pivotal time for us all, and ya'll they made me cry. 

A good cry though, one of gratitude. 
As a leader you don't always get it right, but every great leader surrounds themselves with great people, leads with good intentions, cultivates genuine relationships, and stays humble enough to pivot for the greater good. 

This Collins-Westside team, Ebony N. S. and I opened the 1st Walmart Health in the State of Florida, and Suzette Quaintance took the reigns and carried on our reputation of being the ""A"" Team, and boy do I love this team. This was just a handfull of them today, as we are winding down our operations across the enterprise. 

As we approach our final month of delivering care to our communities, what I will miss the most at Walmart Health, are the people. These people believed in our mission, they lived it, they executed it, and they did an amazing job! 

If I could sum up my Walmart Health experience in one word, it would simply be ""PROUD"". 

PROUD of our people
PROUD of our work
PROUD of our imprint
PROUD of our impact
PROUD of the seeds we have planted, that we hope to see grow. 

PROUD, is honestly an understatement, but... it will do for now. 


Grateful, Thankful, and Blessed. ",Not Customer Centricity
Information IS a SDOH. #socialdriversofhealth #SDOH,Customer Centricity
"Making an impact where it matters.  Atlanta Gas Light has partnered with the amazing team at GoodrCo. to address food insecurities in our communites.Yesterday, Customer Experience and Field Operations leaders partnered up with GoodrCo. and the Clayton County Community Services Authority to provide the residents with a pop up grocery store! Atlanta Gas Light is more than a natural gas company, we are engrained in the communities we serve and strive to be a catalyst for positive change and opportunity.Together, we are taking a giant leap towards making a positive impact on the lives of families in the communities we serve. Great event, we served over 200 families! #GoodrCo #AtlantaGasLight",Customer Centricity
I had a chance to be a guest lecturer today at the University of Cincinnati in Seokki Lee's Advanced Database Management graduate class.  I enjoyed being able to share Fifth Third Bank's data journey with the class while tying it to their current curriculum.  Great attendance and engagement from the students as well! hashtag#fifththirdbank,Not Customer Centricity
"Day one of HLTH Europe was insightful and engaging! From ONWARD Medical showcasing how #AI is transforming lives to Karen DeSalvo shedding light on Google's digital health advancements, the event was packed with #innovation.

I had the opportunity to join Times Radio's Chloe Tilley on the main stage to delve into the key aspects of improving integrated care, affordability, and access through innovation, technology, and collaborative efforts across the health care ecosystem.

I am excited for what Day Two of HLTH Europe holds! Can I sneak my cardboard cutout home with me? 

UnitedHealth Group
Optum
#HLTH #HLTHEurope #technology",Customer Centricity
"Last week, we had the opportunity to share our stories with local students through BestPreps e-mentor program. This was such an easy way to give back to the community and put Huntington National Banks Welcome into action. The smiles say it all!",Not Customer Centricity
"The countdown is on for the Round of 32 reveal, launching next Thursday! To catch a sneak peak of the action, be sure to watch the 2024 trailer below in case you missed it last week.  To meet the trends and learn more about each region in this year's tournament, check out our video playlist here: https://lnkd.in/eDNS8pnc In the meantime, don't forget to submit your bracket selections by midnight ET on March  13. Winners will be announced on April 8 and will receive a special prize!  To win, you must follow rule of three  on LinkedIn.  Ready to take on the challenge and secure your spot in the winner's circle? Submit your bracket selections here: https://lnkd.in/ecAje7BC Anisha Sood David Carmouche, MD Eric Gallagher Leah Binderhashtag#ro3llc hashtag#MHC24 hashtag#MarchHealthcareClassic hashtag#Healthcare hashtag#Trends",Not Customer Centricity
"For over 20 years, Mirada Medical has delivered cutting edge technology to the market.  Mirada goes beyond simple detection, because our customers, radiologists, are asked for more than simple detection.  Radiologists must communicate their findings to treating physicians.  Mirada goes the extra mile by not only helping radiologists find the disease, we also help radiologists communicate the findings through annotations that mirror clinical practice.

That depth of industry expertise is what sets Mirada apart. Julien Willaime and Georgia Ionescu, PhD and the rest of our team continues to push the boundary for our customers.",Customer Centricity
Exceptional leader with extensive health operations experience. Margaret Downs should be top of any healthcare organizations list to hire.,Not Customer Centricity
"As Principal Financial Group evolves to make financial security more accessible, I'm often asked how I've seen my role as CFO shift. Thanks to Katie Kuehner-Hebert and StrategicCFO360 for the opportunity to reflect on my tenure at Principal and how we've continued to drive growth in an environment that's always changing.  The diverse opportunities I've hadfrom starting out as an actuary to leading a business unithave shaped my approach in prioritizing customer-centric strategies and data-driven decision making. I'm excited about the path we're on at Principal and am eager to continue forging ahead.",Customer Centricity
"Do your employees connect with your company's purpose? Maybe, maybe not. According to a recent MIT Sloan study, 72 percent of people want to work for an organization with a purpose they believe in. At Schneider Electric, the number one engagement factor I have and hear from my team members and colleagues is their connection to our purpose, #lifeison. https://lnkd.in/etiU6KJC

And yet, sometimes, it can be hard to understand how your day-to-day job is contributing to the greater cause. As leaders, it's our responsibility to help our employees make that connection and embrace it at a personal level. 

But how do we do that? Here are a few suggestions on how to create a passionate and purposeful team: 

1) Offer Connections: Create a space for safe and open dialogue -- ask how they feel they are contributing to the company's purpose. And if they are struggling to see the connection, offer your own thoughts on how their work is helping to serve the greater good. 

2) Encourage Involvement: Recognize that everyone has their own passions. Provide time and support for employees to participate in employee resource and special interest groups, as well as company-sponsored volunteering and charitable initiatives. Doing so gives employees a greater sense of personal connection to the company, and offers them an opportunity to learn and grow as humans  something thats good for them and good for your business!

3) Celebrate Impact: Acknowledge and celebrate the contributions employees make to your purpose, small or large. Every action counts. And recognizing individuals fosters a people-first work culture, where employees feel valued, seen, and heard.

When individuals and corporations find common ground in purpose, the impact is profound. Let's be leaders who champion this connection. 

How are you fostering the power of purpose in your teams?

#PowerofPurpose #Leadership #EmployeeEngagement #SocialImpact #lifeison",Not Customer Centricity
"On this Memorial Day, we remember the brave men and women who made the ultimate sacrifice for our country.  Let us take a moment to reflect on their service and express our deepest gratitude.",Not Customer Centricity
"An investor once asked me what are the main reasons a bank decides to buy a new core banking system to transformis new features, lower cost, or greater agilityMy response surprised him - clearly a lot. Banks only buy a core banking system when they have absolutely no alternative. Buying a new core for a transformation is like having a heart transplant. You simply don't do it unless you're going to die otherwise. No one goes down the shops and peruses the latest models of  hearts' because they fancy the latest model, or want to run a marathon a couple minutes faster. We need to be honest and acknowledge that some purchases are not driven by benefit, but by necessity. In those cases sales and marketing can't create need, they can only service it and prove their solution superior when it arises. Only when we truly accept the reason behind why people buy things, can we serve that need effectively and generate positive outcomes.Agree?",Customer Centricity
"Talent is becoming the key value driver in PE. We had an amazing panel on how human capital is impacting value realization throughout the deal lifecycle. Thank you to wonderful panelists and close friends Karina Sobieski (Advent International), Kate Migliaro (Searchlight Capital Partners), John Knapp (Berkshire Partners) and Courtney Hagen (Littlejohn & Co) for sharing rich insights, best practices, and learnings from across your firms on talent programs, approach to diligence, org assessments, getting right people in the right roles, building alignments with executive teams, role of chair, watchouts, and overall practices.The dynamic conversation punctuated many of the recurring themes echoed in keynotes and other sessions over the last few days. Given the economic uncertainty and deal environment "" moving on talent and org health is becoming essential in accelerating value creation. We had so much fun, and many follow-on conversations with overflowing room attendees, however "" special shoutout to Kate - as your quotes are legendary. Entromy hashtag#PEIOP hashtag#HumanCapital hashtag#ValueCreation hashtag#PE",Not Customer Centricity
"This week at Regions Bank was Frontline First, and the entire company joined in celebrating the thousands of branch associates who impact the lives of our customers every day.  As I get to know my teammates, I'm blown away by their enthusiasm for providing the kind of personalized guidance and care that helps put every individual and business they touch on a path to financial confidence and well-being. The #LifeGreenTeam has a special culture with amazing professionals!Thank you, team for all you do every day. Proud to work with you!",Customer Centricity
"Today, we announced a significant expansion of our HIV screening services since debuting them at two pharmacies in Virginia late last year. Were adding 10 additional HIV screening locations across Virginia and eight in Colorado, bringing our total number of HIV point-of-care screening locations to 20. According to the CDC, 13 percent of people in Virginia with HIV, and 13 percent of people in Colorado with HIV, are unaware of their status. Its our hope that this expansion will increase access, reduce stigma and connect people to care in ways they havent been before. Each screening location features highly trained pharmacists who are uniquely positioned to support those who need it. We look forward to this continued journey of improving health outcomes for all.",Customer Centricity
"Bank of America is the bank of choice for nearly 14 million Hispanic-Latino clients and businesses. That privilege comes with a responsibility to ensure that our products and services are inclusive and accessible to everyone.  In recent years, we've added Spanish as a language option on the Better Money Habits site, invested in the long-term success of our Hispanic-Latino teammates whose expertise and skills make our company stronger, and made Spanish-language capabilities available at over 2,000 financial centers.",Not Customer Centricity
"My fourth time ""ringing the bell"" at the New York Stock Exchange, a couple of them in uniform.  Always a thrill. I'm the little tiny guy on the left. I look taller in person.",Not Customer Centricity
"If done right, AI has the potential to enhance, enable and liberate creativity. Today my colleagues at Google DeepMind and YouTube announced Lyria, our most advanced music generation model to date. This project illustrates two important points about how we can maximize the benefits of AI. First, the best and strongest uses of AI will come through collaboration. And second, we're just beginning to see the potential of AI to assist with our most ambitious, imaginative and creative endeavors. And just as important: We're also taking measures to do this responsibly and have been working on that for a while, from working closely with creators, to including watermarking all Lyria-generated audio with SynthID technology. Much more to come. For now, congrats to my colleagues at Google DeepMind, YouTube and many others across Google (incl. Demis Hassabis,Neal Mohan, Lyor Cohen, Vivien Lewit, Tom Hume, Eli Collins, Jesse Engel, Rushil Mistry, Douglas Eck, Christopher R., Dr. Arathi Sethumadhavan, Mahlet S., Mira Lane and so many others)https://lnkd.in/g6eeRxPD",Customer Centricity
Looking forward to talking about how brands are redefining the role of loyalty programs at this upcoming #BISummit. Moving beyond points programs that primarily incentivize a brand's best buyers - to truly enabling cross-portfolio lifetime value. Plan to discuss how loyalty as part of a digital consumer experience ecosystem doesn't compete with a brand's penetration goals - it can actually be an enabler! #digitalmarketing,Customer Centricity
"It's Customer Service Appreciation Week! In celebration, we're putting the spotlight on our amazing Customer Service team. We asked each of them what they love most about interacting with our customers. See below to read their answers!",Not Customer Centricity
Learn more about Logitechs Q4 and full Fiscal Year 2024 results in our shareholder letter. https://lnkd.in/gfMUJTfu,Not Customer Centricity
"What an amazing week in the French countryside with L'OrAal Mastering ECcommerce Excellence. We ate, we laughed, worked and learned. A special thanks to my Challenge Team!!! Matt Steiner Kenny Ng Maryann Adamec Oliver Rogers and Jenni Johanna Toft",Not Customer Centricity
The launch of Brand Pulse is a testament to Smartly's collective innovation and commitment to solving for brands' biggest pain points and dedication to moving the advertising industry forward. And this is just the beginning.,Customer Centricity
"Great day with CS Week and our Lead Next team spending the day at Jacksonville Electric Authority .  Sheila Pressley, Chief Customer Officer shared her personal career journey with our group.",Not Customer Centricity
"We wrapped up our banking conversion with the release of our awesome new national brand. 

Welcome to Flagstar. Were so glad to have you with us!",Not Customer Centricity
"I love and celebrate that groups are continuing to explore this topic of what a healthy lifestyle actually looks like. It's SO important to have a healthy balance in order to thrive! It absolutely takes time and discipline to hone these skills and put them into practice regularly, both in and out of work. How does your ""health"" look?! hashtag#brainpower hashtag#practicemakesperfect hashtag#balancedlifestyle",Not Customer Centricity
"We are proud to announce that Optum President, Heather Cianfrocco, has been recognized as one of Fortune's Most Powerful Women in Business for 2023. Congratulations, Heather! YYTM hashtag#TeamUnited",Not Customer Centricity
"Next up in the American Medical Association's Future of Health series is a case study on Ochsner Health's Connected MOM Program, a digitally-enabled obstetric program designed to improve maternal health outcomes in Louisiana and Mississippi.Stacy Lloyd, Laura Fritsche, MHA, Julie Henry, David Houghton, Allie (Levy) Chafetz, Aharisi Bonner, MPH",Customer Centricity
"Im not a publicist, but today Im pretending I am.  Im super proud of the work my husband, Marc Kermisch, has done and continues to do bringing innovation to help his customers transform how they do their work.",Customer Centricity
"Since our founding in 2012, the security of our customers data has been our highest priority. Thats why the recent cyber security threat targeting some of our customers has been unsettling, especially given that we, and cybersecurity experts Mandiant (part of Google Cloud) and CrowdStrike, have found no evidence to suggest that unauthorized access to Snowflake customer accounts stemmed from a breach of Snowflake's enterprise environment.

Mandiant released their investigative report on the threat on June 10th confirming our preliminary findings that we had begun sharing with our customers on May 24th.

Key Mandiant findings include:

 Every incident Mandiant responded to associated with this campaign was traced back to compromised customer credentials.
 The impacted accounts were not configured with multi-factor authentication enabled, meaning successful authentication only required a valid username and password.
 Credentials identified in infostealer malware output were still valid, in some cases years after they were stolen, and had not been rotated or updated.
 The impacted Snowflake customer instances did not have network allow lists in place to only allow access from trusted locations.

We operate under a shared responsibility security model with our customers  with them having the responsibility to follow best practices when configuring networks and enforcing secure authentication methods for access to their systems  and now we plan to strengthen this model by requiring more stringent protections.

In the coming weeks, we will be providing a feature for administrators of Snowflake accounts to make multi-factor authentication (MFA) mandatory for all users; ultimately moving to MFA by default. While we target to roll out the enhanced authentication policies by the end of June, we are going to do this in a controlled and staged way alongside close communication and enablement. By doing so, well not only be helping our customers better protect themselves, but well also be leading the industry to what we believe will become an industry standard.

We are also accelerating in-product capabilities, such as our Trust Center. This new active audit and monitoring capability is expected to be generally available by the end of June, with additional transparency specifically around MFA and network policies.

This is in addition to other actions weve already taken, like locking customer accounts where we saw cyber threat activity, working closely with affected customers to help them better protect themselves, and communicating with all of our customers to harden their security measures.

You have our commitment that the security of your data will always be our highest priority.",Customer Centricity
