profileUrl,postContent,Linked Record Field,Themes,Content Format,type,First Name (from Linked Record Field),Last Name (from Linked Record Field),Company (from Linked Record Field),Industry (from Linked Record Field),Title (from Linked Record Field),timestamp,postUrl,imgUrl,Created/Cultivated/Curated,error,Subthemes,Thought Leadership?,likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,Weekday,Time of Post,Date of Post,Day of the Week,3/24-4/23?,Posts vs Engagements,Hour of Post,Month of Post,4/23-5/23?,documentTitle,documentPageCount,thought leadership
https://www.linkedin.com/in/anilbhatt/,"We are incredibly proud to share that our Chief Product & Technology Officer, Gene German, has authored a groundbreaking article featured in Chief Healthcare Executive.

Gene’s article dives deep into the pivotal role of AI and prepayment #claims editing in revolutionizing payment accuracy and creating significant value for health plans.

💡 Key Takeaways:

🔹 AI’s Transformative Power: The integration of AI and predictive analytics is crucial for enhancing payment accuracy and reducing administrative costs.

🔹 Data-Driven Healthcare: As healthcare generates 30% of the world’s data, AI’s potential to harness this data for transformative solutions is immense.

🔹 Addressing Payment Challenges: Innovative AI tools are essential for tackling rising healthcare costs, administrative waste, and fraud.

🔹 Collaborative Innovation: Effective solutions arise from deep industry expertise and genuine partnerships, addressing specific challenges such as state Medicaid compliance and genetic testing claims.

Gene’s perspective underscores a critical shift in healthcare payment integrity towards prepay solutions, enabled by AI. This approach minimizes the need for costly post-payment interventions and fosters better payer-provider relationships.

As we navigate this dynamic landscape, it’s essential for industry leaders to embrace AI-driven solutions that not only improve efficiency but also enhance care quality.

The future of payment integrity will be defined by collaboration, innovation, and the strategic use of advanced technologies.

#HealthcareInnovation #PaymentIntegrity #healthplans",https://www.linkedin.com/in/anilbhatt/,Data and Analytics,news article,Article,Anil,Bhatt,Elevance Health,Healthcare Payers,"SVP, Global Chief Information Officer",2024-07-01 17:12,https://www.linkedin.com/feed/update/urn:li:activity:7201577809616543745,,,,,checked,44,2,0,1mo,,,https://www.chiefhealthcareexecutive.com/view/a-blueprint-for-the-next-era-in-healthcare-payment-integrity-viewpoint,Anil Bhatt likes this,,,2024-05-29 13:39,,,,,,,,,Wednesday,5:39 PM,5/29/2024,,,,,,,,,
https://www.linkedin.com/in/harikodakalla/,"I am thrilled to share that I'll be speaking at the Snowflake Data Summit 24 next week.
Join me as I dive into how J.P. Morgan Payments Commerce Platform is leveraging the data platform built on Snowflake to power reporting APIs & merchant insights, explore how we can leverage data to drive innovation and transform businesses. Looking forward to engaging discussions and connecting with fellow data enthusiasts.

https://lnkd.in/gr8kGshh",https://www.linkedin.com/in/harikodakalla/,Data and Analytics,webinar/webcast/event,Article,Hari,Kodakalla,Frost Bank,Banking,Head of Data & Analytics,2024-07-01 15:59,https://www.linkedin.com/feed/update/urn:li:activity:7202125704161878016,,,,,,233,8,4,1mo,,,https://reg.summit.snowflake.com/flow/snowflake/summit24/sessions/page/catalog/session/1711052598842001ocCE,Hari Kodakalla celebrates this,,,2024-05-31 01:56,,,,,,,,,Friday,5:56 AM,5/31/2024,,,,,,,,,
https://www.linkedin.com/in/punitmahajan/,"We just concluded the 3rd Edition of the Data Engineering Summit. With over 1000 attendees and more demand than we could accommodate, we had to close registration early.

Three years ago, when we started, we never imagined DES would become one of our most prominent events. This success reflects the strength of India's data engineering ecosystem. Thanks for pushing us towards this Sreekanth Menon

Also, Thanks to all the speakers, attendees, sponsors, and the dedicated AIM team for making it possible.

#DES2024

Aman Gupta

Srikanth Velamakanni
Fractal

Marshall Goldsmith

Elaina Shekhter
EPAM Systems

Jaydeep Deshpande (JD)
Pavan Nanjundaiah
Tredence Inc.

Prasenjit Ghosh
Genpact
Amrish Kumar Jain

Acryl Data
Parmjeet Kaur (She/her) Publicis Sapient Puneet Pandhi
Manish Gupta
Tiger Analytics

Rahul Prakash
AB InBev

Chiranjeev Singh Sabharwal
Axtria - Ingenious Insights

Saikiran Thunuguntla
Intuit


Reshma Mote
MathCo

Deepan Ignaatious
DoubleCloud

Sarita Priyadarshini
Snowflake

Santosh Hegde
Couchbase",https://www.linkedin.com/in/punitmahajan/,Data and Analytics,"Personal/Public Pictures,webinar/webcast/event",Image,Punit,Mahajan,Morgan Stanley,Banking,Head of Analytics,2024-07-01 16:09,https://www.linkedin.com/feed/update/urn:li:activity:7203699583275651072,https://media.licdn.com/dms/image/D5622AQEn9pe5HM-ecw/feedshare-shrink_800/0/1717219658414?e=1722470400&v=beta&t=t9UymmAcX2NCfvcupzls-Lt5Tx5-B-FHwsBEmAkq14Q,,,,,362,11,6,1mo,,,,Punit Mahajan likes this,,,2024-06-04 10:10,,,,,,,,,Tuesday,2:10 PM,6/4/2024,,,,,,,,,
https://www.linkedin.com/in/ben-rottinghaus/,"I'm excited to present at the Data and AI Summit 2024 in San Francisco next week!

Come check out our session on how to use Delta Sharing to stream data!

https://lnkd.in/eeiyK7ek.

Co-presented by Matthew Slack!",https://www.linkedin.com/in/ben-rottinghaus/,Data and Analytics,webinar/webcast/event,Article,Ben,Rottinghouse,FifthThird,Banking,"SVP, Senior Director of Data Management & Engineering",2024-07-01 15:57,https://www.linkedin.com/feed/update/urn:li:activity:7203870278177759232,,,,,,101,0,2,3w,,,https://www.databricks.com/dataaisummit/session/how-use-delta-sharing-streaming-data-repeat,Ben Rottinghaus celebrates this,,,2024-06-04 21:28,,,,,,,,,Wednesday,1:28 AM,6/5/2024,,,,,,,,,
https://www.linkedin.com/in/ben-rottinghaus/,"Had a great session at #SnowflakeSummit today, sharing about Fifth Third Bank’s data modernization. Thanks Aabid Abbasi for facilitating! #data #FifthThirdBank",https://www.linkedin.com/in/ben-rottinghaus/,Data and Analytics,webinar/webcast/event,Image,Ben,Rottinghouse,FifthThird,Banking,"SVP, Senior Director of Data Management & Engineering",2024-07-01 15:56,https://www.linkedin.com/feed/update/urn:li:activity:7203858481701953536,https://media.licdn.com/dms/image/D5622AQFX4h5DdEOyXg/feedshare-shrink_800/0/1717533688535?e=1722470400&v=beta&t=XUKDpo_uqc-iZ1v3D6ycfnk9iKBqebSWu7bO3RApx08,,,,,112,0,1,3w,,,,Post,,,2024-06-04 20:41,,,,,,,,,Wednesday,12:41 AM,6/5/2024,,,,,,,,,
https://www.linkedin.com/in/manish-raole-1757b774/,"I recently sat down with ThoughtSpot’s Cindi Howson for #TheDataChief Podcast.

With my experience as the first Chief Data and Artificial Intelligence Officer of the U.S. Coast Guard I discussed how we leverage data and AI to enhance operations and keep the U.S. safe, why data is really commander’s business, AI ethics, and the U.S. Coast Guard Navigation Center (NAVCEN) work using #geospatial #data layers responding to the Francis Scott Key Bridge alision.

I was always a fan of #TheDataChief Podcast and who wouldn’t be when you can listen to legends like Sol Rashidi Randy Bean Douglas Laney Cindi Howson. It was a great honor to spend some time with Cindi and the team.

https://bit.ly/4bLoRQL",https://www.linkedin.com/in/manish-raole-1757b774/,Data and Analytics,"infographic,company branded asset,podcast",Image,Manish,Raole,Centene,Healthcare Payers,"Delivery Head - GenAI, AI/ML, Predictive Analytics, Intelligent Automation, BPM, DevOps, Cloud Native Applications",2024-07-01 17:04,https://www.linkedin.com/feed/update/urn:li:activity:7204275019244335104,https://media.licdn.com/dms/image/D4E22AQHejq4upNws7A/feedshare-shrink_800/0/1719049257777?e=1722470400&v=beta&t=ohDDZy_h52FBXDOcVlZlVLs0ZMkLQMPbTNhPnprhJw4,,,,checked,57,5,1,3w,,,https://www.linkedin.com/feed/update/urn:li:activity:7204125794804101120/,Manish Raole likes this,,,2024-06-06 00:16,,,,,,,,,Thursday,4:16 AM,6/6/2024,,,,,,,,,
https://www.linkedin.com/in/katyaandresen/,"It’s critical that we pair advancements in predicting health outcomes with innovation in influencing healthy behaviors. I can’t think of a more important context for getting the right message to the right person at the right time. This is the kind of challenge at the heart of the Morrison Center’s charter, and why it is close to my own heart. Data-informed marketing provides a powerful way to advance better health and vitality in more personalized and equitable ways.  I'm thrilled to have joined the UCLA Anderson Morrison Center advisory board.",https://www.linkedin.com/in/katyaandresen/,Data and Analytics,article/blog/company website/press release,Article,Katya,Aandresen,Cigna,Healthcare Payers,Chief Digital & Analytics Officer,2024-07-01 17:06,https://www.linkedin.com/feed/update/urn:li:activity:7204847073093976068,,,,,,31,3,0,3w,,,https://www.anderson.ucla.edu/news-and-events/catalyst-knowledge-and-discovery,Post,,,2024-06-07 14:10,,,,,,,,,Friday,6:10 PM,6/7/2024,,,,,,,,,
https://www.linkedin.com/in/stacy-lloyd-35b26218/,"""We keep moving forward, opening new doors, and doing new things because we're curious, and curiosity keeps leading us down new paths."" -Walt Disney

Last week I had the privilege of hosting a discussion on ""unleashing health data"" at the World Economic Forum's Global Technology Retreat. As we think about harnessing the power of GenAI and LLMs to improve the way we care for people, we identified the need for aligned incentives to drive transformative change; clear statements of sustainable ROI for all stakeholders, including patients and communities; robust public-private partnerships; and high impact case studies to show in practice that we must do more than simply be content with these powerful new tools nibbling around the edges of a broken healthcare system.
👉 Keep up with our work to address these issues here at the Digital Medicine Society (DiMe) by bookmarking this tab https://lnkd.in/e-V4Scqt

This weekend, our extraordinary CancerX Moonshot community turned out in force at #ASCO24. We were thrilled to bring together our innovative members with our partners at The White House to continue to strengthen our efforts to harness the power of digital innovation to achieve the goals of the Cancer Moonshot.
👉 Learn more about this community and our bold efforts to reduce the burden of cancer for all people through digital innovation https://cancerx.health/

And not to be overshadowed, our measures community, housed under our DATAcc initiative in partnership with FDA, convened some of the leaders advancing our work to generate an early warning system for cytokine release syndrome. This work is a testament to what more mature measurement technologies and analytics can do to improve lives and is just one program we have running to advance digital clinical measurement beyond retrospective monitoring
👉 Check out our work on sensor data driven early warning systems for CRS https://lnkd.in/eJdWF24N
👉 Keep up to date with the leading innovations in digital health measurement https://lnkd.in/gTuqRcM",https://www.linkedin.com/in/stacy-lloyd-35b26218/,Data and Analytics,"Personal/Public Pictures,article/blog/company website/press release,webinar/webcast/event",Image,Stacy,Lloyd,American Medical Association,Healthcare Providers,"Director, Digital Health & Operations",2024-07-01 17:28,https://www.linkedin.com/feed/update/urn:li:activity:7204847674875883520,https://media.licdn.com/dms/image/D4E22AQEtomfSYFM-_Q/feedshare-shrink_800/0/1717425670894?e=1722470400&v=beta&t=QIyEXPvr1SArPDJEjoAToAqcW_JD9XbGqS05gTulMn4,,,,checked,189,13,1,4w,,,,Stacy Lloyd celebrates this,,,2024-06-07 14:12,,,,,,,,,Friday,6:12 PM,6/7/2024,,,,,,,,,
https://www.linkedin.com/in/peternanos/,"I am passionate about using data and technology to improve the health of humanity. I am passionate about creating a better world for our children and grandchildren. What else should we leave behind, if not a flower for someone else to enjoy when we are gone?

Join me this week at the CMS Health Equity Conference to talk about using data and AI to improve health equity. While I am looking forward to presenting and facilitating conversation, I’m most excited about learning from other experts and colleagues on this topic.

To me, improving health equity means increasing the opportunity for someone to attain their optimal health - regardless of things like race, ethnicity, disability, sexual orientation, gender identity, socioeconomic status, geography or language.

Sometimes the best next step in creating the future you imagine is to take an objective look at where you are NOW (both as an organization and as an individual!) #HelloData Having a baseline is necessary to effectively measure change over time. How else will you know if you are actually moving in the right direction? How else will you have the confidence to change investments to better serve your mission?

Data can help us celebrate the “wins” - reminding us where we started - highlighting how far we’ve come. Data can also help us to stay grounded in how far we still have to go, so we can continue making the business case to invest in a purposeful pursuit.

#creatingabetterfuture #now #healthequity #purposedrivenwork",https://www.linkedin.com/in/peternanos/,Data and Analytics,"company branded asset,infographic",Image,Peter,Nanos,Duly,Healthcare Providers,VP EMR,2024-07-01 17:34,https://www.linkedin.com/feed/update/urn:li:activity:7205193428698038272,https://media.licdn.com/dms/image/D4E22AQE6UcsdRornSw/feedshare-shrink_800/0/1716909910321?e=1722470400&v=beta&t=HG4FaeesRWXfmSjpmBSpHBZLjY0EAi1yA9DJv8Jfirw,,,,checked,61,3,0,1mo,,,,Peter Nanos likes this,,,2024-06-08 13:06,,,,,,,,,Saturday,5:06 PM,6/8/2024,,,,,,,,,
https://www.linkedin.com/in/peternanos/,"🌟 Exciting News! 🌟

I'm thrilled to share that I'll be attending the ASCO conference in Chicago with Dan Hydes, Chin Weerappuli, MBA, Zach Taft, MBA, and Tim Virdee! 🎉 It’s an incredible opportunity to connect with industry leaders, discover the latest in oncology research, and exchange innovative ideas.

Even more exciting, IgniteData will be there with a booth! 🔥 Come visit us to learn about our cutting-edge solutions and how we're transforming data management in clinical research. We can't wait to engage with fellow professionals and explore new collaborations.

Looking forward to seeing many of you there!

#ASCO2024 #Oncology #ClinicalResearch #IgniteData #Innovation #Networking",https://www.linkedin.com/in/peternanos/,Data and Analytics,Personal/Public Pictures,Image,Peter,Nanos,Duly,Healthcare Providers,VP EMR,2024-07-01 17:34,https://www.linkedin.com/feed/update/urn:li:activity:7205193550676840448,https://media.licdn.com/dms/image/D5622AQEyZru9EqeURg/feedshare-shrink_800/0/1717063124564?e=1722470400&v=beta&t=WvgCj4LHVCW4bHYonC-JbPu_O-CAZ3xClL43SDqPuGQ,,,,,33,4,0,1mo,,,,Peter Nanos likes this,,,2024-06-08 13:06,,,,,,,,,Saturday,5:06 PM,6/8/2024,,,,,,,,,
https://www.linkedin.com/in/ben-rottinghaus/,"Here I go again talking about data… It’s one thing to have basic data quality checks against your data, but it’s never pencils down. Those basics - nulls, formats, anomalies lay the foundation for asking more of your data. What is your data quality not telling you? What could or should it be telling you?",https://www.linkedin.com/in/ben-rottinghaus/,Data and Analytics,,Article,Ben,Rottinghouse,FifthThird,Banking,"SVP, Senior Director of Data Management & Engineering",2024-07-01 15:57,https://www.linkedin.com/feed/update/urn:li:activity:7205566070802243584,,,,,,80,3,2,3w,,,https://hubs.ly/Q02xYRY_0,Ben Rottinghaus celebrates this,,,2024-06-09 13:47,,,,,,,,,Sunday,5:47 PM,6/9/2024,,,,,,,,,
