postContent,themes
"Pantomath is doing for data engineering what DataDog, Dynatrace, AppDynamics, SumoLogic, and ELK have done for software engineering for the last decade; providing game changing observability to a new and emerging data engineering category! Our team is solving technical puzzles at scale, building elegant user experiences, secure deployment models, multi-tenancy, containerized micro-services, and graph data modeling. If you're looking for an amazing team with high agency, access to cloud-native technology, and a time compression algo for professional growth, connect with me here or apply at our careers page below:",Data and Analytics
"A powerful wealth management solution based on a global FIX network, global master data for instruments and legal entities but also live prices (real-time & delayed) for hundreds of exchanges - all designed in Switzerland as a SaaS. Can it get any better? hashtag#wealthmanagement hashtag#madeinswitzerland Ludovico Niccolini",Data and Analytics
I am featured in this article on Edge Computing!,Data and Analytics
I am featured in this article on Edge Computing!,Data and Analytics
"Please join me, Conor Colleary from oracle financial services and Michael Senuta from PNC in Oracle CloudWorld in Las Vegas #OCW23. 

https://lnkd.in/gZ2by96Z",Data and Analytics
"LLM fine-tuning would become to one of the necessary skills in the next year of data science.So, this is how to fine-tune your Llama2 model:https://lnkd.in/eZSkiaeXand this is how to fine-tune your OpenAI chat model:https://lnkd.in/eejg4vfP",Data and Analytics
"Digital Lakes....committed to highlighting Michigan as a technology hub - attracting and retaining top tech talent across industries for the vitality of our companies and economy!!!  If you haven't checked it out, you should!! https://digital-lakes.org/",Data and Analytics
"The potential for hashtag#AI to transform U.S. hashtag#healthcare has been discussed for over a decade but has yet to deliver the kind of broad-based results the industry desperately needs. I am optimistic that will soon change.  For the last four years, my team at Health Data Analytics Institute (HDAI) has been hard at work on building a platform, HealthVision,  that uses machine learning and generative AI to give clinicians the information they need to make better clinical decisions. Here are some of my key takeaways from working on making AI usable for clinicians:- Clinical AI can now be deployed at scale: HealthVision is in production at Houston Methodist, fully integrated with Epic, and will eventually be accessible by thousands of clinicians assisting with a wide range of use cases.- Generative AI fills gaps in previous AI technologies: Generative AI can process raw clinical notes to produce structured data that can be ingested by predictive models in near-real time. This enables continuous updating of patient risk profiles as their care progresses.  - AI turns data complexity into actionable simplicity: HealthVision distills hundreds of pages of medical records into ONE PAGE that presents a holistic and prioritized view of patient risks. On October 8th at 3:40pm PT, I'll be presenting with Roberta Schwartz at hashtag#HLTH2023 about putting data-driven insights into the hands of clinicians and care teams. Our collaboration with Houston Methodist is one of the largest deployments of generative AI within healthcare today. Please join us: I'm eager to share our experience "" and to hear what you're working on in this industry sea change.",Data and Analytics
"Data & AI is core to our success at Whirlpool Corporation. We just completed our inaugural hashtag#WhirlpoolAtlasDataAISummit2023 enabling 3000+ hours of learning in one day to accelerate our digital journey across the company with applied data & AI products. 

Thanks to hashtag#whirlpoolpeople around the world and our partners/speakers for their support Yusuf Abbasi Danielle Brown Andy Walter Priya Srinivas Juliano Pavanelli Stefanovitz Devon Voster, Ph.D. Prashanth H Southekal, PhD, MBA, ICD.D Jennifer Springer Radhakrishnan Kodakkal Frederic Laluyaux Aaron Youngstedt Aiya Reed Pravallika Yemba Peter Kirer Traci Robinson Fallon Nyce Rebecca Steketee Christine Grammier Nicole McKeith Nash Bryan Stiekes Zach Cardwell Winnie Wu Scott Fleming Natalia Isaevich and the organizing team.",Data and Analytics
ICYMI:  Check out our Predicting Outages Digital Event with these industry expert presenters and learn how predicting outages is transforming hashtag#gridreliability and hashtag#wildfire risk mitigation.View it here: https://bit.ly/46ieKjOhashtag#GridTransformation hashtag#GridModernization hashtag#DataDrivenDecisions hashtag#ActionableInsights hashtag#AdvancedAnalytics hashtag#PredictiveAnalytics,Data and Analytics
