postContent,theme
"It was a pleasure to be part of Roche's LinkedIn Live Digital InnoLAB TechTalk earlier this week. I was impressed that more than 1000 people joined the event and followed the discussion on the topic of purpose-driven companies. Thank you to Stephanie Sassman and Professor George Serafeim for the great talk and for bringing unique perspectives from Women's Health as well as research to the table! Big thanks also to the organizing team, very well done!
One of the most important topics we discussed was purpose versus profit which actually is purpose AND profit. My key takeaway for Roche and our industry is that if we want to make healthcare sustainable, we need profits in order to fund R&D. Without profits, we cannot invest and ensure we are doing now what patients need next. Moreover, purpose needs to have an exciting and energizing element. I look forward to continuing the conversation!
In case you watched it: What is your key takeaway from the event?
In case you haven't watched it yet, here is the recording: https://lnkd.in/ed-CxbVu",MISC
"Just sent out the last Cloudflare employment offers of 2022. Received roughly 400,000 applications, up 49% over 2021. Of those, we interviewed 15,805 candidates to ultimately hired 1,418. 37% of the hires were designated fully remote, up from 14% in 2021. Hiring is part of everyone's job Cloudflare but special thanks to Janet Van Huysse, Scott Tomtania, and their incredible team who help us recruit and hire the best so we can continue to live up to our mission of helping build a better Internet. #hiring2022",MISC
"#GenerativeAI is a powerful technique that promises to revolutionize how we interact with computers Y But it can have serious drawbacks related to trust, privacy, and cost a Join our webinar on June 6 to learn more about how our #GroundedGeneration approach addresses those drawbacks, making generative AI safer and more cost-effective to use. Register today!
http://gag.gl/oo5Z67
#LLMs #ConversationalAI",Cost management / reduction / optimization
"Praying for the victims of today's devastating earthquake in Morocco. YTMY12Y2Y12
If you are inclined to help, The New York Times article below has links to several relief organizations that are providing assistance to victims on the ground.
https://lnkd.in/gHVPZ3K6.",MISC
Great #opportunity to join TimkenSteel! #AtOurCore #itsecurity,MISC
Charlie Mattheis #Kudos #ThankYou very much for everything you do,MISC
"Take a moment to read through the findings of America's Health Rankings Annual Report, just released by the United Health Foundation this morning. It shows the prevalence of eight chronic conditions in the U.S. is higher than it's been in the report's history. Conditions like diabetes, depression and cancer that impact the lives of millions of people each day and remain a focal point for health disparities across the country. It's a sobering reminder for anyone working in health care. And it's just one of the many reasons we are working to build a health system equipped to treat the people who need us most. https://lnkd.in/gSJEgRhh",Health outcomes
"We stand with the people of Turkey, Syria and all those impacted by the devastating earthquakes. Like many of you, I'm deeply saddened to see the destruction and humanitarian crisis unfold. Thank you to all our leaders and to everyone helping to keep our EY family safe, offering support to our colleagues, their families and friends. We will keep them in our thoughts and prayers and do all we can to support those in need.",MISC
"Lawmakers recently introduced a bill that would have broad implications for the regulation of digital assets. Find out its potential impact on taxpayers, via BDO.
#Tax #CFTC",Regulation/Legislation
Welcome to the team Archie McAlexander! #pineapplepeople #greatplacetowork,MISC
"Divorce changes pretty much everything. Whether it's a surprise or something you're both on board with, you've gone from a ""we"" to a ""me"" "" and that can take some getting used to.
Maybe you were involved in the family finances while you were married, or maybe not. Either way, now the checkbook is in your hands. And that checkbook may look different than what you expected.
Why? Frustratingly, research shows that women's household income falls almost twice as much as men's post-split. And divorce can affect women's money in a lot of other ways, too.
That's a lot. And dealing with it is also pretty urgent. Financial instability is stressful and disruptive (especially if you're in a pretty emotional place right now).
That's why the Ellevest team put together a post-divorce guide at the link below. Our all-woman team of financial advisors has helped thousands of women model out the impact of a divorce settlement and what it ""means for their finances before it's too late.",MISC
"Find out how strategic tax leaders can help tech companies drive business performance with insights from BDO's 2023 Tax Strategist Survey. Thans Matthew Dyment and Dan Fuller for these tax insights for Tech companies.
hashtag#TaxTech hashtag#TaxPlanning",MISC
"Humbled to have been given the opportunity to give a Last Lecture to the Stanford University Graduate School of Business Class of 2023. A huge privilege to share my personal story and some of the biggest lessons I've learned throughout the highs and lows. Here are a few short clips from ""How to Live an Asymmetric Life.""
Link to the full talk here: https://lnkd.in/g-3E_9Rx hashtag#personalgrowth hashtag#mba hashtag#fear hashtag#lifelessons hashtag#entrepeneurship",MISC
I'm happy to share that I'm starting a new position as Chief Financial Officer at 48forty Solutions!,MISC
"It's the era of the employee""where companies will be measured not only by their performance, but also by how well they treat their people. Leaders who view the current macro environmental challenges as opportunities and take the initiative to focus on their employees, will not only create an environment where their people can thrive but will also reduce costs and improve their bottom line. The latest article from Fortune from this week's #CEOinitiative roundtable discussion explores this topic:
https://lnkd.in/gaSueWey
#EmployeeExperience #CEOinitiative",Workforce strategy
Qualcomm made the Forbes list of America's Best Employers For Diversity 2023. #TeamQualcomm,MISC
"NEWS RELEASE: Boise woman found guilty of felony insurance fraud
https://lnkd.in/gxSRTs_A
The Idaho Department of Insurance announced today that Alene Bako of Boise, Idaho was sentenced in Ada County for two counts of felony insurance fraud. Ms. Bako pled guilty in August 2023; her sentencing was held October 27, 2023.",MISC
"It was thrilling that Nasdaq today shared the news about SCAN's planned combination with CareOregon and the formation of the HealthRight Group on its iconic Times Square billboard.
The underlying intent of the combination is simple:
To improve care for frail and vulnerable populations of all kinds.
As a not-for-profit platform, HealthRight aims to inspire change in a healthcare industry that more often than not puts profit and quarterly earnings before the people that is charged to serve.
SCAN's strength is in the Medicare program, where we have 6 years straight of 4.5 Star performance (a feat accomplished by only 2 other plans in the country).
CareOregon's strength is in the Medicaid program where it has received national accolades for its patient-centered approach to serving the physical and behavioral health needs of people that society has too often forgotten.
Together, HealthRight will exceed $6.8B in revenues and 3000 employees and serve more than 800,000 people.
We simply can't wait to get started together!",Health Insurance
"#RedOctober is off to an exciting start with a Wild Card sweep and the Phillies now in Atlanta. Congratulations to the Philadelphia Phillies on a great win in the Wild Card Series.
Independence Blue Cross is proud to be the Official Health Insurance Partner of the #Phillies and home to an enthusiastic associate fan base. #IBX will be cheering loudly for #Philadelphia tonight as they go into Atlanta to face the Braves in Game 1 of the NLDS. Go Phillies!!
#NLDS #MLB #Fightins",MISC
"We are hiring for a Communications and Engagement Coordinator!
Wharton's Environmental, Social and Governance (ESG) Initiative brings together Wharton faculty and students to conduct academically rigorous research, develop new curricular materials, and co-curricular experiences that shape the future of investing, consulting, and strategy on ESG factors. Join our growing team!
The Communications and Engagement Coordinator (CEC) will help support ESG Initiative marketing activities and small- and large-scale events. The CEC will play an important role in the success of ESG Initiative events by contributing their expertise in marketing, communications, event planning, and coordination, etc. See the job posting and apply at https://lnkd.in/eVzgr7tv.
#esg #hiring #whartonesg",MISC
Eric Becktel is #hiring. Know anyone who might be interested?,MISC
"I have had the honor and privilege of working with many talented women. I'm indebted to them for their contributions to Pfizer and for teaching me some of the most important lessons of my career. Today, on International Women's Day, I want to say: Thank you for being my mentors, colleagues & friends. #IWD",DEI
"Attention job seekers! A new opportunity has just opened up for a Senior Executive Management Assistant (administrative assistant) position in Lansing reporting to me! This has potential to be a hybrid position, where you could work from home up to two days per week. If you're interested, check out the job posting below and feel free to send a private message with any questions. Don't miss out on this chance to join our team!
Job Posting: https://lnkd.in/gPsnS3rB",MISC
We're honored to be named a winner in the Exabeam 2022 Partner of the Year Awards for the third consecutive year. We're recognized explicitly as 'Services Partner of the Year in the U.S. and Canada' for our ability to help clients thwart digital adversaries. #cybersecurity,MISC
"Last chance to sign up to our first launch event for Vectara happening today (Mon) at 4pm pacific. The in-person venue is now full; however, you can sign up for the online version, which will also give you access to the online recording of the talks. You can sign up here:
https://lnkd.in/g9hTjMhr
hashtag#ai hashtag#ml hashtag#genai hashtag#llm hashtag#chatgpt Databricks SonoSim, Inc. Matei Zaharia Amin Ahmad hashtag#piedpiper",MISC
"I don't believe that Elon will do well with his investment in Twitter.
But it is impossible to deny his incredible impact on the world as the driving force behind Tesla and SpaceX. And he may be just getting started. I think most of the media missed the point with last week's Starship launch by deeming it a failure, when it was really a remarkable existence proof and very promising for the future.
In essence, it demonstrated a leap frog in rocket payload and efficiency, which when perfected would enable human travel to Mars and radical transformation of cross ocean airfreight. The first 30 minutes of the last episode of the All-In Pod covered this and included a SpaceX board member. I really recommend listening - such a refreshing, optimistic lens on human ingenuity, commitment and the final frontier.
On a related note, I do think this podcast has become must listen - and many clearly agree with me. It is now one of the most popular tech podcasts in the world (#2 on Spotify, for example).",MISC
"We have some exciting #commsjobs at Oxfam America. Take a look and come join our team! #brand #media #digitalmarketing
Director, Media Relations: https://smrtr.io/fCdp_
Associate Director, Brand and Engagement: https://smrtr.io/fBs6f
Digital Marketing and Fundraising Specialist: https://smrtr.io/fCdrf",MISC
"Join the NASAA team! We're hiring for three exciting positions:
- Manager, Events and Membership
- Senior Accountant
- Specialist-Regulatory Services
If you have a passion for investor protection and want to make a difference in the financial industry, apply now: https://lnkd.in/eRJqvGb",MISC
Calling all #socialmedia gurus! Are you looking to join a team of marketing rockstars? I'm #hiring and would love to connect. Check out the role below Y and apply today!,MISC
"When we invite someone to join our team, we are bestowed with the awesome responsibility to provide the care and inspiration and support that that precious human being needs to become everything he or she was meant to be.",MISC
"Last week, we hosted over 70 go-to-market leaders from our portfolio of software companies at the annual AKKR Sales & Marketing Summit. And boy did we have an action-packed program! From tapping into the power of storytelling to cultivating an engaged customer base, this year's discussions put the customer's journey at the heart of it all. Here's to new ideas, tried-n-tested tips, and of course friendships and relationships that span the globe. hashtag#AdvanceYourJourney",MISC 
