PostContent,Theme
"I was deeply honored today to speak on a panel on â€œThe Essential Role of Women Leaders in Global Healthâ€ at the Harvard Radcliffe Institute for #RadDay23, where Ophelia Dahl was awarded the 2023 Radcliffe Medal. I was so moved by the testimonial from Chelsea Clinton about the leadership, moral purpose, and humanity that Ophelia has brought to her work, and both inspired and humbled to speak about Oxfamâ€™s work on health, humanitarian response, and promoting feminist leadership alongside Jacqueline Bhabha, Agnes Binagwaho, Natalia Kanem, and Reema Nanavaty - amazing women who choose to use their time and considerable talents to improve the health and wellbeing of families around the world. (Photo credits Tony Rinaldo)",DEI
"Iâ€™m continually grateful to work with the incredible women of #TeamQualcomm. Thank you for your perspective, knowledge, and contributions. #InternationalWomensDay",DEI
"As we celebrate #IWD2023 International Women's Day, Iâ€™m proud to recognize the many achievements of women around the world. Throughout my career, I had the privilege to work with incredibly talented and accomplished women in Finance and Informatics, and in business overall.
Reflecting on the many contributions women make in healthcare, as practitioners and leaders, I recognize that there is more work to be done in access to healthcare and health outcomes for women. As leaders, we have a critical role to play in advocating for practices and policies that promote equitable access to healthcare for all women. But advancing gender equity isnâ€™t just about policies and practices, it is also about building an inclusive work environment, where women can thrive and contribute their unique perspectives and expertise.
Let's commit ourselves to promote diversity today and every day and to #EmbraceEquity!
#RemovingAccessBarriers #IWD2023 #EmbraceEquity",DEI
"Yesterday, I had the pleasure to meet with more than 40 remarkable female leaders in Finance and Informatics. We had a deep conversation about the current business topics, career decisions as well as personal experiences.
All participants are part of our Global Female Leadership Program which is one of our key company-wide initiatives to build a strong pipeline of emerging leaders and make sure we grow and retain the best talents.
It was a privilege to be part of this exchange and I left our meeting inspired and energised since it reminded me of the incredible power of diverse teams. Keep thriving!
#RocheProud #WomenInLeadership #Talents",DEI
"It was a privilege to connect with a diverse group of 60 CFOs from around the world at #harvardbusinessschoolâ€™s CFO Leadership Program last week. After the first session on the joint Roche/HBS case study, we had a fruitful discussion about the five Future of Finance theses and received insightful feedback on Rocheâ€™s Finance Strategy and the way forward. I'm inspired and excited about the future and how Roche will continue to execute our strategy.
Thank you very much for the very valuable thoughts and dialogue. What a great experience!
#FutureOfFinance #RocheProud #HarvardBusinessSchool #HBS",DEI
"Yesterday, I had the privilege of speaking at the 2023 APEC CEO Summit about the importance of curing the exclusion epidemic. Our world is ailing right now. And just as with a patient, those of us who want to heal this world need to look for the deeper conditions that are underneath our surface-level problems. What I see when I look for the root cause of many of todayâ€™s challenges is exclusion â€“ economic exclusion, social exclusion, political exclusion and personal exclusion. During my remarks, I shared my thoughts on each and on the responsibility that leaders of the business community have not only to build more inclusive cultures within our individual companies, but also to help build a more inclusive society in the places where we operate. Being the optimist that I am, I believe we can cure the ills brought on by this epidemic, and I invite you to read or view my speech to learn why.",DEI
"As I prepare for the 2023 APEC CEO Summit, whatâ€™s top of mind for me is the danger exclusion poses to our society and our world. In fact, there may be nothing more urgent than the need to create a world that is rich with inclusion. I believe that many of our most urgent problems stem from the absence of inclusionâ€”the heartbreaking sense of isolation or othernessâ€”and the solutions to these problems will depend on fostering inclusion for those who have been robbed of it. Rarely have we seen a world with so many challenges at one time as we do now, yet for all their particulars and complexities, these challenges all have exclusion at their root.
Leaders of the business community all have the meansâ€”and obligationâ€”to address these challenges. At this yearâ€™s hashtag#APECCEOSummitUSA, I hope to impress upon my peers in the room the importance of this work. Whether it is through partnerships, policies or practices that promote inclusion, we have a responsibility to build inclusive ecosystems that are not only good for the business world, but more importantly good for society. This Wednesday, I look forward to sharing more of my thoughts, and the potential solutions to the Exclusion Epidemic.",DEI
"For #WomensHistoryMonth month, I want to share an amazing conversation with some inspiring colleagues.
In 2021, Pfizer launched the Pfizer Refugee Leadership Initiative, a program that supports the economic inclusion of refugees and other displaced people through hiring, mentoring and advocating. Our initial goal was to hire 100 refugees and to mentor 150 by the end of 2022â€”and we surpassed that goal in just one year. We have now extended our goal and committed to hiring 500 refugees by the end of 2025.
Through this program, we welcomed our colleagues Baheshta Abed Rahimi, and Najlla Habibyar. In the latest episode of our series, â€œSomething's Brewing: Coffee and Conversation,â€ my colleague Mona Babury, CDP, PMPâ€”a pillar of the Pfizer Refugee Leadership Initiativeâ€”spoke with Najilla and Bahesta about their unique journeys, the challenges they have faced, and how theyâ€™re building their futures at Pfizer.
I encourage you to check out this wonderful dialogue that celebrates womenâ€™s stories.
#WomensHistoryMonth #PfizerProud",DEI
"We hear many stories of courage here at Pfizer. Recently, I was inspired by the essays in our 2023 Pride Journal, where our LGBTQ+ colleagues shared their personal experiences of struggles, triumphs, and hopes for the future in honor of Pride Month. The theme of this yearâ€™s Journal is â€œStronger Togetherâ€â€”and I canâ€™t think of a more fitting theme to celebrate Pfizerâ€™s culture of #courage and #equity, and to reaffirm our commitment that Pfizer continues to be a place where all colleagues can be their best and truest selves.
Thank you to my colleagues who shared their stories in this yearâ€™s Journal. Below are a few, and you can read all of them here: https://lnkd.in/eST5_nMh
#PfizerProud #PrideMonth",DEI
"Incredibly #PfizerProud that Pfizer was ranked #6 in TIMEâ€™s inaugural list of the Worldâ€™s Best Companies 2023. The list includes some of the most innovative, creative and impactful organizations from around the globeâ€”companies that are â€œchanging the worldâ€ as the article saysâ€”so it is humbling to see Pfizerâ€™s name among them.
Congratulations to all of my colleagues at Pfizer for this well-deserved recognition! I couldn't be prouder to work with people who are dedicated to transforming the lives of patients around the world. From developing life-saving vaccines and medicines, to tackling global health challenges, and so much moreâ€”thank you to my Pfizer colleagues for your tireless dedication to our patients.",DEI
"I have had the honor and privilege of working with many talented women. Iâ€™m indebted to them for their contributions to Pfizer and for teaching me some of the most important lessons of my career. Today, on International Womenâ€™s Day, I want to say: Thank you for being my mentors, colleagues & friends. #IWD",DEI
"Really enjoyed reading this article from my colleague William Pao. With Clinical Trials Day around the corner, William shares his thoughts on how prioritizing diversity in clinical trials can help facilitate health equity for people everywhere. As he notes, â€œRace, ethnicity, age, and gender can all impact how different people respond to the same medicine or vaccine.â€ Iâ€™m proud of how diligently his team is working to ensure that our Pfizer clinical studies reflect the diversity of the potential patient populations for each drug and vaccine candidate. Itâ€™s one of the ways weâ€™re working to advance health equity. #CTD2023 #ClinicalTrialsDay",DEI
"On #WorldRefugeeDay, I'm proud to co-sign this statement with Pfizer's partner, the International Rescue Committee, alongside other business leaders to call on the private sector to help create new, long-term solutions to address the growing refugee crisis. With more than 100 million people displaced globally, advocating for the private sector's role in tackling the global refugee crisis is more important than ever. In line with Pfizerâ€™s core value of #equity, we are committed to doing our part to support the economic inclusion of refugees and other displaced people through hiring, mentoring and advocating. In September 2021, we launched the Refugee Leadership Initiative with a commitment to hire 100 refugees and mentor an additional 150 refugees by the end of 2022. We achieved both goals ahead of schedule, and now our expanded pledge includes hiring 500 refugees in the U.S. and an additional 100 refugees in Europe, and mentoring 300 refugees, by the end of 2025.",DEI
"I recently had the great pleasure of joining a panel at the Black Corporate Directors Conference to talk about the importance of Diversity, Equity and Inclusion (DEI) in the corporate world, particularly in the healthcare industry. The Conference serves as a dynamic forum for African-American and Hispanic/Latino directors at Fortune 500 companies to come together and have meaningful discussions about minority representation across all sectors.
At Pfizer, equity is one of our core values, and we constantly strive to maintain a workforce that reflects the diversity of the patients we serve. We do so because itâ€™s the right thing to doâ€”the human thing to do. But itâ€™s also a smart business strategy, as research shows that DEI has beneficial impacts on business results. For example, the World Economic Forum found that companies that are DEI leaders have up to 20% higher rates of innovation than market average.
Nowhere is equity more important than in the area of healthcare. As the leader of a major healthcare company, I see it as my responsibility to help drive important and lasting changes that close gaps in health equity. That is why my teams are working hard to remove barriers to access and representation in R&D and in clinical trials, and to build trust in minority and undeserved/underrepresented communities.
Equity doesnâ€™t mean giving everyone the same thing. It means working to level the playing field for everyoneâ€”from corporate offices to doctorsâ€™ offices, and everywhere in between. Together we can create a better future for patients from all backgrounds.",DEI
A very happy #internationalwomensday from all of us at Collective Health!,DEI
A very happy Trans Day of Visibility to everyone! ðŸ³ï¸â€âš§ï¸,DEI
"Happy #Pride from all of us at Collective Health! ðŸ³ï¸â€ðŸŒˆ
This past month's been full of learning and fun thanks to our Employee Resource Group, Collective Pride. Theyâ€™ve hosted history lessons, a LGBTQIA+ trivia hour led by a drag queen, and everything in between!
How are you celebrating Pride this year? ðŸŒˆ ðŸ’›",DEI
"Extremely disappointed to read this. Muslim communities and societies should be bastions of diversity, inclusion, and tolerance, as they have been throughout history. This is not the Islam I know.",DEI
"On Wednesday, we celebrated International Women's Day. I have had many powerful female role models and partners, starting most importantly with my mother, Inge Thygesen, and my wife, Terry Thygesen, and continuing with many managers, peers and team members. I am proud and grateful to have led well balanced senior leadership teams at DocuSign and Google, and am deeply invested in enabling equal opportunity and progression for everyone, regardless of gender, race or other identity traits. I am generally optimistic about the future, and one of the key reasons is that I believe women will play an ever more important part in key decisions in successful societies and organizations.
#embraceequity",DEI
"Iâ€™m so proud of everything weâ€™re doing to make DocuSign more diverse, equitable and inclusive. Upleveling important conversations that further a sense of belonging within our organization is a crucial part of our DEI work. Iâ€™m really looking forward to the insights and perspectives that come from our Global Inclusion Speaker Series. I hope you can join us!",DEI
"I'm honored that Rackspace Technology has received the 2023 Tech Cares Award by TrustRadius, showcasing our dedication to sustainability, volunteerism, diversity and community impact. Join me in celebrating these inspiring Corporate Social Responsibility trends shaping a better B2B tech industry.
#LifeAtRackspace #RackerLife",DEI
"Cushman & Wakefield is proud to celebrate Womenâ€™s History Month as we continue to uphold our commitment to creating more opportunities for women in #CRE, forging a more equitable industry. I look forward to joining the great events organized by our WIN (Womenâ€™s Integrated Network) Employee Resource Group throughout March. #CWDEI #WhatWeMakeIt #WHM2023",DEI
"I had the opportunity earlier this week to listen to our DEI panel at the AspenTech Sales meeting in Boston. DEI is a core value at AspenTech, which means it is embedded in all interactions - with colleagues and customers. And as I listened to the panel with diverse representation from all our DEI chapters around the world, I couldnâ€™t be more proud of our team and the passion they conveyed around the importance of DEI in their Sales roles. As Rosa Montesinos, one of our panelists and Director of Solution Consulting in LATAM, stated, â€œDEI is about understanding peoplesâ€™ cultures and being respectful with empathy. Itâ€™s not only accepting people as they are but also creating an environment for people to express themselves with freedom and confidence.â€
On Martin Luther King Jr. Day, I pause to recognize the gratitude I have for our team at AspenTech and how proud I am for how far we have come in building an environment that demands equality, promotes inclusion and celebrates diversity. As we look ahead, we can only continue this work in striving to follow Dr. Kingâ€™s example and honor his legacy.",DEI
"At Aspen Technology, diversity, equity and inclusion are among our core values, and something I have long championed as CEO. I encourage you all to take a moment to read this impactful perspective from Nathan Lee, an AspenTech colleague and pause to reflect on the historic significance of this day. I wish you all a happy Juneteenth. https://lnkd.in/eVNybT6b",DEI
"Please check out this short clip from friend and fellow American Cancer Society Board Member Dr. Rob Winn, Director and Lipman chair of oncology of VCU Massey Cancer Center. Dr. Winn is as inspirational as ever helping us understand that as we engage in #diversityequityinclusion we all benefit. When we all win, we all win.
#deileaders #DEI #healthequity. #everycancereverylife",DEI
"#Juneteenth serves as both a celebration of freedom and a reminder of the ongoing work to achieve racial justice.
Today and every day, we strive to increase diversity, equity and inclusion in our workplaces, in our supplier network, and in the communities where we support the industry and infrastructure forming the backbone of Americaâ€™s economy.",DEI
"Today is Juneteenth, which commemorates the emancipation of enslaved Black Americans. Itâ€™s a day to recognize the progress we have made against racismâ€”and reaffirm our duty to end it.
Three years ago this month, McKinsey announced 10 actions toward racial equity, our public commitment to anti-racism and social justice. We have made measurable progress in that time.
For example, we have published more than 20 pieces of research on inclusive-growth topics through the McKinsey Institute for Black Economic Mobility.
Working with more than 20 partner organizations, we have conducted more than 25 pro bono projects supporting Black lives.
More than 67,000 Black, Asian, Hispanic, and Latino professionals have been engaged through our Connected Leaders Academy, which is offered at no cost to attendees.
And we have more than doubled our spend with diverse suppliersâ€”while more than quadrupling our spend with Black-owned businesses since 2019.
Iâ€™m proud of these and all the actions we are taking as a firm to advance inclusion. Iâ€™m also eager to do much moreâ€”and help ensure we continue to accelerate toward a more just and equitable society.
You can learn more about our 10 actions here: https://lnkd.in/ggJ8ZAPX
#SustainableInclusiveGrowth",DEI
"Interested in understanding the diversity journey? Join my colleagues on November 14, 2023 at 11:00am ET for a thought-provoking webinar. We will be discussing the beginning, middle, and continuing evolution of diversity, inclusion, and belonging and answer questions such as: How do you begin the journey? How do you know youâ€™re making a difference? Andâ€”most importantlyâ€”how will you define success? Secure your spot by registering here! https://lnkd.in/gxvT7WYr
hashtag#DEI hashtag#RHRGlobalLeadership hashtag#DIandB",DEI
"Since I first started working in the pharma industry, Iâ€™ve witnessed positive change toward creating more equitable opportunities for women in the workforce. And while I remain optimistic for the future, I recognize that we still have a long way to go to change the gender parity for female leaders. We all know unconscious biases still exist in the workplace today. But many focus more on the glass ceiling aspect of female leadership and less on what happens when women rise to the top of leadership ranks. A recent study from Women of Influence+ examined thousands of working women from 100+ countries to determine how their mental health, well-being, engagement and performance were affected by interactions with their colleagues surrounding their success and accomplishments. Almost 90 percent of women worldwide reported being penalized or undermined because of their achievements at work. We must do better. As we celebrate International Womenâ€™s Day this year, I encourage everyone to support the female leaders in their lives; hold others accountable; and, if you are a leader, deliberately seek out opportunities to create inclusive environments that #EmbraceEquity â€“ both at work and beyond. At home, I bring up this topic with my son, as fostering an equitable society will take the work of men and women, alike. #IWD2023",DEI
"Our incredible people are the core of our culture at BD, and weâ€™re proud to foster an environment where the diverse perspectives of our associates are embraced, encouraged and sought after. As the executive sponsor of BDâ€™s Hispanic Organization for Leadership and Advancement Associate Resource Group (HOLA ARG), I was honored to join HOLA co-leads Mernis Ayala Freeman and Carissa Vega, eMBA in recognition of Hispanic Heritage Month for a passionate discussion on celebrating our unique backgrounds and learning from each other to build stronger connections that play an important role in getting to the best outcomes. The most inspiring part was hearing their personal stories on being a cultural ambassador at BD and advancing the important work of our ARGs daily. hashtag#proudtobebd hashtag#diversityandinclusion",DEI
"For the seventh year, KeyBank has been named a Leading Disability Employer by the National Organization on Disability. This award recognizes companies for leading the way in disability inclusion. I am incredibly proud of KeyBank's many teammates who work each and every day to make recognitions like this possible, including our 300+ teammates who are members of Key's Champions for People with Disabilities Employee Resource Group. Congratulations, team!",DEI
"March recognizes Womenâ€™s History Month and today we celebrate International Womenâ€™s Day. From Keyâ€™s strong and steadfast women leaders at every level of the organization to supporting women in business through Key4Women, I am repeatedly reminded of the history, legacy, and collective impact of women in our communities, our companies, and our country. I am proud to stand as an ally and #EmbraceEquity on this #IWD2023 and every day.",DEI
"Today is the first day of Pride month, an opportunity to honor the history, celebrate the contributions of, and recognize the ongoing challenges faced by the LGBTQ+ community. Building an inclusive workplace and fostering safe communities are both cornerstones of our ongoing commitment to diversity, equity, and inclusion. Our commitment to the LGBTQ+ community is not just reflected in our culture, but our practices, policies, benefits, and external recognition by both DiversityInc and the Human Rights Campaign. In addition, I am incredibly proud of our Pride Employee Resource Group and of our many teammates who will support and participate in Pride events this month.
I am honored to celebrate and stand with our LGBTQ+ clients and teammates this Pride month and every day.",DEI
"Juneteenth represents an opportunity to honor the contributions of the Black community and reflect on our opportunities to create meaningful, sustainable progress toward diversity, equity, and inclusion inside and outside our company. KeyBank branches will be closed today in honor of Juneteenth. We remain steadfast in our commitment to advancing equity and access for allâ€¦ in our business and in the communities we proudly serve.",DEI
"Today marks the beginning of Hispanic Heritage month, a time to reflect on and celebrate the history and many contributions of Hispanic and Latino Americans in the United States. At KeyBank, the Hispanic-Latinx Employee Resource Group is an immense source of pride, engagement, and community support.
In honor of Hispanic Heritage month, the KeyBank Foundation is proud to support a number of nonprofits across our footprint with community grants, including El Centro de la Raza in Seattle, WA, and Julia De Burgos Cultural Arts Center in Cleveland, OH. Thank you for the important work you are doing to support and lift our communities.
To our many Hispanic-Latinx KeyBank teammates, I am proud to celebrate Hispanic Heritage month alongside you.",DEI
"Thank you Rachael Sampson, Ronald V. Johnson, Jr. and Jeffery J. Weaver for sharing your perspectives and highlighting #BlackHistoryMonth. I am incredibly proud to have you on #TeamKey.",DEI
"October is National Disability Employment Awareness Month, a celebration of the positive contributions of people with disabilities in the workforce. Smile Farms Inc., the companyâ€™s signature philanthropic partner, and a number of other sellers on the 1-800-Flowers.com Gifts & More Marketplace are doing inspiring work advocating for employees with disabilities. Check them out here: https://lnkd.in/e5TuWeKr",DEI
"1-800-FLOWERS.COM, INC. founder and CEO Jim McCann sat down with Frank Morano at 77 WABC Radio to discuss National Disability Employment Awareness Month and the companyâ€™s work with Smile Farms Inc. Listen to the inspiring conversation here: https://lnkd.in/eRvQc79w",DEI
"In honor of Black History Month, check out this article highlighting some of the Black advocates in the disability rights movement. https://lnkd.in/drT9ANc",DEI
