PostContent,Theme
"One of my favorite courses in business school was called ""The Moral Leader"". We discussed decisions made by great leaders during defining moments in history. Marc Rowan is demonstrating moral leadership. Rishi Sunak and Joe Biden have demonstrated moral clarity. The Board of Trustees and the President of University of Pennsylvania (and The Wharton School) should follow suit and stop propagating messages of moral equivalency. Call out evil. hashtag#neveragain.
https://lnkd.in/dDr6evYS",MISC
"Iâ€™m so proud of our entire Informatics team for earning @Genentech the second place ranking in the 2023 #BestPlacesIT award from @Computerworld, marking this as our 14th consecutive year on the list!
This is an outstanding acknowledgement for our talented, hardworking team. Bravo!
Check out the full article to hear more about our unique IT culture: Genentech cracks the code for a healthy, happy workforce | Computerworld
https://lnkd.in/eTHd5rdP
#rocheproud",MISC
Iâ€™m happy to share that Iâ€™m starting a new position as Chief Financial Officer at Vectra AI!,MISC
"Today is #RareDiseaseDay. Although rare diseases are individually rare, they are collectively common - more than 400 million people worldwide are impacted by 7,000 rare diseases.
At Roche, we develop innovative medicines and better diagnostics by exploring new ways to approach treatment. By utilizing new digital health technologies and revolutionizing clinical research through digital innovation, we are helping to reshape the landscape of what it means to live with a rare disease and support #BrighterFutures.
Find out more about Roche in rare diseases here: https://bit.ly/3GmLrP2
#RareDiseaseDay #BrighterFutures",Health outcomes
"If you like making data-driven decisions, then you'll ðŸ’¯ want to meet up with #TalendIRL at #QlikWorld: https://bit.ly/3npVBuC
ðŸ’Ž Demos & data experts, Booth #175
ðŸ’Ž Exec 1:1s
ðŸ’Ž 7 sessions
ðŸ’Ž 2 workshops",MISC
"ðŸ“£ Calling All Job Seekers and Employers! ðŸŒ
Times are tough, and many are without work right now.
Let's change that together. ðŸ’ª
ðŸ”¹ Employers: Comment below with the positions you're hiring for.
ðŸ”¹ Job Seekers: Let us know what kind of job you're in search of.
Let's turn this post into a community job board and bridge the gap!
ðŸ”„ Please spread the word by sharing this post!
hashtag#jobboard hashtag#hiring hashtag#hiringnow hashtag#nowhiring hashtag#job hashtag#jobs hashtag#communitysupport",MISC
"We are hiring a Sr. Digital Marketing and Campaign Specialist!
Join our outstanding employee owned team! See below!
#digitalmarketing #hiring #team",MISC
"At Walmart and Sam's Club, we join our associates and the communities we serve to share in the building of a world where all people are treated with dignity and respect. We value the contributions of all associates who are actively engaged in celebrating culture, sharing traditions and fostering belonging. #Juneteenth #YouBelongHere",MISC
"Congratulations to all colleagues at Azurity Pharmaceuticals and Slayback Pharma.
I'm thrilled that this milestone will significantly enhance Azurity's industry-leading portfolio and pipeline... all to better ""serve overlooked patients.""",MISC
"Iâ€™m immensely proud to celebrate our new Pfizer world headquarters in the Hudson Yards neighborhood of New York City. And Iâ€™m honored that Mayor Eric Adams joined us for this special occasion.
Pfizer has been headquartered in New York City for nearly 175 years. Our co-founders, Charles Pfizer and Charles Erhart, immigrated from Germany to the U.S. in 1848. They opened the first Pfizer location in Brooklyn the following year, where they began producing the companyâ€™s first medical breakthrough by blending an antiparasitic called santonin with almond-toffee flavoring to make it more palatable for patients.
Hudson Yards is actually the fourth NYC neighborhood we have called home since then, but our commitment to this amazing city has never wavered. Over the years, Pfizer colleagues have volunteered with many local organizations. One great example is our partnership with the Hudson Guild where, since 2018, our colleagues have logged more than 2,400 volunteer hours at more than 25 Hudson Guild events.
Last summer, Pfizer announced a $1.5 million grant to the Mayor's Fund to Advance New York City, with funds earmarked for STEM educational programs for middle and high school students. We did this because we are passionate about introducing the cityâ€™s young students to careers in the life sciences. This vision is also now coming to life at the Pfizer School of Science, an immersive field trip experience for New York City students where they get to interact withâ€”and learn fromâ€”Pfizer scientists.
This is only the beginning. Over the next two decades, I firmly believe weâ€™ll be living through a scientific renaissance, where the seemingly impossible will become possible in healthcare. I couldnâ€™t be more excited for this future, and New York City continues to be the perfect place for us to be as we work to it a reality.",MISC
"Great coverage of our inspiring event commemorating the 75th anniversary of integration of the Armed Forces #FreefomToServe - great lessons (and a new friendship for our org) with #icon Morgan Freeman #SecVA, #SecNav and some moving remembrances by people of substance. There was such great energy and support in the room, such a sense of patriotism and hope! Great to bring in the scholarship and civil military connections with Jonathan Soros and the great #ChamberlainProject
Scores of folks really came together to make this happen - Tom Hausman for the beautiful site and backdrop, the Office of the Secretary of Defense for the great video #VPOTUS office for the beautiful letter read by Mr. Freeman, Lindsay Knight, PhD and CT Moss, MBA Meghan Wieten-Scott keeping it going from afar with her team, Noeleen T. Brian Whiting the great leaders who through in and were so generous with their time - Thomas P. Bostick played such a large role (we really made you work Tom, thank you)! Charles F Bolden Jr person/family hero of ours, Charlene Austin, Ty Seidule great speaker, great presentation, and many many thanks to JPMorgan Chase & Co. Mark Elliott Matthew Jeppson and many many others. Brandi Jones, M.Ed Jay Parker our advance team Giacomo Mendel Jimmy Anderson Nathan Naylor great to see you Ron Keohane",MISC
It was an honor to be back in Puerto Rico with the Bravo Family Foundation and some of my amazing Thoma Bravo colleagues and these talented and visionary entrepreneurs! ðŸ‡µðŸ‡·ðŸš€,MISC
Sharing a quick update on the SVB topic.,MISC
Kelli Zelenin is #hiring to join our team at Dotdash Meredith!,MISC
