postContent,theme
"For #WomensHistoryMonth month, I want to share an amazing conversation with some inspiring colleagues.
In 2021, Pfizer launched the Pfizer Refugee Leadership Initiative, a program that supports the economic inclusion of refugees and other displaced people through hiring, mentoring and advocating. Our initial goal was to hire 100 refugees and to mentor 150 by the end of 2022""and we surpassed that goal in just one year. We have now extended our goal and committed to hiring 500 refugees by the end of 2025.
Through this program, we welcomed our colleagues Baheshta Abed Rahimi, and Najlla Habibyar. In the latest episode of our series, ""Something's Brewing: Coffee and Conversation,"" my colleague Mona Babury, CDP, PMP""a pillar of the Pfizer Refugee Leadership Initiative""spoke with Najilla and Bahesta about their unique journeys, the challenges they have faced, and how they're building their futures at Pfizer.
I encourage you to check out this wonderful dialogue that celebrates women's stories.
#WomensHistoryMonth #PfizerProud",DEI
I'm #hiring. Know anyone who might be interested?,MISC
"Sustainable manufacturing? Yes, it's possible and you can learn more by joining TimkenSteel's Andrew Bissot on February 22 for an exciting panel discussion to learn how companies are making positive change in our environment, society and economies. #sustainable #manufacturing #change #timkensteel #atourcore
https://lnkd.in/gjeCVvvB",Environmental Sustainability and Climate
"Mayo Clinic's commitment to a more innovative, accessible, and collaborative platform model of health care is only possible when excellence in patient safety and experience is upheld.
Newly released rankings reflect this vision and the dedication of our staff to provide our patients with Category of One care. Read more:
Centers for Medicare & Medicaid Services: https://mayocl.in/3VKGR6L
The Leapfrog Group: https://mayocl.in/3NNCgyy
DiversityInc: https://mayocl.in/42hDI0w",Health outcomes
"Beyond our focus of delivering outstanding service and solutions to our clients globally, our insights we provide are also key to our relationships as our clients navigate the complexities of the capital markets.
Created with a range of data and expertise across our firm, including our #AssetServicing team, I'm pleased to share the latest edition of BNY Mellon's Alta Report.
Download the full report here:",Economic Outlook
"Big News!YZ My book "" ""The Big House"" "" hit the Amazon Best Seller list for new releases on Aug. 16 in three categories:
#1 in Workplace Behavior
#1 in Human Resources & Personnel Management
#1 in Organizational Behavior
Appreciate the support! If you haven't already, you can get your copy now at https://lnkd.in/gvy3TMD6.",Workforce strategy
"The Global Parity Alliance "" a cross-industry group committed to advancing Diversity, Equity and Inclusion (DEI) around the world "" created the DEI Lighthouse Program to identify initiatives and share insights on what drives DEI impact in the workplace.
I am proud to share that Walmart's Live Better U education program was recognized this year for enabling equity in education. Our more than 1 million associates in Walmart stores, Sam's Club locations, and distribution/fulfillment centers in the U.S. can start earning a college degree or certificate on their first day of work. Walmart pays 100 percent of tuition costs, books and fees for associates.
We are committed to growing our learning programs and accelerating our focus to create a sense of belonging through Walmart's diversity, equity and inclusion efforts. #TeamWalmart #Belonging #DiversityEquityInclusion",DEI
"MedTech is advancing new technology that is enabling access to care outside of traditional healthcare settings "" even into the home "" relieving added stress on patients and caretakers of those with chronic health issues. Our CEO, Tom Polen, shared his thoughts on the potential to make the hospital-at-home vision a reality, a trend that is already underway.
hashtag#medtech hashtag#innovation",MISC
"Today on Juneteenth, we honor our Black colleagues and communities and commit to continuing to foster an inclusive and equitable work environment where everyone can thrive.
#KPMGProud #Juneteenth #DEI",MISC
"February 11th was #internationaldayofwomenandgirlsinscience "" a meaningful day for my family.
My Grandmother (Maneck-ben): Early 1900's, she became one of the first literate women in her village with the help of a home tutor. Encouraged her daughters.
My Aunt (Guni-masi): Engaged in high school (customary)"" Her Fiance's grandparents recognized her potential, postponed wedding (breaking tradition) and encouraged/supported her to go to medical school "" Graduated 1st in her class and the only woman"". Treated many underprivileged people in her career
My mom (Niroo): Excelled math and sciences at a young age"" Followed her big sister"" Slept in the day and studied at night so she could concentrate in a humble crowded apartment"" 1st woman in family to leave India to persue medicine in the US"" coming alone in early 1970s"" Dedicated her career to pharma research bringing critical drugs to market.
A small opportunity for education + belief and bravery to break tradition + willpower to peruse a dream
Has equaled === tremendous amounts of opportunities for me, my sister @monisha iyer, and so many""
My daughters and nieces now add to this equation in their own way.
Digital inequality is something that I am privately learning about and supporting"" 1/3 of the world does not have access to internet with women up to 50% less likely to be using the internet than men.
Like my grandmother's access to a home tutor, simple access to the internet can start an equation that adds so much to this world.
Robert Enslin Daniel Dines Brandon Deer Vijay Khanna Bobby Patrick Toni Iafrate Brigette McInnis-Day Chris Weber Ted Kummert Mihai Faur Kelsey Turcotte Dana Forfa Malina Cojocaru Hitesh Ramani Razvan Nutica
#womenscienceday #internationaldayofwomenandgirlsinscience #Digitalequality",MISC
