Post Content,Themes,Thought Leadership?
"Rolling out v1 of an AI ICP (Ideal Customer Profile) builder soon. Here's how it works:1. Users input up to 250 URLs of their top customers and prospects.2. Each URL is enhanced with data...think firmographics, tech used, etc.3. AI highlights commonalities across your best customers4. User receives ICP report (in <1 hour) ICP report includes an Ideal Customer Profile summary, filters to use to find ideal prospects, count of prospects in your ICP, analysis of your best customers, & enhanced data CSV.Interested in beta testing? I'd love to get your feedback along the way.Feel free to message, email, or comment and I'll set up a trial for you.hashtag#idealcustomerprofile hashtag#ai","AI/Machine Learning,Customer centricity,Human-centered design,Product Development,Digital transformation",checked
"Today we are excited to unveil Vieu. Powered by its proprietary Generative AI and Connections Graph assets, Vieu uplevels every sales pursuit into faster, bigger strategic wins.We are building a long lasting enduring company headquartered in our own backyard - yes here in Seattle. Seattle is home to some great B2B Sales companies like Outreach, Highspot - just to name a few.We at Vieu are pioneering a very different way of doing Enterprise Sales that starts with a Warm Intro instead of cold outreach or spam. And continues to add value to the buyer from the first meeting. Imagine being able to get a warm intro for every target account - every time. We are also hiring in all departments in Seattle. Come talk to us!A huge shout out to Nathan Bek, Taylor Soper and entire Geekwire team for featuring us. Simon Skaria Ethan S. Amrish Chaubal Chetan Patel Ashwin Sande","Product Development,AI/Machine Learning,Digital transformation",
"WOW, time flies! I'm so proud to share with you all that in like 10 days I will be a speaker at Oracle CloudWorld 2023. One year ago DISCORDIA Transport & Logistics decided to embark on a digital transformation journey with Oracle as one of its key technology partners. On 21st of September, I will shed some light on the transformation journey with Oracle Transportation Management (OTM) and CPQ so far. I am very excited and proud to be among the top experts. Thank you, Oracle, for your invitation!Las Vegas, Iâ€™m coming! Network, if any of you are attending Oracle CloudWorld, let me know. I will love to meet and greet on site.hashtag#DISCORDIA hashtag#Oracle hashtag#CloudWorld hashtag#transportation hashtag#management hashtag#digitalisation",Digital transformation,
"The future of health will require coding, coverage, and payment that supports digitally enabled care. Discover the results of the American Medical Association's collaboration with Manatt Health, where we examined commercial payer coverage of #digitalhealth #CPT codes and some key trends we're seeing in the space.

📢 Spoiler alert - we need more consistency and transparency to support physicians and patients in using and accessing digitally enabled care at scale! Read more here: https://lnkd.in/gzm7pJda 

Laura Fritsche, MHA Meg Barron Carol Vargo Jared Augenstein Allie (Levy) Chafetz Amanda Azadian","Digital transformation,Customer centricity",
"AI@Morgan Stanley is about helping our advisors service their clients more effectively and to deliver differentiated advice. In 2023 human engagement remains our most important driver of growth. AI is about helping our advisors do better, not a replacement for them. 

Congratulations and thanks to the entire team who worked so hard to make this a reality.","AI/Machine Learning,Digital transformation,Product Development",
"At Advanced, like the majority of businesses, weâ€™re on a journey of constant evolution - evolving our hashtag#service, evolving our hashtag#platform, evolving our hashtag#talent, evolving our hashtag#processes and evolving our hashtag#thinking, our evolution is hashtag#purposeful. And that purpose is entirely for our hashtag#customers, to help them in â€˜Powering the world of workâ€™. The power from our hashtag#digitalIP, the world leveraging hashtag#data and the work through hashtag#integratedworkflow.In collaborating with our customers, we help millions of nurses, doctors, teachers, students, finance professionals, legal professionals, HR professionals to thrive. Our software is engineered for specific workflow and sectors, to aid our customers employees to effortlessly get their jobs done.Thank you to all our customers who are helping us evolve. We value your feedback and love to serve you. And thank you to all our team-members who are also evolving inline with our mission, they are powering the world of our customers work.ðŸ”— Visit us today and see for yourself what a future with Advanced looks like www.oneadvanced.comhashtag#OneAdvanced hashtag#advanced hashtag#NewLaunch hashtag#Innovation hashtag#Productivity hashtag#BrandLaunch hashtag#BusinessGrowth",Digital transformation,
"Many health leaders and organizations TALK about innovation, some ACT on innovation, but very few LIVE innovation more than Roberta Schwartz and Houston Methodist!  This conversation is as entertaining as it is illuminating!",Digital transformation,
"Leading up to #HLTH2023 next week, I am thrilled to be sharing the stage with Nassib Chamoun to talk about leveraging AI technology to transform patient care. 

Through a partnership with Health Data Analytics Institute (HDAI), we are creating a holistic risk profile for each patient that is current, timely and available to every care team member system-wide to allow us to improve transitions, care coordination and handoff and deliver an improved patient experience. We must use #AI to reshape the EMR, making the EMR work for providers of care rather than providers working for the EMR.

I am also looking forward to ""shopping"" the tradeshow floor to see the latest innovations shaping the future of healthcare. What should I not miss while at HLTH this year? 

#HealthcareonLinkedIn #healthcareinnovation #digitalhealth ","Digital transformation,Customer centricity,AI/Machine Learning,Product Development",
"ðŸš€ This week we launched Project Hive! ðŸŽ‰We've successfully navigated through the intricate web of a massive ERP implementation and a new Dealer Portal for our customers in EMEA! The achievement was only possible thanks to the concerted effort of numerous people and teams across the globe. ðŸŒ This is a significant step forward in our digital transformation journey!Enormous gratitude to our partner, Avanade, whose expertise and relentless support have been instrumental in realizing our vision. ðŸ¤ Big support from Bertrand Demaison Bernd Weidenmueller and Christian CossonVery thankful to JoAnna Hesse, Tessa Otto, PMP, CSM and Tommy Skaue from Microsoft who guided us through this implementation. A monumental THANK YOU to our project sponsors RenÃ© Basei, Sean Bagan, Laurent Kuhlmann, Matt Emmerich and Vic Koelsch who not only believed in the potential of hashtag#ProjectHive but also equipped us with the necessary resources, ensuring a smooth and successful journey. ðŸ™ Your backing was pivotal in navigating through the challenges and towards our goals!But we wouldnâ€™t have achieved our goal if the Program had not been masterfully orchestrated by Sonia Reverchon, PMP, ITIL. She kept all of us accountable, on time, on budget and ensured we were delivering a quality solution that drives real business results!To each and every member who was a part of this journey - your dedication, passion, and expertise have been the cornerstone of this success. ðŸš€hashtag#ERPImplementation hashtag#Teamwork hashtag#GlobalCollaboration hashtag#SuccessStory hashtag#Innovation","Digital transformation,Product Development",
"Today's the day! 👇 If you're at #HLTH2023, join us as we talk about delivering on digitally enabled care!

11AM PT in LVCC, Lvl 3, Rm 325-327 

To learn more about the AMA's future of health work here: https://lnkd.in/g22fk-Y8

American Medical Association Manatt Health Rasu Shrestha MD MBA Grace Cordovano, PhD, BCPA Virna Little",Digital transformation,
