profileUrl,postContent,Linked Record Field,Themes,Content Format,type,First Name (from Linked Record Field),Last Name (from Linked Record Field),Company (from Linked Record Field),Industry (from Linked Record Field),Title (from Linked Record Field),timestamp,postUrl,imgUrl,Created/Cultivated/Curated,error,Subthemes,Thought Leadership?,likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,Weekday,Time of Post,Date of Post,Day of the Week,3/24-4/23?,Posts vs Engagements,Hour of Post,Month of Post,4/23-5/23?,documentTitle,documentPageCount,thought leadership
https://www.linkedin.com/in/ulerio/,"""Hi Miguel, welcome to day 7. Here are relevant training options based on your onboarding questionnaire.""

New in Microsoft Copilot Studio: create copilots that act as agents 🚀

Copilot agents orchestrate complex business processes. They act as independent agents working for you to look up information, reason over data, and use generative AI to kick off the appropriate chain of actions in response.

For example, an employee onboarding copilot:
- 📤 Gets trigged from a new hire event
- 👋 Sends introduction message with personalized onboarding plan
-  📊 Reasons over data to answer employee questions
- 📚 Recommends personalized training based on employee background

The underlaying capabilities that make it all possible:
- 𝗢𝗿𝗰𝗵𝗲𝘀𝘁𝗿𝗮𝘁𝗶𝗼𝗻 𝗼𝗳 𝗰𝗼𝗺𝗽𝗹𝗲𝘅 𝘁𝗮𝘀𝗸𝘀. Use generative AI to plan and reason to manage complex, multistep tasks.
- 𝗠𝗲𝗺𝗼𝗿𝘆 𝗮𝗻𝗱 𝗰𝗼𝗻𝘁𝗲𝘅𝘁. One frustrating thing about support is having to repeat yourself many times. Copilots learn from previous history to personalize interactions, so you don't need to repeat yourself every single time.
- 𝗠𝗼𝗻𝗶𝘁𝗼𝗿𝗶𝗻𝗴 𝗮𝗻𝗱 𝗶𝗺𝗽𝗿𝗼𝘃𝗶𝗻𝗴. Copilots can learn and adapt, providing a comprehensive history of its activities. You can see what actions and decisions it made -- and correct and teach them with just a few clicks.
- 𝗗𝗲𝗹𝗲𝗴𝗮𝘁𝗶𝗼𝗻 𝘄𝗶𝘁𝗵 𝗰𝗼𝗻𝗳𝗶𝗱𝗲𝗻𝗰𝗲 𝗮𝗻𝗱 𝗴𝘂𝗮𝗿𝗱𝗿𝗮𝗶𝗹𝘀. Copilots operate strictly within the defined instruction, knowledge, and actions, and maintain stringent security measures and controls.

When can I use it?
- These new capabilities are currently accessible to customers participating in a limited private preview.
- Organizations such as Centro de la Familia are exploring agent capabilities that support teachers and case workers, allowing them to spend less time on administrative tasks and more time working with children, ultimately leading to better child outcomes.

Check out the announcement here: https://lnkd.in/evN7fqVV",https://www.linkedin.com/in/ulerio/,Digital Transformation,video,Video (LinkedIn Source),George,Ulerio,Bank of America,Banking,Senior Vice President - Head of Executive Technology & Trading Support at Bank of America,2024-07-01 15:44,https://www.linkedin.com/feed/update/urn:li:activity:7199585816908627968,https://media.licdn.com/dms/image/D4E05AQH-0lDprdj0PQ/videocover-low/0/1716493970528?e=1720454400&v=beta&t=2WAIwhvAQ6LPJaORvVTH2z7b7I5MvjUKmt6CVFKExjM,,,,checked,18,2,0,1mo,Miguel Martinez this is pretty cool.  Are you able to do this with personal account or do you need enterprise?,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7199497492030181376/?commentUrn=urn:li:comment:(ugcPost:7199497492030181376,7199585776689459201)&dashcommentUrn=(7199497492030181376,urn:li:ugcPost:7199497492030181376)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7199497492030181376,George Ulerio commented on this,,,2024-05-23 19:52,blob:https://www.linkedin.com/f55c36d6-86a3-4f2a-91aa-eccca4c06514,,,,,,,,Thursday,11:52 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/rcurran1/,I am so grateful for having the opportunity to present our new account opening review automation during this week’s Signaure User Group conference. It was amazing to see where we started several years ago to where we are now. A true testament to the power of collaboration and curiosity. #fultonemployee,https://www.linkedin.com/in/rcurran1/,Digital Transformation,Personal/Public Pictures,Image,Ryan,Curran,Fulton Financial Corporation,Banking,Senior Vice President -Director of Process Optimization and Process Operations,2024-07-01 16:00,https://www.linkedin.com/feed/update/urn:li:activity:7202408956680421376,https://media.licdn.com/dms/image/D4E22AQGpNTT6CLi4Jw/feedshare-shrink_2048_1536/0/1717176864020?e=1722470400&v=beta&t=38SFhULRzYvyMaNusF_xIA2o5UGcfkZWqzT7qjCpgE8,,,,,63,5,0,4w,,,,Ryan Curran likes this,,,2024-05-31 20:41,,,,,,,,,Saturday,12:41 AM,6/1/2024,,,,,,,,,
https://www.linkedin.com/in/lischett/,"Discover how Tropicana Brands Group (TBG) embarked on a global #ERP transformation to SAP S/4HANA on RISE. TBG worked with PwC to execute a rapid IT system separation in just 16 months which set the joint venture up on a new, curated platform built specifically for the needs of their business. Register today to secure your seat! #PwC_SAP #SAPSapphire2024",https://www.linkedin.com/in/lischett/,Digital Transformation,article/blog/company website/press release,Article,Jeff,Lischett,Tropicana,Consumer & Industrial Products,CIO,2024-07-01 16:55,https://www.linkedin.com/feed/update/urn:li:activity:7203116167601823747,,,,,,39,2,0,4w,Can't wait!,"https://www.linkedin.com/feed/update/urn:li:activity:7202793021107503104/?commentUrn=urn:li:comment:(activity:7202793021107503104,7203116132667461634)",https://www.linkedin.com/feed/update/urn:li:activity:7202793021107503104,Jeff Lischett commented on this,,,2024-06-01 22:07,,,,,,,,,Sunday,2:07 AM,6/2/2024,,,,,,,,,
https://www.linkedin.com/in/fgpadilha/,"Working alongside Nico Barawid is a privilege on many fronts, not least because of his elegance of writing & thinking which shapes our product every day. Here, he shares some of the context we’re working within at Tunic Pay and the importance of the industry coming together around fraud prevention in real-time payments.",https://www.linkedin.com/in/fgpadilha/,"Digital Transformation,Innovation",news article,Article,Frederico,Padliha,Capital One,Banking,Head of Strategy for Enterprise Product and Experience,2024-07-01 15:48,https://www.linkedin.com/feed/update/urn:li:activity:7203385471853326336,,,,,checked,22,0,0,4w,,,https://www.thisweekinfintech.com/ukeu030624/,Frederico Padilha likes this,,,2024-06-03 13:22,,,,,,,,,Monday,5:22 PM,6/3/2024,,,,,,,,,
https://www.linkedin.com/in/mastephen/,"I have been applying to many internships for almost 9 months now and I have a couple of resumes based on the role. But at times, there is some specific technology that the job description mentions, which I have worked on but didn’t add to my resume to avoid cluttering. At times, I also edit certain points based on the role. And while I store the multiple versions of my resume on my laptop, I like to keep the naming consistent and avoid the terms (2), copy, etc. However, I often have to create multiple folders to track which resume I submit for a particular company. This takes around 10-20 seconds for every application, and if I am submitting my resume with major edits for multiple roles, that takes some additional time. So, I built a short script in Python (I like to call it a mini-project!) to save some time for me. The way it works is - when I make the edits and download my resume, I ensure it is in the following format -FirstNameLastName_Resume_RoleName_Company. This script will create a folder based on the company name and then create a sub-folder for a specific role within the company, all while keeping the file name consistent (FirstNameLastName_Resume.pdf).
Here's a short demo of the same.
https://lnkd.in/gs9mHXgA
#resume #project #automation #python #scripting",https://www.linkedin.com/in/mastephen/,Digital Transformation,"video,article/blog/company website/press release",Article,Stephen,Ma,Walgreens,Healthcare Payers,"Acting Chief Architect, Enterprise Architecture",2024-07-01 17:26,https://www.linkedin.com/feed/update/urn:li:activity:7204695336861220864,,,,,checked,588,24,1,3w,Modern problems require modern solutions.  Well done!,"https://www.linkedin.com/feed/update/urn:li:activity:7204187728156975106/?commentUrn=urn:li:comment:(activity:7204187728156975106,7204695323208810496)",https://www.linkedin.com/feed/update/urn:li:activity:7204187728156975106,Stephen Ma commented on this,,,2024-06-05 18:30,,,,,,,,,Wednesday,10:30 PM,6/5/2024,,,,,,,,,
https://www.linkedin.com/in/lischett/,"This week at #SAPSapphire, four industry-leading companies joined Scott Russell and Thomas Saueressig on stage in Orlando to discuss how they are using SAP technology to deliver high-value results for their businesses.

Learn more: https://sap.to/60405yNW0

PureTech Scientific | Tropicana Brands Group | Fresenius Group | Hitachi High-Tech Corporation",https://www.linkedin.com/in/lischett/,Digital Transformation,"article/blog/company website/press release,Personal/Public Pictures",Image,Jeff,Lischett,Tropicana,Consumer & Industrial Products,CIO,2024-07-01 16:56,https://www.linkedin.com/feed/update/urn:li:activity:7204853328747384833,https://media.licdn.com/dms/image/D4E10AQFj3_3ZRoy6zA/image-shrink_800/0/1718577864884?e=1720458000&v=beta&t=uMIjWsKh8J_4G6Usu_iQqkv04OqHBFlob877v-cXHA4,,,,,178,0,6,3w,,,,Jeff Lischett likes this,,,2024-06-07 14:34,,,,,,,,,Friday,6:34 PM,6/7/2024,,,,,,,,,
https://www.linkedin.com/in/jordansheila/,"A lack of access to technology should never be a barrier to someone’s potential growth, to making someone’s future. This marked a significant day for us at Honeywell as we join other members of the local corporate community and E2D - Eliminate the Digital Divide in awarding 700 refurbished laptops to the bright students of Charlotte-Mecklenburg Schools, who are poised to begin their academic adventures at Historically Black Colleges and Universities (HBCUs) this fall.

This cause holds profound personal significance for me, as it paves the way for future generations to thrive and innovate in closing the digital divide.

#Honeywell #Futureshapers #DigitalDivide #EducationalEquity #E2D #TechnologyForAll",https://www.linkedin.com/in/jordansheila/,Digital Transformation,,Image,Sheila,Jordan,Honeywell,Consumer & Industrial Products,"Senior Vice President, Chief Digital Technology Officer at Honeywell",2024-07-01 16:42,https://www.linkedin.com/feed/update/urn:li:activity:7207387576381403136,https://media.licdn.com/dms/image/D4D22AQHGc7A0VPfOow/feedshare-shrink_800/0/1718323043856?e=1722470400&v=beta&t=C1MwuNmKckAX2afhq3p-6-7haZrV-Sxzm0DcO9l2ebM,,,,,76,4,0,2w,Fantastic! Truly making a difference!,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7207386165321068545/?commentUrn=urn:li:comment:(ugcPost:7207386165321068545,7207387555908993027)&dashcommentUrn=(7207386165321068545,urn:li:ugcPost:7207386165321068545)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7207386165321068545,Sheila Jordan commented on this,,,2024-06-14 14:19,,,,,,,,,Friday,6:19 PM,6/14/2024,,,,,,,,,
https://www.linkedin.com/in/durhamjulie/,"Technology is fueling health care’s transformation. Today I was honored to present at the Generis American CIO & IT Summit and share how leveraging digital tools, interoperability, and other advanced technologies can simplify health care, improve experiences for patients and clinicians, and improve health care outcomes such as enabling seniors to enjoy more healthy days at home. Technology is essential to our mission at Optum Health and our industry’s calling – and the potential is enormous!


#optum
#generis",https://www.linkedin.com/in/durhamjulie/,Digital Transformation,,Image,Julie,Durham,United Healthgroup,Healthcare Payers,"Chief Digital Officer, Sempra",2024-07-01 17:24,https://www.linkedin.com/feed/update/urn:li:activity:7207380164761063426,https://media.licdn.com/dms/image/D5622AQG_62hvym99tQ/feedshare-shrink_800/0/1718366228849?e=1722470400&v=beta&t=gTPERBI6Cn2rsXCCovGrlCctzllAobb1LtGNQ9vIMEA,,,,,538,30,3,2w,,,,Julie Durham likes this,,,2024-06-14 13:55,,,,,,,,,Friday,5:55 PM,6/14/2024,,,,,,,,,
https://www.linkedin.com/in/sandeepdadlani,"Technology is fueling health care’s transformation. Today I was honored to present at the Generis American CIO & IT Summit and share how leveraging digital tools, interoperability, and other advanced technologies can simplify health care, improve experiences for patients and clinicians, and improve health care outcomes such as enabling seniors to enjoy more healthy days at home. Technology is essential to our mission at Optum Health and our industry’s calling – and the potential is enormous!


#optum
#generis",https://www.linkedin.com/in/sandeepdadlani,Digital Transformation,,Image,Sandeep,Dadlani,United Healthgroup,Healthcare Payers,"Executive Vice President, Chief Digital & Technology Officer",2024-07-01 17:25,https://www.linkedin.com/feed/update/urn:li:activity:7207374658159923200,https://media.licdn.com/dms/image/D5622AQG_62hvym99tQ/feedshare-shrink_800/0/1718366228849?e=1722470400&v=beta&t=gTPERBI6Cn2rsXCCovGrlCctzllAobb1LtGNQ9vIMEA,,,,,538,30,3,2w,Looking good Mouli Venkatesan,"https://www.linkedin.com/feed/update/urn:li:ugcPost:7207350351136497665/?commentUrn=urn:li:comment:(ugcPost:7207350351136497665,7207374648613765120)&dashcommentUrn=(7207350351136497665,urn:li:ugcPost:7207350351136497665)",https://www.linkedin.com/feed/update/urn:li:ugcPost:7207350351136497665,Sandeep Dadlani commented on this,,,2024-06-14 11:57,,,,,,,,,Friday,3:57 PM,6/14/2024,,,,,,,,,
https://www.linkedin.com/in/jamesnewsom/,"Great illustration of how impressively helpful LLMs can be with the right requests. Note that the secret sauce of this prompt is a handful of example frameworks which you wouldn’t know about if you didn’t know about ‘frameworks’ already. Just as with colleagues, often you need to know a little about a topic to know to ask the right question.",https://www.linkedin.com/in/jamesnewsom/,Digital Transformation,,Article,James ,Newsom Jr.,Jaccuzi,Consumer & Industrial Products,"Senior Director, Data Services",2024-07-01 16:43,https://www.linkedin.com/feed/update/urn:li:activity:7208840553130516481,,,,,,6,0,0,1w,,,https://chatgpt.com/g/g-vZ7SgKBOh-framework-finder,James Newsom Jr finds this insightful,,,2024-06-18 14:38,,,,,,,,,Tuesday,6:38 PM,6/18/2024,,,,,,,,,
