PostContent,Theme
"I continue to be inspired by how we help our customers leverage the latest technologies to drive meaningful business outcomes. If you are interested in hearing from Data and AI experts and learn how you can best leverage #OpenAI in your business, be sure to connect with our team of Rackers to secure your spot.",MISC
"Iâ€™m so proud of our entire Informatics team for earning @Genentech the second place ranking in the 2023 #BestPlacesIT award from @Computerworld, marking this as our 14th consecutive year on the list!
This is an outstanding acknowledgement for our talented, hardworking team. Bravo!
Check out the full article to hear more about our unique IT culture: Genentech cracks the code for a healthy, happy workforce | Computerworld
https://lnkd.in/eTHd5rdP
#rocheproud",MISC
Iâ€™m happy to share that Iâ€™ve started my Master's Degree in Legal Studies at University of Oklahoma College of Law!,MISC
"Gustspeaker bei der Roche AG - welch toller Event! Danke fÃ¼r das Vertrauen und es hat mir viel Freude bereitet ""on the stage"" sein zu dÃ¼rfen und meine langjÃ¤hrige Berufserfahrung zum Thema ""Career On The Move"" zu teilen.
Gestern hat der mit viel Freude und lang erwartete Event fÃ¼r die Administrative Community der Roche stattgefunden. Mehrere hundert Professionals haben an diesem Event teilgenommen, der fantastisch organisiert wurde. Ein Event der Extraklasse zum Networken, zur Inspiration, zur Unterhaltung und zum Geniessen.
Doch besonders war es ein Event fÃ¼r die Anerkennung und WertschÃ¤tzung der Assistants. Love it!
#motivatingvibes #passionatepeople #juttaschilling #sparringpartner #executiveassistant #assistentin #headhunter #personalberater #humanis #primetower #jobs #jobsuche #jilcoduti #talentacquisition
See translation",MISC
"When CEO & Founder Mark McClain started SailPoint 17 years ago, he only had a glimpse of how important #identitysecurity would become for some of the worldâ€™s largest organizations. Since then, SailPointâ€™s software has become integral to helping companies ensure that their employees have access to the information that they need. Hear our Managing Partner Seth Boro and SailPoint's Mark McClain discuss the partnership that led to our first-ever IPO of a portfolio company and more on this episode of Thoma Bravo's Behind the Deal podcast.
ðŸŽ™ï¸ Listen and subscribe: https://bit.ly/3Z8Ny2B #behindthedealpodcast #privateequity #identitymanagement",Data privacy and cybersecurity
"Join us on November 14 for a live webinar, ""Diversity Journey: Where Do I Start?"" In this insightful session, our expert panel, featuring Cristina Jimenez, Jimmy Davis, Ph.D., and Adam Magerman, PhD, will guide you through the essential questions:
-Where to start on your DI&B journey?
-How to rally leadership support for DI&B initiatives?
-Defining success and creating followership.
-Techniques to promote belonging among employees.
-The significance of measurements and individual experiences.
This webinar is a must-attend for DE&I professionals committed to fostering DI&B as a core leadership principle. Register today: https://bit.ly/3Q839gf
#DEI #RHRGlobalLeadership #DIandB",DEI
"Happy Mother's Day to mothers and mother figures everywhere! Thank you for all that you do. Mothers truly are specialâ€”guiding, supporting and showing generosity to the loved ones in their life. A special thank you to all the mothers in my life, especially my wife, Cindy Oh!",MISC
"I kicked off my annual gratitude campaign this week. The holiday season is a natural time to pause, reflect and share appreciation for those around you. Iâ€™ll spend some time in the coming weeks celebrating some of the many leaders, associates and teammates who have made a positive impact this year. To begin this seasonâ€™s series of posts, I want to share my appreciation for Judith McKenna As you may know, Judith recently shared her decision to retire from Walmart after 27 incredible years with company. Iâ€™ve been so impressed by Judithâ€™s leadership, and am continually inspired by her heart, passion and commitment to being a role model for women across Walmart and for making a difference for our associates around the world. It's no surprise Judith is often included on lists highlighting the worldâ€™s â€œmost powerful women.â€ The recognition is deserving and she has served as an inspiration for so many. Thank you, Judith, for leaving a lasting impact on our company and displaying what it truly means to be people-led at Walmart. While youâ€™ll be missed, Iâ€™m so happy for you and your next chapter. hashtag#TeamWalmart hashtag#Gratitude2023.",MISC
"Today, December 5, 2023, marks Algorics's 10th anniversary.
A decade ago, what commenced as an individual's vision has now evolved into a thriving reality. This milestone is not merely a celebration of the company's achievements but a testament to the collective efforts of our remarkable team and supporters.
Reflecting on the journey that has brought us to this significant juncture, our early days from 2013 to 2018 were laden with challenges, ranging from securing funding, building a reliable team, and designing the product from the ground up. All this while navigating a competitive market and culminating in an eventual asset sale. Despite the daunting obstacles, this period forged the resilience and innovative spirit that laid the foundation for version 2.0, initiated in 2020, defining the company as a fast-growing, innovative data science CRO.
As we expanded, so did our team and network of supportersâ€”organically and through acquisitions such as MetaVate and DCDS. I extend my heartfelt gratitude to every employee who joined us along the way. Your dedication, creativity, and hard work are the backbone of our success.
At the core of everything we do are our clients and customers. I am forever grateful to the early believersâ€”our initial customers and investors who saw potential in our vision and paved the way for our current successes. Every client we have supported has shaped our products and services through continuous feedback, loyalty, and engagement.
The journey ahead continues to be promising, and our commitment to innovation and excellence remains unwavering. I want to express my profound appreciation to everyone who has been part of our journey. Your support, in its many forms, has been the lifeblood of Algorics.
Here's to the next decade of growth, innovation, and shared success!",MISC
"I am humbled and honored to assume the role of President of the IFPMA (International Federation of Pharmaceutical Manufacturers and Associations).
This important organization consists of more than 90 pharmaceutical companies and associations and works closely with the United Nations to advance global health through discovering, developing and delivering medicines and vaccines. This talented group of colleagues is as passionate as I am about improving the lives of people everywhere.
If there is one thing that the past three years taught us, it is that nothing is impossible. I believe the things we accomplished during that period are just the start of a scientific renaissance, one in which previously unimaginable therapies and medicines can be discovered, developed, and delivered to patients more quickly than ever before. Over the coming decades, all of us in the life sciences sector hope to deliver game-changing innovations to address some of the worldâ€™s most devastating diseases, including cancer, diabetes, and neurological and muscular disorders.
That is what excites me the most about the presidency of the IFPMA: it is an unparalleled opportunity to make real, lasting and positive changes in the field of healthcareâ€”so that the health issues that vex us today will be ancient history for our children and grandchildren. Thank you to my predecessor Jean-Christophe Tellier, who has accomplished so many great things over the past two and a half years, and to Thomas Cueni, for making this transition so smooth and seamless.
https://bit.ly/3rr7IK3",MISC
