postContent,theme
I joined the CNBC Squawkbox crew this morning to discuss our Q2 earnings and what is ahead. Very proud of the #DocuSign team.,Economic Outlook
"As a health care company entrusted with caring for more than 150 million people, quality is business critical. I had the opportunity to sit down with a group of employees at our Washington D.C. office to talk about the importance of quality and what we can do as a company to break down even more silos, further support our frontline staff and deliver on our mission. I walked away more energized about our collective focus to embed quality in every corner of our company so we can deliver the best possible result for the people and communities who rely on us. hashtag#QualityConnectsUs",Workforce strategy
"Check out this great opportunity at TimkenSteel!
#internalaudit #AtOurCore",Workforce strategy
"This #FathersDay, I'm reminded of some of the wisdom my dad imparted on me: don't be a jerk, and have integrity in all you do. As a father, I've tried to instill these same lessons in my kids "" and I'm grateful for all that they've taught me in return. Also, huge congrats to my son Alex for graduating from NYU last month "" proud dad moment! Happy Father's Day to all the dads and father figures!",MISC
"Many employers view well-being as a key part of their workforce strategy, more so now than in the past. And despite ongoing economic pressures, the vast majority will maintain or boost their investment in well-being programs, according to the 14th Annual Employer-Sponsored Health & Well-Being Survey, fielded by Fidelity Investments and Business Group on Health. https://okt.to/uagzvQ",Workforce strategy
"Great read Allen Thompson! When President Biden signed the CHIPS and Science Act into law, he signed the most significant industrial policy in a generation.
Intel Corporation is the only U.S.-headquartered company equipped to meet the breadth of the CHIPS and Science Act goals "" from our U.S.-based leading edge manufacturing and R&D to our focus on growing the U.S. workforce. We remain committed to fulfilling the vision shared by the administration and Commerce Department to create leading-edge semiconductor clusters, which will energize America's innovation economy, help regain global technological leadership, and rebalance the semiconductor supply chain.",Regulation/Legislation
"The 2023 BDO Technology CFO Outlook Survey examines how 100 tech CFOs are adapting to the changing economic environment and devising strategies to thrive. During this webinar, you'll hear their priorities and plans for the year ahead. Register at: https://lnkd.in/eGTuf7kr? #tech #techcfo",Economic Outlook
Lisa is a true professional. Can anyone in my network help?,MISC
"Labor Day is an opportunity to celebrate the achievements of American workers and remind everyone about the importance of safe working conditions, livable wages, and equitable treatment for all.
At Independence Blue Cross, we strive for an environment where our associates can grow and prosper "" personally and professionally. We are also proud to serve members from Philadelphia's labor unions, as well as some labor union members in other parts of the country.
I wish everyone a safe and happy Labor Day weekend.
#LaborDay #Holiday #AmericanWorkers",MISC
"At #FortuneBrainstormTech today, I will join Jo Ling Kent and Jonas Andrulis for a discussion on advancements in AI and supercomputing.
AI has the ability to solve some of the most pressing societal challenges we face today, and it is imperative it is done so sustainably, responsibly, and with data privacy at the helm. Scaling AI intentionally and ethically in a way that aligns with business values and society's well-being should be non-negotiable.",Data privacy and cybersecurity
"Reposting an outstanding opportunity to work for Ellie Warner at Rivian. Details below. If you're passionate about delivering valuable benefits in a dynamic and fast-growing company with a great mission, this is for you.",MISC
"The Chart team wishes everyone a safe and happy Independence Day!
#IndependenceDay #FourthOfJuly",MISC
"I had the great opportunity with our CEO, Jeff Harmening, to share General Mills' progress advancing the Accelerate Strategy 3+ years since launch. In that time, we've reshaped our portfolio, grown our market share on priority categories, and driven top-tier shareholder returns. None of this would have been possible without the 30,000 employees worldwide who have executed exceptionally well through uncertain and challenging times. #strategy #CAGNY #iwork4generalmills",Economic Outlook
"""Given the business-critical nature of software and its attractive recurring revenue profile, we remain excited about the opportunities in the market and work hard to aim to deliver for our investors who have maintained their confidence in Thoma Bravo's vision, strategy and approach,"" Jennifer James, Managing Director, Chief Operating Officer and Head of Investor Relations & Marketing, discusses via Private Equity Wire.
Read why we believe the enterprise software sector represents significant investment opportunities for growth: https://lnkd.in/ggthfpNC",Economic Outlook
"Meeting with #walkerdunlop clients is one of the great joys of my job. Last week I had the pleasure of celebrating CRE legend Gerry Ranglas' birthday at Poseidon Restaurant in Del Mar with Hunter Combs, Tricia Linden, and Trevor Brotman. Happy Birthday, Gerry!!",MISC
"Enjoyed chatting with Liz Claman on Fox Business today about our roadmap and the role of AI.
#docusign
https://lnkd.in/g_35gDey",MISC
I'm #hiring. Know anyone who might be interested?,MISC
"I'm excited to share our Q4 and full year 2022 results! This week, Alteryx announced both record revenue and net new ARR, along with an accelerated return to positive non-GAAP profitability. We are excited to begin a new fiscal year with continued momentum!
View our new shareholder letter here: https://lnkd.in/gkZnNnSs
#analyticsforall",Economic Outlook
"Read the August issue of the Journal of Financial Planning to learn where real growth in financial planning firms comes from and how to find it, why business is at least a little bit personal for financial planners, and what factors are associated with an increased tolerance for risk.
This month features content from Penny Phillips, J.J. Peller, Dan Johnson, Jennifer Hollers, CFP, David DeVoe, Chris Heye, PhD, HanNa Lim, Bob Fee, Julie Fortin CFP , FBS , CeFT , Mary Martin PhD, Jason Anderson, CFP , CPA, and Derek Lawson, Ph.D., CFP !
https://lnkd.in/e7dcsPp8",Economic Outlook
