postContent,theme
"As the nights get darker here in Germany, the lights shine brighter "" and that is also what makes hashtag#Diwali so special. Over the next couple of days, many of my colleagues around the world will be celebrating this festival of light and hope. It's a time for togetherness and a reminder of the many ways we are all interconnected. So, to all of our colleagues, customers, partners, and friends who are marking this special occasion, I wish you a Diwali filled with happiness, prosperity, and peace. May the lights guide your journey toward success and fulfilment.",MISC
"As a health care company entrusted with caring for more than 150 million people, quality is business critical. I had the opportunity to sit down with a group of employees at our Washington D.C. office to talk about the importance of quality and what we can do as a company to break down even more silos, further support our frontline staff and deliver on our mission. I walked away more energized about our collective focus to embed quality in every corner of our company so we can deliver the best possible result for the people and communities who rely on us. hashtag#QualityConnectsUs",Workforce strategy
Pfizer once again received an hashtag#Equality100 score in HRC's Corporate Equality Index. I'm hashtag#PfizerProud of our commitment to LGBTQ+ workplace inclusion! hashtag#PFEColleague,DEI
"On #WorldRefugeeDay, I'm proud to co-sign this statement with Pfizer's partner, the International Rescue Committee, alongside other business leaders to call on the private sector to help create new, long-term solutions to address the growing refugee crisis. With more than 100 million people displaced globally, advocating for the private sector's role in tackling the global refugee crisis is more important than ever. In line with Pfizer's core value of #equity, we are committed to doing our part to support the economic inclusion of refugees and other displaced people through hiring, mentoring and advocating. In September 2021, we launched the Refugee Leadership Initiative with a commitment to hire 100 refugees and mentor an additional 150 refugees by the end of 2022. We achieved both goals ahead of schedule, and now our expanded pledge includes hiring 500 refugees in the U.S. and an additional 100 refugees in Europe, and mentoring 300 refugees, by the end of 2025.",DEI
"We are seeking a Medical Director (Part-Time) to join our team in Puerto Rico! This is a great opportunity to make a meaningful impact on Kidney Health Management!
If you or someone you know is interested, please reach out to me.
#hiring #md #mdjobs #nephrologist #prjobs",MISC
"Today, I'm proud to share our FY2022 Q3 results, which demonstrate continued momentum across our business. Our Growth & Launch Products again drove strong performance while we continued to make progress in deleveraging.
Read more about our results and commercial and pipeline updates here: https://lnkd.in/gJ-MZxw4",Economic Outlook
"I'm proud to share that Independence Blue Cross is working with Carallel to provide extra support to caregivers.
When someone returns home from the hospital in a new state of ""normal,"" their loved ones often have to adapt to unfamiliar challenges and responsibilities. Thanks to this new collaboration, they won't have to go it alone. Now, caregivers of #IBX Medicare Advantage plan members discharged from the hospital will have access to a variety of supports, including expert advice, practical assistance, planning resources, support groups, and more.
I'm looking forward to the ways this will make a positive difference for caregivers and patients alike!
#caregivers #supportsystem #collaboration #supportseniors #supportservices",Health outcomes
"I am excited to share with you all our Kendra Scott Mother's Day commercial that highlights our Moments That Matter campaign. At Kendra Scott, we believe that we should celebrate the moments and simple pleasures life offers us; this is especially true on Mother's Day. Our commercial perfectly captures the essence of the campaign, and we can't wait for you all to see it. Check it out now and let us know what you think!

https://lnkd.in/gDbPpjfm",MISC
I'm #hiring. Know anyone who might be interested?,MISC
"Short-term interest rates are looking oh-so-tempting right now, which might have you rethinking your portfolio allocations. But as our VP of Investments Ankur Patel, CFA explains in Ellevest's market report this month, there are some opportunity costs to consider. Here's how to think about these high interest rates in the wider context of your investments "" and your long-term goals.",Economic Outlook
"Great article and video showing how SOLARCYCLE is creating an industrial-scale recycling process for solar. This diverts old panels from going to the landfill, reduces carbon pollution from making new panels, builds the supply chain for domestic solar manufacturers, and creates lots of jobs in the process. So great! #solar #supplychain #recycling #video",Supply chain
"The Thanksgiving holiday is an opportunity to become reenergized for the historic fight we face in coming months, when the anti-democracy forces of neofascism and bigotry seek to take over America.",MISC
"Meeting with #walkerdunlop clients is one of the great joys of my job. Last week I had the pleasure of celebrating CRE legend Gerry Ranglas' birthday at Poseidon Restaurant in Del Mar with Hunter Combs, Tricia Linden, and Trevor Brotman. Happy Birthday, Gerry!!",MISC
"ICYMI, during the Milken Institute's Global Conference, BNY Mellon released the latest edition of The Alta Report. From our unique vantage point touching 20% of the world's investable asset flows, this report provides our clients and industry unique insights and context on the themes that matter most to markets. This edition of the report also highlights the ongoing rise of #alternatives into the mainstream "" something that has been pivotal to our work in asset servicing. As the marketplace continues to evolve, and large asset owners globally looked to alternative products to diversify portfolios, we remain committed to working alongside them to provide the #security,#infastructure and #data they need to power their future. Read the full report here:",Economic Outlook
"Every trip to Israel is too short, but this one was really too short. We leave inspired by the resilience and unity of the Israeli people. Will be back soon!
hashtag#startupnation hashtag#resilience hashtag#thanksgiving hashtag#lightoverdarkness",MISC
"Interested in expanding your knowledge in hashtag#genai hashtag#LLMs ? Vectara is discussing new retrieval model hashtag#boomerang, which performs on par with OpenAI and Cohere, Register for free ONLINE STREAMING now!
https://lnkd.in/g4hb5xPc
hashtag#rag hashtag#retrievalaugmentedgeneration hashtag#ai hashtag#ml hashtag#mlengineer",MISC
Sarah Godwin is #hiring. Know anyone who might be interested? #libbeyproud,MISC
"Our heartiest congratulations to IntegriChain as you prepare for your next phase of growth with Nordic Capital. Since Accel-KKR's initial investment in 2016, IntegriChain has always driven by a mission to help pharma innovators and manufacturers reach market access, thereby providing patients with affordable, timely and sustainable access to therapy. We are proud to have played a part in helping you deliver on that mission. More importantly, we have loved working with founders Kevin Leininger, Joshua Halpern and the talented team at IntegriChain to bring their vision to life. We look forward to a successful close and celebrating your milestone!
hashtag#growth hashtag#AdvanceYourJourney
https://lnkd.in/gR2-FSfZ",MISC 
"There's lots of talk about the expected shortage of healthcare workers in the United States.
The sources of this shortage are threefold:
1) need is growing because of the aging population;
2) many healthcare workers are leaving the workforce voluntarily or are retiring; and
3) we are not producing enough new healthcare workers to replace the ones who are leaving or retiring.
The projected US healthcare workforce shortage was anticipated as early as 15 years ago and has always struck me as odd. As a country, the United States has more healthcare workers per capita than most other like nations.
I am reminded that how we define a problem influences how we solve that problem""and I would argue that addressing our workforce shortage requires a much bigger reimagination than simply producing more of the same types of healthcare workers.
Some thoughts on solutions:
1) Unlock the latent skill of all healthcare professionals: many healthcare professions are defined by ""scope of practice"" rules that say what they can and can not do. We need to rethink who does what and in what situations. Pharmacists, for example, are a highly trained and empowered group of clinicians who can do more to help manage the burden of chronic disease than they are empowered to do. Instead, arcane laws and regulations hold back their impact.
2) Reimagine the healthcare team: much ""scope of practice"" dialog is about replacing one type of healthcare worker with another. Rather, we should be thinking about engineering true interprofessional teams that have robust supervision models, escalation protocols, and support so that outcomes and care are owned by groups of people whose collective capacity is greater than the sum of their individual capacity (1+1=3). This isn't about replacing doctors with nurse practioners (as it has been in so many settings) but positioning people to collaborate to ensure sound clinical care.
3) Eliminate useless, non-value added work and tasks: there is so much non-value added work in healthcare. Tons of it. There has been talk for 3 decades about eliminating that non-value added work""yet it continues to layer upon itself. Start with documentation. We are literally crushing ourselves underneath the burden of documentation and administrative exercises that are tangentially related to clinical care. Time to start calling it what it is.
4) Drive consumption of less healthcare: much healthcare that is consumed is not valuable for patients. We have an ""overuse"" problem in US healthcare wherein people are getting services that they don't necessarily need. We could free up a lot of clinical capacity if we began to commit to scaling back on the kinds of services that provide little real benefit to patients.
What are your ideas for addressing the impending workforce shortage?",Economic Outlook
"The lead story on POLITICO this morning is about #executivecompensation, CEO pay and the International Union, UAW strikes. These two paragraphs in particular caught my attention. #employeeownership
At the heart of the tension between management and union members is executive pay that's tied to a company's stock price and becomes more valuable as market returns increase.
""Rank and file employees don't have such an immediate linkage, which leads to these compensation-related conflicts,"" said the University at Buffalo's Michael Dambra, who worked on the pay disclosure study.",Economic Outlook
"Don't miss EY Chief Economist Gregory Daco's 2023 Global Economic Outlook "" he's sharing his analysis for what to expect from a potential recession and how global disruptors like the war in Ukraine and growing concern about debt sustainability factor in. Learn more about how EY can help your business track and navigate these rapidly changing macroeconomic trends and deliver a resilient business strategy that will help you deliver long-term, transformative value. https://lnkd.in/eu-ZBq6q",Economic Outlook
"If LLMs learn by analyzing text from the internet, then ""hallucinating"" means repeating false information found online, right? Not quite. The problem (and solution) is hashtag#summarization! Learn why hashtag#retrieval issues are at the heart of hashtag#GenAI risks in this recent NYTimes article, which features Vectara's latest research and the view of our leadership team: Y",MISC
"Rummaging through my office drawer "" filled with precious objects representing early-career memories "" I am reminded of the many lessons I am grateful to have learned throughout a career spanning three decades!
As I enter my 30th year at PwC, objects such as my college accounting textbook, my old name badges, and even my wedding invitation, remind me of these three key lessons:
Y Don't be afraid to embrace different experiences that come along.
Y Not only will the firm shape you, but so will your clients if you are curious enough. Y And, there is special joy when work and life intersect in surprising ways, if you are open to it.
More than a mere article, this piece represents an opportunity to reiterate to myself "" and share with others "" the ideals that have pushed me along my journey, as well as an opportunity to express gratitude for how far I have come.",MISC
"NEWS RELEASE: DOI Announces Options for Medicare Eligible Idahoans Losing Medicaid
https://lnkd.in/dERvEWiB
The Public Health Emergency permitted Idaho consumers who would have qualified for Medicare to remain enrolled in Medicaid. Consequently, some eligible consumers may have missed the guaranteed issue period for obtaining a Medicare Supplement plan in Idaho.",Health Insurance
"As the last of the Baby Boom generation approaches retirement age, a consequence of the racial wealth gap "" and subsequent crisis "" may be looming: the inability for Black Americans to save for retirement. As reported in @MarketWatch, wage disparities, discriminatory practices that have hampered homeownership, and access to affordable healthcare are just some of the contributing factors. And the pandemic made an already bad situation worse.
Fair access to housing, healthcare, and a living-wage job should be recognized as fundamental rights, accessible by all. Without the basic necessities during one's working years, saving for the future becomes an unaffordable luxury.
https://lnkd.in/emmVSxkn",Economic Outlook
"Successful kickoff event in Riyadh! Great panels, energy and supporters.
Just sharing our opening video, and special thanks to Steve Chen (Co-founder & Former CTO at YouTube), Lili Cheng (Corporate VP at Microsoft, AI & Research Division), Amr Awadallah (Co-founder & CEO at Vectara / Co-founder & Former CTO at Cloudera), and Vint Cerf (Vice President & Chief Internet Evangelist at Google / One of the ""Fathers of the Internet"") for their encouraging words to the entrepreneurs in Saudi Arabia. hashtag#startups hashtag#founders hashtag#saudiarabia hashtag#riyadh hashtag#entrepreneurs hashtag#venturecapital hashtag#founder hashtag#accelerator hashtag#startup hashtag#middleeast hashtag#tech hashtag#innovation hashtag#NTDP hashtag#startupecosystem",MISC
"Just got back from an incredible trip to India where our leadership team and I met with our board of directors.
Businesses around the world continue to diversify supply chains and it's fascinating to see how is India evolving economically. We met with a handful of Indian entrepreneurs and each one of them had a compelling story to tell.
We also had a chance to spend time with our people in our Bengaluru office and beyond. India is our largest location outside the U.S. and I'm excited for our future there. When people look at India, they see opportunity.",Economic Outlook
"Data Mining is the process of discovering patterns, relationships, and insights from large datasets using various techniques like Machine Learning, statistics, and Artificial Intelligence. By leveraging data mining, your company can gain valuable insights to improve operations and drive efficiency. Here's how:
- Identify inefficiencies - Reveal hidden patterns and trends within your operational data, helping you pinpoint areas where processes can be streamlined or automated
- Enhance decision-making - Uncovering insights from historical data, data mining can help you make better-informed decisions, allowing you to optimize resource allocation, reduce downtime, and boost overall operational efficiency
- Predictive maintenance - Analyzing equipment data can help you predict potential failures or maintenance needs, enabling you to schedule repairs proactively
- Supply Chain optimization - Identify trends and patterns in supplier performance, customer demand, and inventory levels to optimize procurement, warehousing, and transportation processes
- Quality control - Identify factors that contribute to product defects or variations, enabling enhanced quality control measures
By leveraging data mining, your company can uncover hidden opportunities for operational improvement, leading to increased efficiency, cost savings, and a stronger competitive edge.
#datamining #data #machinelearning #artificialintelligence",Supply chain
#Snapdragon Automotive Cockpit Platforms will power advanced infotainment systems in Hyundai Motor Group's purpose-built vehicles.,MISC
"The U.S. economy added 187,000 jobs in July "" the most modest gains since late 2020. Job growth appears to be normalizing while strong wage growth and a steadily low unemployment rate illustrate the labor market's resiliency. The gap between job openings and available talent remains significant at nearly 1.6 jobs for every available worker. And while the labor participation rate remains steady at 62.6%, it's still below the 63.3% last seen in February 2020. This persistent imbalance requires creative approaches to skill acquisition through a combination of upskilling, reskilling and outside talent.
https://lnkd.in/giKMa-5s
#JobsReport #WorkforceTrends #DareToWorkDifferently",Economic Outlook
"Great read Allen Thompson! When President Biden signed the CHIPS and Science Act into law, he signed the most significant industrial policy in a generation.
Intel Corporation is the only U.S.-headquartered company equipped to meet the breadth of the CHIPS and Science Act goals "" from our U.S.-based leading edge manufacturing and R&D to our focus on growing the U.S. workforce. We remain committed to fulfilling the vision shared by the administration and Commerce Department to create leading-edge semiconductor clusters, which will energize America's innovation economy, help regain global technological leadership, and rebalance the semiconductor supply chain.",Regulation/Legislation
"Record low unemployment and the labor shortage will be significant factors supporting the economy this year despite the headline grabbing layoffs afflicting tech companies. Though an economic softening may lay ahead, top economists vary widely in their prognostications. I think it's important to consider a range of viewpoints in assessing the strategic outlook and I wanted to share this article I came across from MoneyWise. I share a similar opinion as BlackRock, the world's largest asset manager, in that real estate is a solid hedge, despite a somewhat pessimistic view throughout the article.",Economic Outlook
"Check out and subscribe to this new podcast and newsletter from Thoma Bravo. Hitting the top podcast charts in the US, UK, and CA! Let's gooooo! Ys",Economic Outlook
"Labor Day is an opportunity to celebrate the achievements of American workers and remind everyone about the importance of safe working conditions, livable wages, and equitable treatment for all.
At Independence Blue Cross, we strive for an environment where our associates can grow and prosper "" personally and professionally. We are also proud to serve members from Philadelphia's labor unions, as well as some labor union members in other parts of the country.
I wish everyone a safe and happy Labor Day weekend.
#LaborDay #Holiday #AmericanWorkers",MISC
