postContent,theme
"I'm happy to share that I'm starting a new position as Chief Financial Officer at Panera Brands, Inc.!",MISC
"The 2023 Elastic Global Threat Report is available now! Elastic Security Labs threat researchers have identified threats and trends that you should prepare for. Download the free 2023 Elastic Global Threat Report to learn how you can prevent cybersecurity threats through enhanced visibility, novel capabilities, and seasoned expertise. Learn more here a https://gag.gl/iPSs6Q",Data privacy and cybersecurity
"Join us tomorrow on Tuesday, November 14 at 12:00 p.m. for a virtual town hall titled ""10 Things You Need to Know About Health Insurance,"" and get your questions answered in the Q&A segment! https://bit.ly/3MDlX65",Health Insurance
"This week, I joined fellow health sector leaders at the Health Evolution Summit to discuss how we can safely leverage tech, digital tools, and personalization without compromising patient privacy to bring about much-needed, meaningful change to health care. I spoke about how a distributed data network platform model of care can resolve the seeming paradox for health systems of meeting patient expectations for personalized care while safeguarding sensitive data and protecting privacy resulting in improved outcomes for all.
These concepts can and should co-exist, but doing so requires health care's main players to come together in changing our approach and building a new platform model for health care. #HESummit23",Data privacy and cybersecurity
"Bader Hamdan now taking the stage at Vectara's hashtag#boomerang event talking about the massive economic potential of AI and introducing the new hashtag#ecosystem hashtag#partnership program. 250+ on the LIVE STREAM. Join us!
https://lnkd.in/ge_gufu4",MISC
"This. Is. Huge.
Practical education of this nature from a young age can change lives, break generational cycles, and set up young people for the reality of life in the working world.
YYYYYY
#education #change #stategovernment #fined #michigan",Regulation/Legislation
"I had the great opportunity with our CEO, Jeff Harmening, to share General Mills' progress advancing the Accelerate Strategy 3+ years since launch. In that time, we've reshaped our portfolio, grown our market share on priority categories, and driven top-tier shareholder returns. None of this would have been possible without the 30,000 employees worldwide who have executed exceptionally well through uncertain and challenging times. #strategy #CAGNY #iwork4generalmills",Economic Outlook
Qualcomm has been included in TIME's inaugural World's Best Companies list. #TeamQualcomm,MISC
"Intel Corporation Malaysia is a key part of our globally diversified supply chain. Happy that we are starting to show more people first-hand, the magic being created in our factories and labs!
Thanks Steve Long, Robin Martin, AK Chong and Team Intel for your hard work.",Supply chain
"Very proud that #Roche ranked 1st in the PatientView 'Corporate Reputation of Pharma 2022' survey, out of 15 large, multinational pharma companies. The result is based on feedback from 2,200+ patient groups from around the world. This recognition is a testament to our approach to partnering with the patient community and putting patients at the center of everything we do.
We will continue delivering on our promise of patient-centricity also in an ever changing environment, especially when it comes to digital transformation. Roche plays a decisive role in shaping this transformation as the only company that unites pharma, diagnostics, health data, and digitalisation under one roof. This puts us in a unique position to help patients get diagnosed and cured as early as possible.
#RocheProud #StrongerTogether #PatientsFirst #Informatics",Health outcomes
"Behind the scenes: preparation is underway for next month's launch of our new ESG Executive Programming, including the Wharton ESG Executive Certificate for Strategists, featuring Nicolaj Siggelkow.
Once considered a niche field, ESG is now cited as ""the #1 factor impacting business strategy"" by Forbes. Join us next month to go beyond the headlines and prepare to lead ESG decision-making. Apply today: https://whr.tn/3F3ZCL7",MISC
"Please check out this short clip from friend and fellow American Cancer Society Board Member Dr. Rob Winn, Director and Lipman chair of oncology of VCU Massey Cancer Center. Dr. Winn is as inspirational as ever helping us understand that as we engage in #diversityequityinclusion we all benefit. When we all win, we all win.
#deileaders #DEI #healthequity. #everycancereverylife",DEI
