PostContent,Theme
"Thanks Chelsea Clinton and Rajiv Garodia SVP and Global Head of Visa Government Solutions for joining me this weekend at hashtag#COP28. We had a great discussion on Oxfamâ€™s work with Visa to deliver pre-disaster financial support to people facing climate emergencies. Thanks to Visaâ€™s support, we plan to expand Oxfamâ€™s Building Resilient, Adaptive, and Disaster-Ready Communities (B-READY) project to deliver near real-time secure money movement and relief payments to individuals and businesses in the Philippines, Kenya, Colombia, and the U.S. â€“ Puerto Rico.
You can read the release here: https://lnkd.in/di-5NiA8",Environmental Sustainability and Climate
"We know it feels like the world is on fire right now. You can provide some hope and fight with Oxfam for the most vulnerable among us this hashtag#GivingTuesday. All gifts are doubled if you give today. Make a life-changing impact from Ethiopia to Ukraine to Gaza and beyond. You can help fight for a more equal future.
https://lnkd.in/eWJpnd5C",Environmental Sustainability and Climate
"I was thrilled to attend Oxfam's NYC Climate Week Reception on #climateaction. It was a privilege to hear from climate activist Marinel Ubaldo who is boldly leading the call for urgent action in the Philippines and worldwide. Oxfamâ€™s reception solidified the passion, courage, and commitment to keep fighting for #climatejustice, even in the face of obstacles. Oxfam Americaâ€™s powerful Sisters on the Planet, members of our incredible Leadership Council and Board, amazing public figures and dignitaries, including Winnie Byanyima and esteemed guests from Club de Madrid, and of course Oxfamâ€™s wonderful staff and partners joined. Thank you Brenda Chikwe Mofya for hosting us and to my colleagues Amitabh Behar, Tawanda Future Mutasah, and Fati N'zi-Hassane for your steadfast leadership during #UNGA. Itâ€™s time for world leaders to reaffirm commitments to fighting the climate crisis, hunger, and rising inequality around the world and increase investments and action. #TimeIsRunningOut.",Environmental Sustainability and Climate
"I had the privilege of being a recipient of Colorado College's inaugural Just World Awards, which recognizes those who demonstrate their dedication to principles that create a more just and equitable world in service to the Sustainable Development Goals. Humbled to be honored by my alma matter, and more so for the award named for fellow CC alumni, US Ambassador to Mexico, Ken Salazar who has dedicated himself to protecting land, water, and people. Moments like this remind us all that the fight towards justice is a movement of many!",Environmental Sustainability and Climate
"On Saturday, I was at @UN Headquarters speaking on an UNGA panel during #SDGActionWeekend. Big picture: halfway to 2030, we're just 15% on track to reach our Sustainable Development Goal targets.
The latest UN report confirms that addressing climate change & achieving SDGs must be pursued together. However, thereâ€™s still hope if we course correct now. Itâ€™s critical UNGA leaders prioritize action over talk, and that local leaders and marginalized communities are empowered and have a seat at the table. With proper funding, we can address inequality & realize our SDGs. Hand in hand.",Environmental Sustainability and Climate
"Reflecting on my time at this year's #UNGA78 â€“ thereâ€™s no denying there is so much work still to do. We absolutely cannot delay. If we want to save ourselves, our planet, and our future, we must act now. In my op-ed, I shared my thoughts on what this means.",Environmental Sustainability and Climate
"Insight of the day: introducing 20% of connected vehicles on EU city roads can save up to 18% of CO2 emissions. This new research confirms just how important it is to invest in the future of automotive, and Iâ€™m pleased that Qualcomm is at the forefront.
Read the report: http://bit.ly/3M0iChS",Environmental Sustainability and Climate
"#TeamQualcomm is ready to share big news about our #5G leadership at #MWC23. In the meantime, learn about 5G Advanced and how it will deliver more sustainable networks and devices by offering lower energy consumption.",Environmental Sustainability and Climate
"Join us for Roche's second virtual investor ESG event on May 23! Last year we discussed Access to Healthcare. This time we want to highlight the efforts we are making at Roche to drive Environmental Sustainability around the globe.
We will share insights into the latest innovations we are developing for reducing our environmental footprint and host a panel of company experts for a live Q&A session.
Looking forward to seeing you next week! Register here ðŸ‘‰ https://lnkd.in/eB6HzdD4
#Sustainability #RocheProud #FutureOfFinance",Environmental Sustainability and Climate
"It was a pleasure to participate as a speaker and panelist in Roche's second IR ESG event that took place this week. Although access to healthcare remains our primary focus in terms of ESG commitments, this year we chose to go beyond this subject and shared our efforts on environmental #sustainability. The event covered topics ranging from carbon emissions and energy use (Scott Hemphill), to sustainable construction (Georg Singewald), product stewardship (Ursina Kohler) and water and waste management (Richard Huerzeler). We also had Marielle Beyer speak about our efforts to drive sustainability in our procurement operations and across the entire value chain.
Great to see so many investors joining and raising excellent questions during the Q&A. Thank you to all the speakers and organizers for making this important topic a priority!
For anyone who missed the live event, you can re-watch it here ðŸ‘‰https://lnkd.in/gZrNkB88
#RocheProud #ESG #sustainability",Environmental Sustainability and Climate
"Things are starting to move in Switzerland! Earlier this week, I had the honor of being part of a panel on the first Swiss #Sustainability Day organized by InTent. The topic was â€œHow to Integrate Sustainability into Your Business Model? - From Principles into actionsâ€.
More than exchanging with NGOs, policymakers, and representatives from small and large actors, I appreciated our shared sense of urgency and desire to actively tackle sustainability on all fronts, across industries. We can no longer create value without thinking of the consequences in the long term. For prosperity to be inclusive and sustainable, we need to create an accounting system measuring impact and not just financial flows.
At Roche, we go beyond CO2 reduction and resource allocation - we understand that increasing access to patients has a far greater impact on the world.
#Sustainability #AccessToHealthcare #PatientAccess #RocheProud #FutureOfFinance",Environmental Sustainability and Climate
"This past year was fueled by a vision to harness the power of science to shape the future of healthcare. My Pfizer colleagues worked tirelessly to help drive equitable access to medicines and vaccines for people all over the world, to advance potential new vaccines in new disease areas, and to utilize technology to improve the healthcare experience for patients. Throughout it all, we were guided by our Environmental, Social, and Governance commitments and ambitions. Thank you to all Pfizer colleagues, to our partners, and most of all, to our patients, for helping bring these breakthroughs closer to reality.
To read our 2022 Annual Review and ESG Report in full, visit Pfizer.com/Annual.",Environmental Sustainability and Climate
"I had a great time last week chatting with Paul Ellis, host of the Sustainabile Finance podcast, and Mark Fischel, a carbon expert from Novata. We talked about everything from the complexity of carbon accounting to the need to accelerate the development of sustainability markets. Thank you Paul and Mark!",Environmental Sustainability and Climate
Novata is proud to be partnering with Northern Trust Corporation on this initiative. Thank you to Melanie Zairis Pickett for your leadership in helping bring sustainability to the private markets.,Environmental Sustainability and Climate
"We are honored to work with IQ-EQ to help private companies, the global economy's main engine, become more resilient and sustainable.",Environmental Sustainability and Climate
"If you are interested in issues linked to sustainability, ESG and metrics that matter, this is worth checking outâ€¦",Environmental Sustainability and Climate
We are honored to be B Corp certified. This is a natural next step in our companyâ€™s journey and underscores to all our stakeholders that we are fully committed to making responsible business decisions.,Environmental Sustainability and Climate
"We are proud to partner with ERM to help private companies on their sustainability journey. Assurance of data is key to driving impact, and this partnership will help advance this important pillar of progress:",Environmental Sustainability and Climate
"The allegory of Plato's Cave is one of my favorites -- it highlights the difference between the â€œrealityâ€ of peopleâ€™s sensory understandings compared to real knowledge. Until recently, the topic of ESG has been stuck in a similar cave, where it is hard to tell what is real and what is rhetoric. Today, Novata released the broadest collection of ESG benchmarks in the private markets. Now, there are accurate examples of what good looks like across hundreds of critical measures. This means ESG metrics can finally be effectively linked to financial materiality, which is how we reframe the ESG debateâ€”not through discord, but with data.
Thank you to Barron's for sharing this context and for the work of our key partners in helping shed light on these important topics: Margot Brandenburg, Roy Swan and the Ford Foundation, Erik Hirsch and Hamilton Lane, Chris Jurgens and Omidyar Network, Douglas Peterson and S&P Global, Lauren Kickham, Drew Geer, Brandon Middaugh, Mark Kroese and Microsoft, Mona Sutphen, Fred Ebrahemi, Carrie Braddock, John McArthur, Robert Eccles, Allison Spector, Gonzalo MuÃ±oz Abogabir, Peter Dunbar, Linda Hill, Sanaz Raczynski, Sophie Gupta and so many others.",Environmental Sustainability and Climate
"Navigating the alphabet soup of ESG-related standards and frameworks has always been a difficult task. Thankfully, recently the International Sustainability Standards Board and the IFRS Foundation moved the ESG field towards much needed clarity with the release of key new reporting standards. But what about upcoming standards from the U.S. Securities and Exchange Commission, The European Commission (CSRD) and others? My Novata colleague Stephen Cain and I took a crack at boiling down the soup to its base. Although investors and companies still face uncertainty about future disclosure, it is possible to identify the connective tissue that runs through the many regulations and voluntary frameworks.
Margot Brandenburg Robert Eccles Allison Spector Mike Grandinetti Lorraine Spradley Wilson Elizabeth Seeger Ken Mehlman John McArthur Peter Dunbar Sophie Gupta Invest Europe Institutional Limited Partners Association (ILPA) Dalia Blass Roy Swan Sanaz Raczynski Carrie Braddock",Environmental Sustainability and Climate
