PostContent,Theme
"Iâ€™m happy to share that Iâ€™m starting a new position as Chief Financial Officer at Panera Brands, Inc.!",MISC
"The 2023 Elastic Global Threat Report is available now! Elastic Security Labs threat researchers have identified threats and trends that you should prepare for. Download the free 2023 Elastic Global Threat Report to learn how you can prevent cybersecurity threats through enhanced visibility, novel capabilities, and seasoned expertise. Learn more here â†’ https://gag.gl/iPSs6Q",Data privacy and cybersecurity
"Join us tomorrow on Tuesday, November 14 at 12:00 p.m. for a virtual town hall titled ""10 Things You Need to Know About Health Insurance,"" and get your questions answered in the Q&A segment! https://bit.ly/3MDlX65",Health Insurance
"This week, I joined fellow health sector leaders at the Health Evolution Summit to discuss how we can safely leverage tech, digital tools, and personalization without compromising patient privacy to bring about much-needed, meaningful change to health care. I spoke about how a distributed data network platform model of care can resolve the seeming paradox for health systems of meeting patient expectations for personalized care while safeguarding sensitive data and protecting privacy resulting in improved outcomes for all.
These concepts can and should co-exist, but doing so requires health careâ€™s main players to come together in changing our approach and building a new platform model for health care. #HESummit23",Data privacy and cybersecurity
"Bader Hamdan now taking the stage at Vectara's hashtag#boomerang event talking about the massive economic potential of AI and introducing the new hashtag#ecosystem hashtag#partnership program. 250+ on the LIVE STREAM. Join us!
https://lnkd.in/ge_gufu4",MISC
"This. Is. Huge.
Practical education of this nature from a young age can change lives, break generational cycles, and set up young people for the reality of life in the working world.
ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»
#education #change #stategovernment #fined #michigan",Regulation/Legislation
"I had the great opportunity with our CEO, Jeff Harmening, to share General Mills' progress advancing the Accelerate Strategy 3+ years since launch. In that time, we've reshaped our portfolio, grown our market share on priority categories, and driven top-tier shareholder returns. None of this would have been possible without the 30,000 employees worldwide who have executed exceptionally well through uncertain and challenging times. #strategy #CAGNY #iwork4generalmills",Economic Outlook
Qualcomm has been included in TIMEâ€™s inaugural Worldâ€™s Best Companies list. #TeamQualcomm,MISC
"Intel Corporation Malaysia is a key part of our globally diversified supply chain. Happy that we are starting to show more people first-hand, the magic being created in our factories and labs!
Thanks Steve Long, Robin Martin, AK Chong and Team Intel for your hard work.",Supply chain
"Very proud that #Roche ranked 1st in the PatientView 'Corporate Reputation of Pharma 2022' survey, out of 15 large, multinational pharma companies. The result is based on feedback from 2,200+ patient groups from around the world. This recognition is a testament to our approach to partnering with the patient community and putting patients at the center of everything we do.
We will continue delivering on our promise of patient-centricity also in an ever changing environment, especially when it comes to digital transformation. Roche plays a decisive role in shaping this transformation as the only company that unites pharma, diagnostics, health data, and digitalisation under one roof. This puts us in a unique position to help patients get diagnosed and cured as early as possible.
#RocheProud #StrongerTogether #PatientsFirst #Informatics",Health outcomes
"Behind the scenes: preparation is underway for next monthâ€™s launch of our new ESG Executive Programming, including the Wharton ESG Executive Certificate for Strategists, featuring Nicolaj Siggelkow.
Once considered a niche field, ESG is now cited as â€œthe #1 factor impacting business strategyâ€ by Forbes. Join us next month to go beyond the headlines and prepare to lead ESG decision-making. Apply today: https://whr.tn/3F3ZCL7",MISC
"Please check out this short clip from friend and fellow American Cancer Society Board Member Dr. Rob Winn, Director and Lipman chair of oncology of VCU Massey Cancer Center. Dr. Winn is as inspirational as ever helping us understand that as we engage in #diversityequityinclusion we all benefit. When we all win, we all win.
#deileaders #DEI #healthequity. #everycancereverylife",DEI
"The question of merit and who deserves what is a very complicated one that we are grappling with as a society. With an increasing focus on diversity in many domains, backlash sometimes focuses on the departure from â€œpure merit.â€
Usual arguments for â€œpure meritâ€ include some measure of test scores, academic performance, previous experiences, publications, etc. But those of us who have been involved in selection processes for academic programs or jobs need to fess up. Pure merit is always contextual. And context is incredibly hard to measure and imperfect.
And because of context is hard to measureâ€”we often take shortcuts. We look at the schools from which someone graduated. The names of the companies on someoneâ€™s resume. A recommendation from a someone we know. We see these as proxy measures for merit. But they are imperfect at best.
And time and time again, unless prompted to do otherwise by force or by circumstance, it is human nature to always seek and select the familiar. To apply proxies for merit instead of doing the hard, imperfect work to see if someone who comes in a different package from the one we know is capable of success. Which is to sayâ€”whatever the changing and sometimes unjust law of the landâ€”we must constantly contend with the imperfections of our judgment. To try to be fair to everyone. To create and give opportunity to people whose merit may come in unfamiliar forms. Because when we fail to do so, we rob ourselves of access to the kind of transformational talent we need to challenge our own broken status quo.",DEI
"Last week, Karen Sowell, EY Global Transaction Advisory Leader spoke with CFO Dive about the recent IRS guidance on the Corporate Alternative Minimum Tax (CAMT), highlighting the importance for taxpayers engaging in capital market transactions. Read more:",Regulation/Legislation
"Thank you Laura Ipsen and Ellucian for having me as a panelist during Ellucian Live 2023. Thank you Susan Morrow, Dr Chris Howard and Dr Kimberly Beatty for great discussion on unique opportunity to align higher education and K12 institutions with technology and insights integration to improve graduation rates and career readiness. I am excited to share that PowerSchool and Ellucian are teaming up to unlock possibilities with integrating our Connected Intelligence and Higher Education PeopleAdmin Talent / Faculty management solutions. Check out our press release with the integration annoucment - https://bit.ly/3Kf8K2G",MISC
Great example of thought leadership. Saint Joseph's University,MISC 
"Happy International Womenâ€™s Day! I'm taking a moment to celebrate a few women who have made an impact on my life not just today but everyday.
To my wife, Cindy Oh, you inspire me with your work ethic and compassion. I will forever have an open IOU to my mother who gave me life and training - I owe her a lot! And to Kathryn Kaminsky, it's an honor to co-lead Trust Solutions with you. I admire your dedication to working alongside our clients.
There are many women leadersâ€”both here at PwC and elsewhereâ€”that are changemakers and influencers. And it was great to celebrate #IWD2023 with so many at PwC during our International Womenâ€™s Day breakfast this morning.
Thank you to all who help shape a workplace where all are valued.",MISC
"Today we observe #Juneteenth in the US by acknowledging and honoring the emancipation of enslaved Black Americans. I thank HPâ€™s Racial Equality and Social Justice Task Force for their work. They have been a catalyst for positive change across the company. Our goal is not just to fight against racism in our society but to do our part to end it. I challenge you to ask yourself, what can I do to drive positive change within my community right here and now?",DEI
"As we get closer to the 2024 election, I want to reiterate my belief that Joe Biden has earned a second term through exemplary leadership in challenging times. I will be strongly supporting his re-election.
As a businessperson, I can add my voice to the bipartisan praise for â€œBidenomicsâ€. Unemployment hasnâ€™t been this low since 1954. In defiance of Wall Street critics, Bidenâ€™s team seems to have engineered the rare â€œsoft landingâ€ where inflation is coming under control, but nearly everyone who wants a job can get one. Indeed, The Economist recently reported that under Biden, America's economy has been ""astonishing"" â€” the worldâ€™s most productive, innovative, and richest.
And yes, President Biden does deserve credit. He never gave up on America. He used the bully pulpit not to attack the other party, but to turn down the temperature in national politics. That set the stage for historic bipartisan legislation to rebuild infrastructure, promote manufacturing, tackle climate, and reduce inflation. Americaâ€™s greatness set the conditions for these achievements, but Joe Bidenâ€™s leadership got them done.
Over the longer term, my businesses rely on Americaâ€™s constitutional order. We all benefit enormously from a President who defends the rule of law, here and abroad. Joe Biden stood up to his own party by calling for full funding of police at home. And he united the world against Vladimir Putinâ€™s brutal invasion of Ukraine.
Of course, I do not agree with every one of this administrationâ€™s policies. President Bidenâ€™s appointees have ranged from center-right to far-left progressives, and I have disagreed with some of their decisions. Those disagreements, however, are the sorts we are supposed to have in a vibrant democracy. Any missteps by this administration pale in comparison to the economic and societal disaster that would result from a return to the criminality and incompetence of his predecessor.",Economic Outlook
"The Real Estate Roundtable, a great industry organization focused on education and information sharing, recently published its Q1 2023 Sentiment Survey. As expected, uncertainty around price discovery, future interest rates and recession risk remain primary concerns, which in turn is leading to larger bid-ask spreads and hindered CRE trading volumes. On a positive note, investor sentiment recovered from the fourth quarter low, and expectations for improving capital market conditions over the next 12 months, also stood out. Our own findings, based on Marcus & Millichapâ€™s proprietary research and investor surveys, are consistent with the general theme of the Roundtableâ€™s report. Importantly, we reiterate as does the report, that generalizations by property type and/or market, can result in missed investment opportunities.
See the full report here: https://lnkd.in/gQZTssqz",Economic Outlook
