postContent,theme
"#sustainability and ESG are as important as any Financial KPI's for a company to be successful in today's modern world-- I want to congratulate the entire #genesys team for the amazing success we have achieved since the launch of these formal efforts a few years ago.
Kudos and a big thank you to Bridgette McAdoo for your strong leadership!!!
Please feel free to read this years' report (link below); some notable highlights are as follows:
1. Improving from a Bronze to a Gold rating by EcoVadis in less than two years "" this places Genesys in the top 5% of the more 100,000 companies assessed by the organization, and in the top 1% of those in the software provider industry.
2. Achieving LEED Platinum certifications for its new offices in Galway, Ireland; and Menlo Park, California. The establishment of LEED-certified buildings is a vital piece in addressing climate change, meeting Environmental, Social and Governance (ESG) goals, enhancing resilience and support for our communities.
3. Genesys reports not only Scope 1 and 2 emissions, but also Scope 3 and has organically reduced its overall greenhouse gas (GHG) emissions by 8% in the last year and nearly 25% over the last 2 years. This reduction was driven primarily by helping our customers on their Sustainability journeys by transitioning them from on-premise software solutions to the cloud. We have committed to setting science-based targets (SBTi) and becoming carbon neutral by 2030
4. We have committed to positively impact over 100 million experiences annually by supporting nonprofit charitable organizations by 2030. Last year we achieved over 46 million and and look forward to further supporting those in need for years into the future.
5. Genesys has committed to improve our Diversity, Equity and Inclusion (DE&I) to align with the communities in which we work. During the last year (1) underrepresented leadership (director and above) in the U.S. grew from 20.4% to 22.5%, (2) representation across all underrepresented groups in the U.S. workforce grew by greater than 13%, and (3) since officially establishing the DEI program in 2020, women in leadership across the globe increased by more than 20%.",Environmental Sustainability and Climate
DIFS Director Anita Fox has directed Michigan-based insurance companies to report on their climate change-related risks and mitigation strategies via the national Climate Risk Disclosure Survey. https://lnkd.in/gr8eyd-f,Environmental Sustainability and Climate
"Qlik Intends to Acquire Talend "" Delivering Comprehensive Data Integration to Accelerate Cloud Modernization: bit.ly/3Qlwpjy
""We are excited about this proposal to have two of our leading portfolio companies join forces to accelerate the vision of making a difference in the world through data,"" said Managing Partner Seth Boro.",Data privacy and cybersecurity
"This is a critical moment in the effort to build a sustainable future, as many wonder if climate objectives such as the Paris Agreement can still be realized.
The opportunity is clear: technology has advanced far more rapidly than climate experts anticipated. But here's the challenge: achieving climate goals now requires us to apply these technologies much faster.
Siemens has accepted this challenge, and I had a chance to share our plan of action at last week's CECP CEO Investor Forum focused on climate change. I shared how the intention of our strong sustainability governance and ESG framework, DEGREE, is to increase the speed for achieving our own hashtag#NetZero commitments and helping customers to achieve theirs.
This was on the heels of Siemens reporting record earnings as we continue to accelerate our customers' digital and hashtag#sustainability transformations. Today, more than 90 percent of our global revenue comes from a portfolio that enables sustainability impact.
Customers deploying our technologies are able to reduce energy consumption; they're able to use fewer resources; they're able to advance decarbonization. But's it not just about using less; it's also about doing more.
The technologies advancing decarbonization also bolster productivity. They generate strong business results and improve operational performance. And our strategy to help customers combine the real and digital worlds now offers a path forward for increasing speed and scale. The more we work on real-world processes and things in the digital world, the sooner we will build a sustainable future.
The question I closed with is: What is the cost of doing nothing? As business leaders, we have to look at our business cases in a new light. We must realize there are very rational judgments to be made when it comes to decarbonization. These rational judgements will lead us to the right kind of action within our organizations.
But if we do not drive change fast enough, what are the future impacts to our businesses and to society? Acting now with what we have is better than waiting for a perfect solution that may or may not arrive in the future. And at Siemens, we see that this commitment to hashtag#decarbonization "" to accelerating action "" is not only a vital responsibility; it's really the basis for our future business growth. hashtag#CEOInvestorForum",Environmental Sustainability and Climate
"BDO explains why manufacturers and suppliers looking to mitigate risks should invest in end-to-end visibility within their supply chains.
#Manufacturers #SupplyChainVisibility",Supply chain
"Happy International Women's Day! I'm taking a moment to celebrate a few women who have made an impact on my life not just today but everyday.
To my wife, Cindy Oh, you inspire me with your work ethic and compassion. I will forever have an open IOU to my mother who gave me life and training - I owe her a lot! And to Kathryn Kaminsky, it's an honor to co-lead Trust Solutions with you. I admire your dedication to working alongside our clients.
There are many women leaders""both here at PwC and elsewhere""that are changemakers and influencers. And it was great to celebrate #IWD2023 with so many at PwC during our International Women's Day breakfast this morning.
Thank you to all who help shape a workplace where all are valued.",MISC
"Megan Greene, Kroll's Global Chief Economist, appeared on CNBC on 6 March, where she shared her insights on the global economic outlook. During the interview, Megan shed light on the growth and inflation outlook for U.S. and APAC, broader impact of China's reopening on the global economy, as well as her expectations of the upcoming central bank decisions. Learn more: http://ms.spr.ly/604552n7X
#GlobalEconomy #EconomicOutlook",Economic Outlook
"Enjoyed speaking to Will Koulouris and CNBC International about Commvault's recent results and our upcoming data security launch on June 7.
It's time to redefine data protection.
http://ow.ly/xkSR50OGlY3",Data privacy and cybersecurity
"Our diverse workforce is one of the many reasons I'm proud to work at Independence Blue Cross. Our recent Women in Technology and Analytics event featured several of our extraordinary leaders, including EVP, Chief People, DEI and Communications Officer Crystal Ashby and SVP of Business Technology Services Sushma Akunuru, who provided meaningful advice about leadership and career building for individuals thinking about starting or advancing a career in these growing fields. Thanks to all who participated and attended this important event.
#leadership #technology #representationmatters #career #leaders #analytics",DEI
"AXA , Allianz , Swiss Re and other major insurers laid out an industry blueprint for climate goals at Davos this week, detailing the role they intend to play in the #energytransition.
Whether clean or dirty, #infrastructure and #energy projects must obtain #insurance cover before they can get #credit from #banks, thrusting the operations of insurers, reinsurers and brokers into the spotlight.
The Net-Zero Insurance Alliance (NZIA), a climate-focused industry club whose members' portfolios account for 15 per cent of global premiums, has given insurers until July 2024 to choose at least three climate targets to report against annually.
Among their options: expanding the number of clients who have set science-based net zero goals; doing more underwriting business for weather-related damage, carbon removal technologies or clean energy; and moving away from the most polluting clients.
Insurers served as ""society's early warning system"", and were on the ""front lines"" of climate change, given the annual disaster-related losses exceeding $100bn that they have had to cover in recent years.
The NZIA has been plagued with fears that collective action to boycott certain industries could amount to a breach of competition law, and resisted pressure last year to recommend its members stop insuring all new coal projects, citing competition law risks.
It has, to a large extent, been playing catch-up with other groupings in the umbrella body Carney founded, the Glasgow Financial Alliance for Net Zero. Banking and asset owners issued their own target-setting guidelines in 2021 or earlier.
Activists argue that what insurers have now come up with amounts to a ""frustrating step backwards"", for three geeky reasons.
Firstly, one of the decarbonisation targets insurers can choose from calls for them to cut emissions such as carbon and methane by at least 34 per cent by 2030 "" notably lower than the minimum 43 per cent cut that the UN's Intergovernmental Panel on Climate Change has said is aligned with the Paris agreement.
Secondly, certain important types of insurance, such as construction risk, which would be needed to build oil and gas plants, are out of scope.
Finally, targets do not have to include the scope 3 emissions of insurers' clients "" emissions related to their supply chains and the use of products "" for many companies, the biggest part of their carbon footprint. This appears to be at odds with a UN standard laid out at COP27 for the integrity of net zero targets, as well as the UN's Race to Zero campaign. Both stipulate carbon accounting should include mandatory disclosure of indirect emissions.
https://lnkd.in/dHWQZbxG",Environmental Sustainability and Climate
