postContent,theme
"""Accelerated approval should be an established pathway in rare disease but the truth is only a handful of non-oncology rare diseases have been approved via accelerated approval. It's time to push for an Orphan Drug Act 2.0 to put precision medicine to work for ultra-rare diseases."" - Emil Kakkis, MD, PhD, CEO of Ultragenyx, speaking at the Rare Disease Congressional Caucus briefing during #RareDiseaseWeek.
#RareDC2023",
"Llama 2 has massively shifted the GenAI ecosystem, but is it as good as ChatGPT? Yes! For factual summarization both Llama 2 70B and GPT-4 are close to human performance, and Llama 2 70b is 30x cheaper. This is based on a carefully curated human dataset of factual summarization with 373 examples, each with a correct and incorrect summary we ask the models to rank.
Along the way, we take a few really interesting detours that provide their own valuable insights. Firstly, Llama 2's tokenization is ~20% larger than ChatGPTs, so this needs to be taken into account for costs. Secondly, the Llama 2 models are not as good at following instructions as the ChatGPT models, and require additional post-processing (and insist on giving explanations that you have to pay for as generated tokens). Thirdly, when using LLMs for evaluation of two options, be very careful about ordering bias "" most LLMs will have a strong preference for either the first or second option.
Read the blog post below for more!",
"As we get closer to the 2024 election, I want to reiterate my belief that Joe Biden has earned a second term through exemplary leadership in challenging times. I will be strongly supporting his re-election.
As a businessperson, I can add my voice to the bipartisan praise for ""Bidenomics"". Unemployment hasn't been this low since 1954. In defiance of Wall Street critics, Biden's team seems to have engineered the rare ""soft landing"" where inflation is coming under control, but nearly everyone who wants a job can get one. Indeed, The Economist recently reported that under Biden, America's economy has been ""astonishing"" "" the world's most productive, innovative, and richest.
And yes, President Biden does deserve credit. He never gave up on America. He used the bully pulpit not to attack the other party, but to turn down the temperature in national politics. That set the stage for historic bipartisan legislation to rebuild infrastructure, promote manufacturing, tackle climate, and reduce inflation. America's greatness set the conditions for these achievements, but Joe Biden's leadership got them done.
Over the longer term, my businesses rely on America's constitutional order. We all benefit enormously from a President who defends the rule of law, here and abroad. Joe Biden stood up to his own party by calling for full funding of police at home. And he united the world against Vladimir Putin's brutal invasion of Ukraine.
Of course, I do not agree with every one of this administration's policies. President Biden's appointees have ranged from center-right to far-left progressives, and I have disagreed with some of their decisions. Those disagreements, however, are the sorts we are supposed to have in a vibrant democracy. Any missteps by this administration pale in comparison to the economic and societal disaster that would result from a return to the criminality and incompetence of his predecessor.",Economic Outlook
"Despite having fewer financial resources than men, women continue to do the right things with what they have "" which is good news, when so many women don't have the luxury of a ""backup plan."" I joined Becky Quick on CNBC's SquawkBox this morning to discuss the latest on what's impacting the Ellevest Women's Financial Health Index score.
Watch the segment here:",
"Interested in expanding your knowledge in hashtag#genai hashtag#LLMs ? Vectara is discussing new retrieval model hashtag#boomerang, which performs on par with OpenAI and Cohere, Register for free ONLINE STREAMING now!
https://lnkd.in/g4hb5xPc
hashtag#rag hashtag#retrievalaugmentedgeneration hashtag#ai hashtag#ml hashtag#mlengineer",MISC
"Congrats Surya Gummadi Sushant Warikoo. This is a game changing win for our Retail team as we expand our partnership to manage global technology operations for Nike to drive exceptional customer, partner and employee experiences by leveraging AI, hyper-automation and process Re-engineering. Cognizant",
"Let's set a rule for companies that talk about the thousands, hundreds of thousands, and millions that they serve.

It is one thing for people to have access to a benefit or a service.

It is another thing for them to be actually *using* it.

Too many distracting companies and services and benefits that are underutilized.

Sometimes this underutilization is *by design* and made difficult for people to access.

We are caught up celebrating the wrong things.

Lives truly impacted is not the same thing as *users.*",
"Twice a year, we give our technologists a meeting-free week to focus on their passion projects. My favorite part of the week is the Gallery Walk, where they share their work with their colleagues. It's so inspiring to meet with the talented employees driving Intuit tech and to see their incredible innovations.",
Congratulations. Glad to be a part of this exciting venture.,
"I recently sat down with Thomson Reuters to discuss some of the challenges corporate tax departments are up against in 2023, citing data recently uncovered in KPMG US' latest Chief Tax Officer report and emphasizing the importance of having a strategic tax voice at the leadership table. From shifts in hiring and a heightened demand for ESG, to evolving regulations and geopolitical factors, CTOs have a lot to think about. Read more:
#ChiefTaxOfficer #tax #taxpolicy #talent #ESG #KPMGTax",Workforce strategy
We honor the courageous individuals who made the ultimate sacrifice while serving our country. We are grateful for your bravery. #MemorialDay,
"It doesn't get much better than spending time with teammates and giving back. Last week, I got to help wrap-up our Global Month of Volunteering by building 4,000 hygiene kits with 50 other Amazonians. Nearly 100K kits were assembled through similar events throughout the month, and this was just one of many volunteer activities that Amazonians took part in globally this September. Our ability to make an impact together is one of my favorite parts of our culture. Thanks to everyone for taking the time to make a difference in our communities this month and all year long. #GMV",
Amazing 100% occupancy Team Commonwealth Senior Living at Abingdon! #celebratesuccess #pineapplepeople,MISC
Thank you Vera for hosting me on xtalks,
I'm proud to say EY has been named #1 Pacesetter in the latest ALM Pacesetter Research: Supply Chain 2023-2024. Sumit Dutta Glenn A. Steinberg,Supply chain
I am thankful for our amazing team and customers and the opportunity to provide world-class service. Wishing everyone a wonderful Thanksgiving holiday.,MISC
"Trust, transparency, and vulnerability are superpowers. You need to be willing to trust yourself and your team enough to tell them the truth. hashtag#leadership hashtag#saas hashtag#categoryleaders hashtag#b2b",
"Today I'm kicking off #eBayOpen2023 in Philadelphia with hundreds of eBay sellers. It's an opportunity for me and other eBay employees to hear directly from our sellers about their ideas and suggestions for the platform. eBay Open is the biggest seller event of the year - it's three days of coming together, in person and virtually, to build community and share information that will help their businesses thrive. We also have a lot of exciting updates this year - about our evolved eBay strategy, our tech and AI innovations, and the new Up & Running grantees!
I am always inspired by the passion and knowledge of our sellers, and we are honored to be their partners on this entrepreneurial journey - I can't wait for what's in store over the coming days!",
"I'm on the way to ASU+GSV Summit. Innovation requires investment. You can't solve society's critical problems without the private sector. Education is no different. We certainly have some things to say about it.""Hope to see you there! #NoBackRow 2U edX",
"On the International Day of Zero Tolerance for Female Genital Mutilation (FGM), we reiterate that World Health Organization is opposed to all types of FGM. It has no health benefits. bit.ly/3tl7G2J
We must #EndFGM to protect girls and women. We must #EndViolence!",
#IWD2023,
"Today Kindbody announced their prize paper presentation at American Society for Reproductive Medicine - ASRM, a first of its kind study. The company also announced the appointment of Alison Bartolucci, Ph.D., HCLD, as Chief Scientific Officer. The work of expanding science and patient care excellence is a team sport - Congratulations to the physicians being honored with the Star Award at the 2023 Annual Meeting of the ASRM - Dr. Angie Beltsos, Amber Cooper MD, MSCI, FACOG, Dr. Kristin Bendikson, Dr. Awoniyi Awonuga, and Dr. Nicole Noyes. And thank you to the Kindbody leadership team for leaning in to this important work every day.",
"The ~$25 billion Kroger-Albertsons merger could affect grocery stores relied on by 85 million households. The company could jack up prices even higher and pay workers even less.
This is a disaster in the making.
The FTC has the power to intervene and stop it. They must act.",
"Wishing everyone who is part of the Alteryx community (our employees, customers, partners, vendors and shareholders) a very happy new year. We're excited to get going on 2023 and help solve business challenges around the world.
#analyticsforall #dataanalytics #growthmindset",
"Having played soccer for the greatest university in the world - aka Georgetown University - and been a lifelong fan of the US Women's National Team, I'm a firm believer that leaders can take many important lessons and experiences from the soccer field (and any sports field/court/arena for that matter). That's why I couldn't have been more energized to sit down with my friend and U.S. Soccer Federation President Cindy Parlow Cone recently to talk about her unexpected career journey, how she leads with humility to make decisions, what her process is for building a team, as well as how her teams are expanding access, advancing inclusion, and fostering belonging across the sport. as12 This clip is one of my favorite topics we discussed: the ""scoreboard"" to measure leadership success. For some, success is as simple as the performance of the most visible part of a team or organization "" that might mean in Cindy's case: national soccer team victories, or me at Deloitte Consulting: our consulting business's growth rate. But success needs to be measured much more broadly; it's about culture, it's about broader societal impact, it's about things you can measure and things you can't. Hear how Cindy measures success across US Soccer's many priorities and encourages people around her to think about success wholistically. How do you define success and what are some ways you track it? #Deloitte #USWNT #Leadership #Success",
"What an honor to join U.S. President Joe Biden, U.S. Ambassador to Japan Rahm Emanuel, and other leaders for an important moment in the advancement of #quantumtechnology that is critical to the economic and innovation future of the U.S. and Japan at the G7 Summit. Learn more about IBM's new quantum partnership with the University of Tokyo and the University of Chicago to develop a system that could help solve our most complex global challenges: https://ibm.co/3IvOWa9",MISC
It was a great day shared by all!,
"I am so excited to announce the release of my Children's book, Do You Know the Value of You? Thank you Lisa K. Pelto, CEO - Publishing Services for Independent Authors for your guidance and passion for publishing. I had so much fun working through this book together!! And thank you to the most thoughtful illustrator Megan Earley, your illustrations feel so magical. I can't wait for people to see them.
Paperback is out now.. but more fun is on the wayYY hashtag#youngreadersweek",
"Even if it weren't about saving lives (which it is), fighting pollution and the climate crisis is the right thing to do *economically*
Don't believe anyone who says we can't afford to fight climate change. The truth is we can't afford not to.",
"Nursing is very close to my heart, as my mother was a nurse for over four decades at St. Peter's Hospital in New Brunswick, New Jersey "" right up the street from Johnson & Johnson's headquarters. I am proud to be part of a company like J&J, who has supported the nursing profession for more than 125 years. Today, on International Nurses Day, I want to recognize and celebrate the incredible impact that nurses have on healthcare across the world. Thank you to all the nurses that are working tirelessly every day to advance health equity and improve patient care across our communities and care settings. For healthcare to work, it takes nurses.
Watch an inspiring video from our CEO Joaquin Duato about the extraordinary impact of nursing: https://lnkd.in/gzEg_Qk8",
"Thank you to the IAIS for organizing these rich panel discussions on critical issues facing insurers, consumers and society as a whole. It was a pleasure to participate.",
"We're announcing more than 50 updates for developers at #MSBuild, from bringing Bing to ChatGPT, to Windows Copilot, to a new Copilot Stack with common extensibility, Azure AI Studio, and Microsoft Fabric, a new data analytics platform.",
"We just announced the sale of GreenCollar which represents our first broad-based ownership exit in Australia, and also a first for our Impact fund. New employees made $35,000 and more tenured employees made 3-5x their annual salary. Congratulations to Robert Antablin, Ken Mehlman, George Aitken and the whole KKR Impact Team. Ownership Works!",
"Introducing the new Oracle Collection. The geometric facets circling the glass play with light and shadow, serving motion and diamond-like sparkle in every premium presentation.

Check out the vintage cut-glass look with the link in our bio.

Pictured: Oracle Double Old Fashioned Glass, Oracle Cooler Glass

#libbeypro #formakersbymakers #glassware",
This is exciting news for adults with relapsed or refractory MCL in the U.S. who have been previously treated with other medicines and now have a new treatment option. Thanks to our Loxo Oncology at Lilly team that worked so hard to deliver this innovation to patients.,
"Last week I had the privilege of joining leaders from across the food industry at The Wall Street Journal Global Food Forum. WSJ business editor Jamie Heller and I sat down to discuss consumer trends, brand building, and how General Mills is responding to the humanization of pet food. I'm proud to say General Mills is in a position of strength and our ability to adapt to change is stronger than ever. We remain focused on investing in brand building and innovation while standing for good for both people and the planet we rely on.
I invite you to watch a replay of the discussion here: https://lnkd.in/gUeGimU9
#GStandsforGood #innovation #brand",
I am so honored to support the work of WaterEquity and Water.org in my small way as a Board Member of WaterEquity. This piece was a quick and easy read that brings to life the challenge and importance of our work in water access. I loved @Matt Damon's assertion that some of the world's greatest and most fundamental challenges are actually solvable - today. What are we waiting for?,
"It's worth your time to watch this ~6 min video, if you're at all interested in what's next for hashtag#AI. https://lnkd.in/ef2Ru9z6
We had a big announcement today about the release of Gemini 1.0, which is Google's next-generation foundation model. It can be hard to get a feel for WHY something is a technological step change ... but this video demo gives you a good sense. It's pretty mind-blowing.
Want more detail? You can see:
* Demis Hassabis's and Sundar Pichai's launch blog at https://lnkd.in/ezd-wcna
* The prompting strategy used in the video demo (hint: multimodal prompting is next-level) https://lnkd.in/eCVS5hbY
* The 60-page Gemini technical report with a ton of detail, including performance on MMLU and many other benchmarks: https://lnkd.in/eSx4_Myp
* Video demo: https://lnkd.in/ef2Ru9z6
HUGE congrats to the many teams at Google DeepMind and across Google on this milestone.",
