PostContent,Theme
"One month into the crisis in Gaza and Israel, too many have suffered. We must push our political leaders to end the cycle of violence, starting with a hashtag#CeasefireNow.",Geopolitics
"This is a moment that requires something difficult from all of us who care about human rights, dignity and security, and our common humanity: to hold two truths in our mind at the same time.",Geopolitics
"In a moment of extreme inequality, debate about what follows an era of neoliberalism is in full swing. How do we shape an economy that truly delivers on human rights?
Join me with Oxfam America for an exciting dialogue to imagine a new economic era.
Learn more: https://lnkd.in/dnC7vhTa",Geopolitics
"Over the past few days, the scope of the atrocities carried out against Israel and its citizens have become clearer and more horrific. I know I am not alone when I express my shock and grief about the ongoing situation. I can scarcely imagine the full magnitude of what people are experiencing there: civilians of all ages targeted and killed in cold blood, hostages taken and tortured, victims paraded through the streets, and so much more. It is not enough to condemn these actionsâ€”we ourselves must take action.
To help support urgent and humanitarian health needs in the region, The Pfizer Foundation has launched a donation campaign to support several key organizations that are working to provide critical emergency assistance in the region, and Pfizer will match all colleague donations made through this campaign. The Pfizer Foundation is also in active discussions with our partner NGOs on the ground to determine if additional financial support is required. And we continue to work with our global network of humanitarian and logistics partners to assess the need for medicines and vaccines, and are ready to provide support where needed.
Personally, I am heartbroken by the atrocities we have witnessed, and over the last few days, I have been on the phone constantly with friends and relatives in Israel. My prayers continue to be with them and with the people of Israel.
Yesterday, I shared this letter with all Pfizer colleagues:",Geopolitics
"Iâ€™m heartbroken to hear the terrible news of war in Israel and grief-stricken by the loss of life, the threat to safety, and the fear and uncertainty that has invaded our shared community.
At Pfizer, we are committed to protecting and saving lives, and dedicated to the health and well-being of people around the world. Actions that are geared towards inflicting bloodshed, harm and death are antithetical to our work and to our values. My heart goes out to our Pfizer colleagues in Israel. Today, I shared this message with them:",Geopolitics
"Today, February 24, 2023, marks a somber milestone. Russian forces invaded Ukraine on this day one year ago, triggering a humanitarian crisis that has created ripples of fear, despair and devastation worldwide. Weâ€™ve lost many innocent people, and weâ€™ve watched global geopolitical tension escalate.
When the international community made the decision to implement unprecedented sanctions against Russia, most sanctions and export control restrictions contained exclusions for the provision of medicine. In addition, Pfizer recognized that halting the delivery of medicine, including cancer or cardiovascular therapies, to Russia would cause significant patient suffering and potential loss of life. Ending Pfizer operations in Russia would run counter to our guiding principle of putting patients first.
Yet business in Russia could not then, and cannot now, continue as usual. Last year, on March 14, we announced that Pfizer would donate the equivalent of all profits from our sales in Russia to causes that provide direct humanitarian support to the people of Ukraine. Since announcing that commitment, we have committed more than $30 million to 15 unique organizations, each of which provides on-the-ground humanitarian support to the people of Ukraine.
As the war continues, the global community has a responsibility to ensure support to Ukraine continues unabated. We remain hopeful that a peaceful outcome is possible. Our support remains steadfast and consistent with Pfizerâ€™s core values, particularly those of courage, excellence and equity.
To learn more about how Pfizer is responding to the crisis in Ukraine, visit: https://lnkd.in/epH_Zp9A",Geopolitics
"As the devastating situation in Turkey and Syria continues to evolve, we are increasing our efforts to support our partners on the ground.
The Pfizer Foundation will deploy an additional $1 million in humanitarian funding to our disaster relief partners, Red Cross/Red Crescent and International Medical Corps (IMC). Our grant will support their critical relief efforts such as providing emergency shelter, relief supplies, meals, and assisting with search and rescue efforts. As well, our global Pfizer colleagues have helped raise more than $175K to date through donations to The Pfizer Foundation, including matching gifts.
We have also dispatched Pfizer aid, including 30,000 boxes of medicines and medical supplies to a hospital in Turkey, in coordination with the Ministry of Health. We continue to stay in close contact with our in-country colleagues and remain ready to respond to any specific requests to help in this emergency situation.",Geopolitics
"Itâ€™s been a tremendous week with #UNGA78 bringing leaders from all over the world to Pfizerâ€™s hometown of New York City for important discussions on a range of international issues. IFPMA recently hosted a reception focused on delivering innovation for global health security. It was my first external engagement as IFPMA President, and I was energized by the opportunity to discuss the organizationâ€™s pivotal role in advancing global human health. IFPMA represents the biopharmaceutical industryâ€”and its ~5.5 million people worldwideâ€”all of whom are inspired by the notion that no industry can positively impact more people in more places more often than ours.
One of the key lessons from the COVID-19 pandemic was that we must have policies, partnerships and infrastructure in place to help ensure equitable access to medicines and vaccines. The biopharmaceutical industry is focused on finding solutions for the worldâ€™s most devastating diseasesâ€”but there is a huge gap separating those who can access these innovations and those who cannot. The IFPMAâ€™s Berlin Declaration is one way weâ€™re working to help ensure that authorized vaccines and treatments for future pandemics are available and affordable to all countries.
Scientific innovation got us through this last pandemic, and it will help us prepare for the next one. I look forward to working with our IFPMA members and partners to harness our industryâ€™s innovation to help solve the worldâ€™s most pressing health challenges.",Geopolitics
These are stories of survivors of the Hamas massacre. They are difficult to watch. But we must watch and remember for the sake of history and for the sake of distinguishing good from evil.,Geopolitics
"Letter to Harvard University President Gay:
Dear President Gay:
I am an alumnus of Harvard College 1992, Government. My tutor and thesis advisor was Dame Louise Richardson, who I am sure you know went on to be the head of Oxford and whose academic scholarship is on terrorism. I am also an Israeli citizen and reside in Israel for the past 20 years. This week, my best friends lost their son fighting Hamas terrorists, another colleague lost his elderly parent to Hamas butchery and friends have a son who attended the rave party, was severely wounded and is held in Gaza by Hamas. There were 13 funerals in my relatively small city Raâ€™anana this week alone.
I am deeply troubled by what is missing in your statements around these terrorist events. You condemn the Hamas barbarism, but you speak mostly about listening to each other in the Harvard community. While that is important, now is a time for you as the leader of Harvard to speak much more clearly and forcefully against terror. Harvard does not only exist to foster dialogue among its students. Harvardâ€™s alumni and students, certainly of the Government department and the Law, Business and Kennedy Schools, are and will be leaders of governments, corporations, international organizations, etc. Harvardâ€™s mission is to create actors, not only talkers, on the world stage as a force for good.
In order to do this, as Harvardâ€™s leader you must speak more forcefully and unequivocally. Not just to condemn the barbarism. Your message should be clear and unequivocal, not just to support Israeli victims, but to SAVE GAZA AND THE PALESTINIANS FROM HAMAS! Hamasâ€™s horrific crimes against Israelis this week and over the years are secondary only to their horrific crimes against their own people since their founding. They have singlehandedly (alongside Islamic Jihad) and too effectively prolonged the Palestinian Israeli conflict, wreaked death and destruction among their people all while profiting â€“ be it in capital for their leadership or murderous suicide missions for their nihilistic ideology. They threaten to drag the world into a global conflict. This is all historical truth, not perspective. Harvard must stand for truth.
Palestinians who say that Hamas represent them have made a clear choice â€“ they choose and support terrorism - that Harvard must reject. You can make a difference if you are clearer about the Universityâ€™s position. This is a time for moral clarity to prevail. Harvard is a bastion of education. Harvard leadership should be screaming from the top of its lungs â€“ end the education of hate and antisemitism that Hamas and Islamic Jihad have perpetrated to Palestinian children for decades. Hamas has brought ruin to the Palestinian cause, to the cause of peace and co-existence. That message must be clear to the entire educated world, and you should lead it. Please consult Dame Richardson and her 2006 book What Terrorists Want. There is much to learn from her.
Jack Levy
Harvard A.B. 1992, Government",Geopolitics
