PostContent,Theme
"â€œAccelerated approval should be an established pathway in rare disease but the truth is only a handful of non-oncology rare diseases have been approved via accelerated approval. Itâ€™s time to push for an Orphan Drug Act 2.0 to put precision medicine to work for ultra-rare diseases.â€ - Emil Kakkis, MD, PhD, CEO of Ultragenyx, speaking at the Rare Disease Congressional Caucus briefing during #RareDiseaseWeek.
#RareDC2023",
"Llama 2 has massively shifted the GenAI ecosystem, but is it as good as ChatGPT? Yes! For factual summarization both Llama 2 70B and GPT-4 are close to human performance, and Llama 2 70b is 30x cheaper. This is based on a carefully curated human dataset of factual summarization with 373 examples, each with a correct and incorrect summary we ask the models to rank.
Along the way, we take a few really interesting detours that provide their own valuable insights. Firstly, Llama 2â€™s tokenization is ~20% larger than ChatGPTs, so this needs to be taken into account for costs. Secondly, the Llama 2 models are not as good at following instructions as the ChatGPT models, and require additional post-processing (and insist on giving explanations that you have to pay for as generated tokens). Thirdly, when using LLMs for evaluation of two options, be very careful about ordering bias â€“ most LLMs will have a strong preference for either the first or second option.
Read the blog post below for more!",
"As we get closer to the 2024 election, I want to reiterate my belief that Joe Biden has earned a second term through exemplary leadership in challenging times. I will be strongly supporting his re-election.
As a businessperson, I can add my voice to the bipartisan praise for â€œBidenomicsâ€. Unemployment hasnâ€™t been this low since 1954. In defiance of Wall Street critics, Bidenâ€™s team seems to have engineered the rare â€œsoft landingâ€ where inflation is coming under control, but nearly everyone who wants a job can get one. Indeed, The Economist recently reported that under Biden, America's economy has been ""astonishing"" â€” the worldâ€™s most productive, innovative, and richest.
And yes, President Biden does deserve credit. He never gave up on America. He used the bully pulpit not to attack the other party, but to turn down the temperature in national politics. That set the stage for historic bipartisan legislation to rebuild infrastructure, promote manufacturing, tackle climate, and reduce inflation. Americaâ€™s greatness set the conditions for these achievements, but Joe Bidenâ€™s leadership got them done.
Over the longer term, my businesses rely on Americaâ€™s constitutional order. We all benefit enormously from a President who defends the rule of law, here and abroad. Joe Biden stood up to his own party by calling for full funding of police at home. And he united the world against Vladimir Putinâ€™s brutal invasion of Ukraine.
Of course, I do not agree with every one of this administrationâ€™s policies. President Bidenâ€™s appointees have ranged from center-right to far-left progressives, and I have disagreed with some of their decisions. Those disagreements, however, are the sorts we are supposed to have in a vibrant democracy. Any missteps by this administration pale in comparison to the economic and societal disaster that would result from a return to the criminality and incompetence of his predecessor.",Economic Outlook
"Despite having fewer financial resources than men, women continue to do the right things with what they have â€” which is good news, when so many women donâ€™t have the luxury of a ""backup plan."" I joined Becky Quick on CNBC's SquawkBox this morning to discuss the latest on whatâ€™s impacting the Ellevest Womenâ€™s Financial Health Index score.
Watch the segment here:",
"Interested in expanding your knowledge in hashtag#genai hashtag#LLMs ? Vectara is discussing new retrieval model hashtag#boomerang, which performs on par with OpenAI and Cohere, Register for free ONLINE STREAMING now!
https://lnkd.in/g4hb5xPc
hashtag#rag hashtag#retrievalaugmentedgeneration hashtag#ai hashtag#ml hashtag#mlengineer",MISC
"Congrats Surya Gummadi Sushant Warikoo. This is a game changing win for our Retail team as we expand our partnership to manage global technology operations for Nike to drive exceptional customer, partner and employee experiences by leveraging AI, hyper-automation and process Re-engineering. Cognizant",
"Letâ€™s set a rule for companies that talk about the thousands, hundreds of thousands, and millions that they serve.

It is one thing for people to have access to a benefit or a service.

It is another thing for them to be actually *using* it.

Too many distracting companies and services and benefits that are underutilized.

Sometimes this underutilization is *by design* and made difficult for people to access.

We are caught up celebrating the wrong things.

Lives truly impacted is not the same thing as *users.*",
"Twice a year, we give our technologists a meeting-free week to focus on their passion projects. My favorite part of the week is the Gallery Walk, where they share their work with their colleagues. Itâ€™s so inspiring to meet with the talented employees driving Intuit tech and to see their incredible innovations.",
Congratulations. Glad to be a part of this exciting venture.,
"I recently sat down with Thomson Reuters to discuss some of the challenges corporate tax departments are up against in 2023, citing data recently uncovered in KPMG USâ€™ latest Chief Tax Officer report and emphasizing the importance of having a strategic tax voice at the leadership table. From shifts in hiring and a heightened demand for ESG, to evolving regulations and geopolitical factors, CTOs have a lot to think about. Read more:
#ChiefTaxOfficer #tax #taxpolicy #talent #ESG #KPMGTax",Workforce strategy
We honor the courageous individuals who made the ultimate sacrifice while serving our country. We are grateful for your bravery. #MemorialDay,
"It doesnâ€™t get much better than spending time with teammates and giving back. Last week, I got to help wrap-up our Global Month of Volunteering by building 4,000 hygiene kits with 50 other Amazonians. Nearly 100K kits were assembled through similar events throughout the month, and this was just one of many volunteer activities that Amazonians took part in globally this September. Our ability to make an impact together is one of my favorite parts of our culture. Thanks to everyone for taking the time to make a difference in our communities this month and all year long. #GMV",
Amazing 100% occupancy Team Commonwealth Senior Living at Abingdon! #celebratesuccess #pineapplepeople,MISC
Thank you Vera for hosting me on xtalks,
Iâ€™m proud to say EY has been named #1 Pacesetter in the latest ALM Pacesetter Research: Supply Chain 2023-2024. Sumit Dutta Glenn A. Steinberg,Supply chain
I am thankful for our amazing team and customers and the opportunity to provide world-class service. Wishing everyone a wonderful Thanksgiving holiday.,MISC
"Trust, transparency, and vulnerability are superpowers. You need to be willing to trust yourself and your team enough to tell them the truth. hashtag#leadership hashtag#saas hashtag#categoryleaders hashtag#b2b",
