postContent,themes
"Rolling out v1 of an AI ICP (Ideal Customer Profile) builder soon. Here's how it works:1. Users input up to 250 URLs of their top customers and prospects.2. Each URL is enhanced with data...think firmographics, tech used, etc.3. AI highlights commonalities across your best customers4. User receives ICP report (in <1 hour) ICP report includes an Ideal Customer Profile summary, filters to use to find ideal prospects, count of prospects in your ICP, analysis of your best customers, & enhanced data CSV.Interested in beta testing? I'd love to get your feedback along the way.Feel free to message, email, or comment and I'll set up a trial for you.hashtag#idealcustomerprofile hashtag#ai",Human-Centered Design
"I am very excited to annonce that we released the latest addition to the Ergo Series by Logitech. Say Hello to Wave Keys, designed to feel instantly familiar and help you work comfier for as long as you need, one keystroke at the time. Over the past months, working on Wave Keys and the Feel the Wave campaign has been an incredible human journey. I had the chance to collaborate with talented people from different teams, expertises and geographies, and work together as ONE team driven by a desire to turn the work life into a feel-good story! BIG congrats to Olessia Hageman, Axelle JustafrA, Art O Gnimh, Tanyel Yalazoglu, Jingyan Ma, Sacha Nordmann, Sweny Ko, Guillaume HAMON, Agnes Lisowska Masson, Jeanette Wu, Idil Serez Burian, Sacha Martin, Stephanie Kronenberg, Winnie Fok, Maxime Jaccoud, Wendy Spander, Parekhit Bhattacharjee, Nichole I., Malin SArensson, Jean-Philippe Tuttle, and everyone involved. Finally, very special thank you to Kafai Mak, Jules O'Brien, Jak O'Hare, Taryn Paterson, for the great partnership on the Feel the Wave creative campaign! YS https://lnkd.in/eXG9SfNNhashtag#feelthewave hashtag#logitech hashtag#wavekeys",Human-Centered Design
"Celebrating 4 Years of Sydney Health Platform!

Four years ago, we embarked on a journey to revolutionize healthcare access and wellness for our members. Today, we're excited to celebrate the 4th anniversary of our AI-Enabled Sydney Health Member Platform, a game-changer in the world of health and wellness! 

Our platform was designed with one goal in mind - to make health and wellness easy, personalized, and resourceful for our members. With a registered membership now standing at a staggering ~18 million, we're proud to see the impact we've had on people's lives.

Here's how the Sydney Health platform is making a real difference:

 Virtual Care: Access to healthcare from the comfort of your home.
 Claims and Bill Pay: Streamlined and hassle-free transactions.
 ID Card and HealthPass: Instant access to your health information.
 Personalized Find Care: Tailored healthcare solutions at your fingertips.
 AI Enabled Conversational Chat: Real-time, personalized support at your convenience.
 Unified Electronic Health Record Tracker: Seamlessly manage your health records in one place.

Our platform goes beyond the basics, helping our members in their wellness journey:

 AI Nutrition Tracker: Smart guidance for healthier eating.
 Health Assessment: Understand your health status and areas for improvement.
 Activity Tracking: Stay active and motivated with ease.
 Personalized Health News: Stay informed about your health in a way that matters to you.

Our team and leaders have put in countless hours to create a humanized experience that combines cutting-edge technology with a human-centered design approach. This blend of tech and empathy has given birth to what we call ""Techequity,"" ensuring that everyone has easy access to their health and wellness needs.

I am incredibly proud of the work that the Elevance Health enterprise has accomplished over the past four years. Our mission is to empower individuals and elevate the health of humanity, and the success of the Sydney Member Platform is a testament to our dedication.

A big thank you and congrats to our team, leaders, and most importantly, our members, for being a part of this incredible journey. Here's to many more years of transforming healthcare and wellness together! #HealthTech #Wellness #Anniversary #Techequity #ElevanceHealth #sydneyhealth

Let's continue to make a positive impact on millions of lives!

Kimberly Rival Matthew Penwell Ajoy Ranga Kumar Gudavalli Rajeev Ronanki Katie Bradley",Human-Centered Design
"Celebrating 4 Years of Sydney Health Platform!Four years ago, we embarked on a journey to revolutionize healthcare access and wellness for our members. Today, we're excited to celebrate the 4th anniversary of our AI-Enabled Sydney Health Member Platform, a game-changer in the world of health and wellness! Our platform was designed with one goal in mind - to make health and wellness easy, personalized, and resourceful for our members. With a registered membership now standing at a staggering ~18 million, we're proud to see the impact we've had on people's lives.Here's how the Sydney Health platform is making a real difference:a  Virtual Care: Access to healthcare from the comfort of your home.a  Claims and Bill Pay: Streamlined and hassle-free transactions.a  ID Card and HealthPass: Instant access to your health information.a  Personalized Find Care: Tailored healthcare solutions at your fingertips.a  AI Enabled Conversational Chat: Real-time, personalized support at your convenience.a  Unified Electronic Health Record Tracker: Seamlessly manage your health records in one place.Our platform goes beyond the basics, helping our members in their wellness journey:Y AI Nutrition Tracker: Smart guidance for healthier eating.Yo Health Assessment: Understand your health status and areas for improvement.Y Activity Tracking: Stay active and motivated with ease.Y Personalized Health News: Stay informed about your health in a way that matters to you.Our team and leaders have put in countless hours to create a humanized experience that combines cutting-edge technology with a human-centered design approach. This blend of tech and empathy has given birth to what we call ""Techequity,"" ensuring that everyone has easy access to their health and wellness needs.I am incredibly proud of the work that the Elevance Health enterprise has accomplished over the past four years. Our mission is to empower individuals and elevate the health of humanity, and the success of the Sydney Member Platform is a testament to our dedication.A big thank you and congrats to our team, leaders, and most importantly, our members, for being a part of this incredible journey. Here's to many more years of transforming healthcare and wellness together! hashtag#HealthTech hashtag#Wellness hashtag#Anniversary hashtag#Techequity hashtag#ElevanceHealth hashtag#sydneyhealthLet's continue to make a positive impact on millions of lives!Kimberly Rival Matthew Penwell Ajoy Ranga Kumar Gudavalli Rajeev Ronanki Katie Bradley",Human-Centered Design
"This article is written by Lisa Schillaci, Vice President, Hospital Revenue Cycle Operations, about how we have created a more personalized and compassionate approach to collecting patient payments.",Human-Centered Design
Beautiful,Human-Centered Design
"I'm thrilled and humbled with the long list of innovations our cross functional team has worked tirelessly to launch at re:Invent this year. The collaboration these launches took has been incredible, and the way we've rallied across disciplines has been nothing short of inspiring. I'm especially proud of our UX Design & Research team and the role they played bringing these new generative AI capabilities to our customers, helping them revolutionize their CX.hashtag#TeamPride hashtag#GlobalInnovation hashtag#genai hashtag#reinvent2023 hashtag#amazonconnect hashtag#aws hashtag#awsapplications hashtag#ai hashtag#ux hashtag#cx",Human-Centered Design
"This article is written by Trent Fulin, SVP and Chief Executive Officer, Houston Methodist Cypress Hospital, about the future bets for our smart hospital.",Human-Centered Design
"This idea is far from unhinged! 

Check out this video showing a newly designed hinge developed by Carter Worthen, a lead operations specialist in our Gas Distribution Operations in Utah, after he witnessed a coworker sustain an injury from a falling bin door.
 
The hinge is designed to prevent potential injuries by preventing bin doors from inadvertently opening on our trucks. Once our Safety and Fleet Maintenance team completes its testing, the hinges will be installed throughout our Gas Distribution fleet. These hinges can also be used for our trucks on the electric side  and potentially help our industry peers too!",Human-Centered Design
"In the latest edition of PowerGrid International, my colleague Isabelle Hazlewood takes a deep dive into how our team at Eversource Energy partnered with diverse stakeholders and used feedback from our customers to develop our Community Solar Access Program. Designed to overcome market barriers that hinder low- to moderate-income community solar development, the program aims to provide each customer with on-bill savings of $420 per year. Read more about how community solar could help to solve the energy affordability crisis and advance an inclusive clean energy transition: https://lnkd.in/epseQFG7",Human-Centered Design
