postContent,theme
"Attention job seekers! A new opportunity has just opened up for a Senior Executive Management Assistant (administrative assistant) position in Lansing reporting to me! This has potential to be a hybrid position, where you could work from home up to two days per week. If you're interested, check out the job posting below and feel free to send a private message with any questions. Don't miss out on this chance to join our team!
Job Posting: https://lnkd.in/gPsnS3rB",MISC
"Boom, totally and completely well deserved! Congrats Cassidy Smirnow! Y",MISC
"I had the great privilege of convening the General Mills Global Finance Leadership Team's first in-person meeting since 2019. So many things prevented this from happening sooner.... A global pandemic, global supply chain disruption, significant challenges keeping employees cared for and engaged. They've been tested, they endured, and they've delivered. They make this company better every day. I couldn't be prouder of this team. #iwork4generalmills #finance",Economic Outlook
"Join Kroll Cyber Risk experts for a virtual briefing to discover how to maximize Microsoft E3/E5 Security Solutions and minimize costly pitfalls. Register here: http://ms.spr.ly/6042gz3mw
#Cybersecurity #MicrosoftSecurity",Cost management / reduction / optimization
"At Kroger, we pride ourselves on being a place where anyone can come for a job and discover a career. At all levels of the company, we have leaders who started their careers with us as students "" either part-time in our stores or in one of our many internship positions. In honor of National Student Employment Week, I want to recognize our amazing associates who are working with us while also getting an education "" it's not easy and we are so grateful you're here! Your fresh ideas help to push us forward, and I hope you gain experience here that helps to feed your future for years to come.
 
Interesting in a fresh opportunity with room to grow? Learn more and apply at https://lnkd.in/dgAn2DaR
 
#WeAreKroger #Interns #Internships #Hiring #Opportunity ",MISC
"I'm proud to share that FY2022 was another strong year for Takeda, with revenue and profit gains driven by our Growth & Launch Products. We have updated our capital allocation policy as a reflection of our deleveraging progress. Read more about our results, outlook and commercial and pipeline updates below.
https://lnkd.in/guRRuWmW",Economic Outlook
"Thrilled to introduce 'Market Insights' from Macrobond Financial  a comprehensive chart pack delivering analysis and insights into today's markets! 

With +500 charts, this pack is filled with global economic trends, forecasts, and data points. Carefully designed for strategic decision-making, covering Asset Management, Fixed Income, Equity Markets, Macroeconomics and Real Estate 

 Comment Yes below or send a DM if you want to receive the full deck",Economic Outlook
"Today I had the pleasure of meeting Andrew Ng in person for the first time. We are both recording a documentary on how hashtag#genai is revolutionizing the Information Economy. Turns out we are also neighbors, Vectara HQ office is at 395 Page Mill Rd, and AI Fund is at 195 Page Mill (both in Palo Alto, CA).",MISC
"Last Friday a judge in Colorado ruled that, although Trump engaged in insurrection, he can still appear on state election ballots in 2024. This may seem like a favorable ruling for Trump, but it actually contains more bad news for him than good news. Let me explain.",MISC
"Our Collective Health Asian & Pacific Islander employee resource group has been actively involved in raising funds for the victims of the Maui fires. If you're inclined to help, the QR code and link below provide access to resources like the Maui Food Bank which is providing relief to victims on the ground.",MISC
"Ready to level up your business? Ys From cloud infrastructure and cybersecurity to data management and applications, these are the factors that can help you leverage the power of AI. Let's embrace the future together!
#AI #BusinessGrowth",Data privacy and cybersecurity
