PostContent,Theme
"The latest episode of Collective Health's The Benefits Playbook is out! In this episode, Mercer's Serafina Miller shares her perspectives on what employers should consider as they construct a health benefits offering that supports the unique needs of their organization and the people who work there. She also dives into what inclusivity means from a health benefit plan standpoint. It's a must-watch if you're a benefits leader looking for well-informed advice and insight.",Health Insurance
"Tune in to the latest episode of Collective Healthâ€™s The Benefits Playbook podcast to hear from Ideonâ€™s Michael Levin! Michael will cover how behavioral economics influence peopleâ€™s health benefits and health insurance purchase decisions and what you, as a benefits leader, can do to help guide your people to make the best decision possible for their needs!",Health Insurance
"At Collective Health, our North Star has always beenâ€”and always will beâ€”to make accessing and using your health benefits and health insurance plan as delightful and powerful as your favorite technology-enabled user experience (think Amazon, Apple, Uber, Zoom). And while we have always been at the cutting edge of user experience in the health benefits and health insurance plan market, these recent improvements to our My Collective member app really showcase the power of the technology stack, data, and user experience capabilities we have invested hundreds of millions of dollars developing over the last 9+ years.
And there are many more exciting and powerful new features and updates to come in the months ahead!",Health Insurance
"An outstanding policy paper by Benjamin Vatter at the Stanford Institute for Economic Policy Research on how disclosure policies, like the '5-star' rating system for Medicare Advantage plans, can influence (and even distort) the behavior of both consumers and suppliers in a market. Worth a read if you care about the power of information signaling in how markets work.",Health Insurance
"Join us tomorrow on Tuesday, November 14 at 12:00 p.m. for a virtual town hall titled ""10 Things You Need to Know About Health Insurance,"" and get your questions answered in the Q&A segment! https://bit.ly/3MDlX65",Health Insurance
#ICYMI Governor Gretchen Whitmer and DIFS Director Anita Fox announced that a record number of Michiganders signed up for comprehensive health insurance on the Health Insurance Marketplace during the recent open enrollment period. https://bit.ly/3X8xOvi,Health Insurance
"People can't access health care if it's not affordable. Thatâ€™s why at UnitedHealthcare we're designing health insurance plans in a way that makes it less complicated to get care while lowering costs. Providing increased access to the health care system is fundamental to UnitedHealthcareâ€™s mission to help the health system work better for everyone. I had the pleasure of presenting as part of the Future of Care in America keynote panel at the Consumer Electronics Show in Las Vegas, which you can watch at this link:
https://lnkd.in/gdrSnQqT
#consumerelectronicsshow",Health Insurance
"At CareFirst BlueCross BlueShield, we recognize that pharmacy costs are a leading driver of healthcare costs in the United States. That is why together, alongside the Blue Cross Blue Shield Association and other Blue Cross Blue Shield plans, we are launching an exciting new venture, Synergie Medication Collective (Synergie).
Synergie was founded to lower the costs of medications and treatments for nearly 100 million Americans nationwide and shares the mission of all Blues plansâ€”to transform healthcare to be more accessible, affordable and equitable for all. I am proud to be serving on the Synergie Board alongside many fantastic leaders in healthcare, including Blue Cross Blue Shield Association President and CEO Kim Keck. Learn more: https://lnkd.in/gBQhA36r
#CareFirstCares #CareFirstProud #SynergieCollective #Affordability",Health Insurance
"Strive Health and Prominence Health Plan are partnering to provide whole-person care for people across Nevada with CKD and ESKD who are enrolled in a Prominence Medicare Advantage plan. As part of the partnership, Strive and Prominence will also work closely with Sierra Nevada Specialty Care, the areaâ€™s leading nephrology clinic. https://lnkd.in/gFHqtGZM
#valuebasedcare #wholepersoncare",Health Insurance
"Unfortunately, Medicaid enrollees are not finding the ACA post-redetermination.",Health Insurance
