PostContent,Theme
"Attention job seekers! A new opportunity has just opened up for a Senior Executive Management Assistant (administrative assistant) position in Lansing reporting to me! This has potential to be a hybrid position, where you could work from home up to two days per week. If you're interested, check out the job posting below and feel free to send a private message with any questions. Don't miss out on this chance to join our team!
Job Posting: https://lnkd.in/gPsnS3rB",MISC
"Boom, totally and completely well deserved! Congrats Cassidy Smirnow! ðŸ”¥",MISC
"I had the great privilege of convening the General Mills Global Finance Leadership Team's first in-person meeting since 2019. So many things prevented this from happening sooner.... A global pandemic, global supply chain disruption, significant challenges keeping employees cared for and engaged. They've been tested, they endured, and they've delivered. They make this company better every day. I couldn't be prouder of this team. #iwork4generalmills #finance",Economic Outlook
"Join Kroll Cyber Risk experts for a virtual briefing to discover how to maximize Microsoft E3/E5 Security Solutions and minimize costly pitfalls. Register here: http://ms.spr.ly/6042gz3mw
#Cybersecurity #MicrosoftSecurity",Cost management / reduction / optimization
"At Kroger, we pride ourselves on being a place where anyone can come for a job and discover a career. At all levels of the company, we have leaders who started their careers with us as students â€“ either part-time in our stores or in one of our many internship positions. In honor of National Student Employment Week, I want to recognize our amazing associates who are working with us while also getting an education â€“ itâ€™s not easy and we are so grateful youâ€™re here! Your fresh ideas help to push us forward, and I hope you gain experience here that helps to feed your future for years to come.
 
Interesting in a fresh opportunity with room to grow? Learn more and apply at https://lnkd.in/dgAn2DaR
 
#WeAreKroger #Interns #Internships #Hiring #Opportunity ",MISC
"Iâ€™m proud to share that FY2022 was another strong year for Takeda, with revenue and profit gains driven by our Growth & Launch Products. We have updated our capital allocation policy as a reflection of our deleveraging progress. Read more about our results, outlook and commercial and pipeline updates below.
https://lnkd.in/guRRuWmW",Economic Outlook
"Thrilled to introduce 'Market Insights' from Macrobond Financial — a comprehensive chart pack delivering analysis and insights into today's markets! 📈

With +500 charts, this pack is filled with global economic trends, forecasts, and data points. Carefully designed for strategic decision-making, covering Asset Management, Fixed Income, Equity Markets, Macroeconomics and Real Estate 🚀

 Comment ”Yes” below or send a DM if you want to receive the full deck💡",Economic Outlook
"Today I had the pleasure of meeting Andrew Ng in person for the first time. We are both recording a documentary on how hashtag#genai is revolutionizing the Information Economy. Turns out we are also neighbors, Vectara HQ office is at 395 Page Mill Rd, and AI Fund is at 195 Page Mill (both in Palo Alto, CA).",MISC
"Last Friday a judge in Colorado ruled that, although Trump engaged in insurrection, he can still appear on state election ballots in 2024. This may seem like a favorable ruling for Trump, but it actually contains more bad news for him than good news. Let me explain.",MISC
"Our Collective Health Asian & Pacific Islander employee resource group has been actively involved in raising funds for the victims of the Maui fires. If you're inclined to help, the QR code and link below provide access to resources like the Maui Food Bank which is providing relief to victims on the ground.",MISC
"Ready to level up your business? ðŸš€ From cloud infrastructure and cybersecurity to data management and applications, these are the factors that can help you leverage the power of AI. Let's embrace the future together!
#AI #BusinessGrowth",Data privacy and cybersecurity
"Customer relationship management software, or CRM, is a technology that companies use to manage all customer relationships. Learn what your organization should consider to protect it from potential cyber attacks (via BDO Digital):
#Cybersecurity",Data privacy and cybersecurity
"For the healthcare industry, staffing challenges aren't letting up. Our latest blog post explores a framework for addressing endemic workforce challenges and building a workforce for the future. From employee-led talent mobility systems to human-centered transformation practices, healthcare leaders can optimize their workforce and generate greater ""People ROI.""",Workforce strategy
"UMT360, the leader in strategic portfolio management solutions, joins North Highland further amplifying the breadth of proprietary digital enablers for transformation value capture and delivery. Learn more. https://lnkd.in/gxAFGMZx",MISC
Congratulations to the Roche R&D Finance team for this great achievement!,MISC
"At Upwork, we're dedicated to unlocking human potential, and our Chief People Officer Sunita Solao is leading the charge in transforming our workforce strategy and team member experience. I loved this Q&A with Sunita on our blog, which illuminates her unique leadership and invaluable perspectives for CPOs and People teams around the trajectory of work as it changes rapidly with the advent of more flexible work and AI.
Sunitaâ€™s insights on the modern world of work are invaluable, and I'm thrilled sheâ€™s here to play a pivotal role in our companyâ€™s next chapter of growth and furtherance of our mission of creating economic opportunities so people have better lives.
Sunita unpacks the power of our hybrid workforce model, where independent talent seamlessly integrates with our full-time employees. Her approach aligns perfectly with our goal of staying nimble, innovative, and adaptable in today's fast-paced business environment and her advice for organizations looking to embrace a similar workforce model isnâ€™t to be missed.
Sunita's leadership extends beyond work, and it's wonderful to learn about her interests outside the office, from her passion for learning languages to her love for exploring new cuisines. And, of course, her dedication to coffee â€“ something many of us can relate to! â˜•ï¸",Workforce strategy
"Between talent shortages, a possible recession and growth projections, conditions are complicated for organizations considering layoffs. Before reducing headcounts, consider some new approaches to lowering costs and streamlining operations without sacrificing talent. #talent #investinpeople",Workforce strategy
"Had a great time in Mexico last week with friends and colleagues! It was so great to connect, especially right around the holidays. Thanks for having me!",MISC
"Breast Cancer Treatment: Navigating Optimal Patient Care
In radiation therapy, the application of hypofractionation (HF) to minimize the number of treatment sessions can have significant benefits for patients. By reducing the number of fractions a patient receives, its possible to minimize side effects while offering them the convenience of completing their treatment without multiple visits to the treating facility.
Dr. Amin Mirhadi, medical director for oncology services for HealthHelp and a practicing, board-certified Radiation Oncologist at Cedars-Sinai Medical Center, shares his perspective on how patients being treated for early stage breast cancer can benefit from HF.
â€œFor early stage breast cancer, there is still an overutilization of standard fractionation. Conversion of standard fractionation in breast cancer to hypofractionation is an important effort on the part of the radiation oncology community. Not only is there a substantial cost reduction, there is also significantly fewer side effects as validated by both European and Canadian data. In addition, there is a higher compliance rate which with completion of therapy due to the shorter interval time that is necessary.""
â€œAdditionally, early stage breast cancer patients who have tumors less than 2.5 cm may also be eligible for ultra hypofractionation regimens. When the clinical indication applies, this results in far fewer side effects and has been validated by the Florence protocol. This will allow skin sparing and has produced results similar to whole breast radiation.â€
At HealthHelp, our evidence-based guidelines prioritize what's best for the patient. By staying up-to-date with the latest research and medical practices, we ensure that every decision made is in the best interest of the patient's well-being. Our radiation oncology program is based on physician collaboration and education. This includes our proactive specialist outreach that allows ordering physicians the opportunity to connect with practicing peers at leading cancer centers to discuss treatment pans that maximize patient outcomes. Learn more at https://bit.ly/45yd18I
hashtag#RadiationOncology hashtag#HealthHelp hashtag#breastcancer hashtag#healthcare hashtag#patientoutcomes hashtag#oncology",Health outcomes
"AI innovation is moving at a breakneck pace this year ðŸ’¨ Looking to jump in? For growing businesses, Vectara provides a quick and easy path to scaling enterprise LangChain apps. Check out our blog by Head of Developer Relations Ofer Mendelevitch to learn how Vectaraâ€™s LangChain integration could substantially reduce the cost of your LLM-powered apps: https://lnkd.in/g4qPBRgg
#LLMs #LargeLanguageModels",MISC
"#Juneteenth is a celebration of the final notification of freedom for African Americans in the United States. At L3Harris Technologies we encourage everyone to reflect on the history of this day and consider how we can contribute to a more inclusive world. Today and every day, #L3Harris is committed to driving change by living our values of integrity, excellence and respect.",MISC
