postContent,theme
"Wonderful to hear the news that PA Gov. Josh Shapiro has officially signed ACT 5 into law. His signature represents an important step toward advancing #maternalhealth, particularly in communities of color, and a commitment to improving overall health outcomes for mothers in Pennsylvania. I am proud that Independence Blue Cross supported this important piece of legislation.
Well done, Representative Morgan Cephas, Senator Judith Schwank, and PA Women's Health Caucus!
#healthymom #healthybaby #leadership #health #maternalhealth",Regulation/Legislation
This is a great collaboration between BNY Mellon and Fiserv that allows for more efficient and cost effective cross-border payments for U.S. financial institutions and increased transparency for their own clients. Read more about the announcement below:,Cost management / reduction / optimization
"Nothing compares to a big sports win in Philadelphia. You can actually feel it in the air throughout the city. It's electric.
#IBX associates got in the spirit by gearing up for the Eagles' home opener. As the Official Health Insurance Partner of the Eagles, we are excited to see what this season has in store "" both at Independence Blue Cross cheering on the hometown team and from the Philadelphia Eagles on the field.
#NFL #Eagles",MISC
"Generative AI represents an inflection point in cybersecurity. It presents both an opportunity and a challenge. There's a new opportunity to elevate and advance the skillset of your analysts but the challenge is your adversaries are using GenAI, too.
My perspective is that security is a data problem. This is even more clear now that generative AI is on the scene. Companies that approach modern security challenges through a search lens have the advantage. If you're interested in learning more about this approach, check out the latest report from IDC on the Elastic AI Assistant:",Data privacy and cybersecurity
"Today we reported Elastic's Q2 earnings results. Our outlook remains strong, and I'm excited about the opportunities ahead. I'd like to highlight three key trends we're seeing in our business:
- Generative AI continues to drive a resurgence of excitement around enterprise search. Our Elasticsearch Relevance Engine (ESRE) provides the most comprehensive and enterprise-ready platform for use cases across semantic search, vector search, and hybrid search.
- Customers are looking to consolidate onto the Elastic platform for multiple use cases as they seek ways to lower their total spend without sacrificing innovation. More customers are choosing us over incumbent solutions for observability and security, helping them save on their overall IT spend while gaining even greater value through our many innovations.
- Continued improvements helped drive cloud revenue growth. Customers are continuing to stay focused on costs, but they've generally optimized their Elastic deployments and are now focused on driving new workloads to Elastic. This is an area where we continue to help our customers get the most out of Elastic. Our customer-centric approach drives improved customer satisfaction and engagement, and increased consumption over time.
Enabling everyone to find the answers that matter. From all data, in real time, at scale. That is our mission. At a time when companies are looking for ways to reduce costs and gain efficiencies without sacrificing innovation, especially around Generative AI, Elastic's search analytics platform is becoming the natural choice for businesses.",Cost management / reduction / optimization
"MDR is still relatively new in the industry, but by 2025, 50% of organizations will have it, according to Gartner. Click the link below to learn how it can significantly improve your security posture and the proactive steps you can take now. DM me if you have questions or would like to chat!
https://bit.ly/3qWTjlh
#MDR #Cybersecurity",MISC
Happy and proud to have completed the Centers for Disease Control and Prevention's work@health Employer Training Program.,MISC
"The #Snapdragon Auto #5G Modem-RF Gen 2 platform will deliver powerful broadband connectivity to connected vehicles, providing more personalized entertainment experiences for passengers and safer autonomous driving for drivers. #MWC23 More via Forbes: https://lnkd.in/gkzrqVBn",MISC
"CEOs are examining their global footprint, operations, assets, and addressable markets through the geopolitical lens. That definitely rings true based on recent client questions we've received. Great piece in Forbes from EY's Andrea Guerzoni. #EYgeopolitics #realworldstrategy",Geopolitics
"The private sector, specifically financial institutions like Citi are playing a critical role in helping to scale low-carbon solutions. That's one of the themes I discussed with Andrew Edgecliffe-Johnson from Financial Times and Chloe Demrovsky from DRI International at this week's The Paley Center for Media International Council Summit. It was an honest conversation about the challenges of climate change and how to catalyze opportunities created by the energy transition. Meeting global climate goals will be a defining issue for the public and private sectors in the years ahead, and dialogues like this one are critical for building understanding on how to move forward.",Environmental Sustainability and Climate
Happy Groundhog Day! This summer our Smile Farms at FREE Saddle Rock Ranch campus had a family of groundhogs living in the garden. Can you spot all of the groundhogs in this artist's rendering?,MISC
"Happy International Women's Day!
Tomorrow, we're hosting a virtual, live streamed summit featuring panels, workshops, and tech talks to celebrate the accomplishments and forward momentum of women technologists at Google and within the industry.
Don't miss Dr. Karen DeSalvo's fireside chat to kick things off!
Register here: goo.gle/iwd23
#IWD2023",MISC
"Happy International Women's Day. Around the world, women past and present have made""and continue to make""critical contributions to drive technology, innovation, and our society forward. Thank you to my colleagues for sharing their powerful stories.",MISC
"How can tech companies build trust with customers and stakeholders while forging ahead on innovation? Prioritizing privacy and ESG will be critical. Read BDO's survey of tech CFOs to learn more.
#Innovation #Tech",MISC
"While digital transformation is nothing new, today's expectations have forced many organizations to speed up adoption in unprecedented ways. But rather than fear the change, or struggle to adapt, we should look to how it actually enables us to achieve important internal milestones. Learn more (via Marketo).
#DigitalTransformation #DigitalMarketing",MISC
"Generative hashtag#AI adoption is on the rise, and Qualcomm is pushing the pace of innovation with hashtag#Snapdragon platforms across device ecosystems. Learn more about our leadership in generative AI on-device and at the edge. hashtag#TeamQualcomm",MISC
The team at Nebraska SHIP is a great example of Nebraska volunteers helping Nebraskans navigate a complicated world. Thank you for all you do. #nebraskamedicarehelp,MISC
"We're hiring! This is a great opportunity for a skilled leader to deliver insights and improved business outcomes. The candidate will work closely with me, our finance and marketing teams.",MISC
We are #hiring ! Come join our team Oxfam America! Hana Ivanhoe,MISC
"As we celebrate Thanksgiving this week, I'm grateful for the incredible Intuit team. Your dedication, hard work, and care for each other and our customers continues to inspire me. Wishing everyone a restful holiday with loved ones.",MISC
Welcome Chris Moustakas and DevonWay to the Ideagen family!,MISC
"This hashtag#Thanksgiving, I'm profoundly grateful for our remarkable hashtag#Qlik team and the inspiring partnerships we've built, including with our incredible customers. Your trust and collaboration fuel our commitment to harnessing the true potential of data. Wishing everyone a data-filled, joyous Thanksgiving surrounded by warmth, gratitude, and laughter (and food!)",MISC
"It's been an exciting month, and I'm honored to have gotten the privilege to meet EY's newest Global Tax Partners in Vienna and to catch up with my colleagues Marna Ricker, Susan Pitter, Eng Ping Yeo and Rocio Reyero Folgado. I look forward to working alongside this group of outstanding leaders.",MISC
excited to participate in the #TIEcon2023 Cybersecurity forum. Should be a great set of sessions on some very pressing topics...,Data privacy and cybersecurity
"Humbled to have been given the opportunity to give a Last Lecture to the Stanford University Graduate School of Business Class of 2023. A huge privilege to share my personal story and some of the biggest lessons I've learned throughout the highs and lows. Here are a few short clips from ""How to Live an Asymmetric Life.""
Link to the full talk here: https://lnkd.in/g-3E_9Rx hashtag#personalgrowth hashtag#mba hashtag#fear hashtag#lifelessons hashtag#entrepeneurship",MISC
"On June 19, we commemorate the end of slavery in the United States with Juneteenth.
Did you know? On January 1, 1863, President Lincoln enacted the Emancipation Proclamation, officially declaring the end of slavery. However, thousands of people living in slavery weren't made aware of their freedom until Union soldiers arrived in Galveston on June 19, 1865 meaning that for over two and a half years, many remained in slavery despite being freed. Juneteenth is a holiday that celebrates freedom.
IMAGE DESCRIPTION: The Juneteenth flag with text reading, ""Juneteenth: Day of Freedom"" and the Smile Farms logo.",MISC
"The world needs Africa to thrive. Home to the youngest and fastest-growing population on Earth, the continent will play a critical role in our ability to make the transition to net zero and lessen the emerging impact of demographic decline.
My McKinsey Global Institute colleagues have just published a new report on Africa. They describe it as a ""clarion call for sustainable, inclusive growth."" It takes a granular look at Africa's economic performance, highlighting successes across its countries, cities, and companies.
You can read it here: https://lnkd.in/gmBdRT7K
The report finds that Africa's growth has downshifted since 2010 and lags that of its global peers. But there's no "" one Africa.' Almost half its people live in countries where economies have grown consistently over the past 20 years.
By learning from what's working, focusing on productivity, and removing obstacles to growth, Africa could return to a growth trajectory in the decade ahead. One example: if the continent could increase productivity in the services sector""even if only to the level it achieved between 2000 and 2010""it could increase gross value added by $400 billion by 2030.
Achieving results like that across sectors and markets won't be easy, especially amid today's headwinds. But it will be essential to help the continent""and the global economy""thrive.
#SustainableInclusiveGrowth #AfricanOutlook #Africa",Economic Outlook
Looking forward to #SamsungUnpacked and hearing updates from #TeamQualcomm's long-standing partner Samsung Mobile. https://lnkd.in/gU4GZT9N,MISC
"This is a moment that requires something difficult from all of us who care about human rights, dignity and security, and our common humanity: to hold two truths in our mind at the same time.",Geopolitics
Sony Honda Mobility #AFEELA concept vehicle here on the @Qualcomm campus this week. We are honored to be part of this innovation led by two industry leaders that is built on the #SnapdragonDigitalChassis. Thank you Kawanishi Izumi and team for your partnership! #TeamQualcomm,MISC
"Are you looking for a hybrid or remote job opportunity with a competitive salary and flexible hours? L.A. Care may be your answer.
The L.A. Care Job Fair Saturday, February 25th, 9 AM - 12 PM at 1055 W. 7th ST. Los Angeles.
Our L.A. Care Talent Acquisition team is excited to meet you. Come out and get to know us!
Sign up here: http://spr.ly/60433lOKD
#jobopportunity #careerinhealth #nursingjobs #makeadifference #jobfair #competitivesalary #remotework #careerfair",MISC
"Join me in congratulating Theresa Lauer on her promotion to VP of Sales and Marketing "" Medicare at Independence Blue Cross. YYTheresa has been a leader on our Medicare Sales and Marketing team for over a decade, and we look forward to benefiting from her expertise, creativity, and passion in this new role. hashtag#CareerJourney hashtag#Leadership hashtag#IBX",MISC
"Looking forward to sharing the stage with Elizabeth Mitchell and Patrick Conway at the Fortune Brainstorm Health Conference tomorrow to discuss how employers can raise the standard of care while reducing the cost of their employee health benefit plans. Thank you, Christina, Deena, Erika, and Michal for the invitation to share our perspective at Collective Health.",MISC
"This post is a little late with the festivites of Thanksgiving behind us. But never too late to Thank our hashtag#Wink Stellar team, our Stellar investors and our Stellar customers and partners. And we are sure glad and thankful to be recognized as one of the 5 Stellar startups of 2023 !! Thank you the Channel news !!!",MISC
"With hashtag#COP28 underway, I wanted to share some insights from a conversation I recently had with Christiana Figueres for my latest podcast episode. Christiana is the former Executive Secretary of the UN Framework on Climate Change. In this episode, she talks about how embracing an optimistic mindset helped her lead the process that secured the Paris Agreement, and how she now applies this way of thinking to our current challenge: that we need to execute climate solutions much faster and at greater scale to achieve the Paris Agreement goals. ""Optimism,"" she said, ""is not the output. It's the input. It's the mindset. It is the focus of our attention and our conviction that we actually have everything that it takes to solve a problem.""
One reality is that we are behind. The other reality is that, with technology, we are ""way forward, way faster, than we ever thought possible."" I agree with Christiana that now is the moment to set these two realities side by side "" ""to see them in equal importance"" "" and get to work. Yes, we are behind. But we can still catch up and build a sustainable net-zero future. And I'm proud that, at COP 28, Siemens is in the Green Zone showcasing technology to make this possible.
After all, as Christiana said, if energy is driving 75 percent of greenhouse gas emissions, energy can also be 75 percent of the solution. hashtag#OptimisticOutlook",Environmental Sustainability and Climate
"24 hours in Paris, which was beautiful as always. No time for sightseeing, but loved visiting the DocuSign teams, meeting customers, partners and press, and enjoying a beautiful and engaging customer dinner. Many thanks to Frederic Brousse Karen Schuppe and others for hosting me. Now on to Germany!",MISC
I want to thank Charlie Hull and Matthias Kruger and the rest of the folks at OSC for helping evaluate our cutting edge neural embeddings model AKA boomerang. Please see Charlie's blog posting for more details -,MISC
