PostContent,Theme
"Last week I joined Representative Joyce Beatty and esteemed panelists to discuss #WorldBankReform highlighting Oxfam's call for any reform to support low- and middle-income countries meet their development goals, address inequality and the climate crisis, the importance of transparency around reform, and private finance appropriateness and risks associated with the privatization of public service.",Health outcomes
"Yesterday, Roche hosted the IR Digitalization Day webinar. Alongside my colleagues, Moritz Hartmann, Aviv Regev, Scott Oloff and Kent Kost, I had the honor of presenting our digitalization strategy across Roche and how we are leveraging technology to shape opportunities in healthcare to revolutionize the patient journey. In particular, I focused on how Roche Informatics is driving integrated data platforms and infrastructure.
As the healthcare industry continues to digitize, Roche is actively leveraging its potential to explore disruptive innovation opportunities to enhance the impact we have on patients' lives. From the power of artificial intelligence and large language models to the overall digitalization along the value chain, we covered many interesting topics that I personally feel very excited about.
Special thanks goes to our Head of Investor Relations Bruno Eschli and his team for this great event!
If you missed the live event, it's available to watch here ðŸ‘‰https://lnkd.in/evKvY39h
hashtag#RocheInformatics hashtag#Rocheproud hashtag#InvestorRelations hashtag#PlatformStrategy hashtag#DigitalDay",Health outcomes
"Iâ€™m thrilled about the possibilities that await us with the acquisition of Carmot Therapeutics, Inc.!
At Roche, our focus has always been on areas where the disease burden is high and we follow the science to evolve the standard of care in areas of high unmet need. Obesity, along with its associated health conditions, presents a widespread health challenge. With the acquisition of Carmot Therapeutics, Inc. we expect to offer additional solutions to address the unmet patient needs in this field.
My sincere thanks go out to all the Roche colleagues who have contributed to making this possible.
hashtag#Obesity hashtag#Diabetes hashtag#Roche hashtag#RocheInnovation",Health outcomes
"#WorldCancerDay2023 focuses on closing the gap in cancer care and achieving health equity.
Today, many cancers can be prevented, treated and even cured. However 50% of the worldâ€™s population lacks access to essential health services.
At Roche, we are committed to closing the care gap and empowering those who work with us to do the same. Together, we are partnering with the global healthcare community to bring us closer to the goal of advancing cancer care for all patients, everywhere. Additionally, we believe in technology and the power of data as key drivers to advance research, generate insights and thus accelerate our impact to prevent and provide cures for cancer in all its forms.
Find out how Roche is working with stakeholders to collaborate for change to #CloseTheCareGap",Health outcomes
"Roche published its full-year results for 2022 today - we achieved good results even though the demand for COVID-19 products declined, as expected. The diagnostics base business and our newer medicines continued their strong growth. For the current year we expect solid underlying growth in both divisions, which will largely compensate for the further drop in sales of roughly CHF 5 billion in COVID-19 products.
I invite you to take a journey through our business year in 2022 and uncover in our newly released annual report how our teams brought meaningful change to millions of patients around the world by, for example, bringing two new medicines to patients: Vabysmo for certain severe eye diseases and Lunsumio for a currently incurable form of blood cancer.
I am very grateful and proud to be part of Roche and to contribute to our shared purpose of doing now what patients need next!
#Rocheproud #FutureOfFinance",Health outcomes
"Very proud that #Roche ranked 1st in the PatientView 'Corporate Reputation of Pharma 2022' survey, out of 15 large, multinational pharma companies. The result is based on feedback from 2,200+ patient groups from around the world. This recognition is a testament to our approach to partnering with the patient community and putting patients at the center of everything we do.
We will continue delivering on our promise of patient-centricity also in an ever changing environment, especially when it comes to digital transformation. Roche plays a decisive role in shaping this transformation as the only company that unites pharma, diagnostics, health data, and digitalisation under one roof. This puts us in a unique position to help patients get diagnosed and cured as early as possible.
#RocheProud #StrongerTogether #PatientsFirst #Informatics",Health outcomes
"Today Severin Schwan steps into a Chairman role and passes the CEO baton to Thomas Schinecker. Thomas brings a wealth of experience to propel Roche into the future and advance the mission to help patients live longer, better lives. Join us in welcoming Thomas and Severin ðŸŽ‰
#healthcare #leadership #health",Health outcomes
"Today is #RareDiseaseDay. Although rare diseases are individually rare, they are collectively common - more than 400 million people worldwide are impacted by 7,000 rare diseases.
At Roche, we develop innovative medicines and better diagnostics by exploring new ways to approach treatment. By utilizing new digital health technologies and revolutionizing clinical research through digital innovation, we are helping to reshape the landscape of what it means to live with a rare disease and support #BrighterFutures.
Find out more about Roche in rare diseases here: https://bit.ly/3GmLrP2
#RareDiseaseDay #BrighterFutures",Health outcomes
"Several of my Pfizer colleagues are at hashtag#IDWeek23 this week, where they will share information and updates about our infectious disease portfolio. Since our pioneering work on penicillin in the 1940s, Pfizer has had a long and proud heritage of addressing evolving infectious disease challenges. We are working hard to advance vaccines and treatments for certain respiratory diseases, Lyme disease, meningococcal disease, multidrug-resistant gram-negative bacterial infections, and more.
With the cold season approaching for those living in the Northern Hemisphere, respiratory diseases, in particular, can wreak havoc on many peopleâ€™s health. The good news is we have delivered several innovative vaccine and treatment options in this area over the past three years, and details of our work will be shared this week. Infectious diseases present numerous challenges to global health, but with our unique scientific capabilities and vaccine technology platforms, we are working to advance solutions that, with regulatory approval, can help improve health outcomes.
https://lnkd.in/egQBJszb",Health outcomes
"Today, Pfizer signed an important agreement with the US federal government that will make it easier for eligible patients to access our oral hashtag#COVID19 treatment, helps enable the U.S. to have a robust stockpile of this treatment for future use, and helps provide additional clarity on the commercial market for our hashtag#COVID19-related products, reducing future uncertainty.
Under this agreement, by January 2024, our oral treatment will be offered through commercial channels, not just the emergency federal channels created and used by the US government during the pandemic. As a result, more pharmacies, clinics and other healthcare sites are expected to be able to stock this treatment, making it more accessible for eligible patients across the US.
In addition, on behalf of the federal government, Pfizer will set up a patient assistance program for the uninsured and underinsured through 2028. Patients insured through federal programs such as Medicare and Medicaid will continue to receive treatment free of charge in 2024.
To learn more, please watch this video:
https://lnkd.in/e2qnJE6F",Health outcomes
"Three years ago today, we were able to share with the world the joyous news that our hashtag#COVID19 vaccine was highly effective in preventing disease. It was one of the best moments of my career. We could not have reached this point without the extraordinary efforts of our talented and dedicated Pfizer colleagues and BioNTech SE partners. This photo was taken moments after we received the good news from our R&D team, and you can see the smiles through our masks.
This was just the tip of the iceberg. Weâ€™re committed to harnessing the power of science and technology to cure many currently incurable conditions and transform others into manageable chronic diseases, all within our lifetime. As Aristotle said, â€œOur problem is not that we aim too high, and we miss. Our problem is that we aim too low and hit.â€ We reached one moonshot with our hashtag#COVID19 vaccine, and now we want to reach moreâ€”because our patients are counting on us.",Health outcomes
