PostContent,Theme
"Wonderful to hear the news that PA Gov. Josh Shapiro has officially signed ACT 5 into law. His signature represents an important step toward advancing #maternalhealth, particularly in communities of color, and a commitment to improving overall health outcomes for mothers in Pennsylvania. I am proud that Independence Blue Cross supported this important piece of legislation.
Well done, Representative Morgan Cephas, Senator Judith Schwank, and PA Womenâ€™s Health Caucus!
#healthymom #healthybaby #leadership #health #maternalhealth",Regulation/Legislation
This is a great collaboration between BNY Mellon and Fiserv that allows for more efficient and cost effective cross-border payments for U.S. financial institutions and increased transparency for their own clients. Read more about the announcement below:,Cost management / reduction / optimization
"Nothing compares to a big sports win in Philadelphia. You can actually feel it in the air throughout the city. Itâ€™s electric.
#IBX associates got in the spirit by gearing up for the Eaglesâ€™ home opener. As the Official Health Insurance Partner of the Eagles, we are excited to see what this season has in store â€“ both at Independence Blue Cross cheering on the hometown team and from the Philadelphia Eagles on the field.
#NFL #Eagles",MISC
"Generative AI represents an inflection point in cybersecurity. It presents both an opportunity and a challenge. Thereâ€™s a new opportunity to elevate and advance the skillset of your analysts but the challenge is your adversaries are using GenAI, too.
My perspective is that security is a data problem. This is even more clear now that generative AI is on the scene. Companies that approach modern security challenges through a search lens have the advantage. If youâ€™re interested in learning more about this approach, check out the latest report from IDC on the Elastic AI Assistant:",Data privacy and cybersecurity
"Today we reported Elasticâ€™s Q2 earnings results. Our outlook remains strong, and Iâ€™m excited about the opportunities ahead. Iâ€™d like to highlight three key trends weâ€™re seeing in our business:
- Generative AI continues to drive a resurgence of excitement around enterprise search. Our Elasticsearch Relevance Engine (ESRE) provides the most comprehensive and enterprise-ready platform for use cases across semantic search, vector search, and hybrid search.
- Customers are looking to consolidate onto the Elastic platform for multiple use cases as they seek ways to lower their total spend without sacrificing innovation. More customers are choosing us over incumbent solutions for observability and security, helping them save on their overall IT spend while gaining even greater value through our many innovations.
- Continued improvements helped drive cloud revenue growth. Customers are continuing to stay focused on costs, but they've generally optimized their Elastic deployments and are now focused on driving new workloads to Elastic. This is an area where we continue to help our customers get the most out of Elastic. Our customer-centric approach drives improved customer satisfaction and engagement, and increased consumption over time.
Enabling everyone to find the answers that matter. From all data, in real time, at scale. That is our mission. At a time when companies are looking for ways to reduce costs and gain efficiencies without sacrificing innovation, especially around Generative AI, Elasticâ€™s search analytics platform is becoming the natural choice for businesses.",Cost management / reduction / optimization
"MDR is still relatively new in the industry, but by 2025, 50% of organizations will have it, according to Gartner. Click the link below to learn how it can significantly improve your security posture and the proactive steps you can take now. DM me if you have questions or would like to chat!
https://bit.ly/3qWTjlh
#MDR #Cybersecurity",MISC
Happy and proud to have completed the Centers for Disease Control and Preventionâ€™s work@health Employer Training Program.,MISC
"The #Snapdragon Auto #5G Modem-RF Gen 2 platform will deliver powerful broadband connectivity to connected vehicles, providing more personalized entertainment experiences for passengers and safer autonomous driving for drivers. #MWC23 More via Forbes: https://lnkd.in/gkzrqVBn",MISC
"CEOs are examining their global footprint, operations, assets, and addressable markets through the geopolitical lens. That definitely rings true based on recent client questions we've received. Great piece in Forbes from EY's Andrea Guerzoni. #EYgeopolitics #realworldstrategy",Geopolitics
"The private sector, specifically financial institutions like Citi are playing a critical role in helping to scale low-carbon solutions. Thatâ€™s one of the themes I discussed with Andrew Edgecliffe-Johnson from Financial Times and Chloe Demrovsky from DRI International at this weekâ€™s The Paley Center for Media International Council Summit. It was an honest conversation about the challenges of climate change and how to catalyze opportunities created by the energy transition. Meeting global climate goals will be a defining issue for the public and private sectors in the years ahead, and dialogues like this one are critical for building understanding on how to move forward.",Environmental Sustainability and Climate
Happy Groundhog Day! This summer our Smile Farms at FREE Saddle Rock Ranch campus had a family of groundhogs living in the garden. Can you spot all of the groundhogs in this artistâ€™s rendering?,MISC
"Happy International Womenâ€™s Day!
Tomorrow, weâ€™re hosting a virtual, live streamed summit featuring panels, workshops, and tech talks to celebrate the accomplishments and forward momentum of women technologists at Google and within the industry.
Donâ€™t miss Dr. Karen DeSalvoâ€™s fireside chat to kick things off!
Register here: goo.gle/iwd23
#IWD2023",MISC
"Happy International Women's Day. Around the world, women past and present have madeâ€”and continue to makeâ€”critical contributions to drive technology, innovation, and our society forward. Thank you to my colleagues for sharing their powerful stories.",MISC
"How can tech companies build trust with customers and stakeholders while forging ahead on innovation? Prioritizing privacy and ESG will be critical. Read BDO's survey of tech CFOs to learn more.
#Innovation #Tech",MISC
"While digital transformation is nothing new, today's expectations have forced many organizations to speed up adoption in unprecedented ways. But rather than fear the change, or struggle to adapt, we should look to how it actually enables us to achieve important internal milestones. Learn more (via Marketo).
#DigitalTransformation #DigitalMarketing",MISC
"Generative hashtag#AI adoption is on the rise, and Qualcomm is pushing the pace of innovation with hashtag#Snapdragon platforms across device ecosystems. Learn more about our leadership in generative AI on-device and at the edge. hashtag#TeamQualcomm",MISC
The team at Nebraska SHIP is a great example of Nebraska volunteers helping Nebraskans navigate a complicated world. Thank you for all you do. #nebraskamedicarehelp,MISC
"Weâ€™re hiring! This is a great opportunity for a skilled leader to deliver insights and improved business outcomes. The candidate will work closely with me, our finance and marketing teams.",MISC
We are #hiring ! Come join our team Oxfam America! Hana Ivanhoe,MISC
"As we celebrate Thanksgiving this week, Iâ€™m grateful for the incredible Intuit team. Your dedication, hard work, and care for each other and our customers continues to inspire me. Wishing everyone a restful holiday with loved ones.",MISC
Welcome Chris Moustakas and DevonWay to the Ideagen family!,MISC
"This hashtag#Thanksgiving, I'm profoundly grateful for our remarkable hashtag#Qlik team and the inspiring partnerships we've built, including with our incredible customers. Your trust and collaboration fuel our commitment to harnessing the true potential of data. Wishing everyone a data-filled, joyous Thanksgiving surrounded by warmth, gratitude, and laughter (and food!)",MISC
