Post Content,Themes,Thought Leadership?
"I read through several articles and blog posts each day as part of my ongoing professional development. Each week, I curate a few of my favorites, including a brief introduction explaining why I find the post valuable and recommend you read it.

Here’s a summary of this week’s content:

* Microlearning's impact on corporate training
* How LXPs can personalize lifelong learning
* Taking your first steps towards agile L&D transformation
* A guide to equitable decision-making
* ChatGPT prompts for combatting imposter syndrome.

Check out all of this week's content via the link: https://lnkd.in/eWu_yQ8g

#Microlearning #LXP #Agile #ProjectManagement #DEI #DecisionMaking #ChatGPT #ImposterSyndrome","AI/Machine Learning,Organizational Change Management,Innovation",checked
"Yesterday, we came together in Houston to promote ðŸ“£ and celebrate ðŸŽ‰ our many employee networks. Very proud of the work we're doing to build a more inclusive and diverse workplace!",Organizational Change Management,
"I spoke with MedCity News at Oliver Wyman's Health Innovation Summit last week. Here are some insights into how we approach our technology investment strategy:

🔁 There are two parts to AI - the product and change management - and they must work together 

👨‍💻 Choosing a certain vendor may not be just because of their technology but also price, accessibility, EHR integration, and other secondary factors 

👍 Prioritization is overrated - focus on solving many problems at the same time in order to try out different solutions in different environments 

#healthcareinnovation #healthtech #digitalhealth","Organizational Change Management,Innovation",checked
"In this episode, Roberta Schwartz, Executive Vice President and Chief Innovation Officer of Houston Methodist Hospital, explores the concept of smart hospitals and her vision for healthcare innovation. Dr Schwartz explains how Houston Methodist Hospital adopts a unique approach by collaborating with external innovators and startups, rather than recruiting from unrelated industries, offering operational expertise to navigate the healthcare landscape. She highlights the challenges of implementing innovation, including resistance to change, emphasizing the importance of involving operational teams in the process. Dr. Schwarz also talks about the importance of team members with dual roles, balancing operations and innovation to bridge the gap between novel solutions and practical implementation to reshape healthcare for a more patient-centric and adaptable future.Join the conversation and learn how innovation and smart hospitals are reshaping healthcare!Spotify: https://lnkd.in/gj-W7U8BApple: https://lnkd.in/ggxS6882Google: https://lnkd.in/gZ3V5cJp?iHeart: https://lnkd.in/grDtDk83Amazon Music: https://lnkd.in/gCpws-XFhashtag#SmartFromTheStart hashtag#NeverStopCaring hashtag#compassionatecare hashtag#healthcare hashtag#innovation hashtag#healthtech hashtag#digitalhealth hashtag#aihealthcare hashtag#smarthospitals hashtag#healthcaretechnology hashtag#artificialintelligence hashtag#nursing hashtag#nursingleadership","Customer centricity,AI/Machine Learning,Innovation,Organizational Change Management",
"As change leaders, it can be easy to focus on organizational change and miss the need to evolve our own behaviors. This Harvard Business Review article is a great reminder that listening to your colleagues, acting on their feedback, and deliberately practicing new behaviors are all necessary and helpful parts of this integral leadership process. hashtag#ChangeManagement",Organizational Change Management,checked
"In this episode, Roberta Schwartz, Executive Vice President and Chief Innovation Officer of Houston Methodist Hospital, explores the concept of smart hospitals and her vision for healthcare innovation. Dr Schwartz explains how Houston Methodist Hospital adopts a unique approach by collaborating with external innovators and startups, rather than recruiting from unrelated industries, offering operational expertise to navigate the healthcare landscape. She highlights the challenges of implementing innovation, including resistance to change, emphasizing the importance of involving operational teams in the process. Dr. Schwarz also talks about the importance of team members with dual roles, balancing operations and innovation to bridge the gap between novel solutions and practical implementation to reshape healthcare for a more patient-centric and adaptable future.Join the conversation and learn how innovation and smart hospitals are reshaping healthcare!Spotify: https://lnkd.in/gj-W7U8BApple: https://lnkd.in/ggxS6882Google: https://lnkd.in/gZ3V5cJp?iHeart: https://lnkd.in/grDtDk83Amazon Music: https://lnkd.in/gCpws-XFhashtag#SmartFromTheStart hashtag#NeverStopCaring hashtag#compassionatecare hashtag#healthcare hashtag#innovation hashtag#healthtech hashtag#digitalhealth hashtag#aihealthcare hashtag#smarthospitals hashtag#healthcaretechnology hashtag#artificialintelligence hashtag#nursing hashtag#nursingleadership","AI/Machine Learning,Innovation,Customer centricity,Organizational Change Management",
Proud to announce this partnership and to continue supporting the mission of local community health systems seeking to maintain their independence,Organizational Change Management,checked
"Thank you for the feature, CIO! It was my pleasure to discuss my transition into the CEO role and the steps that I took to get there. If you're looking to make a similar move - I'm confident that you'll find a good nugget of wisdom or two in the article. In short - remain flexible, take on new responsibilities, embrace technological advancement, and allow yourself to develop the soft skills of a CEO while you get yourself ready. Being at the forefront of integrating new technologies into your business will differentiate you more than anything. Your time will come, just bet on yourself. hashtag#Transitioning hashtag#BecomingCEO hashtag#EmbraceTechnology hashtag#Upskilling",Organizational Change Management,checked
"A bunch of CEOs said in a survey that half their jobs can be done by AI. Do you think AI can replace the CEO? I say yes and no. Yes, in that Iâ€™m sure we will have some virtual companies operated mostly or entirely by AI in the future. No, in that I think as long as people need to be managed, inspired, led, etc. human leadership is unparalleled. Either way, the future is getting more interesting. Thoughts?","AI/Machine Learning,Organizational Change Management",
"This week I was honored to testify before congress on the vital issue of â€œSecuring the Federal Software Supply Chain,â€ joined by prominent policy and association leaders James Lewis, Jamil Jaffer, and Roger Waldron, in a Cybersecurity, Information Technology, and Government Innovation subcommittee hearing chaired by Rep. Nancy Mace (R-SC). I commend Chairwoman Mace and Ranking Member Rep. Gerry Connolly (D-VA), who continue to press for heightened federal supply chain resilience following high-profile hacks by threat actors â€“ including hostile foreign nations â€“ that compromised major federal computer systems, exposing sensitive data. Nation-state adversaries and other malicious entities actively pose a fundamental threat to national security and global competitiveness, elevating the critical importance of software supply chain risk management.My testimony included an urgent Call to Action for the Government to shore up our collective software bill of materials (SBOM) vulnerabilities. We must:1 â€“ Prioritize awareness and education on the desired outcomes not just the compliance activities2 â€“ Fund the supply chain risk programs3 â€“ Make supply chain security â€“ hardware, SBOM, services â€“ the cost of doing business both in support of the government, as well as within the critical industrial base it relies on4 â€“ Ensure there is good contracting language to support these changesItâ€™s imperative we view these solutions as an investment in national security, not merely an expense. By upskilling personnel and leveraging supply chain security for prevention and resolution, we profoundly impact the federal software supply chain, fortifying our nation's security posture and global competitiveness. Thereâ€™s no question America is being targeted by our adversaries, who are relentlessly trying every digital backdoor in our multi-tier supply chains. Are we prepared to leave even one unlocked? Urgent and proactive measures are crucial to secure our ever-expanding digital infrastructure.   See hearing here: https://lnkd.in/emRbzqcW  hashtag#cybersecurity hashtag#congress hashtag#supplychain hashtag#resilience hashtag#supplychainresilience",Organizational Change Management,
"Optimize your advanced planning systems (APS) transformation by integrating cutting-edge tech with profound organizational insightâ€”crafting a strategy that delivers enduring impact.In our latest blog, McKinsey Operations experts explore how companies can improve planning and performance through deep end-to-end process revamps and the integration of APS to embed resiliency, effectiveness, and efficiency demanded in todayâ€™s environment.Learn more âž¡ï¸ https://lnkd.in/gVvm7B_vhashtag#supplychain hashtag#advancedplanningsystems hashtag#APS","Organizational Change Management,Innovation",checked
Enjoyed speaking with Vanguard Law Magazine about my work as employment counsel for NFP!https://lnkd.in/gm3Z5psu,Organizational Change Management,checked
Webster signs definitive agreement to buy Ametros to support the bank’s long-term deposit strategy and enhance its healthcare financial services expertise. https://bit.ly/3TrltnZ,Organizational Change Management,
