postContent,themes
"This month, 30 PG&E coworkers from Electric Operations graduated from our inaugural ""Leading at PG&E"" program, a 10-day training intensive focused on growing leadership skills. I had the honor to close the graduation with some words of advice: ""Continue your learning journey, acquire new experiences and protect your character because they will define your legacy as a leader"".Leaders design the culture of the organization by modeling the right behaviors of civility, trust and respect.Congrats, lead graduates! I can't wait to see what you do next at PG&E and life. hashtag#leadershipdevelopment",Not Organizational Change Management
"This is the best summary of the current state of technology for clinicans that I have heard recently""""The area where technology can help clinicians the most is""workflow"" Workflows are sacred to clinicians. They need to be protected and optimized for each clinician. ""Technology is not going to diagnose the patient, technology is going to help us treat patients"" Tech is a tool like a scalpel is a tool. ""AI will help clinicians with cognitive burden. "" We need tools that keep us from having to remember 200 things about 20 patients each day. Great perspective and interview from Margaret Lozovatsky, MD, FAMIA Paulius Mui, MD Graham Walker, MD Vinod Dasa MD Dr Avneesh Khare Alexandre Lebrun Dr Dom Pimenta M.D. Dr Avneesh Khare Sarah Gebauer, MDEd Lee, MD, MPH Ryan Hess, MBA Jeremy Carroll",Organizational Change Management
"I'm happy to share that I'm starting a new position as Owner/CEO at Dual Impact Consulting, LLC!",Not Organizational Change Management
"In a survey of 2,500 business leaders around the world, only half said their organizations are prepared for the future. How can leaders reorient their organizations to chart a path through change and seize new growth opportunities?In The State of Organizations report, McKinsey People & Organizational Performance dives into the 10 most important shifts businesses are grappling with""and what leaders and their teams can do about them.Explore them below and more in depth here: https://mck.co/StateOfOrgshashtag#StateOfOrganizations hashtag#FutureOfWork hashtag#Talent",Organizational Change Management
To the distinguished D9  community - keep loving on your neos. We need them and they need us. #service #sisterhood.,Not Organizational Change Management
"""Glenda McNeal has an exceptionally strong track record of spearheading critical partner agreements and navigating the complexity of large, global relationships to benefit both the company and our partners and she will continue to do so in this expanded role,"" said Steve Squeri, Chairman and CEO of American Express. hashtag#savoy hashtag#americanexpress",Not Organizational Change Management
"I got the best compliment from a client today. She said...""You're like a superfood. Nutrient rich. You pack a big punch. Our 2 sessions have been potent.""There are 2 things that are incredibly important to me as an Executive Coach, emotional intelligence practitioner, developer of leaders.The first is making a difference. Making a contribution. The only way I know this to be possible is through listening. Listening actively - yes, and, more than that. Listening without judgement. Listening with my ears, eyes, heart...with my humanness that is hearing, seeing, and feeling.And that leads to the second thing. Asking questions that are directed at the thing between and beneath. This is the 'pack a big punch' compliment.I know what it's like to ask, and be asked, surface questions. These questions sometimes make a little progress and do a little thing and are 'fine' for some momentum. They keep you in the problem longer because these questions avoid what's at the root.Nutrient dense questions are the ones that liberate.These are also the questions that can make us the most uncomfortable and so we avoid them. We avoid asking them of ourselves and asking them of others.My question and invitation to you is this.What are you not asking that you need to ask?Listen with all of you - hear, see, feel what's at the root - and ask that nutrient dense question. Pierce denial. Pierce lies. Pierce the surface.hashtag#emotionalintelligencehashtag#purposehashtag#iqeqtqThis picture is a fair representation of how I look when I receive compliments. A lot happy. A lot grateful. A little bit embarrassed.",Not Organizational Change Management
"It's official - I am retired!

After nearly 40 years working in information technology, I got my first real IT job in the Software Product Center at Battelle in the fall of 1984, I am taking it easy at home with my lovely wife Lisa, just taking care of things, mowing the yard, etc.  Actually I have a guy that mows my yard but I do often supervise from the front porch while sipping a nice bourbon.

So far I give retirement 5 stars!",Not Organizational Change Management
"I am deeply honored and grateful to have been appointed as our healthcare network's new Chair of Diversity, Equity, Inclusion, and Belonging. Thank you, The Christ Hospital Health Network and Andre Boomer, MBA , for your support and trust in me in leading these critical initiatives.",Not Organizational Change Management
"We're delighted to introduce our first broad-based employee ownership plan with PFB Corporation, in partnership with Ownership Works.  We love the alignment created by the Ownership Works program, and we're proud to partner with the entire PFB team on this journey. 

https://lnkd.in/g4amxRVz",Organizational Change Management
"What an amazing week in the French countryside with L'OrAal Mastering ECcommerce Excellence. We ate, we laughed, worked and learned. A special thanks to my Challenge Team!!! Matt Steiner Kenny Ng Maryann Adamec Oliver Rogers and Jenni Johanna Toft",Not Organizational Change Management
