PostContent,Theme
"Weâ€™re pleased to announce that the U.S. FDA has agreed to expand our ongoing global Phase 1/2 trial in patients with Angelman syndrome.
Our team is dedicated to working with urgency to bring a treatment option to the Angelman community. #RareDisease
Read our press release: https://lnkd.in/gMszh84Z",
"I asked Clement Delangue (CEO Hugging Face ðŸ¤—) for a selfie, he said ""sure, but only if you promise to post it on social media"". He clearly doesn't know me well ðŸ˜œ Also catch Ofer Mendelevitch giving Vectara demo at #WoodstockAI showcase this evening.",
"Earlier this week, Greg Engel, Brad Brown and I hosted a dinner in New York City with some of our clients, journalists and industry influencers to discuss the findings from our latest KPMG Tax Reimagined 2023: Perspectives from the C-suite report.
The data spurred some really interesting conversations on corporate tax departments â€“ including their role as value drivers to the broader business, the impact of AI and how to grapple with the rising importance of the intersection of Tax and ESG, and the skillsets and talent needed in the tax department of the future.
You can read the report here: https://lnkd.in/e5GcqxBY
#KPMGTaxReimagined #tax #AI #data #ESG #talent",
"We tend to be fed a steady diet about the importance of â€œwellness.â€ This is typically around diet, exercise, meditation, and journaling. All of this is important. But if you are worried about money â€” and who isnâ€™t these days? â€” this worry acts as a corrosive force on all of the wellness work that you are doing.
Sharing a few actionable steps you can take to improve your financial wellness in 2023.
#AdobeAcrobatSign Adobe Document Cloud #AdobePartner #financialwellness",
"Can't make it in person for Grounded GenAI, our Boomerang Retrieval Model & Ecosystem launch event on Monday? Join the live stream and catch all speeches, demos, and more! Click below to save your spot ðŸ‘‡ hashtag#AI hashtag#ML hashtag#VectaraPartners",MISC
"Iâ€™m delighted to announce that Cognizant has agreed to acquire Mobica, an IoT software engineering services provider headquartered in the UK. Mobicaâ€™s services span the software development cycle, with core competencies in implementation, testing, and the deployment of embedded software, and a specialization in clientsâ€™ strategic internal R&D projects. This acquisition significantly expands Cognizantâ€™s IoT-embedded software engineering capabilities and will enable us to provide clients with a deeper and broader array of end-to-end support to enable digital transformation. Mobica builds upon Cognizant's efforts to establish strategic capabilities in Eastern Europe through our earlier acquisitions of Softvision and Devbridge, which have significant software product engineering operations in Romania and Lithuania, respectively. Upon acquiring Mobica, Cognizant will have more than 7,500 associates in Eastern Europe.",
"The most courageous act in modern business history may be the decision by CVS Health nearly a decade ago to quit selling cigarettes.
In what seemed like the blink of an eye, CVS walked away from $2 billion in revenue and hundreds of millions in profit.
Remarkably, when CVS quit selling cigarettes, many Americans who relied on CVS as their supplier quit smoking altogether.
The move coincided with the companyâ€™s shift into more direct provisioning of healthcare servicesâ€”and sent a strong message to employees and external stakeholders that CVS was truly in the business of health.
As more and more retailers (Walgreens, Amazon, Costco Wholesale) and tech companies (Apple, Facebook, and Google) have gotten into the business of healthcare, not enough companies are struggling with the ethical consequences of simultaneously selling products and services that erode health while also selling healthcare services.
In my latest Forbes column, I describe the tension and a few ways that companies work work to resolve it.",
"Introducing: Uncontained! A branding campaign that supports the launch of nearly 1,000 new and innovative products across strategic growth categories. Read more about #TheNEWContainerStore: https://lnkd.in/g6n5MTUq",
Looking forward to this reopening. The team has worked diligently rebuilding and transforming after Hurricane Ian.,
"I celebrated with our KPMG US partners and professionals in Boston to wrap up a successful Community Impact Day â€“ a day where we participate in meaningful volunteer work and make a collective impact in our local communities.
Thank you to all who participated in todayâ€™s activities and contributed to the legacy weâ€™ve built over the last 126 years.
#KPMGCommunityImpact #KPMGThrive",
"With #AI and #EmergingTech on the mind for every C-suite leader, it is not surprising that 80 percent of US CEOs say they have either already integrated AI into their products and services or plan to within the next year. What remains to be seen is how CEOs will employ AI in the #transaction diligence process, as 37 percent of CEOs say they are only in the initial stages of doing so and 33 percent were either not using AI yet at all or had no plans to do so.",
"During our third annual Virtual Health Care Day on Thurs., Sept. 28, weâ€™ll bring together Dennis Dahlen, chief financial officer of the Mayo Clinic, and Pat Keel, chief financial officer/chief administration officer of St. Jude Children's Research Hospital - ALSAC, to discuss emerging trends, ground-breaking technologies and innovative strategies shaping the future of the health care industry. Learn more and register today:",
Come join our amazing Commonwealth Senior Living at New Baltimore team! Great community that has been expanded and completely renovated. #greatplacetowork #pineapplepeople,
"Every business needs to innovate, but how do you maximize the investment? My advice: be clear about what you intend to accomplish and why. Just as important: foster a #culture that will drive and sustain the effort over time. #innovation",
