postContent,theme
"Jack Newton is a true leader who has helped shape the legal tech industry. TCV is proud to support Jack and the Clio - Cloud-Based Legal Technology team as they continue to transform the legal landscape and enable lawyers to excel.
hashtag#innovation hashtag#tech",Regulation or Legislation
"So Friday 8th Sept marked my last day as CEO of International, and if you are reading this, don't worry""it's not an Oscar Speech. Y S
Although I'll be with Walmart until the end of January, when I officially retire, that Friday was a day to reflect and remember what an extraordinary journey the last 27 years have been and in particular the last 6 years in International. It was a day to be grateful.
I've had opportunities to meet people, see places and hear stories that I never thought I would possibly be able to do, or in fact, that I could have imagined. Of everything, it is the stories that leave the biggest impression on me. Everyone at Walmart, all 2.1 million of us, have a story. They can be heartbreaking, inspiring, funny, sad, and sometimes all of those at once, but it's what makes us unique. And the thing I have loved most about what I have done, is hearing the stories of people all over the world. They've given me energy every day to keep working towards making things better in ways large and small.
From Asda in the UK for 17 years, to leading our stores in Walmart US, to Walmart International, my experiences have reinforced my deeply held belief that we are more common than we are different wherever we are and that "" our people make the difference' has never been more true.
Thank you to everyone who commented on Doug's post. It's been humbling (to say the least), and I'm at a loss for words (which doesn't happen often!) on how to express how I feel when I read them.
I'll keep posting on LinkedIn as I embark on my next chapter, whatever that may hold, and I'll end for now with a simple thank you to everyone who has guided me, shaped me, challenged me and taken a chance on me and the brilliant teams I've had the honor of working with over all these years. They sparkled. Y
Right "" just wrapping up a trip to India and Singapore for Board meetings "". What retirement???????",
"Just got back from an incredible trip to India where our leadership team and I met with our board of directors.
Businesses around the world continue to diversify supply chains and it's fascinating to see how is India evolving economically. We met with a handful of Indian entrepreneurs and each one of them had a compelling story to tell.
We also had a chance to spend time with our people in our Bengaluru office and beyond. India is our largest location outside the U.S. and I'm excited for our future there. When people look at India, they see opportunity.",Economic Outlook
"One of my favorite things about my book, ""Dead Wrong"" is how authentic to me it is. Bringing in my mentee, University of Miami Miller School of Medicine medical student, Sneha Akurati, to work with my daughter, Sonia, on the chapter artwork was a no-brainer and such a unique personal touch I couldn't be more excited about it.
Sneha's reaction to seeing the first copies of ""Dead Wrong"" in print makes me melt every time Y I am so proud to include Sneha and Sonia! This is what women's sponsorship is all about. It's how we foster the next generation, our own children, and those we proudly adopt along the way""supporting their passions.
If you haven't gotten your copy of ""Dead Wrong: Diagnosing and Treating Healthcare's Misinformation Illness"" yet, order it today and check out the start of every chapter for a unique piece of artwork from them: https://lnkd.in/gjGGCk7M
hashtag#DeadWrong hashtag#MedStudents hashtag#Mentoring hashtag#Disinformation hashtag#Misinformation University of Miami University of Miami Alumni Association",
"I am so incredibly proud of the #leadership team of YSC Consulting, part of Accenture, and thrilled to welcome its newest members. Congratulations to David, Felicity, Steve, and Susannah!

I keep a sticker on my desk that says ""Life is about the people you meet and the things you create with them."" It is a gift and a joy to be able to spend my days with such extraordinary people (representing leadership of and from #Australia, #Mexico, #HongKong, #NewZealand, and the #UK in this group alone!) and to create something so special with them.

#consulting #leadershipstrategy #yscconsulting #leadership #team #leadingtoshapethefuture",
"Congratulations to my colleague and friend Janet Truncale on being appointed EY's new Global Chair and CEO-elect!
I had the pleasure of working with Janet for many years and have witnessed her empowering leadership, deep experience and commitment to our people, clients and quality. I am confident she will inspire our people and drive our organization towards continued growth and achievement. https://go.ey.com/3FYIlTO hashtag#BetterWorkingWorld hashtag#Leadership",
"New data from the National Association of Manufacturers - NAM shows the total cost of federal regulations outpaced the economic output of the entire manufacturing sector. As the regulatory onslaught continues, we need the Biden administration to take action. The unbalanced federal regulations make it challenging to grow manufacturing in America by siphoning resources away from job creation and our communities. The burden continues to grow year after year, undermining the bipartisan achievements from President Biden and Congress that have prioritized manufacturing""including the Bipartisan Infrastructure Law and the CHIPS and Science Act. It is chilling investment, curtailing our ability to hire new workers and suppressing wage growth, especially for small and medium-sized manufacturers. Read additional key facts here: https://lnkd.in/eijYv2iw",Regulation or Legislation
"It's the honor of a lifetime to be named the next CEO of CyberArk, starting in early April. I'm humbled that Udi Mokady is trusting me to take the helm of the company he founded and cares so much about. CyberArk has an amazing culture and a rich heritage, including our Israeli headquarters and the spectacular talent we have around the globe. Preserving CyberArk's uniqueness will be one of my top priorities as CEO. We have an important mission to secure the world against cyber threats so together we can move fearlessly forward. I am so excited to continue to partner with Udi, the Board, the management team and every CyberArk employee to deliver on that mission as we work tirelessly to delight our customers. We're just getting started and I'm humbled to lead this next chapter at CyberArk.
Here's the short video if you'd like to hear more. spr.ly/611013Ybyz",MISC
"Last week, I had the privilege of addressing almost 1,000 members of our technical community at the Medtronic Science and Technology Conference's Celebration of Excellence awards ceremony. I'm so glad to recognize teams and individuals that showcase the broad scope of our scientific capabilities, and the depth of our technical talent. I'd like to applaud all our winners for their outstanding contributions and express my deep appreciation to our entire Science and Technology community. Your extraordinary, out-of-the-box thinking plays a pivotal role in enhancing the lives of patients today, shaping a brighter tomorrow, and extending the horizons of possibilities in the days to come. Thank you for your dedication and excellence!",
"Much has been made of clinician shortages. It is a societal problem of great significance""that will require bigger fixes linke increasing the number of medical school and residency slots and potentially implementing new technologies to augment clinical capacity. However, I always struggle when an individual organization (particularly those in attractive high density metropolitan areas) struggles with shortages. What a single organization needs to do when presented with a *national* shortage is simply be a better employer than the next organization. It needs to create better working conditions and be a more attractive employer than the next organization. And the reality is that the working conditions and morale in many clinical organizations have deteriorated to the point where having a good work culture""where people feel empowered and valued and respected (simple as that sounds) can be a differentiator. And while the macro environment may be challenged with shortages""individual groups and institutions can be fine because they do the work to create a working environment that feels soulfully and personally rewarding for individuals.",
