PostContent,Theme
"We will be presenting the latest clinical, preclinical and manufacturing data from our investigational #GeneTherapy portfolio at this year's American Society of Gene & Cell Therapy 26th Annual Meeting, and we look forward to seeing you at our booth #455! Read more about our presentations here: https://lnkd.in/e9QMNZKk
#ASGCT23 #RareDiseases",Health outcomes
"Amr Awadallah, the cofounder of Vectara talking at UC Berkeley Sutardja Center for Entrepreneurship and Technology. One of the #GenerativeAI talks at University of California, Berkeley. Thank you Eileen Morris for helping me attend the event.",
"Weâ€™re excited to introduce KPMG Trusted AI, our pledge to responsibly and ethnically harness the transformative power of artificial intelligence. As it continues to reshape our world, weâ€™re navigating this change with integrity and responsibility. With this pledge, our clients can count on us to deliver AI-powered solutions that are not only innovative but also transparent and reliable â€“ and itâ€™s a promise to our professionals that we will continue to foster an environment that encourages innovation but never at the expense of ethical considerations. Join us on this journey as we shape a future where technology and ethics go hand in hand, setting a new standard for the responsible use of AI in business. hashtag#AI hashtag#ethicalAI hashtag#responsibleAI",
"The news: The Fed raised rates again today, this time by 0.25%.
The good news: Thatâ€™s a much smaller jump than the others weâ€™ve seen over the past few months.
The bad news: It looks like there are probably still more to come.
Hereâ€™s an explainer on the most recent hike (and a refresher on how interest rates affect your money) from the Ellevest Magazine.",
"CEO Eric Savitsky sharing how @SonoSim uses Vectara to teach practitioners how to use ultrasound, and sharing how they did it prior without hashtag#ai at hashtag#boomerang hashtag#llm event. Stream now live: https://lnkd.in/gR2kc4UH https://lnkd.in/ghUzbh23",MISC
"Great win for our UK team. The UK Department for the Environment, Food & Rural Affairs (Defra) just signed a partnership with Cognizant. Defra selected us to deliver essential digital services to enable them to enhance the UKâ€™s landscapes, improve biodiversity and encourage innovation. Congrats Rohit Gupta!",
"The question of merit and who deserves what is a very complicated one that we are grappling with as a society. With an increasing focus on diversity in many domains, backlash sometimes focuses on the departure from â€œpure merit.â€
Usual arguments for â€œpure meritâ€ include some measure of test scores, academic performance, previous experiences, publications, etc. But those of us who have been involved in selection processes for academic programs or jobs need to fess up. Pure merit is always contextual. And context is incredibly hard to measure and imperfect.
And because of context is hard to measureâ€”we often take shortcuts. We look at the schools from which someone graduated. The names of the companies on someoneâ€™s resume. A recommendation from a someone we know. We see these as proxy measures for merit. But they are imperfect at best.
And time and time again, unless prompted to do otherwise by force or by circumstance, it is human nature to always seek and select the familiar. To apply proxies for merit instead of doing the hard, imperfect work to see if someone who comes in a different package from the one we know is capable of success. Which is to sayâ€”whatever the changing and sometimes unjust law of the landâ€”we must constantly contend with the imperfections of our judgment. To try to be fair to everyone. To create and give opportunity to people whose merit may come in unfamiliar forms. Because when we fail to do so, we rob ourselves of access to the kind of transformational talent we need to challenge our own broken status quo.",DEI
"Congratulations to The Container Store's fabulous marketing team for winning the Grand Prize in ""Campaign of The Year"" and ""Strategy of The Year."" Bravo!",
"Today, weâ€™re expanding our partnership with KPMG, as we bring together AI innovation across the Microsoft Cloud with KPMGâ€™s tax, audit, and advisory expertise to empower employees and unlock insights for customers in the new age of AI.",
"The Inflation Reduction Act (IRA) has plenty of opportunities to earn tax credits for renewable energy projects â€“ but generating, maximizing and selling those credits can be difficult to navigate. My KPMG US colleagues Todd Fowler, Kim Sucha and Hannah Hawkins share three things to know on transferring energy tax credits, such as understanding the IRAâ€™s increase and bonus rate provisions and properly accounting for and documenting all transaction information. Read about these tips via Hart Energy: https://lnkd.in/ei79PJzn
hashtag#InflationReductionAct hashtag#taxcredits hashtag#KPMGTax",
