PostContent,Theme
"94% of business leaders believe the right data and insights can help them make better supply chain decisions. Just ahead of Earth Day, this Forbes article reminds leaders that the right type of action begins with the right data. https://bit.ly/3N3QevP
#Data #DataAnalysis",Supply chain
"We visited with teams in some of our #manufacturing facilities around the US last month and saw some amazing projects. Our team has been pushing the envelope in #automation, #robotics and technology making it easier for associates to do their work while advancing how we bring products to market. The innovation happening throughout our facilities was truly exciting. And the best part is that weâ€™re creating much of this technology ourselves. Great job, team!
MillerKnoll",Supply chain
"ðŸ”® Embrace the Future of (Personalized) Beauty! ðŸ”®
I've just wrapped up an energizing conversation with industry leaders at the CEW (Cosmetic Executive Women) panel, moderated by Rachel Francois St. Fleur, where we took a deep dive into the exciting trajectory of personalized beauty.
Personalized beauty is a nascent field, and over the next 5 years, I envision 3 game-changing dimensions that will unequivocally reinforce why Personalized Beauty works better!
1ï¸âƒ£ Battle for Data Domination - Possessing an extensive, qualitative data set can be a strong defensive moat. Direct-to-consumer strategies are crucial to acquiring proprietary data, which can be activated through AI to provide superior personalized experiences. Various data sources, such as consultations, environmental data, computer vision, self-testing, and sensor technology, offer potential for the industry. Data quality, ownership, and consumer adoption are key factors in enhancing personalized beauty solutions. See my article below.
2ï¸âƒ£ Scale of micro-manufacturing systems - enabling a paradigm shift in where customization occurs - from the fulfillment centers (current Prose model) to the point-of-sale, and ultimately, transitioning to the intimate space of consumers' bathrooms to enable a daily and mono-dose personalization.
3ï¸âƒ£ The rising integrated product-service modality, hinged on AI, aiming to revolutionize personalization. The emergence of beauty AI-Powered Assistants and vertical super-apps will layer a multitude of services atop the personalized product offering.
I find myself fascinated by the unfolding ""Battle for Data Ownership"", a competition I believe holds the power to shape the industry's future. The pursuit of data ownership can reinforce market defensibility, potentially nudging us towards a 'winner-takes-all' scenario.
Stay tuned for my next post where we deep-dive into the scale of micro-manufacturing systems. Let's shape the future of personalized beauty together! ðŸ’„ðŸ”¬
#FutureOfBeauty #PersonalizedBeauty #Data #AI",Supply chain
"ðŸ’¥ Smashing Skepticism: 5 Million Custom Haircare Bottles and a Sustainable Future ðŸŒ¿
ðŸ’ª Today marks an extraordinary milestone for Prose! We have officially produced our 5 millionth custom haircare bottle using our proprietary automation machine. When we launched in 2018, many industry experts doubted our ability to scale. In 2020, we opened our Advanced Customization Center in Brooklyn, a cornerstone of our whole platform, and got ISO Certified in 2022. Every day 25,000 custom products are made-to-order on our platform, leveraging AI and Automation across the value chain to scale Personalized Beauty!
ðŸ‘ I want to extend my deepest gratitude and appreciation to our Manufacturing team for their relentless dedication, hard work, and passion in achieving this incredible accomplishment.
ðŸŒŽ With our unique supply chain, we don't create a product until our customers order it, significantly reducing waste and carbon emissions. This means that every time you choose us, you're not only getting a freshly bottled and personalized product made just for you, but you're also supporting local NY manufacturing and contributing to a more sustainable world.
ðŸ’š As we celebrate this major milestone, we reaffirm our commitment to continue innovating, providing exceptional products, and leading the way in AI & Sustainability. Thank you to each and every one of our valued customers for joining us on this journey â€“ together, we are making a difference!
ðŸ“° A special shoutout to Amy Feldman, Senior Editor at Forbes, who believed in us from the start in 2020 and covered our amazing manufacturing journey. Your support has meant the world to us.
#milestone #custombeauty #sustainability #beautytech #proudteam",Supply chain
"Quantum technology is rapidly advancing, bringing us closer to solving previously unsolvable problems. And at IBM, weâ€™re laser-focused on bringing useful quantum computing to the world.
Yesterday, at the G7 Summit, we took a big step forward towards this new era with the announcement of our 10-year, $100 million partnership with the University of Tokyo and University of Chicago to develop a 100,000-qubit quantum system by the year 2033.
Already, weâ€™ve charted the path to scale quantum processors to thousands of qubits but we recognize we cannot usher in this new era of supercomputing alone. As ever, we see the potential and scale that comes from collaboration with like-minded, similarly ambitious institutions.
Together, we will explore and advance four key areas required to realize a system as this scale: quantum communication, middleware for quantum, quantum algorithms and error correction, and components with the necessary supply chain.
We do not underestimate the challenge before us, but we also see a clear path forward with the collective effort and resources IBM and our partners will bring to bear.
I invite you to learn more about how we are charting the course to 100,000 qubits and the era of quantum-centric supercomputing here: https://lnkd.in/g6d-SDbu",Supply chain
"Special dinner with Chef Daniel Thomas, Dr. Lisa K. Fitzpatrick MD, MPH, MPA, and Deloitte #healthequity leaders Josh Lee and Nicole Kelm discussing #foodasmedicine. We can change our health and the health of millions if we undo what weâ€™ve been programmed to think about food, rethink manufacturing and supply chains, and unleash its power to feed and heal the world.

Anthony Waelter Barb Renner Jay Bhatt Kulleni Gebreyes Kwasi Mitchell",Supply chain
"Weâ€™re proud to be investing in America once again â€” this time in Fort Worth, TX! ðŸ“ Our new high-tech hashtag#manufacturing plant will support the growth of data centers in the U.S. and power the AI revolution while creating 700+ jobs for the community.",Supply chain
"Hereâ€™s what national, state and local leaders are saying about our $150M investment in a new high-tech hashtag#manufacturing plant in Fort Worth, TX. ðŸ‘‡",Supply chain
"Weâ€™re accelerating U.S. #battery production for clean energy and electric vehicles âš¡
KORE Power is leveraging our #SiemensXcelerator technologies for their #KOREPlex gigafactory in Arizona to model the future of advanced #manufacturing.",Supply chain
"ðŸ‡ºðŸ‡¸ Investment announcement!
Harness the power of #AI to simplify your life, seamlessly charge your #EV, and enjoy smooth train journeys. We're proud to announce an investment of $500 million in U.S. manufacturing for critical #infrastructure in 2023, ensuring all these conveniences are not just possible, but also more efficient.
We are proud to invest $150 million in a new state-of-the-art manufacturing plant in Dallas-Fort Worth. This high-tech facility will produce cutting-edge electrical equipment, and will play a crucial role in powering American data centers and critical infrastructure. With the help of Siemens' advanced manufacturing tools, including #DigitalTwin technology and high-tech automation, we are confident that this plant will enable the accelerated growth of U.S. data centers that are crucial to the adoption of #ArtificialIntelligence.
In earlier news, we unveiled a $220 million investment in a rail manufacturing facility. Moreover, we're channeling funds into two electrical products manufacturing plants situated in Grand Prairie, TX, and Pomona, CA. With these steps, we're thrilled to bring on board 1,700 new talents, expanding our #TeamSiemens family in the U.S.
This is part of our â‚¬2 billion global investment strategy that enables our customers all around the globe to stay competitive, resilient, and sustainable",Supply chain
