postContent,theme
"Are you ok? It's a simple question that carries a lot of weight, and during #MentalHealthAwarenessMonth and beyond, it's so important to check in with each other and ourselves. This past weekend, I had the opportunity to do just that. Thanks to ServiceNow's commitment to living our best lives, our entire company had a wellbeing day on Friday that allowed me to get outside and do what I love to do to help with my mental health--exercise. As a family, in honor of Memorial Day, we enjoyed the annual walk we do every year.
Prioritizing yourself is not always easy. As a working mom/parent, I understand. Please know that you are not alone if your mental health is deteriorating. There's no shame in asking for help. So, I'll ask you again: are you ok? #MentalHealthAwarenessMonth #wellbeingmatters",
"How will the newly released NIST Cybersecurity Framework 2.0 affect organization's cyber risk programs?
 
In a recent interview with Legaltech News, Managing Director Rocco Grillo discusses key updates to the NIST CSF including an emphasis around governance and supply chain risk management. Read the full article here: https://okt.to/bBqTFJ
#AMon #NIST #CSF #CyberRisk",Supply chain
"Cloudflare is named one of The 100 Most Loved Workplaces in America for a second year in a year. I say this often "" the two best parts of my job are the people I get to work with and our customers. I am constantly reminded how much a group of passionate people rowing in the same direction can achieve, and I am lucky to be part of it. It is great to be recognized by Newsweek again. https://lnkd.in/gT-_9xwr",
"As #battery production ramps up in the United States, there's a huge opportunity before us. We can use digital tools to drive productivity and improve performance. We can create more resilient supply chains and advance #sustainability.
My message at the Battery Gigafactories conference this year centered on this idea: so much is now possible.",Supply chain
"Y Embrace the Future of (Personalized) Beauty! Y
I've just wrapped up an energizing conversation with industry leaders at the CEW (Cosmetic Executive Women) panel, moderated by Rachel Francois St. Fleur, where we took a deep dive into the exciting trajectory of personalized beauty.
Personalized beauty is a nascent field, and over the next 5 years, I envision 3 game-changing dimensions that will unequivocally reinforce why Personalized Beauty works better!
1i a Battle for Data Domination - Possessing an extensive, qualitative data set can be a strong defensive moat. Direct-to-consumer strategies are crucial to acquiring proprietary data, which can be activated through AI to provide superior personalized experiences. Various data sources, such as consultations, environmental data, computer vision, self-testing, and sensor technology, offer potential for the industry. Data quality, ownership, and consumer adoption are key factors in enhancing personalized beauty solutions. See my article below.
2i a Scale of micro-manufacturing systems - enabling a paradigm shift in where customization occurs - from the fulfillment centers (current Prose model) to the point-of-sale, and ultimately, transitioning to the intimate space of consumers' bathrooms to enable a daily and mono-dose personalization.
3i a The rising integrated product-service modality, hinged on AI, aiming to revolutionize personalization. The emergence of beauty AI-Powered Assistants and vertical super-apps will layer a multitude of services atop the personalized product offering.
I find myself fascinated by the unfolding ""Battle for Data Ownership"", a competition I believe holds the power to shape the industry's future. The pursuit of data ownership can reinforce market defensibility, potentially nudging us towards a 'winner-takes-all' scenario.
Stay tuned for my next post where we deep-dive into the scale of micro-manufacturing systems. Let's shape the future of personalized beauty together! YY
#FutureOfBeauty #PersonalizedBeauty #Data #AI",Supply chain
"Honored to have the opportunity to represent the American business community this week at the third meeting of the USMCA Free Trade Commission in CancAon, Mexico. This roundtable brought together government officials and business executives representing our three countries to discuss the importance of full implementation of the USMCA to support North American competitiveness, investment and supply chain resiliency.
The USMCA can be a model for how the U.S., Mexico and Canada can capitalize on our close regional ties, but it will require all three governments to live up to and uphold the spirit of the agreement. The rewards are worth it""if the USMCA works as intended, it can help address bigger geopolitical challenges and strengthen our supply chain resiliency.
We live in a world and time where our shared values are under attack. And so we must do everything possible to unleash the power of commerce to preserve, protect and expand democracy""for the good of our people and people around the world.",Supply chain
"Huge news today as Panasonic will acquire Blue Yonder!  Thrilled to be joining such a legendary technology company.  Together we will accelerate the autonomous supply chain and combine the ""power of 3"" - AI/ML, Cloud and Edge - to make the supply chain more frontline-enabled and drive huge customer value!  Looking forward to what's next and our future innovations together!  Learn more here https://lnkd.in/gs-SU5S #supplychain #cloud #ai #machinelearning #edge #iot",Supply chain
"2023 is shaping up to be a year of exciting advancements in #connectedcare that improve the lives of people with #chronicconditions and their dedicated care teams. Check out in pharmaphorum my thoughts on this year's trends in #DigitalTherapeutics, #PrecisionEngagement, #RemotePatientMonitoring and #DecentralizedClinicalTrials. #BetterTogether #TeamGlooko http://bit.ly/3lyXncl",
"Sending warm wishes to each of our Deloitte Consulting team members in India and around the world celebrating Diwali today. As the Festival of Lights illuminates our lives, it is a moment for us to come together, reflect on the year gone by, and look ahead with hope. Diwali is not only a time for celebration; it is a reminder of the power of light to conquer darkness. It inspires us to find innovative solutions, to navigate challenges with resilience, and to stand strong as a united force. Let's embrace the spirit of Diwali and carry it with us throughout the year, uplifting one another and fostering a culture of collaboration and inclusion. To our incredible team in India, whom I'm always excited to spend time with (see the below photos from past visits) and where Diwali holds a profound cultural significance, may you find moments of joy and fulfillment amidst the festivities. Excited to see you all in the coming months. hashtag#Diwali hashtag#FestivalofLights hashtag#Inclusion hashtag#Deloitte",MISC
"We celebrated a momentous occasion for Intel and the global semiconductor industry - the opening of Intel's Fab 34 in the ""Silicon Isle"" of Ireland!
Fab 34 signifies the birth of the first-of-its-kind, end-to-end, leading-edge semiconductor manufacturing value chain in Europe. We are sending Intel 4 into high volume manufacturing, and we can proudly put a checkmark on the second node in our ambitious five nodes in four years roadmap. As we shared at our #IntelInnovation event, this is the beginning of the age of the AI PC. And Ireland will be manufacturing the chips that help bring AI everywhere!
I want to express my deepest gratitude to all those who have made this facility a reality, and to the Irish government, thank you for your unwavering support. It's an exciting time for Intel, for Ireland, and for the entire European technology community! #IntelEurope",Supply chain
"We're excited to share our commitment to global #growth and cutting-edge #innovation: With our #investment plan, we spend EUR 2 billion to supercharge production capacities, igniting research, and create new education centers around the globe. Part of the plan is a new $220 million rail manufacturing facility in North Carolina. Stay tuned, as we'll be rolling out even more investments across the US YoY  soon.",Supply chain
"I have known Patrick McIntyre for many years, so I wasn't surprised that this 13-year-old would be excited to attend Johnson & Johnson's Annual Shareholders Meeting last week. I WAS surprised that he showed up with his own printed copy of our proxy statement, to which he'd added blue sticky notes so he could follow along! Did I mention that he wants to be a CEO some day? 
 
Patrick's mother, Jennifer McIntyre, is a Vice President of Finance at Johnson & Johnson and a long-time colleague. When she mentioned that Patrick was coming to the company's Take Our Children to Work event, I noted that it was on the same day as the Shareholders Meeting""so I invited him to attend. 
 
When the meeting was over, Joaquin Duato, the Chairman and CEO of Johnson & Johnson, presented Patrick with a special memento: a framed copy of Johnson & Johnson's first annual report from 1944. Patrick says he plans to hang it on his bedroom wall. I say that, one day, we'll all be working for Patrick.",
"#COVID19 exacerbated long-standing health workforce challenges that continue to threaten health systems worldwide. Ahead of the Fifth Global Forum on Human Resources for Health, my latest LinkedIn piece reflects on how to go beyond applause and really support #healthworkers ai ",
