postContent,themes
"Congratulations to head of Wells Fargo Auto, Tanya Sanders, for being recognized on the Diversity Woman Media's Elite 100 list, which honors Black women who are disrupting the status quo in executive leadership roles across corporate America and beyond. Tanya is a trained engineer and thought leader with more than 20 years of financial services experience, and I'm proud to celebrate all her achievements that have led to this amazing recognition! hashtag#WeAreWellsFargo http://on.wf.com/6047kL5zd",Not Transactions
"So incredibly excited for what we are building together! We are shaping the future of healthcare!! Stay tuned... #ConeHealthProud #RisantProud #ForOurCommunities #Impact
Cone Health Risant Health

https://lnkd.in/geqUr6bQ",Not Transactions
"I'm excited to announce that I have accepted a 2024 Summer Software Engineer Intern position within the Elevance Health Technology organization! I would like to thank Patrick Abell, Ashwini Hassija, Vinod Pallat, Ankur Sehgal Director II Technology, and Anil Bhatt SVP Global Chief Information Officer, for this incredible  opportunity. Looking forward to learning as much as I can through this internship! hashtag#ELVTechIntern hashtag#ElevanceHealthSummerIntern2024 hashtag#ElevanceHealth hashtag#ELVTech",Not Transactions
Great to host our community researchers Karina Coombes and Alex Puruntatameri from Tiwi island this week and get hands on with our project Partner Healthdirect. Translational research in action! Thanks to Sam Georgy and Mathew Simons for all their support!,Not Transactions
"I'm happy to share that I have been PROMOTED to Senior Director of Enterprise Analytics/ CDO at JobsOhio! A Huge Thanks to all the phenomenal men and women in my life and their support,love, strong belief in me!",Not Transactions
"It was an absolute pleasure shipping up to Boston to see some of our wonderful customers at their amazing offices. Justine Shopis at Boston Consulting Group (BCG), Benjamin French Cobb (he/him/his) at Fidelity Investments, plus D'Naysia Stonick and Bridget M Reilly over at State Street are all doing really cool things with video.And what a great visit with Gregory Manning, Chris Cooper, Nathan Welch, Michael Arguin, Katelynn Conlon and the rest of our partners at Brightcove. It was a blast getting some in-person time with you all!Of course, my great teammates truly made the cross-country trip excellent! Thank you for going on another northeastern adventure Malini Sen, MBA, Jonathan Joffe, and for making the trip from a few states over Lindsey Royer. You and all of our Socialivers make these trips so much fun.",Not Transactions
"Nothing business in this post - just personal. Got to play golf with my son, Michael Hearnes, today before he starts his summer internship with Deloitte. So, naturally, I made a hole-in-one because that's what dads do to impress their kids, right?

I love that I'm getting a chance to spend some quality time with family and friends. Don't get me wrong - work is important and fulfilling, but it's not what truly matters. It took me too long to figure that out.",Not Transactions
Complete chaos. Y14 We break down how sales pros can consistently hit their targets quarter after quarter: https://lnkd.in/gcU8r24X,Not Transactions
"Oh when the Spurs, from The Dare Skywalk at Tottenham Hotspur Stadium ",Not Transactions
I'm honored to share that I've recently taken on a new role as SVP / General Manager - Call of Duty at Activision!,Not Transactions
