profileUrl,postContent,Linked Record Field,Themes,Content Format,type,First Name (from Linked Record Field),Last Name (from Linked Record Field),Company (from Linked Record Field),Industry (from Linked Record Field),Title (from Linked Record Field),timestamp,postUrl,imgUrl,Created/Cultivated/Curated,error,Subthemes,Thought Leadership?,likeCount,commentCount,repostCount,postDate,commentContent,commentUrl,sharedPostUrl,action,Action Type,viewCount,postTimestamp,videoUrl,sharedJobUrl,articleTitle,articleSubtitle,articleReadingDuration,articleCoverUrl,eventUrl,eventTitle,Weekday,Time of Post,Date of Post,Day of the Week,3/24-4/23?,Posts vs Engagements,Hour of Post,Month of Post,4/23-5/23?,documentTitle,documentPageCount,thought leadership
https://www.linkedin.com/in/asha-devasia-abab127/,"Happy to see a strong collaboration between my present #SE and past organization #Capgemini.
I was lucky to visit the Energy Command Center at the Capgemini campus earlier this year in February with Asha Devasia and the Power Systems Strategy team. And last week we have announced a new joint offer for the market.
More power to collaboration #energytransition #impactstartswithus #energymanagement #schneiderelectric #capgemini #energycommandcenter",https://www.linkedin.com/in/asha-devasia-abab127/,Transactions,article/blog/company website/press release,Article,Asha,Devasia,Schneider Electric,Consumer & Industrial Products,SVP Strategy & Innovation at Schneider Electric,2024-07-01 16:51,https://www.linkedin.com/feed/update/urn:li:activity:7199762856932753410,,,,,,35,2,0,1mo,It was great to see this impactful collaboration!,"https://www.linkedin.com/feed/update/urn:li:activity:7199347424656596992/?commentUrn=urn:li:comment:(activity:7199347424656596992,7199762845415194624)",https://www.linkedin.com/feed/update/urn:li:activity:7199347424656596992,Asha Devasia commented on this,,,2024-05-23 09:56,,,,,,,,,Thursday,1:56 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/muratgen/,"🚀 At Lumos, we raised a $35m Series B from Scale Venture Partners with Andreessen Horowitz, Neo and Harpoon Ventures participating.

As a technologist, I've been always fascinated by the power of software. We've seen with the recent rise of GenAI how much technology can enable us to create more.

As companies use now over 650 apps, there is this overwhelming complexity around managing them and real consequences: more breaches, exploding software spend and slow internal processes.

To combat that, we decided to build an app for all apps (I know, very meta) - Lumos. Lumos is the Unified Access Platform to help companies manage their user's access to apps and data.

I'm grateful for all the new customers who joined us on that mission over the last two years (Pinterest, MongoDB, GitHub, Roku & many more).

I'm also grateful for now almost 100 Alchemists who contributed to this journey.

Check out the announcement in the comments",https://www.linkedin.com/in/muratgen/,Transactions,infographic,Image,Murat,Genc,Whirlpool,Consumer & Industrial Products,"
Global Technology, Data & Digital Officer",2024-07-01 16:58,https://www.linkedin.com/feed/update/urn:li:activity:7200910622354530305,https://media.licdn.com/dms/image/D5622AQGUlXNaQ8W-RQ/feedshare-shrink_800/0/1716480686436?e=1722470400&v=beta&t=TuvngyriFiczpA6x6Cwd220TXV8pWUGbtok5pHs9Xwk,,,,,952,115,51,1mo,Congratulations Andrej Safundzic !,"https://www.linkedin.com/feed/update/urn:li:activity:7199441812351049731/?commentUrn=urn:li:comment:(activity:7199441812351049731,7200910587491463168)",https://www.linkedin.com/feed/update/urn:li:activity:7199441812351049731,Murat Genc commented on this,,,2024-05-23 16:11,,,,,,,,,Thursday,8:11 PM,5/23/2024,,,,,,,,,
https://www.linkedin.com/in/asha-devasia-abab127/,"Happy to see a strong collaboration between my present #SE and past organization #Capgemini.
I was lucky to visit the Energy Command Center at the Capgemini campus earlier this year in February with Asha Devasia and the Power Systems Strategy team. And last week we have announced a new joint offer for the market.
More power to collaboration #energytransition #impactstartswithus #energymanagement #schneiderelectric #capgemini #energycommandcenter",https://www.linkedin.com/in/asha-devasia-abab127/,Transactions,article/blog/company website/press release,Article,Asha,Devasia,Schneider Electric,Consumer & Industrial Products,SVP Strategy & Innovation at Schneider Electric,2024-07-01 16:52,https://www.linkedin.com/feed/update/urn:li:activity:7199760372671680516,,,,,,35,2,0,1mo,,,https://www.se.com/ww/en/about-us/newsroom/news/press-releases/capgemini-and-schneider-electric-collaborate-to-help-companies-achieve-energy-optimization-664dc7cba842c207d0035213,Asha Devasia likes this,,,2024-05-24 13:17,,,,,,,,,Friday,5:17 PM,5/24/2024,,,,,,,,,
https://www.linkedin.com/in/yar-savchenko-6a973723/,"Thank you for your support!!  We raised $1236.  That’s enough to cover the support programs to support one family for a year according to the program people I met this morning.

This morning I walked 15997 steps (12 km) exceeding the goal of 14340 steps as part of the Walk For Alzheimer’s supporting Alzheimer Society Peterborough Kawartha Lakes Northumberland Haliburton programs that support Individuals and families with dementia and Alzheimer’s.  It was great to be out with the community to support this important need in our community.

Many thanks again for your support!!

https://lnkd.in/gheEgJNK",https://www.linkedin.com/in/yar-savchenko-6a973723/,Transactions,"Personal/Public Pictures,article/blog/company website/press release",Image,Yar,Savchenko,Comerica Bank,Banking,Senior Vice President of Infrastructure,2024-07-01 15:54,https://www.linkedin.com/feed/update/urn:li:activity:7200190399313829889,https://media.licdn.com/dms/image/D5622AQEIUu002yuUTA/feedshare-shrink_800/0/1716651667461?e=1722470400&v=beta&t=dcz3NiJRX9ch9W0O9x_yppbLi4d700RX6zA0_gBsndQ,,,,,149,7,0,1mo,,,,Yar Savchenko likes this,,,2024-05-25 17:46,,,,,,,,,Saturday,9:46 PM,5/25/2024,,,,,,,,,
https://www.linkedin.com/in/paul-deeringer-232a8b8/,"Exciting News Alert!

We're establishing the Jack and Linda Thompson Medical Directorship of Radiation Oncology, our newest endowed medical directorship. We thank the Thompsons for this gift of hope, as their endowment provides a perpetual source of funding, supporting our commitment to groundbreaking research and treatment advances in radiation oncology.

Dr. James Rembert currently holds the medical directorship at John Muir Health and says it's a privilege to steward this gift from the Thompsons. “Their generosity will leave an indelible mark on our radiation oncology program’s growth and success for generations to come.”

#JohnMuirHealth #CancerCare #MedicalDirectorships #CommunitySupport #Philanthropy",https://www.linkedin.com/in/paul-deeringer-232a8b8/,Transactions,Personal/Public Pictures,Image,Paul,Deeringer,John Muir Health,Healthcare Providers,Chief Strategy Officer ,2024-07-01 17:40,https://www.linkedin.com/feed/update/urn:li:activity:7202855149428510720,https://media.licdn.com/dms/image/D5610AQFwAKFWVvEivQ/image-shrink_800/0/1717169423570?e=1720461600&v=beta&t=Cu3a409o48-iv4_b1ojNYwsedGQe_YcZThgggb9SPIo,,,,,43,3,3,1mo,,,,Paul Deeringer loves this,,,2024-06-02 02:14,,,,,,,,,Sunday,6:14 AM,6/2/2024,,,,,,,,,
https://www.linkedin.com/in/lischett/,"Our success is measured by the success of our customers and we have to be at our best to help them bring out their best. Such a fantastic time yesterday sharing at #SAPSapphire Customer Keynote alongside Thomas Saueressig and our customers.

We entered into an agreement to acquire WalkMe™, a prominent leader in digital adoption platforms (DAPs), that perfectly complements SAP Business Transformation portfolio like SAP Signavio and SAP LeanIX. This will further enhance SAP customers’ digital adoption and user productivity.

We acknowledged that transformation is not just technology, but business opportunities to be continuously driven. The value derived from adopting SAP solutions is already immense and will only get better. We estimate SAP customers to benefit from $2.4 trillion in economic savings and $5.4 trillion in revenue increase when adopting our solutions.

It was a pleasure that we were joined by Brian Hardee of PureTech Scientific, Jeff Lischett of Tropicana Brands Group, Ingo Elfering of Fresenius Group and Takuya Sakai of Hitachi High-Tech Corporation. They shared their first-hand experiences in adopting our key solutions like RISE with SAP accelerating with Business AI copilot Joule, to being innovation-ready with clean core ERP. Thank you again all SAP customers for your trust and confidence in us!

We also emphasized our commitment in sustainability, where we continue to strive in creating sustainable solutions that deliver successful business outcomes and positive environmental impact.

I am super excited about the boundless possibilities that lie ahead. Let’s think big, be bold, and bring out our best!!

Watch the full replay here:

https://lnkd.in/g5r2zrhR

-",https://www.linkedin.com/in/lischett/,Transactions,video,Video (LinkedIn Source),Jeff,Lischett,Tropicana,Consumer & Industrial Products,CIO,2024-07-01 16:56,https://www.linkedin.com/feed/update/urn:li:activity:7204437699678593025,https://media.licdn.com/dms/image/D5605AQEoHwX1gJYvTA/videocover-low/0/1717671614535?e=1720458000&v=beta&t=vJ8ESUgDXEfpg8slD3HTruDzI3bKyTUWGrqAJLvPDX8,,,,checked,500,4,21,3w,,,,Jeff Lischett likes this,,,2024-06-06 11:03,blob:https://www.linkedin.com/ab44fa14-73a4-47a7-af8b-88ddac49c7e6,,,,,,,,Thursday,3:03 PM,6/6/2024,,,,,,,,,
https://www.linkedin.com/in/willruble/,"🌟 Exciting News! 🌟
Diverzify, the nation’s largest commercial flooring and interior services enterprise, is thrilled to announce the acquisition of Continental Floors, Floor Maintenance Group, and Wright Commercial Floors. This expansion not only strengthens our presence in Columbus but also marks our entry into the Pittsburgh market.

Continental Floors and Wright Commercial Floors bring decades of expertise as full-service flooring contractors, renowned for their partnerships with general contractors, architects, interior designers, and property managers. Additionally, Floor Maintenance Group excels in maintaining various floor surfaces, ensuring they remain in top condition.

We are excited to welcome these esteemed companies to our growing national network and look forward to delivering enhanced flooring solutions and services to our clients.

#Diverzify #AcquisitionAnnouncement #ContinentalFloors #FloorMaintenanceGroup #WrightCommercialFloors #FlooringExperts #NewBeginnings",https://www.linkedin.com/in/willruble/,Transactions,article/blog/company website/press release,Article,Will,Ruble,Diverzify,Consumer & Industrial Products,VP of Business Intelligence | Architecture | CRM,2024-07-01 16:37,https://www.linkedin.com/feed/update/urn:li:activity:7205996234023604225,,,,,,67,2,4,2w,,,https://diverzify.com/national-commercial-interiors-enterprise-diverzify-expands-to-pittsburgh-market-strenghtens-columbus-presence-with-newest-acquisition/,Will Ruble likes this,,,2024-06-10 18:16,,,,,,,,,Monday,10:16 PM,6/10/2024,,,,,,,,,
https://www.linkedin.com/in/natashadrozdak/,"When the economy emerges from a period of heightened inflationary pressures, stock prices tend to respond positively to a slower pace of economic activity with a cooling labor market. Operating earnings continue to modestly surprise to the upside and earnings guidance for large company stocks has a positive overtone. The next policy move by the Federal Reserve is most likely a rate cut which will happen once central bank officials have a greater confidence level that inflation is returning in a persistent manner to the 2% target. Joseph Keating Brian Barker #Economy #Stocks #Inflation #FederalReserve #SouthStateBank #SouthStateWealth

Read more in the SouthState Wealth June Investment Strategy Statement:

https://lnkd.in/gcyV3Csi

https://lnkd.in/eECyDtJ8",https://www.linkedin.com/in/natashadrozdak/,Transactions,"article/blog/company website/press release,infographic,company branded asset",Image,Natasha,Drozdak,SouthState Bank,Banking,"SVP, Digital Strategy & Delivery",2024-07-01 16:18,https://www.linkedin.com/feed/update/urn:li:activity:7206979551531282433,https://media.licdn.com/dms/image/D4E22AQFjN8LCcYy-0w/feedshare-shrink_800/0/1717687937734?e=1722470400&v=beta&t=M1jDQTaLBqrdw4DQLgIjyMVVbmLkIfb4bnVoP_Eh3yA,,,,,25,0,4,3w,,,,Natasha Drozdak likes this,,,2024-06-13 11:23,,,,,,,,,Thursday,3:23 PM,6/13/2024,,,,,,,,,
https://www.linkedin.com/in/tonybender/,"I am excited to announce a webcast on Private Equity Value Creation happening on June 18th!

Join my colleague and me as we delve into how value is generated in private equity and strategies to boost the value of acquired assets. Learn about maximizing returns through a robust investment system.

Sign up here: https://lnkd.in/erJHsVXp

#PrivateEquity #ValueCreation #Investing #Webcast #transformation #operationalexcellence",https://www.linkedin.com/in/tonybender/,Transactions,webinar/webcast/event,Video (LinkedIn Source),Tony,Bender,Culligan,Consumer & Industrial Products,Global CIO,2024-07-01 16:36,https://www.linkedin.com/feed/update/urn:li:activity:7207086572062609411,https://media.licdn.com/dms/image/D4E05AQHtTJiXgkXCyQ/feedshare-thumbnail_720_1280/0/1718299693986?e=1720458000&v=beta&t=753K5fI40d1pQ7D8bvnbYeoj25UXA9nHwVqVKiD6tec,,,,,247,5,3,2w,,,,Tony Bender likes this,,,2024-06-13 18:28,blob:https://www.linkedin.com/4e5a3254-dac1-4eb4-a180-afaaaacab71c,,,,,,,,Thursday,10:28 PM,6/13/2024,,,,,,,,,
https://www.linkedin.com/in/natashadrozdak/,"What would you do if suddenly you were faced with paying upwards of $5k per month for a loved one’s care? In our upcoming webinar on Wednesday, May 22 at 4pm EDT, Jackie Smith shares how she navigated these personal and financial challenges and what she learned along the way: https://bit.ly/44J24SR",https://www.linkedin.com/in/natashadrozdak/,Transactions,"infographic,article/blog/company website/press release,company branded asset",Image,Natasha,Drozdak,SouthState Bank,Banking,"SVP, Digital Strategy & Delivery",2024-07-01 16:18,https://www.linkedin.com/feed/update/urn:li:activity:7206979595638575105,https://media.licdn.com/dms/image/D4E22AQFMrphOKKGKDQ/feedshare-shrink_800/0/1715698354119?e=1722470400&v=beta&t=4Zich1Sexyce1MlH1xW-ix4DoOQoVFOLR4iYeGCzo5o,,,,,50,1,10,1mo,,,,Natasha Drozdak likes this,,,2024-06-13 11:23,,,,,,,,,Thursday,3:23 PM,6/13/2024,,,,,,,,,
