postContent,themes
"In a recent Bloomberg article discussing the proposed acquisition of US Steel by Nippon Steel Corp., Josh Spoores, CRU's Principal Steel Analyst, provided insights into the industry sentiment amid the ongoing political scrutiny. As opposition intensifies in Washington, insiders within the steel industry voice their support for the deal. Josh highlighted the potential negotiation leverage of the union, stating:In terms of the union, it's probably right they can get a pound of flesh and some promise for investment in their union jobs.Read the full article here: https://lnkd.in/g3WnHkQp#SteelIndustry #UnitedStates #NipponSteel",Transactions
"I'm excited to announce that we have entered into a definitive agreement to acquire CWT, a global business travel and meetings provider. This is another milestone on our journey to becoming the leading software and services company for travel and expense.  Bringing CWT onto the proven American Express Global Business Travel software and services model would create more choice for customers, more opportunities for colleagues and more value for shareholders. Read more: https://lnkd.in/erpmeQbq",Transactions
"Chime likely to IPO in 2025 and has more primary bank accounts than chase.  It seems like Ron Shevlin started a sh*t storm. Here's my take Chime are planning a 2025 IPO, according to Bloomberg. With 38m customers, Chime may have more primary users than Bank of America. Ron Shevlin says about half consider Chime to be their primary checking account, which would put them between PayPal and Wells Fargo in market share.My take  Chime has disrupted the market. An IPO in 2025 would be a crowning moment for them. Their demographic today skews lower income, which is harder to make a profit from, despite their low-cost operating model. The path to profitability is likely via going up market and/or cross-selling.  Chime will cross-sell successfully, but I'm not sure its brand can go upmarket. Nobody has quite nailed that premium millennial Fintech consumer experience high ground Monzo and Starling took in the UK. The UK digital banks' first cohorts are aging into being high deposit balance customers. Chime's wedge in get paid early and credit building just doesn't feel aspirational. That's not a knock; the market needs what it does desperately. It's just a brand question.  Primary checking account is such a BS term. Chase defines it as anyone with over $500 monthly deposits plus 5x transactions. But that could also mean it's a paycheck motel. Money comes in and goes out. Primary used to mean the top of the wallet and first in line to cross-sell. Today it just means collecting a good chunk of consumer deposit balances TM   Does Chime ever want to be a bank? When they IPO they'll have that sweet tech company multiple. Banks get valued very differently. But I think the trick is to be a growth stock. You can do that with a balance sheet. It's working for Nubank, it's sort of working for SoFi (which, arguably, it shouldn't), and it will work for Monzo. If I were advising them, I'd stay away from the charter for ~3 to 5 years until they figure out lending, and then buy a charter to improve economics further down the line.You'll find this and much more by heading to sytaylor.substack .com and hitting subscribe#fintech #ipo #neobanks",Transactions
"All the ingredients for a successful partnership  Reflecting on our 10-year journey, hear from Managing Director Jeff Case on how we set out with Sovos Brands to fill a void in the food investment space - and how an important pivot in strategy enabled us to create a thriving portfolio of disruptive food brands. Find out more about Sovos' origin story and growth in PE Hub: https://lnkd.in/et9nwFM7",Transactions
"I'm excited to share that Triton Digital has acquired Sounder. This significant step forward for us is also a moment of reflection on our journey with our partners, customers, investors, advisors, and, most importantly, our employees. Your unwavering support has been crucial in reaching this milestone.Why is this acquisition important? For Sounder, it allows us to leverage Triton Digital's robust platform and resources to enhance our technology offerings. For the podcasting industry, it strengthens the ecosystem, providing creators and publishers with improved tools and services.Thank you to our friends at Triton Digital as well. We're excited to have this opportunity to grow together! As we transition into the Triton Digital family, our team will remain together, ensuring the continuity and integrity of our work. I'll guide our team, partners, and technology through this process, aiming for a seamless integration into Triton's operations.After that, I'm stepping away from Sounder's day-to-day. My engagement with the audio space will continue, primarily through #investing in and supporting #innovative audio companies. If you're navigating this space and looking for investment or support, please message me; I'm happy to connect.A special thank you to my co-founders, Dan Daugherty and Goran Krgovic, and our entire team. The journey here has been anything but simple. Yet, the commitment, resilience, and hard work of everyone involved have brought us to this point. Starting and growing a company in these complex times has been a profound learning experience, underscored by the ever-evolving investment and economic landscape. With the podcasting industry on a growth trajectory, I'm keen to see how Sounder's integration with Triton will unfold, contributing positively to the industry's expansion.To everyone who has walked this path with us, your role in Sounder's story has been invaluable. Here's to moving forwardFor those of you at PME, Brittany Kandybowicz and I will be with the Triton team to answer questions and discuss our transition plans. Hit us up.You can also read more here: https://lnkd.in/gBUjHQNq#Sounder #TritonDigital #Podcasting #Teamwork",Transactions
"An inside look at how LLR and our resident expert Drew Bernstein think about RevOps: why strong RevOps is essential for accelerating business growth; the must-have skills for RevOps leaders in PE-backed companies, advice for hiring this role for the first time, and how to strike an effective, value creation partnership between the PE fund and portfolio company. Thanks to RevSearch's Adam Hoar and David Quartemont for sharing our approach and Drew's great insights! https://lnkd.in/g-Q3ymYa#revops #valuecreation #operations #revenue #podcast",Transactions
"Robinhood is a lending company. Fintech VCs need to stop saying they won't invest in lending companies. Robinhood is $18 billion mkt cap and their revenue growth is coming from...lending.  This isn't just about the new credit card. Robinhood Gold drives most of their revenue growth and Gold monetizes primarily thru lending. They already have margin lending, which is INCREASING 40% yoy.  Their non-lending trading revenue is DECREASING. Their new credit card will monetize not on interchange (giving 3% cash back means no net interchange revenue). So how will the credit card monetize? lending.  net interest income on revolvers (ppl who carry a balance)It's not that surprising. their average AUM is <$5k client. it's hard to monetize on those users in a repeatable way other than lending (having them day trade options works ok, but not everyone will do that). Lending at Robinhood could be as big as rest of their business combined.If you invest in fintech, your best companies will one day monetize thru lending even if they don't start there, because lending is one of the most important monetization levers in financial services.",Transactions
Excited to share our newest portfolio investment - Cloverleaf. It's been great to watch Darrin Murriner and Kirsten Moorefield grow the business and attract  investors from outside our region!,Transactions
"In this article from Barron's, Head of Morgan Stanley Wealth Management Jed Finn lays out the plan for turning Morgan Stanley's $6.6 trillion of assets under management into $10 trillion. https://mgstn.ly/3xhsJd1",Transactions
" It's official!! We are now Notable Capital  We chose the name Notable for the founders we invest with, the ideas they pursue, the causes they champion, and the remarkable companies they build. Find us at https://notablecap.com/",Transactions
