Post Content,Themes,Thought Leadership?
"Pantomath is doing for data engineering what DataDog, Dynatrace, AppDynamics, SumoLogic, and ELK have done for software engineering for the last decade; providing game changing observability to a new and emerging data engineering category! Our team is solving technical puzzles at scale, building elegant user experiences, secure deployment models, multi-tenancy, containerized micro-services, and graph data modeling. If you're looking for an amazing team with high agency, access to cloud-native technology, and a time compression algo for professional growth, connect with me here or apply at our careers page below:","User Experience,Data and Analytics",
"Have you heard? 🙌 We’ve expanded our relationship with #PNC Bank to bring corporate and commercial clients a whole new #payment experience! 

Now, PNC’s business clients will have the ability to access Trovata’s API-based payment processing, which allows them to create templates and workflows for approval, tracking, and logging. 

Don’t take our word for it, see what Howard Forman, Senior Vice President and Head of Digital Channels for PNC Treasury Management, has to say about Trovata’s revolutionary payment tool. 💯 

➡️ Learn more about our relationship: https://bit.ly/3CYxk3t","Product Development,User Experience,Value Creation",checked
"🚇🗽I've been amazed by how few people visiting NYC know about the single greatest user experience improvement available to them when riding the NYC Subway System. I love UX solutions executed flawlessly across multiple systems unrelated to one another. 

For this experience to work the following all have to cooperate:
✅ Government run turnstiles 
✅ Private hardware technology companies 
✅ Private banks 

And the benefit to the end user includes 
✅ no line times for ticket machines
✅ reduced cost by eliminating expired tickets
✅ increased turnstile velocity with an easier payment mechanism 

These are the types of end to end experiences we should be working towards collectively. 
#ux #NYC #subway #publictransit",User Experience,
"Happy hashtag#CXDay!! I'm fortunate to work for M&T Bank because of their commitment to hashtag#customercentricity.  My colleagues in CX and my business partners in the Commercial bank are hashtag#doingthework to bring the voice of our customers to the center of everything we do.Shout out to: Chelsey Merlino, Grace Lawson, Van Sedita, Sarah Hudak, Kristin Brewster, Adit Singh, Erin Hurley, CPA, Jessica Cowperthwait, Kitt PizzutelliIn case you're wondering, here are 10 reasons why CX should matter to every organization:1.) Consumers are willing to pay aÂ 16%Â price premium in return for a superior customer experience.2.) CX alone drives overÂ two-thirdsÂ of loyalty â€“ more than price and brand combined!3.) Improving CX can reduce customer support costs by up toÂ 33%.4.) Customer spending increases by up toÂ 140%Â following a positive experience. 5.) Companies that focus on improving their CX can expect a boost in revenue of up toÂ 80%. 6.) Experience-Driven brands report almostÂ 2xÂ higher YoY growth in customer retention, repeat purchase rates and customer lifetime value than CX laggards. 7.) More thanÂ 70%Â of people state that they would recommend a product or service following a pleasant experience. 8.) CX leaders bring in almostÂ 6 timesÂ more revenue than laggards. 9.) Customer-centric brands report profits that areÂ 60%Â higher than those who fail to focus on CX. 10.) Experience-driven companies grow their revenue at a rate that isÂ 1.4xÂ faster than their competitors. Source:  CXINDEX","Customer centricity,User Experience",checked
This is how you bring a clear path to hashtag#circularity to categories where it simply doesn't exist today. All while improving the consumer experience and innovating at the same time.hashtag#aluminumrecyclesforever hashtag#ballcorporation GEA Group,"Customer centricity,User Experience",
"Something people donâ€™t pay enough attention to. Choosing the right workspace setup can be as important as choosing the right bed or the right pair of shoes for a marathon.â€œThe keyboard is your penâ€Â  said the writer and editor Niall when he tried our new ergonomic keyboard Wave Keys. The tools you choose matter. An average computer user will do half a million mouse clicks, 1 million keystrokes, and will move the mouse 10 km each year. We arenâ€™t meant to thrive spending hours glued to our laptop screens in zoom marathons.Â  Itâ€™s within our control to optimize the space where we do our work for comfort.Simple changes like lifting your laptop screen, using an external mouse and an external keyboard can make a big difference in improving your comfort and wellbeing, thanks to improved posture. Thatâ€™s why we created Wave Keys. Wave Keys is made for feel-good typing and greater comfort at the desk.A big thank you to the team - Axelle, Tanyel, Nick, Jingyan, Agnes, Aline, Lucie, Katie, Stephanie, Guillaume and many othersÂ  - for working together through design iterations, user testing, and carbon footprint reduction thanks to product architecture optimization and use of post-consumer recycled plastic. hashtag#wellbeing hashtag#futureofwork hashtag#flexiblework",User Experience,
"Something people donâ€™t pay enough attention to. Choosing the right workspace setup can be as important as choosing the right bed or the right pair of shoes for a marathon.â€œThe keyboard is your penâ€Â  said the writer and editor Niall when he tried our new ergonomic keyboard Wave Keys. The tools you choose matter. An average computer user will do half a million mouse clicks, 1 million keystrokes, and will move the mouse 10 km each year. We arenâ€™t meant to thrive spending hours glued to our laptop screens in zoom marathons.Â  Itâ€™s within our control to optimize the space where we do our work for comfort.Simple changes like lifting your laptop screen, using an external mouse and an external keyboard can make a big difference in improving your comfort and wellbeing, thanks to improved posture. Thatâ€™s why we created Wave Keys. Wave Keys is made for feel-good typing and greater comfort at the desk.A big thank you to the team - Axelle, Tanyel, Nick, Jingyan, Agnes, Aline, Lucie, Katie, Stephanie, Guillaume and many othersÂ  - for working together through design iterations, user testing, and carbon footprint reduction thanks to product architecture optimization and use of post-consumer recycled plastic. hashtag#wellbeing hashtag#futureofwork hashtag#flexiblework",User Experience,
"Meet the newest addition to our Ergo series: Wave Keys ðŸŒŠJust in time for hashtag#ErgonomicsMonth, experience feel-good typing all day long. Shaped to feel instantly familiar, and keep you comfier for as long as you need.Hear from Niall & Clara on their BTS first impressions of our latest keyboard: Logi.com/wave-keyshashtag#WaveKeys hashtag#FeelBetterDoBetter","Product Development,Innovation,User Experience,Customer centricity",
The Logitech Wave Keys keyboard is a great ergonomic device for office workers. Exciting launch for us today! hashtag#WaveKeys hashtag#logilife,"Product Development,Innovation,Customer centricity,User Experience",
"Celebrating 4 Years of Sydney Health Platform!

Four years ago, we embarked on a journey to revolutionize healthcare access and wellness for our members. Today, we're excited to celebrate the 4th anniversary of our AI-Enabled Sydney Health Member Platform, a game-changer in the world of health and wellness! 

Our platform was designed with one goal in mind - to make health and wellness easy, personalized, and resourceful for our members. With a registered membership now standing at a staggering ~18 million, we're proud to see the impact we've had on people's lives.

Here's how the Sydney Health platform is making a real difference:

✨ Virtual Care: Access to healthcare from the comfort of your home.
✨ Claims and Bill Pay: Streamlined and hassle-free transactions.
✨ ID Card and HealthPass: Instant access to your health information.
✨ Personalized Find Care: Tailored healthcare solutions at your fingertips.
✨ AI Enabled Conversational Chat: Real-time, personalized support at your convenience.
✨ Unified Electronic Health Record Tracker: Seamlessly manage your health records in one place.

Our platform goes beyond the basics, helping our members in their wellness journey:

🥗 AI Nutrition Tracker: Smart guidance for healthier eating.
🩺 Health Assessment: Understand your health status and areas for improvement.
🏃 Activity Tracking: Stay active and motivated with ease.
📰 Personalized Health News: Stay informed about your health in a way that matters to you.

Our team and leaders have put in countless hours to create a humanized experience that combines cutting-edge technology with a human-centered design approach. This blend of tech and empathy has given birth to what we call ""Techequity,"" ensuring that everyone has easy access to their health and wellness needs.

I am incredibly proud of the work that the Elevance Health enterprise has accomplished over the past four years. Our mission is to empower individuals and elevate the health of humanity, and the success of the Sydney Member Platform is a testament to our dedication.

A big thank you and congrats to our team, leaders, and most importantly, our members, for being a part of this incredible journey. Here's to many more years of transforming healthcare and wellness together! #HealthTech #Wellness #Anniversary #Techequity #ElevanceHealth #sydneyhealth

Let's continue to make a positive impact on millions of lives!

Kimberly Rival Matthew Penwell Ajoy Ranga Kumar Gudavalli Rajeev Ronanki Katie Bradley","Human-centered design,Customer centricity,Digital transformation,AI/Machine Learning,User Experience,Product Development",checked
