PostContent,Theme
"Ben Ryan Weinberg said it well. Iâ€™d just add that itâ€™s been especially fun to support job growth and innovation in my native Upstate NY. From our first snowbound visit to Albany, it was clear the team at Bestpass was building something special. Exciting milestone, and even more exciting things ahead. Thanks to the BP team for choosing Susquehanna Growth Equity (SGE).",Economic Outlook
"The countdown is on. Join us at the Content Cloud Summit on May 9th! Box CEO Aaron Levie and CPO Diego Dugatkin will take center stage to share exciting new updates that will help you simplify work, fight complexity, and reduce costs.
Learn more here: https://bit.ly/3FHSFjr",Cost management / reduction / optimization
"This is going to be by far our best BoxWorks ever, with major new Box AI announcements, epic sessions, and amazing speakers including the CEOs of OpenAI, Slack, Asana, and more. Register free at: boxworks.box.com",MISC
"Thanks Chelsea Clinton and Rajiv Garodia SVP and Global Head of Visa Government Solutions for joining me this weekend at hashtag#COP28. We had a great discussion on Oxfamâ€™s work with Visa to deliver pre-disaster financial support to people facing climate emergencies. Thanks to Visaâ€™s support, we plan to expand Oxfamâ€™s Building Resilient, Adaptive, and Disaster-Ready Communities (B-READY) project to deliver near real-time secure money movement and relief payments to individuals and businesses in the Philippines, Kenya, Colombia, and the U.S. â€“ Puerto Rico.
You can read the release here: https://lnkd.in/di-5NiA8",Environmental Sustainability and Climate
"We know it feels like the world is on fire right now. You can provide some hope and fight with Oxfam for the most vulnerable among us this hashtag#GivingTuesday. All gifts are doubled if you give today. Make a life-changing impact from Ethiopia to Ukraine to Gaza and beyond. You can help fight for a more equal future.
https://lnkd.in/eWJpnd5C",Environmental Sustainability and Climate
"One month into the crisis in Gaza and Israel, too many have suffered. We must push our political leaders to end the cycle of violence, starting with a hashtag#CeasefireNow.",Geopolitics
"This is a moment that requires something difficult from all of us who care about human rights, dignity and security, and our common humanity: to hold two truths in our mind at the same time.",Geopolitics
"Feeling honored that Oxfam America was chosen again this year among the Top-100 Women-Led organizations in Massachusetts by The Women's Edge and Boston Globe Media and so grateful for my colleague Callie McDermott and Board member Margie Alt joining me in this celebration. It is always a pleasure to be surrounded by inspiring women leaders making a difference in the world. I appreciated keynote speaker Lisa Sun sharing her personal journey and reflecting on ways to build confidence through embracing our strengths, and how societal biases and expectations lead women to undervalue our strengths and capabilities. Heartening to be at this gathering with powerful leaders at a time when feminist leadership is needed more than ever.",MISC
"It was energizing and inspiring to be with colleagues across the sector in community at hashtag#IAForum23 InterAction. I was especially grateful to have some time with my friend and Oxfam America board member, Oussama Mezoui. I'm so fortunate for Oxfam America's dedicated board members, who generously share their skills, experience and expertise that are so vital to our governance, strategic oversight, and organizational accountability. Thank you for your service, sage counsel, and support, Bisrat Aklilu, Mohamad Ali, Margie Alt, Anthony Bebbington, Latanya Mapp Frett, Joe Hamilton, Kaitlyn Henderson, Sherine Jayawickrama, Lionel C. Johnson, Yana Watson Kakar, Homi Kharas, Sara Gaviser Leslie, Carl MuÃ±ana, Roshan Paul, Jack Regan, Naima Green-Riley, Kitt Sawitsky, N. James Shachoy, Michael Silberman, Smita Singh, Tara Torrens, Dabie Tsai, Kim Williams.",MISC
"Thanks to The Rockefeller Foundation and The Brookings Institution for convening us again during #UNGA, keeping attention and accountability on the #SDGs. Always great to be with @OxfamAmerica board member Homi Kharas from The Brookings Institution and Jane Nelson from Harvard University.",MISC
