PostContent,Theme
"Next week, on April 28, we will celebrate EY Connect Day in the US. Itâ€™s a day our people can participate in volunteer opportunities focused on advancing environmental sustainability. Iâ€™ll be virtually joining a team to volunteer with Lemontree Foods, an organization that helps connect people with free food resources â€“ like food pantries and soup kitchens - near them. Are you giving back this EY Connect Day? Tell me in the comments what you have planned!
https://lnkd.in/erYxHN-M",Environmental Sustainability and Climate
"A big â€œthank youâ€ and a very happy #NationalPharmacistDay to all the #pharmacists on our team at Collective Health and more broadly who help us understand the medications that we take and walk us through the potential side effects, alternatives, and best practices of medication adherence. Thank you for all that you all do for all of us!",MISC
"We have some exciting #commsjobs at Oxfam America. Take a look and come join our team! #brand #media #digitalmarketing
Director, Media Relations: https://smrtr.io/fCdp_
Associate Director, Brand and Engagement: https://smrtr.io/fBs6f
Digital Marketing and Fundraising Specialist: https://smrtr.io/fCdrf",MISC
"At BD, we know thereâ€™s a patient at the end of everything we do. Thatâ€™s why our global teams work hard every day to provide products and solutions that are safe, reliable and effective for our customers and the patients we serve around the world. One of our core values â€“ we do what is right â€“ is central to our quality culture, and our BD associates continue to demonstrate their commitment to excellence and doing what is right as they deliver on our purpose of advancing the world of health. #worldpatientsafetyday",Health outcomes
"Great joining CNBCâ€˜s â€œThe Exchangeâ€ with Kelly Evans to discuss the cybersecurity threat landscape and concerns about spy balloons, AI.",Data privacy and cybersecurity
"Happy Birthday, U.S. Army! ðŸŽ‰
Today, we celebrate the remarkable legacy and unwavering dedication of the US Army. For 248 years, you have exemplified courage, honor, and resilience in defending our nation's freedom. #ArmyBday",MISC
"I was honored to participate in an informal coffee talk today with HPâ€™s Chief Supply Chain Officer Ernest Nicolas at our Houston site to discuss one of my favorite topics - diversity, equity, and inclusion. DEI is embedded in the very DNA of our company and has been a fundamental part of HP culture since our earliest days. DE&I is a business imperative at HP, not just a nice to have. We know that diverse teams out-innovate and out-perform their competition and that bringing diverse experiences and perspectives together leads to better outcomes. And that helps us build a Future Ready HP. Thanks to everyone who joined today and for all your thought-provoking questions. It was nice to see so many smiling faces in the office. Thanks also to Stephanie Liebman for being such a great moderator. #hpproud #diversity #futureready #innovate #DEI #inclusion #culture",DEI
"We're excited to announce that our portfolio company Qlik has successfully closed its acquisition of Talend, expanding the companyâ€™s best-in-class capabilities for modern enterprises to access, transform, trust, analyze, and take action with data. This combines Qlikâ€™s best-in-class data integration with Talendâ€™s leading data transformation, quality, and governance capabilities.
â€œQlik's broad expertise in data integration, analytics, AI and machine learning combined with Talend's data integration and data quality solutions, will provide customers the most comprehensive solution in the industry,"" said CEO Mike Capone.
For more information about the combined power of Qlik and Talend together, read Mikeâ€™s blog and register for an upcoming webinar on Tuesday, May 23: https://lnkd.in/e_tBkPjR
Read the full press release: https://lnkd.in/eGeJvMjU #QlikTalend",Economic Outlook
"â€œOctober was supposed to be all about pumpkin spice and everything nice. Too bad Halloween came early, in the form of an unexpected rise in interest rates, spooking investors and triggering volatility across all stock indices.â€
Read more from Ellevestâ€™s Chief Investment Officer Dr. Sylvia S. Kwan, CFA, as she unpacks what you need to know about the markets right now at the link below:",MISC
How do we describe what Trump wants for America? â€œAuthoritarianismâ€ isnâ€™t adequate. We must call it what it is: fascism. Let me explain.,MISC
"BDO is proud to be an ESOP company, made up of 10,000 individuals who approach every day with a people-first mindset and a spirit of ownership and accountability. Join the firm in celebrating Employee Ownership Month. hashtag#ESOP hashtag#EmployeeOwnership",MISC
"State #Medicaid programs pay providers pennies on the dollar compared to what commercial insurance and #Medicare pays. This structural #inequity contributes immensely to the tiered health care system of today, where people who are poor and on Medicaid are refused the care they need and deserve because, frankly, providers would lose money by admitting them. This shameful reality is part of whatâ€™s fueling #MoralInjury and #burnout among clinicians, who are leaving their profession at record rates.
In this episode of Turn on the Lights, Don Berwick and I talk with Dr. Elaine Batchlor, CEO of MLK Community Healthcare in South Los Angeles. She shares her experience running a #SafetyNet community hospital and what she believes is needed to reform our country's separate and unequal system of health care financing and delivery.
We hope you'll tune in:",Health outcomes
"Thatâ€™s a wrap on our Season of Giving! Last month, Schwabbies and I came together as part of Digital Services Charity Week (a favorite tradition from my former team!) to build Kynd Kits through Project Helping. We decorated and assembled tote bags, which will hopefully help lift the spirits of a few people in need in our community.
As 2023 kicks off, Iâ€™m truly fortunate for opportunities to come together with colleagues and spread cheer for others. I hope you all had a warm and relaxing holiday season. Happy new year! #Schwab4Good",MISC
