postContent,theme
"Our diverse workforce is one of the many reasons I'm proud to work at Independence Blue Cross. Our recent Women in Technology and Analytics event featured several of our extraordinary leaders, including EVP, Chief People, DEI and Communications Officer Crystal Ashby and SVP of Business Technology Services Sushma Akunuru, who provided meaningful advice about leadership and career building for individuals thinking about starting or advancing a career in these growing fields. Thanks to all who participated and attended this important event.
#leadership #technology #representationmatters #career #leaders #analytics",DEI
"I am thrilled to announce two major additions to the leadership team at DocuSign. Robert Chatwani is joining as President and General Manager, Growth, and Anwar Akram is joining as Chief Operating Officer. Robert comes from Atlassian, where he was Chief Marketing Officer, and Anwar comes from Google, where he was VP, Operational Effectiveness. They join Steve Shute, Inhi Suh, Cynthia Gaylor, Shanthi Iyer, Jennifer Christie and Jim Shaughnessy on the executive leadership team. Proud to be working with all of them!",Workforce strategy
"From a cashier to the campus offices, Heather Oliveri, shares her story that highlights the endless possibilities of a career with Walmart. ""I thought this was going to be the job that got me through college. I learned you can be ANYTHING at Walmart. There are so many jobs and fascinating career opportunities [here]."" Associate stories from around the world inspire me every day about what's possible for the next generation of leaders at Walmart. Did you know? Our current President and CEO of Walmart, Inc., Doug McMillon, and President and CEO of Walmart U.S., John Furner, both began their careers with the company working in frontline roles over 30 years ago. Whether you're looking to build a career in retail, business, technology, marketing, healthcare, transportation, supply chain, or more...there's a place for you at Walmart. Learn more about Heather and her career journey in the video below. #TeamWalmart #Opportunity #APathforEveryone",Workforce strategy
"Today our ChristianaCare Salutes! Veterans Employee Resource Group hosted a Veterans Day celebration at our Christiana Hospital campus to honor our caregivers that have served in the military, and veterans in our community. Attendees enjoyed learning about how Veterans Day was established and heard from some of our Salutes! ERG members about why they served, and how proud they are to work for an organization like ChristianaCare that welcomes and supports veterans. There was also a slideshow with photos of our veterans and special notes to them from our caregivers. If you're visiting one of our campus locations, keep an eye out for the POW MIA flag that will be proudly displayed through the holiday weekend. Thank you for our Office of Inclusion and Diversity for helping to make the display of the flags possible. hashtag#VeteransDay hashtag#LoveOfHealth hashtag#netDE",MISC
Labracadabra! See how Stitch worked its #ETL magic to improve PuppySpot analytics and business decision-making. https://bit.ly/3YRCmbp #StitchCustomers #StitchAtWork,MISC
"Rackspace Technology and Amazon Web Services (AWS) are investing in an MVP Incubator to deliver AI solutions to mid-sized and enterprise customers in just four weeks utilizing FAIR (Foundry for AI by Rackspace). Teaming up on this endeavor is a pivotal step in growing our partner ecosystem for FAIR to help customers accelerate the adoption of generative AI securely and responsibly.
#RackspaceTechnology #ArtificialIntelligence #MachineLearning #AI #ML #GenerativeAI #AIforGood #ResponsibleAI #AIForAll #EthicalAI #FutureOfAI #AWS #AWSPartner AWS Partners",MISC
"Divorce changes pretty much everything. Whether it's a surprise or something you're both on board with, you've gone from a ""we"" to a ""me"" "" and that can take some getting used to.
Maybe you were involved in the family finances while you were married, or maybe not. Either way, now the checkbook is in your hands. And that checkbook may look different than what you expected.
Why? Frustratingly, research shows that women's household income falls almost twice as much as men's post-split. And divorce can affect women's money in a lot of other ways, too.
That's a lot. And dealing with it is also pretty urgent. Financial instability is stressful and disruptive (especially if you're in a pretty emotional place right now).
That's why the Ellevest team put together a post-divorce guide at the link below. Our all-woman team of financial advisors has helped thousands of women model out the impact of a divorce settlement and what it ""means for their finances before it's too late.",MISC
"Faced with high levels of economic uncertainty, optimism among mid-market businesses has fallen a further five percentage points to 59% (down from 64% in the first half of 2022), according to Grant Thornton's International Business Report, which tracks sentiment among global mid-market business leaders. Despite the fall, optimism remains above the historic average, indicating business's hope for a return to normality may lie ahead.",Economic Outlook
"As a health care company entrusted with caring for more than 150 million people, quality is business critical. I had the opportunity to sit down with a group of employees at our Washington D.C. office to talk about the importance of quality and what we can do as a company to break down even more silos, further support our frontline staff and deliver on our mission. I walked away more energized about our collective focus to embed quality in every corner of our company so we can deliver the best possible result for the people and communities who rely on us. hashtag#QualityConnectsUs",Workforce strategy
"Recently, I had an opportunity to meet with participants of Roche Finance Perspectives and Procurement Perspectives, our global flagship development programs in Finance for top early-in-career talents.
We had a dynamic discussion on the future of Roche and the role of Finance and Procurement in it. I'm truly inspired by their energy and enthusiasm and I want to thank these young professionals for their commitment and passion. Your dedication to our shared goals is what propels us forward.
Let's continue to learn from each other and work together to achieve new heights.
hashtag#RocheProud hashtag#FinanceTalent hashtag#FutureOfFinance",Workforce strategy
