postContent,theme
"Talent management is a key priority for Roche, our Finance organisation and myself! Yesterday, I had the pleasure to meet with 24 remarkable talents who are part of this year's Finance Accelerate programme. Finance Accelerate is Roche Finance's global flagship programme focused on developing talented employees at early career stages. The programme aims to equip future leaders in Finance with the capabilities they need today and in the future and to expand their network by fostering cross-functional collaboration. Moreover, a core element is to collect fresh and new ideas from participants to advance our Finance organisation.
It was a privilege to be part of this exchange and I left our meeting inspired and proud of the team and all the great work they do! Let me also thank the organisers: Fantastic job putting this programme together, making it work in the virtual world. Very well done.
#RocheProud #FutureOfFinance #FinanceAccelerate",Workforce strategy
"We're pleased to announce the closing of a strategic growth investment in Bluesight to further enhance its drug diversion prevention offerings through its acquisition of Medacist, a pioneer in drug diversion monitoring, and create a leading hospital software platform.
""In particular, drug diversion costs the healthcare system billions of dollars each year and presents a significant challenge that can only be addressed with deep industry knowledge and advanced technical capabilities, including machine learning. We believe the combined company is uniquely positioned to tackle this challenge and others, and we are thrilled to partner with Kevin MacDonald and team to accelerate innovation and growth at Bluesight,"" said Thoma Bravo Partner Carl Press.
Read the press release: https://lnkd.in/e_gMDzTx",Health outcomes
"The two men most likely to square off for the presidency of the United States next Election Day have held notably different conversations with Ukrainian President Volodymyr Zelensky.
For Trump, Ukraine was a pawn to get dirt on Biden before the 2020 election.
For Biden, Ukraine is a critical ally in America's fight against global tyranny.",MISC
B-Stock is hiring! We are looking for a seasoned sales and growth professional to help us continue to drive B-Stock's Mobile business up and to the right. Please help me by sharing this post.,MISC
"Google Cloud Next "" 23 has been a fantastic showcase of the incredible innovation happening in the industry. I enjoyed the keynote by Sundar Pichai as well as the fireside chat with Thomas Kurian and Jensen Huang and I have been particularly thrilled about the buzz around Foundry for AI by Rackspace (FAIRa), and our exciting new partnership with Aible. With technology leading our FAIR practice, the future is looking bright, and I'm incredibly proud of the innovative solutions demonstrated by our Rackers to accelerate the adoption of responsible and sustainable AI solutions for our customers at a very rapid pace. #ArtificialIntelligence #MachineLearning #AI #ML #GenerativeAI #AIforGood #ResponsibleAI #AIForAll #EthicalAI #FutureOfAI
Srini Koushik Dharmendra (DK) Sinha Dusshyant Roy Jon Mullapudy Vivek Kwatra",MISC
"Change management demands a change in mindset. This article from HBR discusses how to boost your ""flux capacity"" (your tolerance for change). If you're like me and thought this was a reference to ""Back to the Future,"" it's probably worth a read.",Workforce strategy
"I am honored to be a featured speaker at University of California, Davis Think. Do. Discover (https://lnkd.in/gTmEp9Z7) speaker series, hosted by the UC Davis Institute for Innovation and Entrepreneurship. I can't wait to connect with the UC Davis community on the challenges and opportunities ahead with the digital transformation of education occurring around the world and share how PowerSchool is focused on helping educators and students realize the promise of personalized learning. See you on April 11!",MISC
"""The culture of this organization is very important to me and is one that I take very seriously with people in my span of care. As member of the People Team, you are a steward for the organization's culture. Measuring success in the ways we touch the lives of people is an important statement. And you see it in every hallway, in every division.""
Watch a new installment in our ""Better Work. Better World."" series spotlighting team members across our organization in the video below and read more about Hassan Awil of our Accraply and Pneumatic Scale Angelus BW Packaging companies here: https://lnkd.in/gXA4XVRr
Want to join the Barry-Wehmiller family? Find your new career here:
https://lnkd.in/gPJSrugv
#leadership #business #management #leadershipdevelopment #managementskills #hr #humanresources #consciousbusiness #consciouscapitalism #recruiting ##manufacturing",Workforce strategy
"Building genuinely diverse and inclusive workplaces "" and industries "" means creating spaces to progress DEI at every #leadership level.
As part of our commitment to advancing an equitable #healthcare industry, I'm proud to share our first-ever class of Johnson & Johnson Innovation Board Fellows program graduates Y. Over the past year, this group of diverse executives worked to refine their skills and better position themselves for board leadership roles that will allow them to advance organizational diversity, starting at the top.
I recently spoke to this outstanding group of leaders about the business value of inclusive leadership, especially as organizations prioritize empowered and inspired workforces. Balancing both business and workforce needs ensures a culture that celebrates diversity and encourages colleagues to show up authentically, without pretense, so they can power #innovation and success.
Congratulations to our inaugural class "" I wish you all the best and am confident you will help make healthcare more inclusive for all.
#mycompany",DEI
Wonderful to see Collective Health's very own Abbie Buck on an all-star panel of HR and benefits leaders discuss how employers should think about evolving their employee benefits focused on health and well-being. Worth a watch if you're interested in how benefits can positively impact your workplace strategy.,Workforce strategy
