PostContent,Theme
"BDO cultivates a conscious and caring corporate culture that puts people at the center of everything we do. In this video, BDO team members break down what â€œHelping People Thrive, Every Dayâ€ means to them. Watch it here:
#TogetherWeThrive",Workforce strategy
"The COVID-19 pandemic forced companies to move at an even quicker pace as they quickly pivoted to turn their workforce remote. BDO Digital has three ways Microsoft 365 can help reduce IT costs while allowing organizations to do more with less. Read the full insight:
#DigitalInnovation",Workforce strategy
"Being a part of #TeamQualcomm is special. Together with my talented colleagues, we help make tomorrowâ€™s technology a reality. Thank you all for making Qualcomm a great place to work. #EmployeeAppreciationDay",Workforce strategy
"What an invigorating experience to be back in person at hashtag#Jefferies Healthcare Conference, connecting with some of the brightest minds in the industry about our business. With every seat taken, the energy of a crowded room filled with professionals with a lot of interest in Roche was both humbling and inspiring. The sentiment is improving. Our conversation at the event focused on these key points:
- Innovative portfolio driving momentum: Our launched portfolio, among the youngest in the industry, is setting new standards and creating a strong growth trajectory in the years to come.
- Strengthening our pipeline: Our focus is on strengthening our late-stage pipeline, both by internal innovation and by business development. The recent strides in further improving the standard of care in hypertension and inflammatory bowel disease are a testament to this approach.
- Upcoming opportunities in Diagnostics: The anticipation is building for the first fully integrated and automated mass spectrometer for clinical use set to launch in 2024.
Iâ€™m grateful for the opportunity to exchange ideas with experts from around the globe. A big thank you also to our Head of Investor Relations, Bruno Eschli, for the co-partnership and the great work!
hashtag#RocheProud hashtag#FutureOfFinance",Workforce strategy
"Recently, I had an opportunity to meet with participants of Roche Finance Perspectives and Procurement Perspectives, our global flagship development programs in Finance for top early-in-career talents.
We had a dynamic discussion on the future of Roche and the role of Finance and Procurement in it. I'm truly inspired by their energy and enthusiasm and I want to thank these young professionals for their commitment and passion. Your dedication to our shared goals is what propels us forward.
Let's continue to learn from each other and work together to achieve new heights.
hashtag#RocheProud hashtag#FinanceTalent hashtag#FutureOfFinance",Workforce strategy
"I'm thrilled to share that our recent Roche Swiss Admin Day was a huge success! It was amazing to see so many passionate professionals come together to learn, network, and exchange ideas. Huge hanks to our special guests Ute Barnickel, Claudia BÃ¶ckstiegel, Philippe Deecke, juerg erismann, Paula IndermÃ¼hle and Jutta Schilling, to our storytellers and to everyone who attended and made it such a memorable day. Our keynote speaker Dominique Gisin is not only a great professional but also a lovely person ðŸ™Œ I am grateful to all attendees for sharing their insights and expertise with us. #success #grateful #network #share",Workforce strategy
"Last week I had the honour to participate in a panel discussion at the first Roche Swiss Administrative Professionals Day. The event was joined by more than 350 participants and was all about exchange, learning and most importantly appreciation for the contributions and impact our assistants have on their managers, Roche and ultimately patients. A big thank you to our special guests Philippe Deecke, Paula IndermÃ¼hle, Claudia BÃ¶ckstiegel and their assistants Concetta Raffaeli, Maria Esther Arroyo, Tanja LÃ¼thi for joining the discussions and providing their insighful perspectives. Big congratulations of course to the event's hosts, my longstanding assistant Delphine Bossert and her co-host Eveline Holland for putting together such an inspiring and professional programme!
#Rocheproud",Workforce strategy
"For the 20th time Roche is conducting its annual Children's Walk! ðŸ“…
What started in 2003 as a small walk of a few employees became Rocheâ€™s largest employee engagement and philanthropic event. Since the first walk more than 294,000 Roche employees have raised over CHF 22 million in donations for childrenâ€™s projects around the world. Each year employees from Informatics, Finance and all other functions from more than 60 countries across the globe come together for this important cause.
Through the Roche Employee Action & Charity Trust (Re&Act) and with partners like UNICEF, Roger Federer Foundation, and Childâ€™s Dream, >1 million children have benefited from educational programmes across Ethiopia, Malawi, Cambodia, Nepal and the Philippines.
I am proud that we are celebrating 20 years of impact and the difference Roche employees worldwide are making. To the next 20 years!
#RocheProud #RocheChildrensWalk",Workforce strategy
"Talent management is a key priority for Roche, our Finance organisation and myself! Yesterday, I had the pleasure to meet with 24 remarkable talents who are part of this yearâ€™s Finance Accelerate programme. Finance Accelerate is Roche Finance's global flagship programme focused on developing talented employees at early career stages. The programme aims to equip future leaders in Finance with the capabilities they need today and in the future and to expand their network by fostering cross-functional collaboration. Moreover, a core element is to collect fresh and new ideas from participants to advance our Finance organisation.
It was a privilege to be part of this exchange and I left our meeting inspired and proud of the team and all the great work they do! Let me also thank the organisers: Fantastic job putting this programme together, making it work in the virtual world. Very well done.
#RocheProud #FutureOfFinance #FinanceAccelerate",Workforce strategy
"At the heart of every great organizational culture is a great human resources leader. These leaders are responsible for creating a work experience that not only enriches their colleagues, but also enables them to thrive in an ever-changing world. Iâ€™m proud of the unique culture we have at Pfizer, and thatâ€™s thanks in no small part to my colleague and friend, Payal Sahni, Pfizerâ€™s Chief People Experience Officer.
Congratulations Payal on being recognized in N2Growthâ€™s 2023 LEADERS40: Top CHRO List! My sincere thanks to you and your hard-working People Experience team for making Pfizer such a great place to work.",Workforce strategy
