Current LinkedIn URL,First Name,Last Name,Company,Industry,Title
https://www.linkedin.com/in/witold-henisz-637584,Witold,Henisz,The Wharton School,Education,"Vice Dean and Faculty Director, ESG Initiative"
https://www.linkedin.com/in/evelyn-smalls-24b2b24,Evelyn,Smalls,United Bank of Philadelphia,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/wendy-thomas-7133283/,Wendy,homas,"SecureWorks, Inc.",Technology,Chief Executive Officer
https://www.linkedin.com/in/jon-peterson-0540594/,Jon,son,TD Ameritrade Holding,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/paul-s-lalljie-7593767/,Paul,ljie,"2U, Inc.",Technology,Chief Financial Officer
https://www.linkedin.com/in/colinhindman-hrleader/,Colin,ndman,The Shyft Group,Manufacturing,Chief Human Resources Officer
https://www.linkedin.com/in/antonio-pietri-5a8a164/,Antonio, Pietri,Aspen Technology Inc,Technology,Chief Executive Officer
https://www.linkedin.com/in/karstenvoermann/,Karsten,oermann,GoodRx,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/john-streur-calvert-research-and-management/,John,reur,Calvert Investments Inc,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/stephen-m-scherr-a477491b0/,Stephen, Scherr,Goldman Sachs,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/lyle-williams-3038535/,Lyell,liams,Forum Energy Technologies,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/neil-mitchill-412b6213/,Neil,hill,Raytheon Technologies,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/brian-thompson-98065165/,Brian,mpson,UnitedHealthcare,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/tina-james-a82b175/,Tina,ames,HEB,Retail,Chief People Officer
https://www.linkedin.com/in/fred-hand-194277121/,Fred,Hand,Tuesday Morning Corporation,Retail,Chief Executive Officer
https://www.linkedin.com/in/ron-scarboro-2731001/,Ron,oro,Azurity,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/daniel-riley-68b765162/,Daniel, Riley,UAMS Medical Center,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/dan-bodner-verint/,Dan,ner,"Verint Systems, Inc.",Technology,Chief Executive Officer
https://www.linkedin.com/in/fidelitymaggieserravalli/,Maggie,avalli,Fidelity Investments,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/john-greene-/,John,eene,Discover Financial Services,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/jason-winkler-b345143/,Jason,nkler,Motorola Solutions,Technology,Chief Financial Officer
https://www.linkedin.com/in/thomas-seifert-89233b141/,Thomas,eifert,"CloudFlare, Inc.",Technology,Chief Financial Officer
https://www.linkedin.com/in/jeff-chartier-a81551/,Jeff,tier,Sig Sauer,Manufacturing,Chief Human Resources Officer
https://www.linkedin.com/in/jan-siegmund-1a0ab616/,Jan,und,Cognizant Technology Solutions,Technology,Chief Financial Officer
https://www.linkedin.com/in/cybulskidavid/,David,ulski,Klaussner Furniture,Retail,Chief Financial Officer
https://www.linkedin.com/in/kerry-siggins/,Kerry,ggens,Stoneage,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/jamesherbert1/,James,rt II,First Republic Bank,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/maria-kozloski-ba5b1117,Maria,loski,The Rockefeller Foundation,Philanthropy,Senior Vice President
https://www.linkedin.com/in/conrad-johnson-37302a17/,Conrad,ohnson,Nixon Power Services,Manufacturing,Chief Financial Officer
https://www.linkedin.com/in/jamie-dimon-65634172/,Jamie,Dimon,JPMorgan,Financial Services,Chief Executive Officer
https://www.linkedin.com/in/michael-sena-230b629/,Michael,el Sena,HC2 Holdings,Financial Services,Chief Financial Officer
https://www.linkedin.com/in/sdussault/,Scott,sault,Workhuman,Technology,Chief Financial Officer
https://www.linkedin.com/in/carminedisibio/,Carmine,i Sibio,EY,Professional Services,Chief Executive Officer
https://www.linkedin.com/in/susan-dorsey-979925a/,Susan,orsey,Gates Foundation,Philanthropy,Board Member
https://www.linkedin.com/in/jacqueline-cabe-07b6a761/,Jacqueline,eline Cabe,University of Washington Medical Center,Healthcare,Chief Financial Officer
https://www.linkedin.com/in/chris-wilde-20479429/,Chris,Wilde,Navicent Health,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/zoedickson/,Zoe,son,3M,Manufacturing,Chief Human Resources Officer
https://www.linkedin.com/in/samer-farhat-51b26710/,Samer,arhat,Citrix Systems,Technology,Chief Executive Officer
https://www.linkedin.com/in/matthew-friend-166a27a/,Matt,iend,Nike,Retail,Chief Financial Officer
https://www.linkedin.com/in/robert-kramer-b375a632/,Robert,Kramer,Emergent Biosolutions,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/ryan-cameron-courson/,Ryan,rson,"Cornerstone OnDemand, Inc.",Technology,Chief Financial Officer
https://www.linkedin.com/in/christopherposner/,Chris,osner,Cara Therapeutics,Healthcare,Chief Executive Officer
https://www.linkedin.com/in/tom-ferguson-13996922/,Tom,son,AZZ Incorporated,Manufacturing,Chief Executive Officer
https://www.linkedin.com/in/jeffrey-rude-92845677/,Jeffrey,ey Rude,Wyoming,Government,Insurance Commisioner / Director of Insurance
